Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,222.05,224.6,220.09,222.47,222.47,6737775.0
2024-10-07,225.39,227.39,219.2,222.42,222.42,10610957.0
2024-10-04,232.0,232.0,223.87,225.39,225.39,17369449.0
2024-10-03,233.98,236.75,229.34,230.7,230.7,7331777.0
2024-10-01,235.9,242.19,233.5,238.13,238.13,11617306.0
2024-09-30,239.55,241.0,234.5,235.4,235.4,10196690.0
2024-09-27,240.95,242.7,238.25,239.55,239.55,6353970.0
2024-09-26,238.35,242.0,236.35,241.2,241.2,12748640.0
2024-09-25,237.3,239.2,235.15,238.35,238.35,5662642.0
2024-09-24,236.45,239.1,236.35,237.3,237.3,6102544.0
2024-09-23,238.5,240.0,235.05,236.45,236.45,11199584.0
2024-09-20,238.0,239.55,235.65,237.85,237.85,10309320.0
2024-09-19,238.0,238.5,233.05,237.55,237.55,14207700.0
2024-09-18,240.4,240.4,234.8,235.95,235.95,7474116.0
2024-09-17,243.8,244.65,237.85,240.8,240.8,5317996.0
2024-09-16,245.95,248.2,243.3,243.8,243.8,5872152.0
2024-09-13,248.0,248.55,245.2,245.65,245.65,4303244.0
2024-09-12,244.45,247.9,242.0,246.15,246.15,9914360.0
2024-09-11,248.2,249.45,240.15,241.55,241.55,7330665.0
2024-09-10,244.65,249.8,244.4,248.25,248.25,4997115.0
2024-09-09,247.85,247.85,242.1,243.9,243.9,6407709.0
2024-09-06,251.9,251.9,246.4,247.8,247.8,5065459.0
2024-09-05,252.9,254.75,250.3,251.15,251.15,8541934.0
2024-09-04,247.8,252.1,247.6,250.5,250.5,5452449.0
2024-09-03,251.5,252.5,249.95,251.0,251.0,6318452.0
2024-09-02,258.1,258.1,250.45,251.35,251.35,7391898.0
2024-08-30,255.2,258.6,251.1,256.45,256.45,15816295.0
2024-08-29,260.0,260.95,251.85,253.8,253.8,10575592.0
2024-08-28,262.5,263.35,260.0,260.45,260.45,4397583.0
2024-08-27,260.15,264.65,258.6,262.15,262.15,9384044.0
2024-08-26,260.05,261.15,258.55,260.15,260.15,4777721.0
2024-08-23,261.95,262.85,258.95,260.4,260.4,5774591.0
2024-08-22,260.2,262.4,259.75,261.75,261.75,4207060.0
2024-08-21,258.45,261.5,258.15,260.25,260.25,3577864.0
2024-08-20,258.1,261.75,256.85,260.0,260.0,8623913.0
2024-08-19,258.0,260.15,255.7,257.5,257.5,14623178.0
2024-08-16,249.05,256.9,248.5,255.95,255.95,11252720.0
2024-08-14,251.5,252.35,245.7,246.45,246.45,4645867.0
2024-08-13,253.35,255.25,251.05,251.7,251.7,8115854.0
2024-08-12,249.95,253.8,249.6,252.05,252.05,9417006.0
2024-08-09,248.0,254.6,247.2,253.1,253.1,11598638.0
2024-08-08,247.25,249.5,245.15,246.3,246.3,10675857.0
2024-08-07,246.35,248.7,244.2,247.3,247.3,5262867.0
2024-08-06,244.35,251.95,242.25,243.15,243.15,11070020.0
2024-08-05,240.0,247.8,240.0,244.0,244.0,16265652.0
2024-08-02,245.75,253.35,244.45,250.15,250.15,10065906.0
2024-08-01,258.45,258.45,246.95,250.2,250.2,17612711.0
2024-07-31,254.0,259.0,252.9,257.09,257.09,9627255.0
2024-07-30,256.4,256.4,251.57,253.59,253.59,10302462.0
2024-07-29,249.0,258.85,249.0,256.35,256.35,28698736.0
2024-07-26,235.1,248.89,235.1,246.38,246.38,45804874.0
2024-07-25,229.81,233.48,224.85,232.43,232.43,21033162.0
2024-07-24,228.0,233.5,227.15,232.5,232.5,6724938.0
2024-07-23,231.29,233.4,219.35,229.63,229.63,18414004.0
2024-07-22,225.15,232.95,222.52,230.7,230.7,18930934.0
2024-07-19,228.33,228.8,223.0,223.95,223.95,7812680.0
2024-07-18,229.5,230.33,225.56,228.33,228.33,8461245.0
2024-07-16,230.7,230.7,227.56,228.41,228.41,9385976.0
2024-07-15,225.0,228.69,223.4,228.2,228.2,11695271.0
2024-07-12,227.9,228.0,223.96,224.26,224.26,9394331.0
2024-07-11,226.0,228.5,225.2,226.94,226.94,6829086.0
2024-07-10,228.5,229.28,221.25,225.97,225.97,10970675.0
2024-07-09,227.25,230.45,227.25,228.28,228.28,13237954.0
2024-07-08,230.0,231.28,224.85,226.05,226.05,11746524.0
2024-07-05,227.0,230.45,226.0,229.56,229.56,13557431.0
2024-07-04,231.3,231.9,226.45,227.11,227.11,10961313.0
2024-07-03,235.3,235.97,226.15,229.47,229.47,17206470.0
2024-07-02,238.9,239.0,233.45,234.52,234.52,9422599.0
2024-07-01,241.9,243.29,235.37,238.78,238.78,10772576.0
2024-06-28,241.3,243.95,240.61,241.89,241.89,5963889.0
2024-06-27,240.19,242.69,238.33,242.16,242.16,6615344.0
