Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,1453.0,1495.5,1439.5,1491.25,1491.25,661516.0
2024-10-07,1467.0,1488.85,1442.3,1466.6,1466.6,1218725.0
2024-10-04,1458.0,1489.7,1442.2,1466.05,1466.05,923928.0
2024-10-03,1438.3,1463.25,1425.0,1458.6,1458.6,1525846.0
2024-10-01,1455.0,1461.7,1407.0,1438.3,1438.3,2603178.0
2024-09-30,1512.05,1518.9,1444.0,1460.7,1460.7,1857748.0
2024-09-27,1505.0,1520.85,1489.65,1511.35,1511.35,704353.0
2024-09-26,1530.1,1530.3,1493.9,1515.3,1515.3,853880.0
2024-09-25,1507.0,1531.45,1498.5,1526.75,1526.75,1026040.0
2024-09-24,1487.0,1508.3,1471.7,1501.15,1501.15,1153620.0
2024-09-23,1498.0,1510.5,1470.0,1480.95,1480.95,2358329.0
2024-09-20,1537.8,1540.85,1482.6,1496.35,1496.35,2007987.0
2024-09-19,1550.1,1559.9,1511.0,1528.1,1528.1,692586.0
2024-09-18,1552.45,1559.9,1518.05,1539.15,1539.15,581463.0
2024-09-17,1564.0,1568.3,1549.05,1552.45,1552.45,584857.0
2024-09-16,1574.85,1583.95,1551.3,1564.0,1564.0,1277762.0
2024-09-13,1565.0,1592.0,1555.0,1567.25,1567.25,1185312.0
2024-09-12,1521.5,1578.0,1521.5,1561.45,1561.45,4067763.0
2024-09-11,1533.6,1546.2,1502.4,1507.4,1507.4,979903.0
2024-09-10,1528.0,1534.7,1515.2,1518.4,1518.4,877176.0
2024-09-09,1537.35,1540.0,1512.75,1518.5,1518.5,841713.0
2024-09-06,1533.8,1546.75,1516.25,1537.4,1537.4,1043914.0
2024-09-05,1542.15,1559.0,1529.5,1533.55,1533.55,1023539.0
2024-09-04,1528.0,1556.5,1528.0,1550.15,1550.15,1069656.0
2024-09-03,1553.0,1569.8,1546.4,1549.4,1549.4,1033542.0
2024-09-02,1580.8,1584.45,1549.1,1553.95,1553.95,728911.0
2024-08-30,1560.0,1580.6,1551.0,1569.4,1569.4,1757837.0
2024-08-29,1555.55,1574.9,1555.1,1563.15,1563.15,573393.0
2024-08-28,1551.95,1578.35,1544.95,1564.2,1564.2,999085.0
2024-08-27,1543.6,1556.15,1537.9,1551.95,1551.95,434249.0
2024-08-26,1538.0,1555.15,1531.1,1547.85,1547.85,738245.0
2024-08-23,1529.05,1547.0,1525.55,1538.2,1538.2,852282.0
2024-08-22,1519.0,1539.65,1504.0,1533.85,1533.85,1063659.0
2024-08-21,1537.3,1539.95,1490.1,1511.5,1511.5,1789751.0
2024-08-20,1520.0,1543.25,1515.0,1537.3,1537.3,1113655.0
2024-08-19,1502.1,1536.65,1490.3,1519.2,1519.2,1472094.0
2024-08-16,1525.0,1527.0,1421.45,1502.75,1502.75,4458082.0
2024-08-14,1506.9,1525.0,1474.05,1519.7,1519.7,1961578.0
2024-08-13,1476.0,1533.2,1461.8,1505.8,1505.8,3867134.0
2024-08-12,1460.0,1490.0,1440.6,1461.8,1461.8,2459665.0
2024-08-09,1480.4,1488.3,1431.05,1449.7,1449.7,1983341.0
