Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,339.5,345.35,335.95,342.7,342.7,2950082.0
2024-10-07,346.55,349.4,334.6,340.0,340.0,5769251.0
2024-10-04,359.35,360.15,345.1,346.35,346.35,5693848.0
2024-10-03,362.4,369.35,352.75,356.55,356.55,3235274.0
2024-10-01,362.4,371.8,361.85,370.65,370.65,2195117.0
2024-09-30,362.0,369.2,361.15,363.1,363.1,3231111.0
2024-09-27,375.95,378.75,367.9,368.85,368.85,4580392.0
2024-09-26,372.0,374.7,368.25,372.85,372.85,3506872.0
2024-09-25,377.8,381.8,368.6,371.45,371.45,5125312.0
2024-09-24,370.35,378.0,366.05,375.85,375.85,4468287.0
2024-09-23,365.35,372.85,363.6,370.35,370.35,3890925.0
2024-09-20,363.3,367.2,360.4,365.35,365.35,4175049.0
2024-09-19,365.0,369.0,351.0,361.5,361.5,6351383.0
2024-09-18,375.0,375.75,360.0,363.65,363.65,6911164.0
2024-09-17,393.6,395.8,374.3,375.85,375.85,10455441.0
2024-09-16,382.5,394.85,380.3,391.2,391.2,7932099.0
2024-09-13,378.45,383.8,372.45,378.95,378.95,5555196.0
2024-09-12,389.1,393.85,374.85,376.6,376.6,8824201.0
2024-09-11,390.2,394.9,382.5,385.3,385.3,11687316.0
2024-09-10,382.0,389.8,378.25,386.6,386.6,9473666.0
2024-09-09,373.15,379.65,366.15,377.6,377.6,6395312.0
2024-09-06,383.7,385.9,369.05,373.7,373.7,7030758.0
2024-09-05,385.0,394.7,380.7,382.85,382.85,17885888.0
2024-09-04,359.95,383.2,355.25,379.4,379.4,12159916.0
2024-09-03,364.75,366.7,361.05,361.9,361.9,2513914.0
2024-09-02,368.0,368.0,359.0,363.4,363.4,5156434.0
2024-08-30,355.55,362.95,355.55,359.1,359.1,2738006.0
2024-08-29,364.0,364.95,350.05,355.45,355.45,5275221.0
2024-08-28,355.0,363.75,353.75,356.7,356.7,6636720.0
2024-08-27,353.5,356.25,351.85,352.75,352.75,1158652.0
2024-08-26,352.0,355.75,352.0,353.25,353.25,1350106.0
2024-08-23,358.0,358.0,350.85,351.6,351.6,1312131.0
2024-08-22,357.4,359.05,353.7,356.5,356.5,2368633.0
2024-08-21,346.65,356.45,345.55,355.0,355.0,3548478.0
2024-08-20,346.5,350.9,343.3,346.75,346.75,4296486.0
2024-08-19,342.0,347.4,340.65,344.8,344.8,3453510.0
2024-08-16,330.0,342.0,328.1,340.95,340.95,3040369.0
2024-08-14,337.6,338.0,323.35,327.65,327.65,3713151.0
2024-08-13,338.0,342.0,334.05,337.1,337.1,3360380.0
2024-08-12,330.25,342.0,330.25,337.85,337.85,4281522.0
2024-08-09,339.15,345.0,332.65,336.95,336.95,10005232.0
2024-08-08,346.9,349.55,336.85,339.15,339.15,4003614.0
2024-08-07,342.0,348.05,335.3,346.85,346.85,3645534.0
2024-08-06,341.4,349.4,332.25,334.5,334.5,2981838.0
