Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,331.5,339.45,328.25,338.0,338.0,9565667.0
2024-10-07,342.0,343.3,332.8,335.0,335.0,7847806.0
2024-10-04,342.5,347.95,334.35,340.25,340.25,18185208.0
2024-10-03,353.75,361.6,347.0,348.85,348.85,20754875.0
2024-10-01,370.0,373.35,364.15,368.25,368.25,9440793.0
2024-09-30,367.15,376.0,360.15,369.95,369.95,23860696.0
2024-09-27,347.0,370.5,346.35,367.3,367.3,40756678.0
2024-09-26,340.0,346.95,335.15,345.1,345.1,9517367.0
2024-09-25,341.0,341.8,335.15,339.8,339.8,6087353.0
2024-09-24,338.55,343.2,336.7,339.15,339.15,7068491.0
2024-09-23,333.0,339.5,331.3,338.1,338.1,6110287.0
2024-09-20,326.45,333.1,324.45,331.2,331.2,14642546.0
2024-09-19,337.95,337.95,322.95,324.45,324.45,12549677.0
2024-09-18,339.0,339.9,334.45,336.1,336.1,4111826.0
2024-09-17,339.95,340.85,335.05,338.4,338.4,7237522.0
2024-09-16,344.9,344.9,340.0,340.65,340.65,4850244.0
2024-09-13,346.0,349.75,341.65,342.3,342.3,11006109.0
2024-09-12,343.45,346.2,340.4,344.3,344.3,15970391.0
2024-09-11,349.95,352.8,338.55,340.25,340.25,12194591.0
2024-09-10,349.0,351.5,344.65,345.95,345.95,8137710.0
2024-09-09,352.1,353.55,347.1,347.8,347.8,9200270.0
2024-09-06,362.35,365.25,351.05,352.15,352.15,19044553.0
2024-09-05,359.5,364.35,355.75,360.7,360.7,15927510.0
2024-09-04,355.4,363.95,354.65,357.25,357.25,19416507.0
2024-09-03,359.5,359.7,353.5,355.4,355.4,9289259.0
2024-09-02,361.0,367.2,357.5,358.45,358.45,14344785.0
2024-08-30,359.95,365.5,354.75,357.65,357.65,20312502.0
2024-08-29,349.8,357.55,347.15,356.45,356.45,13054801.0
2024-08-28,348.5,355.75,346.65,348.15,348.15,7295981.0
2024-08-27,348.0,350.75,343.5,349.05,349.05,9683173.0
2024-08-26,355.45,355.9,349.0,351.15,351.15,6672007.0
2024-08-23,349.8,358.0,349.55,352.2,352.2,15872017.0
2024-08-22,354.6,355.1,348.55,350.1,350.1,10244576.0
2024-08-21,349.35,355.6,348.15,351.2,351.2,14795459.0
2024-08-20,348.95,354.1,347.4,349.4,349.4,22888866.0
2024-08-19,337.8,345.55,336.35,343.8,343.8,17875728.0
2024-08-16,326.05,333.8,326.05,332.5,332.5,8214443.0
2024-08-14,321.7,327.45,320.65,325.05,325.05,8457477.0
2024-08-13,331.95,332.75,321.0,321.7,321.7,9757429.0
2024-08-12,331.8,336.8,330.2,333.4,333.4,12253716.0
2024-08-09,333.15,336.7,329.8,333.4,333.4,11351617.0
2024-08-08,343.95,343.95,332.8,338.3,327.8,15378854.0
2024-08-07,341.2,347.75,337.4,343.65,332.98,14250381.0
2024-08-06,343.0,349.65,333.4,334.7,324.31,13702018.0
2024-08-05,342.0,346.95,334.4,341.7,331.09,23868328.0
2024-08-02,346.9,350.95,340.05,347.1,336.33,15120989.0
2024-08-01,351.0,351.9,344.6,349.1,338.26,16959971.0
2024-07-31,352.0,354.1,346.15,350.05,339.19,17224023.0
2024-07-30,338.55,359.05,337.3,348.2,337.39,45785745.0
2024-07-29,333.4,338.95,331.05,337.9,327.41,20234464.0
2024-07-26,327.95,329.4,323.4,328.8,318.59,21839106.0
2024-07-25,312.95,327.15,310.8,326.15,316.03,30554549.0
2024-07-24,306.4,315.85,304.85,314.95,305.17,16934157.0
2024-07-23,311.45,312.3,296.1,306.0,296.5,24287234.0
2024-07-22,304.55,317.15,300.1,308.25,298.68,27102699.0
2024-07-19,318.15,318.15,301.8,303.8,294.37,19823046.0
2024-07-18,318.5,319.0,312.7,318.15,308.28,19588548.0
2024-07-16,308.0,319.25,308.0,315.95,306.14,28132502.0
2024-07-15,306.0,309.0,304.15,307.75,298.2,8687357.0
2024-07-12,309.7,310.95,303.75,304.55,295.1,10426157.0
2024-07-11,302.0,308.0,299.6,306.6,297.08,19246022.0
2024-07-10,300.8,301.8,293.4,300.35,291.03,12134270.0
2024-07-09,301.25,302.15,296.4,300.2,290.88,18094862.0
2024-07-08,304.6,307.95,298.8,299.5,290.2,11488688.0
2024-07-05,303.0,307.2,302.0,306.65,297.13,7684768.0
2024-07-04,306.6,308.5,301.95,303.0,293.6,6607472.0
2024-07-03,305.5,307.45,303.0,306.6,297.08,4355165.0
2024-07-02,304.0,308.25,302.2,304.4,294.95,5553786.0
2024-07-01,305.7,306.85,303.3,304.55,295.1,4793023.0
2024-06-28,305.85,306.6,301.55,303.95,294.52,9077880.0
2024-06-27,298.8,307.0,296.05,304.85,295.39,12487595.0
2024-06-26,298.0,300.85,296.25,298.4,289.14,7973173.0
2024-06-25,305.25,306.45,294.8,296.3,287.1,15630568.0
2024-06-24,309.7,309.7,303.3,305.25,295.78,7557297.0
2024-06-21,318.0,319.0,305.1,307.6,298.05,30004484.0
2024-06-20,310.0,314.4,306.4,313.13,303.41,18076646.0
2024-06-19,317.1,317.1,307.5,307.9,298.34,19648006.0
2024-06-18,317.5,317.5,313.2,315.45,305.66,15884950.0
