Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,1389.0,1410.0,1333.05,1343.65,1343.65,356305.0
2024-10-07,1376.9,1400.9,1355.9,1378.75,1378.75,2470388.0
2024-10-04,1368.95,1419.7,1357.5,1370.0,1370.0,675188.0
2024-10-03,1400.0,1411.3,1365.0,1369.7,1369.7,380995.0
2024-10-01,1424.0,1437.0,1404.0,1431.15,1431.15,352447.0
2024-09-30,1400.0,1439.95,1383.9,1417.05,1417.05,425519.0
2024-09-27,1345.0,1448.7,1340.45,1414.5,1414.5,1051988.0
2024-09-26,1345.3,1352.75,1330.0,1344.75,1344.75,588697.0
2024-09-25,1321.05,1361.7,1318.65,1333.75,1333.75,481003.0
2024-09-24,1333.3,1338.8,1318.35,1326.2,1326.2,431447.0
2024-09-23,1343.25,1352.45,1324.8,1333.6,1333.6,97493.0
2024-09-20,1342.9,1376.0,1325.0,1332.45,1332.45,640015.0
2024-09-19,1365.0,1369.0,1318.35,1327.9,1327.9,527498.0
2024-09-18,1364.0,1369.2,1349.75,1361.55,1361.55,566095.0
2024-09-17,1351.2,1366.0,1329.95,1354.45,1354.45,129046.0
2024-09-16,1342.0,1355.0,1336.05,1351.2,1351.2,194988.0
2024-09-13,1324.0,1349.0,1324.0,1335.55,1335.55,329650.0
2024-09-12,1320.0,1324.3,1308.9,1320.2,1320.2,389281.0
2024-09-11,1317.85,1325.7,1310.85,1320.4,1320.4,307552.0
2024-09-10,1315.0,1325.55,1303.9,1317.85,1317.85,430894.0
2024-09-09,1312.55,1318.0,1297.6,1312.0,1312.0,862268.0
2024-09-06,1306.25,1333.0,1304.45,1318.75,1318.75,597373.0
2024-09-05,1270.0,1306.0,1265.6,1302.05,1302.05,565136.0
2024-09-04,1226.4,1272.0,1226.4,1268.45,1268.45,612560.0
2024-09-03,1280.0,1302.0,1239.0,1245.1,1245.1,997978.0
2024-09-02,1220.0,1269.0,1207.35,1241.1,1241.1,888325.0
2024-08-30,1216.8,1227.7,1193.7,1204.55,1204.55,342427.0
2024-08-29,1170.0,1212.0,1166.35,1202.2,1202.2,370295.0
2024-08-28,1196.5,1197.65,1161.1,1173.6,1173.6,298409.0
2024-08-27,1153.0,1193.0,1147.05,1188.4,1188.4,275117.0
2024-08-26,1146.55,1170.8,1124.15,1154.35,1154.35,482576.0
2024-08-23,1150.05,1165.65,1121.2,1130.85,1130.85,272373.0
2024-08-22,1159.0,1164.45,1142.0,1150.8,1150.8,162137.0
2024-08-21,1170.1,1196.25,1146.9,1152.85,1152.85,244987.0
2024-08-20,1149.95,1179.85,1140.8,1169.05,1169.05,1039967.0
2024-08-19,1162.0,1162.0,1141.1,1146.7,1146.7,111809.0
2024-08-16,1144.05,1162.45,1115.0,1152.35,1152.35,1130217.0
2024-08-14,1136.75,1136.8,1112.0,1121.5,1121.5,360284.0
2024-08-13,1139.15,1140.0,1105.8,1120.8,1120.8,606800.0
2024-08-12,1100.0,1141.65,1089.8,1139.15,1139.15,384166.0
2024-08-09,1176.1,1176.95,1119.45,1125.4,1125.4,467959.0
2024-08-08,1180.0,1198.9,1153.7,1159.65,1159.65,338145.0
2024-08-07,1174.15,1192.15,1139.85,1175.6,1175.6,273463.0
2024-08-06,1205.35,1247.0,1150.05,1157.45,1157.45,1324247.0
2024-08-05,1170.0,1174.6,1114.0,1124.25,1124.25,375033.0
2024-08-02,1245.05,1245.05,1195.0,1198.55,1198.55,241377.0
2024-08-01,1260.3,1282.85,1245.6,1258.0,1258.0,193491.0
2024-07-31,1281.95,1283.7,1252.2,1257.7,1257.7,272977.0
2024-07-30,1285.95,1312.95,1271.5,1275.6,1275.6,309705.0
2024-07-29,1255.4,1290.8,1255.4,1274.8,1272.8,197524.0
2024-07-26,1218.5,1258.85,1217.3,1251.3,1249.34,281657.0
2024-07-25,1184.1,1240.8,1181.05,1218.5,1216.59,709406.0
2024-07-24,1205.0,1217.5,1174.05,1194.95,1193.08,823793.0
2024-07-23,1260.65,1269.75,1196.15,1204.45,1202.56,907136.0
2024-07-22,1251.0,1263.55,1232.4,1254.65,1252.68,239857.0
2024-07-19,1280.35,1282.0,1242.75,1269.95,1267.96,322277.0
2024-07-18,1300.05,1319.25,1263.0,1274.15,1272.15,269954.0
2024-07-16,1270.0,1329.95,1263.0,1297.55,1295.51,711879.0
2024-07-15,1319.0,1321.8,1257.0,1259.8,1257.82,317470.0
2024-07-12,1320.0,1327.0,1292.5,1311.9,1309.84,225101.0
2024-07-11,1348.35,1355.1,1290.0,1300.6,1298.56,345050.0
2024-07-10,1302.0,1356.95,1301.95,1348.35,1346.23,386313.0
2024-07-09,1304.25,1306.05,1291.3,1295.3,1293.27,626412.0
2024-07-08,1344.45,1350.0,1295.0,1298.25,1296.21,296024.0
2024-07-05,1380.1,1384.95,1334.0,1344.45,1342.34,267605.0
2024-07-04,1427.0,1429.0,1374.25,1384.6,1382.43,865935.0
2024-07-03,1379.85,1396.0,1359.85,1368.1,1365.95,85858.0
2024-07-02,1360.0,1405.85,1359.55,1367.75,1365.6,444086.0
2024-07-01,1358.75,1369.2,1338.35,1352.4,1350.28,156382.0
2024-06-28,1374.0,1388.8,1341.0,1348.4,1346.28,248783.0
2024-06-27,1359.35,1378.4,1331.4,1349.1,1346.98,335354.0
2024-06-26,1378.1,1386.0,1355.0,1359.35,1357.22,158164.0
2024-06-25,1445.0,1453.1,1357.35,1390.7,1388.52,455024.0
2024-06-24,1345.0,1451.95,1329.0,1420.65,1418.42,690253.0
2024-06-21,1343.7,1375.05,1338.15,1359.15,1357.02,222592.0
2024-06-20,1346.0,1379.7,1325.05,1340.55,1338.45,550813.0
2024-06-19,1367.95,1371.6,1313.9,1317.95,1315.88,479486.0
2024-06-18,1367.0,1387.45,1342.45,1369.35,1367.2,1075905.0
2024-06-14,1368.8,1437.0,1348.0,1356.35,1354.22,734758.0
2024-06-13,1362.9,1387.0,1345.9,1362.75,1360.61,499469.0
2024-06-12,1402.15,1411.85,1338.15,1343.6,1341.49,619643.0
2024-06-11,1395.75,1431.0,1380.1,1399.4,1397.2,497237.0
2024-06-10,1395.2,1440.0,1375.0,1379.9,1377.74,385634.0
2024-06-07,1314.9,1432.6,1300.2,1389.35,1387.17,852029.0
2024-06-06,1227.45,1358.0,1225.0,1317.6,1315.53,1189641.0
