Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,480.8,492.75,476.45,491.85,491.85,6049075.0
2024-10-07,498.1,500.55,475.35,480.45,480.45,8940891.0
2024-10-04,499.6,504.65,494.05,497.2,497.2,7170285.0
2024-10-03,499.5,509.9,499.5,502.35,502.35,11285134.0
2024-10-01,512.0,516.0,506.15,508.5,508.5,4743517.0
2024-09-30,513.0,513.45,502.5,510.15,510.15,8881502.0
2024-09-27,506.55,517.85,504.9,516.1,516.1,15443031.0
2024-09-26,506.0,507.45,500.05,506.55,506.55,6877039.0
2024-09-25,506.5,507.0,502.0,505.3,505.3,5059851.0
2024-09-24,505.0,506.65,501.55,504.3,504.3,7306001.0
2024-09-23,493.5,502.5,490.5,500.6,500.6,6123879.0
2024-09-20,480.95,498.0,480.3,490.95,490.95,12982128.0
2024-09-19,489.0,491.6,476.25,477.95,477.95,10014450.0
2024-09-18,489.8,493.6,486.15,487.1,487.1,6527832.0
2024-09-17,493.25,494.8,487.65,488.5,488.5,5063902.0
2024-09-16,492.5,494.9,487.35,493.25,493.25,5244657.0
2024-09-13,497.0,497.85,489.5,490.25,490.25,8093877.0
2024-09-12,487.0,497.25,482.25,495.65,495.65,12058489.0
2024-09-11,492.85,493.55,481.95,483.95,483.95,8134497.0
2024-09-10,487.3,492.0,481.8,491.1,491.1,9809547.0
2024-09-09,488.0,488.5,478.05,484.45,484.45,10189742.0
2024-09-06,499.0,499.0,481.05,488.55,488.55,13110103.0
2024-09-05,507.5,507.5,495.15,497.0,497.0,10830621.0
2024-09-04,516.85,516.85,500.55,503.65,503.65,16783593.0
2024-09-03,521.0,523.6,518.25,519.6,519.6,5526155.0
2024-09-02,527.0,529.0,517.65,520.85,520.85,6370038.0
2024-08-30,530.0,537.0,522.0,524.95,524.95,30921282.0
2024-08-29,526.35,530.0,516.1,527.55,527.55,9147836.0
2024-08-28,533.9,535.55,525.45,526.35,526.35,6066259.0
2024-08-27,539.1,541.7,530.0,531.4,531.4,7865530.0
2024-08-26,542.0,543.55,534.7,538.1,538.1,7193307.0
2024-08-23,528.95,541.15,528.85,538.85,538.85,12566904.0
2024-08-22,534.0,535.45,526.8,528.85,528.85,8531700.0
2024-08-21,526.5,535.25,524.4,532.2,532.2,9067794.0
2024-08-20,524.35,528.45,521.05,524.6,524.6,8191127.0
2024-08-19,513.8,523.45,513.15,522.0,522.0,10737456.0
2024-08-16,507.7,515.75,502.5,512.3,512.3,7313429.0
2024-08-14,522.9,527.9,499.05,504.7,499.7,14766889.0
2024-08-13,525.0,529.9,520.0,521.75,516.58,5201294.0
2024-08-12,529.0,530.5,523.3,523.95,518.76,5238736.0
2024-08-09,530.0,531.35,521.85,529.8,524.55,6468264.0
2024-08-08,534.0,535.0,521.25,523.45,518.26,13624148.0
2024-08-07,507.7,532.8,507.7,531.5,526.23,18293730.0
2024-08-06,508.1,517.2,498.0,499.6,494.65,7142269.0
2024-08-05,515.0,515.0,497.55,506.8,501.78,11835031.0
2024-08-02,534.0,537.2,522.3,524.5,519.3,10985150.0
2024-08-01,535.0,542.25,528.0,540.4,535.05,34763894.0
2024-07-31,523.45,525.4,510.5,522.2,517.03,11972565.0
2024-07-30,512.15,525.6,509.95,519.35,514.2,13197520.0
2024-07-29,514.5,515.7,507.5,512.15,507.08,7259754.0
2024-07-26,498.25,511.7,498.25,509.85,504.8,20437968.0
2024-07-25,491.0,503.55,484.0,494.0,489.11,10281157.0
2024-07-24,486.7,499.4,485.1,493.8,488.91,6823248.0
2024-07-23,494.0,495.8,464.55,487.0,482.18,11311831.0
2024-07-22,488.0,496.0,483.55,491.2,486.33,7281653.0
2024-07-19,505.3,506.4,486.75,488.0,483.17,9971704.0
2024-07-18,515.35,515.8,501.25,505.25,500.24,12540956.0
2024-07-16,498.0,518.4,498.0,512.45,507.37,23169665.0
2024-07-15,500.0,503.6,492.55,497.75,492.82,7106020.0
2024-07-12,504.0,508.6,495.5,496.2,491.28,8198389.0
2024-07-11,492.0,506.0,488.55,500.05,495.1,20146927.0
2024-07-10,493.8,494.9,480.55,490.75,485.89,5981477.0
2024-07-09,496.95,496.95,491.1,493.8,488.91,6444684.0
2024-07-08,492.7,496.0,487.2,493.3,488.41,7477292.0
2024-07-05,489.5,493.3,486.9,491.5,486.63,5754517.0
2024-07-04,488.75,492.8,485.3,489.55,484.7,7796954.0
2024-07-03,481.9,487.65,479.4,484.95,480.15,7244652.0
2024-07-02,478.0,485.0,473.35,479.1,474.35,14629287.0
2024-07-01,473.35,476.3,471.25,474.8,470.1,8579861.0
2024-06-28,470.0,476.0,468.0,473.15,468.46,8302706.0
2024-06-27,468.75,469.0,461.5,467.05,462.42,14857335.0
2024-06-26,470.25,471.85,465.05,468.75,464.11,6655899.0
2024-06-25,475.9,477.95,465.3,469.25,464.6,7951999.0
2024-06-24,480.0,480.05,472.0,473.7,469.01,11124175.0
2024-06-21,483.15,491.4,479.0,480.2,475.44,10340882.0
2024-06-20,481.05,487.4,471.55,483.15,478.36,7864157.0
2024-06-19,489.4,491.2,476.5,477.95,473.22,8962510.0
2024-06-18,492.0,492.9,485.2,489.05,484.21,6946544.0
2024-06-14,487.9,492.4,485.25,486.95,482.13,5974636.0
2024-06-13,493.9,493.9,483.5,487.9,483.07,7438571.0
2024-06-12,481.0,494.3,479.35,488.7,483.86,15412796.0
2024-06-11,482.0,483.5,475.2,476.35,471.63,11169021.0
2024-06-10,485.0,488.0,475.5,477.7,472.97,10958537.0
2024-06-07,473.0,481.3,467.6,479.15,474.4,8317343.0
2024-06-06,470.0,484.4,464.65,472.95,468.26,21757857.0
2024-06-05,452.0,462.85,425.1,460.55,455.99,18966089.0
2024-06-04,512.35,512.4,410.8,441.9,437.52,48046493.0
2024-06-03,515.0,527.4,505.55,512.35,507.27,24416215.0
2024-05-31,484.4,493.1,479.0,491.2,486.33,11223848.0
2024-05-30,486.0,487.95,479.5,482.15,477.37,7725080.0
2024-05-29,482.1,491.9,482.1,486.45,481.63,8014727.0
2024-05-28,496.0,496.2,484.1,487.65,482.82,8165238.0
2024-05-27,502.95,503.0,490.75,494.45,489.55,8811105.0
2024-05-24,495.95,505.4,489.15,501.0,496.04,12190536.0
2024-05-23,503.4,503.8,492.1,497.3,492.37,14378840.0
2024-05-22,494.5,507.35,491.6,501.7,496.73,28346931.0
2024-05-21,469.7,493.9,469.7,490.65,485.79,27356982.0
2024-05-17,469.05,473.7,466.8,470.25,465.59,10625019.0
2024-05-16,468.65,475.0,457.85,468.3,463.66,17232651.0
2024-05-15,450.0,470.0,449.5,467.85,463.22,23543942.0
2024-05-14,446.7,450.65,445.1,448.7,444.25,6592194.0
2024-05-13,451.25,451.8,434.7,444.0,439.6,11107909.0
2024-05-10,447.2,451.15,440.25,449.4,444.95,9190621.0
2024-05-09,465.35,467.7,441.35,443.5,439.11,15601338.0
2024-05-08,456.7,471.4,455.1,464.45,459.85,16978094.0
2024-05-07,463.0,469.5,452.85,456.0,451.48,13728379.0
2024-05-06,479.0,481.45,444.05,460.6,456.04,36408390.0
2024-05-03,457.9,475.8,449.4,474.6,469.9,51071947.0
2024-05-02,457.55,459.55,449.4,453.9,449.4,14980896.0
2024-04-30,456.4,458.4,452.05,454.3,449.8,6021793.0
2024-04-29,458.7,458.7,450.55,453.25,448.76,5305655.0
2024-04-26,454.0,460.45,452.2,455.8,451.28,7209435.0
2024-04-25,443.0,454.0,441.75,452.45,447.97,10858594.0
2024-04-24,441.55,448.7,441.15,443.85,439.45,6538090.0
2024-04-23,445.75,445.75,439.25,440.95,436.58,5390120.0
2024-04-22,440.9,444.5,438.0,442.95,438.56,6396926.0
2024-04-19,436.0,438.6,428.05,435.3,430.99,7628287.0
2024-04-18,454.95,456.8,435.15,438.6,434.25,10945138.0
2024-04-16,449.0,456.4,446.35,453.2,448.71,4996845.0
2024-04-15,448.95,455.8,441.1,451.0,446.53,7680715.0
2024-04-12,455.0,463.45,452.55,455.6,451.09,11259294.0
2024-04-10,442.55,458.6,442.1,456.35,451.83,15825331.0
2024-04-09,448.7,450.3,437.25,439.85,435.49,8005012.0
2024-04-08,449.0,450.45,444.55,447.4,442.97,3980972.0
2024-04-05,448.75,448.85,444.0,446.95,442.52,4820138.0
2024-04-04,450.0,453.5,442.55,448.85,444.4,14743020.0
2024-04-03,443.2,447.0,440.9,445.5,441.09,6972648.0
2024-04-02,442.05,448.3,436.05,443.2,438.81,11530800.0
2024-04-01,436.7,443.8,434.8,442.05,437.67,7256592.0
2024-03-28,430.0,438.45,430.0,434.1,429.8,10332853.0
2024-03-27,439.8,439.8,426.05,429.45,425.2,17985246.0
2024-03-26,433.8,440.95,430.9,435.95,431.63,9389403.0
2024-03-22,430.9,436.2,428.3,431.95,427.67,9172888.0
2024-03-21,424.0,433.55,423.15,432.05,427.77,9911230.0
2024-03-20,419.8,422.8,412.7,419.5,415.34,6950340.0
2024-03-19,417.0,424.6,414.0,419.05,414.9,8373676.0
2024-03-18,416.0,423.5,413.55,421.85,417.67,9803914.0
2024-03-15,427.7,428.05,401.2,415.25,411.14,25435001.0
2024-03-14,419.0,428.85,412.2,427.7,423.46,20478918.0
2024-03-13,449.3,449.9,410.0,417.05,412.92,17803423.0
2024-03-12,453.9,455.8,446.7,449.3,444.85,8409613.0
2024-03-11,461.0,462.85,452.4,453.9,449.4,7824738.0
2024-03-07,461.6,465.4,456.05,458.6,454.06,9680802.0
2024-03-06,462.45,464.95,444.55,461.6,457.03,14061966.0
2024-03-05,456.0,461.75,453.55,460.65,456.09,9605493.0
2024-03-04,451.85,458.0,448.05,455.4,450.89,11977226.0
