Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,723.5,732.0,708.0,721.8,721.8,5418558.0
2024-10-07,753.0,753.0,722.5,731.3,731.3,5862059.0
2024-10-04,742.65,757.55,740.05,747.9,747.9,4624509.0
2024-10-03,750.0,772.65,744.7,747.1,747.1,5649089.0
2024-10-01,755.0,765.5,745.2,761.55,761.55,4402151.0
2024-09-30,750.0,764.45,749.45,756.2,756.2,8566640.0
2024-09-27,746.95,757.7,742.1,747.15,747.15,12936973.0
2024-09-26,718.45,736.15,710.7,734.65,734.65,10573166.0
2024-09-25,725.0,730.9,715.55,718.45,718.45,9525319.0
2024-09-24,697.6,719.7,693.0,717.85,717.85,15201960.0
2024-09-23,695.5,698.0,687.95,690.55,690.55,2808114.0
2024-09-20,692.1,698.8,688.75,694.4,694.4,9753966.0
2024-09-19,690.0,690.85,668.2,684.2,684.2,5134590.0
2024-09-18,685.0,687.95,673.35,685.25,685.25,3404940.0
2024-09-17,689.0,692.0,681.1,683.0,683.0,3395470.0
2024-09-16,680.1,687.55,676.55,685.15,685.15,4258546.0
2024-09-13,686.0,686.4,670.6,673.25,673.25,5977861.0
2024-09-12,658.0,677.9,651.5,676.2,676.2,8594764.0
2024-09-11,658.6,658.6,645.4,647.7,647.7,3825823.0
2024-09-10,664.9,666.8,653.7,659.5,659.5,3304741.0
2024-09-09,664.0,664.0,651.0,658.55,658.55,5144488.0
2024-09-06,668.25,677.0,665.45,667.1,667.1,6311131.0
2024-09-05,670.0,672.4,667.25,669.95,669.95,3749608.0
2024-09-04,666.65,673.8,661.25,666.8,666.8,5816848.0
2024-09-03,687.65,692.7,677.55,678.9,678.9,4457291.0
2024-09-02,706.7,706.7,683.2,683.9,683.9,6186645.0
2024-08-30,699.0,708.5,695.1,701.35,701.35,7404373.0
2024-08-29,697.65,702.35,691.4,700.5,700.5,5728640.0
2024-08-28,706.0,710.7,701.15,705.05,705.05,3599946.0
2024-08-27,711.9,712.95,702.75,703.5,703.5,6465241.0
2024-08-26,694.4,712.9,689.5,711.85,711.85,11517668.0
2024-08-23,690.05,694.7,677.8,685.1,685.1,7774920.0
2024-08-22,691.5,692.0,677.2,685.55,685.55,6188728.0
2024-08-21,668.9,696.6,667.8,685.6,685.6,7815238.0
2024-08-20,663.0,674.3,661.05,672.9,672.9,10295836.0
2024-08-19,636.5,660.3,636.5,658.85,658.85,9510274.0
2024-08-16,633.95,642.0,630.2,634.15,634.15,6566337.0
2024-08-14,626.85,633.95,611.6,621.45,621.45,8646288.0
2024-08-13,634.4,634.4,619.2,621.4,621.4,6793767.0
2024-08-12,619.0,634.4,616.5,629.35,629.35,3586449.0
2024-08-09,622.0,626.5,614.8,622.9,622.9,3629264.0
2024-08-08,625.0,631.0,613.0,614.05,610.55,5396272.0
2024-08-07,625.0,629.45,616.75,623.7,620.15,4839670.0
2024-08-06,625.0,629.0,608.0,610.3,606.82,7063441.0
2024-08-05,628.05,633.85,609.25,614.3,610.8,13451475.0
2024-08-02,659.8,665.6,646.55,648.05,644.36,6717210.0
2024-08-01,680.0,690.9,667.35,673.5,669.66,8831127.0
2024-07-31,667.0,674.0,664.25,669.6,665.78,8551592.0
2024-07-30,665.0,665.0,654.6,660.5,656.74,6714850.0
2024-07-29,676.75,676.75,665.0,666.85,663.05,6032470.0
2024-07-26,660.0,668.5,655.0,667.6,663.79,4730539.0
2024-07-25,641.95,649.0,633.3,646.55,642.86,6171776.0
2024-07-24,653.0,656.65,645.0,651.6,647.89,2610134.0
2024-07-23,672.3,673.2,638.7,653.5,649.78,9602846.0
2024-07-22,655.0,675.0,650.85,672.3,668.47,3291634.0
2024-07-19,683.9,685.7,658.65,663.0,659.22,6207375.0
2024-07-18,686.0,695.85,684.1,689.95,686.02,7841505.0
2024-07-16,700.3,703.15,689.0,690.8,686.86,4570179.0
2024-07-15,692.05,701.6,688.45,700.1,696.11,2848268.0
2024-07-12,697.5,702.45,686.1,692.05,688.11,3839953.0
2024-07-11,702.0,702.0,692.0,696.3,692.33,6856272.0
