Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,2844.0,2886.0,2798.7,2818.8,2818.8,1761488.0
2024-10-07,2845.0,2866.45,2825.05,2833.4,2833.4,1280975.0
2024-10-04,2891.0,2914.0,2817.05,2848.75,2848.75,2456486.0
2024-10-03,2908.75,2923.1,2861.1,2893.35,2893.35,1233447.0
2024-10-01,2962.7,2962.7,2891.4,2923.75,2923.75,1184642.0
2024-09-30,2964.2,2997.9,2942.6,2958.3,2958.3,1627702.0
2024-09-27,2986.1,3030.0,2952.75,2966.25,2966.25,2977081.0
2024-09-26,2951.1,2992.85,2941.2,2986.1,2986.1,1902889.0
2024-09-25,2950.55,2960.35,2905.1,2948.95,2948.95,1055354.0
2024-09-24,3020.0,3020.0,2946.1,2950.55,2950.55,1929308.0
2024-09-23,2980.0,3035.0,2969.95,3028.55,3028.55,1300470.0
2024-09-20,2924.8,2989.35,2895.4,2977.6,2977.6,3641632.0
2024-09-19,2876.25,2934.3,2873.35,2911.75,2911.75,1713010.0
2024-09-18,2874.0,2893.55,2861.7,2875.85,2875.85,464796.0
2024-09-17,2867.1,2913.9,2860.1,2873.5,2873.5,1098661.0
2024-09-16,2910.0,2910.0,2807.4,2867.1,2867.1,1489057.0
2024-09-13,2956.4,2956.4,2918.5,2932.95,2932.95,1902001.0
2024-09-12,2911.0,2963.4,2894.2,2956.4,2956.4,2454564.0
2024-09-11,2911.6,2950.0,2898.1,2904.15,2904.15,1913665.0
2024-09-10,2934.0,2937.6,2887.5,2898.6,2898.6,1536584.0
2024-09-09,2853.1,2938.2,2843.2,2921.8,2921.8,3342754.0
2024-09-06,2828.1,2866.45,2828.1,2838.95,2838.95,1672730.0
2024-09-05,2840.05,2855.0,2823.65,2838.45,2838.45,1945173.0
2024-09-04,2780.0,2843.85,2771.65,2841.25,2841.25,1640986.0
2024-09-03,2780.0,2827.95,2775.0,2794.3,2794.3,2022116.0
2024-09-02,2794.0,2808.9,2779.0,2789.05,2789.05,957950.0
2024-08-30,2795.7,2816.3,2760.1,2778.0,2778.0,4029712.0
2024-08-29,2769.95,2810.0,2745.0,2785.25,2785.25,2129934.0
2024-08-28,2760.0,2781.75,2745.75,2764.35,2764.35,1723549.0
2024-08-27,2809.0,2824.1,2759.55,2766.9,2766.9,1357212.0
2024-08-26,2815.6,2834.95,2803.6,2821.15,2821.15,1152244.0
2024-08-23,2799.2,2821.0,2771.35,2815.6,2815.6,2111401.0
2024-08-22,2802.95,2810.0,2782.1,2792.8,2792.8,1552947.0
2024-08-21,2749.5,2795.1,2742.95,2791.2,2791.2,1417729.0
