Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,1241.0,1247.8,1229.75,1236.6,1236.6,12219259.0
2024-10-07,1241.55,1262.95,1225.0,1233.9,1233.9,20667247.0
2024-10-04,1247.1,1264.4,1236.2,1239.75,1239.75,13488887.0
2024-10-03,1253.6,1265.75,1248.15,1256.35,1256.35,17648551.0
2024-10-01,1269.8,1280.25,1267.6,1274.4,1274.4,10972413.0
2024-09-30,1292.1,1296.8,1270.9,1273.0,1273.0,12622212.0
2024-09-27,1333.0,1333.0,1303.85,1306.6,1306.6,17117379.0
2024-09-26,1320.0,1333.35,1316.9,1329.05,1329.05,11100869.0
2024-09-25,1310.75,1327.75,1310.1,1323.85,1323.85,8728019.0
2024-09-24,1321.0,1331.4,1315.45,1318.6,1318.6,13886037.0
2024-09-23,1331.0,1331.8,1308.5,1321.9,1321.9,11380409.0
2024-09-20,1295.0,1362.35,1291.55,1338.45,1338.45,73257767.0
2024-09-19,1288.35,1300.0,1285.35,1292.0,1292.0,13172268.0
2024-09-18,1262.0,1295.35,1262.0,1288.35,1288.35,12466597.0
2024-09-17,1259.95,1272.25,1258.4,1268.1,1268.1,11513121.0
2024-09-16,1251.0,1265.6,1244.7,1262.85,1262.85,8973335.0
2024-09-13,1252.0,1255.95,1242.05,1250.35,1250.35,9877288.0
2024-09-12,1238.0,1257.0,1226.35,1252.15,1252.15,15376442.0
2024-09-11,1231.5,1239.3,1226.4,1236.35,1236.35,11993242.0
2024-09-10,1236.95,1241.35,1227.0,1237.3,1237.3,15545130.0
2024-09-09,1202.9,1238.3,1200.45,1235.0,1235.0,13863250.0
2024-09-06,1225.95,1233.9,1205.0,1208.15,1208.15,10170479.0
2024-09-05,1238.0,1244.85,1231.3,1235.95,1235.95,9142811.0
2024-09-04,1239.85,1243.7,1232.8,1236.35,1236.35,13505843.0
2024-09-03,1227.2,1250.95,1220.4,1247.7,1247.7,19114907.0
2024-09-02,1239.0,1239.2,1222.5,1229.95,1229.95,12516759.0
2024-08-30,1230.0,1235.55,1218.9,1229.2,1229.2,21211148.0
2024-08-29,1218.95,1235.0,1217.0,1221.9,1221.9,10806748.0
2024-08-28,1222.65,1226.4,1217.3,1223.85,1223.85,12291305.0
2024-08-27,1213.3,1232.5,1208.9,1226.35,1226.35,16295325.0
2024-08-26,1205.55,1214.95,1201.05,1213.3,1213.3,10920226.0
2024-08-23,1193.0,1205.0,1188.55,1203.5,1203.5,7518309.0
2024-08-22,1182.0,1192.6,1176.6,1191.1,1191.1,8564142.0
2024-08-21,1177.0,1178.65,1165.1,1174.85,1174.85,17234142.0
2024-08-20,1174.2,1189.8,1170.0,1179.45,1179.45,10427061.0
2024-08-19,1191.0,1195.75,1173.3,1175.9,1175.9,6686394.0
2024-08-16,1170.0,1193.0,1165.65,1187.25,1187.25,10961370.0
2024-08-14,1167.0,1170.05,1153.0,1161.65,1161.65,13431801.0
2024-08-13,1183.2,1189.25,1163.6,1168.35,1168.35,13117927.0
2024-08-12,1171.0,1178.25,1156.0,1172.8,1172.8,10860455.0
2024-08-09,1176.55,1180.95,1169.0,1171.6,1161.6,8687307.0
2024-08-08,1166.95,1174.4,1158.9,1164.6,1154.66,10806438.0
2024-08-07,1178.95,1179.8,1161.6,1172.45,1162.44,15753644.0
2024-08-06,1175.0,1187.7,1161.5,1166.85,1156.89,13575619.0
2024-08-05,1182.0,1188.9,1167.0,1172.6,1162.59,14306771.0
2024-08-02,1197.0,1201.65,1190.1,1196.55,1186.34,10735395.0
2024-08-01,1212.5,1222.65,1206.9,1210.1,1199.77,8725046.0
2024-07-31,1219.0,1224.65,1211.0,1214.9,1204.53,22297629.0
2024-07-30,1213.0,1230.85,1204.4,1209.45,1199.13,23972277.0
2024-07-29,1215.15,1242.75,1204.15,1212.7,1202.35,28458261.0
2024-07-26,1190.0,1220.0,1185.95,1207.2,1196.9,19309265.0
2024-07-25,1205.5,1218.25,1190.6,1197.9,1187.68,14154461.0
2024-07-24,1225.0,1233.65,1202.05,1223.0,1212.56,20122521.0
2024-07-23,1241.15,1248.65,1212.5,1226.75,1216.28,19369832.0
2024-07-22,1240.0,1245.3,1232.9,1241.15,1230.56,9958965.0
2024-07-19,1244.0,1250.5,1240.25,1248.65,1237.99,7958817.0
2024-07-18,1234.9,1256.45,1231.7,1250.3,1239.63,10999632.0
2024-07-16,1230.0,1245.0,1229.0,1239.9,1229.32,12320605.0
2024-07-15,1233.1,1238.45,1224.05,1229.95,1219.45,15612671.0
2024-07-12,1235.9,1252.9,1230.1,1232.9,1222.38,12208290.0
2024-07-11,1246.35,1257.8,1225.05,1238.45,1227.88,11307116.0
2024-07-10,1252.75,1252.75,1236.35,1243.2,1232.59,18226503.0
2024-07-09,1234.95,1250.2,1229.3,1248.25,1237.6,13366874.0
2024-07-08,1228.9,1239.5,1216.9,1235.05,1224.51,6617190.0
2024-07-05,1225.0,1242.6,1220.85,1233.4,1222.87,9535575.0
2024-07-04,1229.0,1234.95,1214.3,1233.0,1222.48,15275791.0
2024-07-03,1196.85,1215.85,1179.45,1201.6,1191.34,22330897.0
2024-07-02,1217.0,1217.0,1185.55,1190.6,1180.44,16153925.0
2024-07-01,1199.6,1215.35,1192.05,1211.85,1201.51,8636894.0
2024-06-28,1227.0,1227.0,1196.35,1199.6,1189.36,12507092.0
2024-06-27,1228.35,1235.0,1209.1,1219.9,1209.49,20516632.0
2024-06-26,1202.0,1222.85,1193.85,1218.0,1207.6,25403461.0
2024-06-25,1170.25,1206.0,1167.65,1197.95,1187.73,27309845.0
2024-06-24,1154.65,1175.65,1152.65,1170.1,1160.11,12210295.0
2024-06-21,1163.55,1169.9,1150.65,1158.65,1148.76,69259425.0
2024-06-20,1154.05,1160.0,1135.5,1156.8,1146.93,15475933.0
2024-06-19,1127.95,1165.55,1126.15,1144.45,1134.68,34309514.0
2024-06-18,1113.95,1135.05,1101.2,1122.85,1113.27,18306176.0
