Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,9.05,9.55,9.03,9.5,9.5,447500823.0
2024-10-07,9.79,9.81,8.9,9.16,9.16,699375979.0
2024-10-04,9.87,10.06,9.63,9.79,9.79,453013199.0
2024-10-03,10.13,10.16,9.81,9.87,9.87,418426001.0
2024-10-01,10.35,10.53,10.06,10.17,10.17,372735715.0
2024-09-30,10.65,10.68,10.32,10.36,10.36,469780209.0
2024-09-27,10.64,10.97,10.5,10.66,10.66,48984351.0
2024-09-26,10.39,10.5,10.12,10.38,10.38,947225586.0
2024-09-25,10.69,10.73,10.33,10.36,10.36,386280914.0
2024-09-24,10.82,10.99,10.52,10.67,10.67,591115783.0
2024-09-23,11.27,11.94,10.72,10.82,10.82,608733575.0
2024-09-20,10.35,10.58,9.79,10.47,10.47,454680485.0
2024-09-19,12.99,13.02,10.0,10.38,10.38,997.0
2024-09-18,13.1,13.16,12.83,12.9,12.9,289385698.0
2024-09-17,13.25,13.28,13.07,13.12,13.12,179383176.0
2024-09-16,13.5,13.5,13.12,13.24,13.24,261780637.0
2024-09-13,13.65,13.66,13.36,13.41,13.41,198209238.0
2024-09-12,13.36,13.65,12.83,13.52,13.52,408314409.0
2024-09-11,13.74,13.77,13.03,13.14,13.14,358061345.0
2024-09-10,13.3,13.73,13.3,13.53,13.53,444283492.0
2024-09-09,13.35,13.58,12.98,13.2,13.2,628833307.0
2024-09-06,14.74,14.76,12.92,13.35,13.35,827451206.0
2024-09-05,14.9,15.22,14.8,15.09,15.09,286740484.0
2024-09-04,15.08,15.1,14.77,14.83,14.83,281283093.0
2024-09-03,15.1,15.26,15.0,15.11,15.11,272427038.0
2024-09-02,15.58,15.58,14.81,15.05,15.05,685959065.0
2024-08-30,16.44,16.44,15.39,15.64,15.64,1131.0
2024-08-29,16.4,16.55,15.97,16.3,16.3,827342035.0
2024-08-28,16.05,16.17,15.82,15.97,15.97,401712642.0
2024-08-27,15.75,16.18,15.65,16.04,16.04,415465213.0
2024-08-26,15.96,15.98,15.62,15.79,15.79,243427186.0
2024-08-23,16.28,16.34,15.74,15.82,15.82,369537715.0
2024-08-22,15.95,16.29,15.91,16.2,16.2,278652089.0
2024-08-21,15.99,16.1,15.86,15.94,15.94,242515086.0
2024-08-20,16.06,16.29,15.91,15.94,15.94,309490369.0
2024-08-19,15.87,16.04,15.72,15.95,15.95,265264602.0
2024-08-16,15.96,16.0,15.67,15.88,15.88,291922661.0
2024-08-14,15.63,16.02,15.48,15.79,15.79,392047253.0
2024-08-13,16.19,16.19,15.42,15.47,15.47,538387007.0
2024-08-12,16.12,16.22,15.82,16.01,16.01,290810714.0
2024-08-09,16.3,16.35,16.01,16.1,16.1,276415001.0
2024-08-08,15.75,16.25,15.57,15.86,15.86,346746624.0
2024-08-07,15.6,15.78,15.37,15.72,15.72,271137134.0
2024-08-06,15.7,15.83,15.11,15.17,15.17,327583325.0
2024-08-05,15.61,15.81,15.05,15.36,15.36,608655754.0
2024-08-02,15.8,16.42,15.75,16.12,16.12,475279605.0
2024-08-01,16.36,16.37,15.87,15.99,15.99,362395270.0
2024-07-31,16.31,16.52,16.22,16.27,16.27,346265142.0
2024-07-30,16.03,16.28,15.99,16.21,16.21,242396205.0
2024-07-29,16.0,16.42,15.93,16.05,16.05,505926060.0
2024-07-26,15.42,16.14,15.4,15.98,15.98,746610397.0
2024-07-25,15.3,15.42,15.03,15.18,15.18,702308285.0
2024-07-24,15.3,15.66,15.21,15.58,15.58,453449137.0
2024-07-23,15.9,15.91,14.57,15.28,15.28,53671237.0
2024-07-22,15.77,16.05,15.65,15.89,15.89,529018766.0
2024-07-19,16.37,16.43,15.82,15.87,15.87,368882386.0
2024-07-18,16.69,16.69,15.91,16.27,16.27,679246298.0
2024-07-16,17.54,17.67,16.67,16.8,16.8,964458628.0
2024-07-15,16.1,16.73,15.78,16.68,16.68,544664305.0
2024-07-12,16.76,16.83,16.0,16.09,16.09,630743126.0
2024-07-11,16.76,16.84,16.52,16.56,16.56,346369340.0
2024-07-10,16.97,17.28,16.47,16.64,16.64,466478026.0
2024-07-09,16.61,17.03,16.56,16.85,16.85,501290567.0
2024-07-08,17.1,17.23,16.5,16.56,16.56,541264689.0
2024-07-05,17.44,17.48,17.01,17.09,17.09,492372970.0
2024-07-04,17.51,17.74,17.28,17.48,17.48,644674371.0
2024-07-03,17.1,17.67,16.91,17.47,17.47,860849573.0
2024-07-02,17.7,17.75,16.96,17.02,17.02,826792635.0
2024-07-01,17.79,18.06,17.4,17.62,17.62,877984912.0
2024-06-28,19.1,19.18,17.55,17.89,17.89,940893249.0
2024-06-27,18.25,18.7,18.0,18.52,18.52,449366808.0
2024-06-26,17.24,18.47,17.22,18.02,18.02,446331568.0
2024-06-25,17.45,17.5,17.15,17.19,17.19,664334923.0
2024-06-24,16.99,17.34,16.86,17.26,17.26,946446301.0
2024-06-21,16.61,17.28,16.54,17.14,17.14,681222197.0
2024-06-20,16.97,16.97,16.45,16.53,16.53,745416817.0
2024-06-19,17.0,17.39,16.36,16.92,16.92,1564573800.0
2024-06-18,16.99,17.03,16.48,16.85,16.85,804338492.0
2024-06-14,16.3,16.85,16.06,16.73,16.73,27007761.0
2024-06-13,16.73,16.74,16.0,16.07,16.07,731987121.0
2024-06-12,16.3,16.7,16.24,16.43,16.43,1041028161.0
2024-06-11,15.95,16.32,15.61,16.19,16.19,94572074.0
2024-06-10,15.96,16.35,15.76,15.81,15.81,14989971.0
2024-06-07,15.05,16.05,14.9,15.85,15.85,177663038.0
2024-06-06,15.15,15.4,14.85,15.0,15.0,853275763.0
2024-06-05,13.65,15.05,13.3,14.85,14.85,501552249.0
2024-06-04,15.7,15.7,12.05,13.2,13.2,821.0
2024-06-03,16.4,16.4,15.65,16.0,16.0,260907611.0
2024-05-31,14.75,15.45,14.65,15.25,15.25,839643261.0
2024-05-30,14.85,15.05,14.5,14.6,14.6,21529920.0
2024-05-29,14.45,14.9,14.4,14.8,14.8,592922488.0
2024-05-28,15.05,15.1,14.5,14.55,14.55,668778744.0
2024-05-27,15.2,15.45,14.9,15.05,15.05,963234521.0
2024-05-24,14.25,15.7,14.2,15.1,15.1,3973.0
2024-05-23,13.5,14.1,13.45,14.05,14.05,975684695.0
2024-05-22,13.65,13.8,13.45,13.5,13.5,363222831.0
2024-05-21,13.55,13.75,13.35,13.55,13.55,652179474.0
2024-05-17,13.15,13.65,13.05,13.25,13.25,630732734.0
2024-05-16,13.25,13.4,12.95,13.15,13.15,455941660.0
2024-05-15,13.35,13.4,13.1,13.2,13.2,399412030.0
2024-05-14,12.7,13.3,12.65,13.25,13.25,745058401.0
2024-05-13,12.6,12.7,12.3,12.6,12.6,357347341.0
2024-05-10,12.7,12.8,12.45,12.7,12.7,375478451.0
2024-05-09,12.75,13.0,12.6,12.65,12.65,643889725.0
2024-05-08,12.45,12.85,12.35,12.7,12.7,637428822.0
2024-05-07,12.85,12.9,12.1,12.4,12.4,223623015.0
2024-05-06,13.25,13.3,12.75,12.8,12.8,688684063.0
2024-05-03,13.3,13.5,13.0,13.2,13.2,844184176.0
2024-05-02,13.25,13.5,13.1,13.2,13.2,808543713.0
2024-04-30,13.5,13.55,13.15,13.2,13.2,954953718.0
2024-04-29,14.0,14.3,13.4,13.45,13.45,254582782.0
2024-04-26,13.65,14.2,12.7,14.0,14.0,1376.0
2024-04-25,11.8,14.4,11.8,13.9,13.9,1073741823.0
2024-04-24,13.75,13.95,13.0,13.1,13.1,560864623.0
2024-04-23,13.0,14.75,12.95,14.4,14.4,1073741823.0
2024-04-22,12.4,13.05,12.1,12.9,12.9,608298209.0
2024-04-19,12.9,13.3,12.85,12.9,12.9,721586766.0
2024-04-18,13.1,13.55,13.1,13.2,13.2,791868513.0
2024-04-16,12.85,13.2,12.55,12.95,12.95,144793755.0
2024-04-15,13.0,13.4,12.75,13.15,13.15,776597931.0
2024-04-12,12.65,13.25,12.2,12.95,12.95,60190289.0
2024-04-10,12.8,13.2,12.65,12.95,12.95,512312743.0
2024-04-09,13.2,13.35,12.85,12.9,12.9,364108806.0
2024-04-08,13.9,13.9,12.9,13.15,13.15,770438882.0
2024-04-05,13.35,13.55,12.95,13.3,13.3,690376450.0
