Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,162.05,165.0,160.76,164.24,164.24,14948163.0
2024-10-07,170.79,170.79,162.1,162.74,162.74,19798152.0
2024-10-04,169.5,170.49,165.6,168.65,168.65,25223563.0
2024-10-03,173.22,176.2,170.73,171.33,171.33,25392543.0
2024-10-01,180.0,181.34,177.27,179.06,179.06,17390545.0
2024-09-30,179.71,182.46,176.17,180.15,180.15,33375167.0
2024-09-27,171.6,180.75,171.5,180.01,180.01,52095985.0
2024-09-26,170.21,171.9,168.61,171.36,171.36,11349547.0
2024-09-25,169.6,170.94,168.5,169.82,169.82,8749024.0
2024-09-24,169.17,170.95,168.8,169.89,169.89,10027795.0
2024-09-23,167.55,170.2,167.0,169.73,169.73,9393577.0
2024-09-20,165.4,167.75,165.0,167.05,167.05,20652037.0
2024-09-19,168.89,169.94,162.19,165.04,165.04,19197503.0
2024-09-18,170.6,171.06,167.6,168.45,168.45,10726650.0
2024-09-17,171.32,171.95,170.05,170.51,170.51,6417946.0
2024-09-16,173.8,174.11,171.59,171.82,171.82,8492383.0
2024-09-13,173.25,176.0,172.45,173.19,173.19,15061240.0
2024-09-12,171.49,173.7,170.07,173.26,173.26,18368650.0
2024-09-11,176.99,177.89,169.09,169.74,169.74,29731172.0
2024-09-10,176.11,176.74,174.55,175.55,175.55,14875095.0
2024-09-09,175.5,177.21,173.65,175.34,175.34,15121584.0
2024-09-06,181.09,181.29,174.7,176.64,176.64,31875186.0
2024-09-05,178.65,184.0,177.91,181.34,181.34,46162315.0
2024-09-04,177.0,179.7,176.11,177.03,177.03,23923887.0
2024-09-03,178.6,178.91,175.6,176.13,176.13,11874065.0
2024-09-02,179.25,181.2,177.01,178.73,178.73,26940504.0
2024-08-30,178.0,178.78,176.12,176.97,176.97,22288432.0
2024-08-29,173.89,177.3,173.16,176.84,176.84,21375638.0
2024-08-28,173.25,176.5,173.23,173.75,173.75,14449023.0
2024-08-27,172.8,174.63,171.75,173.25,173.25,11132430.0
2024-08-26,174.0,174.37,172.4,173.46,173.46,8952470.0
2024-08-23,173.6,175.49,172.67,173.13,173.13,13815705.0
2024-08-22,174.88,175.49,173.4,173.79,173.79,11809546.0
2024-08-21,173.0,174.85,172.11,173.89,173.89,15640289.0
2024-08-20,171.99,173.4,171.03,172.23,172.23,15526789.0
2024-08-19,170.0,170.81,169.32,170.08,170.08,11457875.0
2024-08-16,165.25,167.45,164.85,167.17,167.17,10622879.0
2024-08-14,165.01,165.64,163.1,163.74,163.74,14369897.0
2024-08-13,168.31,168.69,163.01,164.12,164.12,16620160.0
2024-08-12,168.0,171.0,167.79,169.16,169.16,11563339.0
2024-08-09,172.1,173.0,168.8,169.09,169.09,14137851.0
2024-08-08,171.99,172.12,169.2,170.23,170.23,14932165.0
2024-08-07,171.24,172.5,169.07,172.22,172.22,15591095.0
2024-08-06,172.0,174.4,166.28,167.01,167.01,18084781.0
2024-08-05,172.0,174.88,166.99,170.59,170.59,37579908.0
2024-08-02,178.0,179.29,174.64,177.29,177.29,27097002.0
2024-08-01,182.0,182.49,177.87,179.73,179.73,26184112.0
2024-07-31,183.5,184.85,180.08,181.67,181.67,32726809.0
2024-07-30,180.0,185.97,178.31,182.95,182.95,75819147.0
2024-07-29,178.0,181.7,178.0,180.39,180.39,42913186.0
2024-07-26,178.34,178.92,175.55,176.55,176.55,27261949.0
2024-07-25,166.89,177.56,166.54,176.85,176.85,75894556.0
2024-07-24,165.82,169.25,165.56,168.79,168.79,16076455.0
2024-07-23,169.35,169.35,160.66,165.82,165.82,21714840.0
2024-07-22,165.49,169.0,163.88,168.19,168.19,17140562.0
2024-07-19,170.9,170.9,165.15,165.49,165.49,26361146.0
2024-07-18,170.0,171.66,168.66,169.61,169.61,22673600.0
2024-07-16,169.5,172.3,169.25,170.74,170.74,33837471.0
2024-07-15,167.5,170.32,166.4,169.7,169.7,32915517.0
2024-07-12,168.49,169.25,166.11,167.04,167.04,35355791.0
2024-07-11,172.9,175.8,172.25,174.44,167.44,55143055.0
2024-07-10,172.3,172.49,167.2,171.9,165.0,34673112.0
2024-07-09,171.29,172.7,170.5,171.67,164.78,28600182.0
2024-07-08,172.21,172.81,169.75,170.07,163.25,30322381.0
2024-07-05,170.9,171.94,169.71,171.28,164.41,26431264.0
2024-07-04,170.1,171.3,169.18,170.17,163.34,26156046.0
2024-07-03,169.4,169.8,167.75,169.31,162.52,20184032.0
2024-07-02,168.0,169.71,167.01,168.3,161.55,31012683.0
2024-07-01,166.0,167.95,165.62,167.66,160.93,19014104.0
2024-06-28,163.9,166.64,163.8,165.63,158.98,15335579.0
2024-06-27,164.5,164.88,162.18,163.58,157.02,24654739.0
2024-06-26,165.15,165.24,164.0,164.27,157.68,10441389.0
2024-06-25,166.98,167.14,164.05,164.37,157.77,14775324.0
2024-06-24,166.62,167.69,164.71,166.3,159.63,13445384.0
2024-06-21,169.19,169.5,166.26,166.62,159.93,19269862.0
2024-06-20,167.35,169.72,166.1,168.97,162.19,15794096.0
2024-06-19,170.0,170.3,166.05,166.75,160.06,18053095.0
2024-06-18,171.9,171.9,169.0,169.59,162.78,17723479.0
2024-06-14,169.2,172.1,169.16,170.36,163.52,22000973.0
2024-06-13,170.0,170.2,168.05,168.95,162.17,17279580.0
2024-06-12,169.0,171.24,168.51,168.84,162.06,28047986.0
2024-06-11,165.9,169.0,164.3,167.68,160.95,28559865.0
2024-06-10,165.7,166.4,164.1,165.21,158.58,19825323.0
2024-06-07,163.7,164.55,161.4,164.2,157.61,33444357.0
2024-06-06,164.0,168.1,162.15,163.6,157.04,35722401.0
2024-06-05,158.5,159.9,147.8,159.25,152.86,36919071.0
2024-06-04,177.0,177.0,149.0,154.5,148.3,88989411.0
2024-06-03,170.8,176.4,168.0,175.3,168.27,62214295.0
2024-05-31,163.4,163.75,161.05,162.4,155.88,34520338.0
2024-05-30,164.7,165.25,161.35,161.95,155.45,13980050.0
2024-05-29,166.0,166.9,164.5,165.05,158.43,12374782.0
2024-05-28,169.1,169.8,165.8,167.05,160.35,12934677.0
2024-05-27,169.1,170.45,166.8,168.9,162.12,14367479.0
2024-05-24,167.9,170.45,167.3,168.8,162.03,17579600.0
2024-05-23,167.5,169.35,166.7,167.95,161.21,17423296.0
2024-05-22,168.2,168.2,164.25,166.95,160.25,20053145.0
2024-05-21,165.0,168.4,163.55,166.9,160.2,26148240.0
2024-05-17,162.85,164.6,162.65,164.05,157.47,13305287.0
2024-05-16,163.05,164.4,161.15,162.85,156.32,23017120.0
2024-05-15,160.6,162.6,159.75,161.8,155.31,17906679.0
2024-05-14,158.2,160.7,157.05,159.35,152.96,17592865.0
2024-05-13,159.85,160.7,154.75,158.2,151.85,28720880.0
2024-05-10,158.5,160.15,155.55,158.95,152.57,24021566.0
2024-05-09,163.0,163.0,156.05,156.6,150.32,27225782.0
2024-05-08,161.5,164.3,159.65,163.15,156.6,28458714.0
2024-05-07,167.5,168.2,159.5,160.0,153.58,40995072.0
2024-05-06,171.85,172.0,165.1,166.25,159.58,28686100.0
2024-05-03,174.8,174.9,169.4,170.75,163.9,30968452.0
2024-05-02,172.0,174.6,168.25,173.4,166.44,60555113.0
2024-04-30,179.5,179.8,167.85,168.85,162.07,67530236.0
2024-04-29,173.0,178.0,172.2,176.75,169.66,40527426.0
2024-04-26,170.7,172.6,169.85,171.55,164.67,17306072.0
2024-04-25,169.45,171.0,168.75,170.2,163.37,14757776.0
2024-04-24,169.4,170.6,167.55,168.75,161.98,17496649.0
2024-04-23,173.7,173.7,167.95,168.1,161.35,19730937.0
2024-04-22,169.95,172.2,168.5,170.9,164.04,19022799.0
2024-04-19,163.5,167.5,162.2,166.65,159.96,28613815.0
2024-04-18,172.3,175.1,168.05,169.0,162.22,29756025.0
2024-04-16,166.4,170.8,165.5,169.0,162.22,19347109.0
2024-04-15,166.8,169.95,162.65,166.4,159.72,30165832.0
2024-04-12,172.95,173.45,169.75,170.15,163.32,23635268.0
2024-04-10,169.0,174.2,168.9,173.05,166.11,26458888.0
2024-04-09,170.5,170.85,168.0,168.9,162.12,10074537.0
2024-04-08,169.0,171.85,168.75,170.3,163.47,14541348.0
2024-04-05,168.8,168.85,164.6,168.0,161.26,26551221.0
2024-04-04,174.0,174.95,169.05,169.65,162.84,17913673.0
2024-04-03,174.2,175.2,173.15,173.7,166.73,18996701.0
2024-04-02,169.4,174.5,169.3,174.2,167.21,29081495.0
