Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,510.0,512.55,506.0,507.95,507.95,9502367.0
2024-10-07,507.0,514.95,506.75,510.2,510.2,16479772.0
2024-10-04,510.0,517.35,501.55,503.55,503.55,18228912.0
2024-10-03,508.55,515.7,508.1,512.75,512.75,15870147.0
2024-10-01,518.15,519.75,514.0,516.2,516.2,5089315.0
2024-09-30,520.6,524.35,514.05,518.15,518.15,10531347.0
2024-09-27,520.25,528.5,520.25,522.7,522.7,17251962.0
2024-09-26,517.65,523.75,517.0,522.75,522.75,15489991.0
2024-09-25,515.5,519.3,512.3,517.55,517.55,8476223.0
2024-09-24,517.0,517.8,514.15,515.25,515.25,6755320.0
2024-09-23,515.45,519.45,513.6,516.95,516.95,7804918.0
2024-09-20,512.0,517.35,508.0,514.4,514.4,23808194.0
2024-09-19,510.0,514.8,507.5,508.25,508.25,13925311.0
2024-09-18,507.85,512.4,505.1,507.35,507.35,5429619.0
2024-09-17,511.05,513.55,506.25,507.75,507.75,10486015.0
2024-09-16,515.9,517.0,509.7,511.1,511.1,7531604.0
2024-09-13,519.5,520.0,512.0,513.85,513.85,8825193.0
2024-09-12,515.1,520.5,508.55,519.5,519.5,18377550.0
2024-09-11,513.0,519.5,511.95,514.35,514.35,14922832.0
2024-09-10,511.9,515.0,508.75,513.6,513.6,10911995.0
2024-09-09,502.0,512.65,500.35,511.75,511.75,13736044.0
2024-09-06,512.0,512.0,497.15,501.7,501.7,13716752.0
2024-09-05,508.35,511.9,507.05,511.2,511.2,10898888.0
2024-09-04,500.0,510.05,499.95,506.35,506.35,8414967.0
2024-09-03,510.05,515.95,507.9,509.4,509.4,12018677.0
2024-09-02,504.0,512.9,503.3,510.05,510.05,15885469.0
2024-08-30,501.95,509.15,500.2,501.9,501.9,14947670.0
2024-08-29,498.0,507.7,497.35,505.1,505.1,18670632.0
2024-08-28,500.4,502.3,496.5,497.3,497.3,7782216.0
2024-08-27,507.55,507.6,500.0,500.6,500.6,7954114.0
