Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,1014.4,1014.4,984.0,998.2,998.2,4115797.0
2024-10-07,1039.95,1044.1,1012.5,1018.75,1018.75,2708970.0
2024-10-04,1042.0,1063.0,1027.3,1033.75,1033.75,4855592.0
2024-10-03,1028.0,1060.0,1025.45,1039.1,1039.1,6615927.0
2024-10-01,1029.0,1029.95,1014.4,1027.3,1027.3,1392457.0
2024-09-30,1004.0,1032.9,1004.0,1030.05,1030.05,4250590.0
2024-09-27,1008.0,1018.9,997.5,1001.55,1001.55,2757284.0
2024-09-26,984.0,1007.95,975.45,1005.55,1005.55,2706617.0
2024-09-25,996.0,998.65,972.7,982.65,982.65,1309311.0
2024-09-24,991.3,1009.8,985.15,989.7,989.7,5545642.0
2024-09-23,986.0,987.95,976.2,982.1,982.1,1714600.0
2024-09-20,970.0,988.0,965.2,981.55,981.55,8035572.0
2024-09-19,960.0,965.95,944.0,948.4,948.4,1278919.0
2024-09-18,962.05,970.95,950.0,956.7,956.7,644373.0
2024-09-17,971.0,974.55,961.7,964.25,964.25,543055.0
2024-09-16,961.4,978.55,957.1,971.0,971.0,2186706.0
2024-09-13,958.0,972.45,951.35,954.55,954.55,2445329.0
2024-09-12,935.8,957.6,929.0,954.8,954.8,3061006.0
2024-09-11,941.05,944.3,924.25,927.75,927.75,1087490.0
2024-09-10,934.1,948.5,929.8,938.75,938.75,1388455.0
2024-09-09,923.0,936.7,919.05,934.25,934.25,1793548.0
2024-09-06,925.45,939.4,911.7,932.8,932.8,1984209.0
2024-09-05,934.55,944.55,923.75,925.45,925.45,1482001.0
2024-09-04,920.0,934.7,912.0,933.05,933.05,3020790.0
2024-09-03,937.1,941.55,929.95,930.95,930.95,1116938.0
2024-09-02,941.1,951.45,936.15,940.45,940.45,1316611.0
2024-08-30,947.9,954.75,938.65,941.1,941.1,2896103.0
2024-08-29,945.0,950.5,930.8,939.7,939.7,2233515.0
2024-08-28,947.5,951.5,935.0,949.25,949.25,2285575.0
2024-08-27,963.45,966.95,942.75,944.0,944.0,2480788.0
2024-08-26,945.5,968.9,937.2,963.5,963.5,2364465.0
2024-08-23,934.6,943.95,929.15,941.05,941.05,1441218.0
2024-08-22,927.05,934.85,924.8,933.25,933.25,1073406.0
2024-08-21,910.0,927.0,908.1,925.8,925.8,1600466.0
2024-08-20,923.9,923.9,910.8,917.15,917.15,696605.0
2024-08-19,910.0,920.0,903.9,917.75,917.75,847523.0
2024-08-16,900.0,910.7,882.55,908.45,908.45,2208842.0
2024-08-14,911.95,911.95,885.4,890.3,890.3,2024615.0
2024-08-13,925.0,927.5,905.0,907.85,907.85,1329629.0
2024-08-12,904.8,926.2,898.1,917.35,917.35,3822527.0
2024-08-09,896.05,914.75,889.0,905.1,905.1,1722454.0
2024-08-08,900.0,902.95,883.4,887.55,887.55,2796559.0
2024-08-07,899.0,910.65,895.0,906.45,906.45,2262055.0
2024-08-06,867.05,893.05,867.05,884.0,884.0,2665068.0
2024-08-05,884.0,884.0,854.15,863.8,863.8,4059902.0
2024-08-02,919.9,923.85,896.0,899.55,899.55,3306705.0
2024-08-01,937.55,957.95,927.75,934.55,934.55,4039078.0
2024-07-31,908.95,936.35,902.7,928.25,928.25,2716481.0
2024-07-30,895.05,907.95,890.15,902.1,902.1,979026.0
2024-07-29,909.9,909.9,895.05,898.55,898.55,1066351.0
2024-07-26,880.0,908.8,875.3,900.55,900.55,2056457.0
2024-07-25,870.0,880.0,862.4,874.5,874.5,1636466.0
2024-07-24,895.0,895.0,880.0,881.35,881.35,1519772.0
2024-07-23,890.0,896.15,872.0,893.95,893.95,1640412.0
2024-07-22,875.5,893.4,865.15,888.55,888.55,2725373.0
2024-07-19,927.0,927.5,886.55,889.45,889.45,3001973.0
2024-07-18,934.35,935.35,921.35,931.45,931.45,1812254.0
2024-07-16,932.15,939.35,928.15,934.35,934.35,1442535.0
2024-07-15,937.95,938.7,926.15,931.7,931.7,1337839.0
2024-07-12,929.95,937.75,924.0,934.4,934.4,1498780.0
2024-07-11,927.15,932.0,915.45,925.0,925.0,2348723.0
2024-07-10,931.0,935.3,918.9,925.4,925.4,1483892.0
2024-07-09,939.0,940.8,932.3,935.3,935.3,1489629.0
2024-07-08,955.9,955.9,934.05,939.2,931.9,1569620.0
2024-07-05,948.0,956.0,945.2,954.05,946.63,1583550.0
2024-07-04,950.4,959.4,943.0,944.35,937.01,1384884.0
2024-07-03,939.5,953.4,939.05,950.4,943.01,1369238.0
2024-07-02,945.0,953.7,936.5,938.25,930.96,1936180.0
2024-07-01,935.0,947.5,931.6,943.9,936.56,2562034.0
