Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,677.1,699.6,675.35,697.9,697.9,2796644.0
2024-10-07,686.25,694.2,673.8,678.8,678.8,1932861.0
2024-10-04,699.7,703.95,684.4,690.2,690.2,2050300.0
2024-10-03,694.0,719.85,690.35,699.05,699.05,4581037.0
2024-10-01,694.0,699.45,685.0,693.65,693.65,1856288.0
2024-09-30,680.5,705.0,680.5,695.4,695.4,2531313.0
2024-09-27,695.05,713.5,688.0,692.45,692.45,14237170.0
2024-09-26,691.0,700.9,683.25,693.6,693.6,3431866.0
2024-09-25,707.6,707.6,681.55,689.2,689.2,1373871.0
2024-09-24,699.0,709.7,695.65,705.1,705.1,1692449.0
2024-09-23,709.05,710.0,696.85,702.5,702.5,1228223.0
2024-09-20,700.0,710.5,697.5,709.0,709.0,2799627.0
2024-09-19,696.0,702.5,690.15,697.0,697.0,1715999.0
2024-09-18,693.0,696.3,686.55,695.3,695.3,972495.0
2024-09-17,697.7,705.0,689.3,692.0,692.0,1738717.0
2024-09-16,683.05,697.4,675.55,695.2,695.2,1850346.0
2024-09-13,688.0,690.2,677.75,681.95,681.95,1550794.0
2024-09-12,683.45,687.9,680.55,686.1,686.1,1231420.0
2024-09-11,678.0,690.0,676.3,680.45,680.45,3149673.0
2024-09-10,680.2,684.5,675.3,680.0,680.0,1942309.0
2024-09-09,665.0,678.3,660.5,676.0,676.0,4064358.0
2024-09-06,648.0,673.95,647.95,665.25,665.25,6822379.0
2024-09-05,640.1,647.0,636.9,643.9,643.9,2658323.0
2024-09-04,635.0,647.65,633.0,645.6,645.6,2925734.0
2024-09-03,644.95,653.25,639.45,640.05,640.05,2470124.0
2024-09-02,648.0,655.65,643.5,650.95,650.95,1586559.0
2024-08-30,659.05,664.7,644.75,647.15,647.15,7817523.0
2024-08-29,661.9,666.0,651.45,660.75,660.75,2123160.0
2024-08-28,675.8,678.9,660.0,661.9,661.9,2436997.0
2024-08-27,686.5,691.45,673.0,675.8,675.8,1403508.0
2024-08-26,681.0,692.8,678.8,688.55,688.55,1839363.0
2024-08-23,682.95,688.65,670.45,678.2,678.2,1708479.0
2024-08-22,679.3,687.5,677.8,682.95,682.95,2014766.0
2024-08-21,670.0,679.95,667.7,679.3,679.3,1206265.0
2024-08-20,669.15,671.95,662.35,668.9,668.9,997284.0
2024-08-19,666.2,673.75,660.8,669.15,669.15,1453761.0
2024-08-16,654.8,663.25,650.6,661.05,661.05,1290553.0
2024-08-14,660.8,665.2,641.6,650.25,650.25,1714599.0
2024-08-13,647.0,665.75,646.9,660.55,660.55,4531168.0
2024-08-12,648.0,651.0,637.7,644.65,644.65,1318087.0
2024-08-09,657.0,659.45,648.35,653.0,653.0,1218872.0
2024-08-08,654.0,658.9,642.75,652.25,652.25,2938101.0
2024-08-07,630.5,651.75,628.0,649.05,649.05,2720532.0
2024-08-06,672.0,672.0,626.25,628.5,628.5,6060478.0
2024-08-05,656.15,682.0,656.15,672.15,672.15,10662953.0
2024-08-02,672.0,677.75,659.6,662.4,662.4,959145.0
2024-08-01,675.65,681.45,670.6,674.9,674.9,1148693.0
2024-07-31,681.75,683.9,670.8,674.1,674.1,1711988.0
2024-07-30,683.05,691.0,673.1,681.0,681.0,3126859.0
2024-07-29,679.5,685.0,676.05,683.05,683.05,1787407.0
2024-07-26,675.8,682.0,672.8,679.75,679.75,1132507.0
2024-07-25,657.0,678.9,653.95,675.0,675.0,2901644.0
2024-07-24,671.95,674.5,649.1,657.95,657.95,3992281.0
2024-07-23,667.0,680.0,659.95,672.55,672.55,1800272.0
2024-07-22,669.95,672.15,663.55,668.05,668.05,1127244.0
2024-07-19,686.0,686.2,666.4,668.65,668.65,929516.0
2024-07-18,664.25,686.25,664.25,684.85,684.85,6427954.0
2024-07-16,654.0,672.9,652.95,667.35,667.35,3414923.0
2024-07-15,658.95,658.95,646.7,652.95,652.95,2052411.0
2024-07-12,648.25,654.6,636.0,650.1,650.1,4784826.0
2024-07-11,649.7,649.7,638.25,644.8,644.8,2390064.0
2024-07-10,638.55,655.0,632.15,646.1,646.1,4021275.0
2024-07-09,639.95,644.3,630.55,637.8,637.8,2729681.0
