Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,224.0,224.22,211.0,218.99,218.99,31173719.0
2024-10-07,238.25,241.72,225.15,228.74,228.74,13245690.0
2024-10-04,238.0,242.0,234.1,236.56,236.56,8931385.0
2024-10-03,238.13,245.4,236.74,239.4,239.4,15024610.0
2024-10-01,244.75,247.4,239.4,244.53,244.53,16310833.0
2024-09-30,243.0,247.2,240.1,244.91,244.91,44963225.0
2024-09-27,237.19,239.8,234.3,235.18,235.18,17801016.0
2024-09-26,225.75,235.26,221.89,234.29,234.29,27222191.0
2024-09-25,225.8,229.2,224.8,225.8,225.8,14742106.0
2024-09-24,218.9,225.63,218.05,223.93,223.93,23607013.0
2024-09-23,213.19,216.0,212.15,215.39,215.39,5902902.0
2024-09-20,214.0,218.3,211.82,212.54,212.54,14316486.0
2024-09-19,212.68,215.02,205.68,212.38,212.38,9429431.0
2024-09-18,214.1,214.28,209.45,212.12,212.12,6951954.0
2024-09-17,218.68,219.43,213.64,214.66,214.66,4781521.0
2024-09-16,221.7,223.5,218.56,219.1,217.6,8214628.0
2024-09-13,216.85,221.9,216.01,220.69,219.18,14241696.0
2024-09-12,209.0,216.8,208.5,215.48,214.0,12680003.0
2024-09-11,210.5,212.0,205.71,206.79,205.37,5943141.0
2024-09-10,207.8,212.2,207.8,210.93,209.49,6975219.0
2024-09-09,210.98,211.4,204.9,207.67,206.25,8130579.0
2024-09-06,212.7,212.7,207.39,210.98,209.54,8668953.0
2024-09-05,211.95,213.57,210.75,212.7,211.24,6331145.0
2024-09-04,212.98,214.97,209.12,211.09,209.64,10341353.0
2024-09-03,215.0,217.41,213.83,214.98,213.51,8338138.0
2024-09-02,221.0,221.79,214.5,216.41,214.93,11598432.0
2024-08-30,224.5,226.16,222.07,222.66,221.14,6171301.0
2024-08-29,225.77,226.71,220.55,223.92,222.39,5523974.0
2024-08-28,230.0,230.9,225.81,226.23,224.68,5284320.0
2024-08-27,230.05,233.1,228.83,229.65,228.08,7506640.0
2024-08-26,223.0,230.2,221.76,229.22,227.65,8423452.0
2024-08-23,226.9,226.9,221.4,221.76,220.24,4688481.0
2024-08-22,224.5,227.89,223.76,226.34,224.79,7702784.0
2024-08-21,225.0,227.4,222.1,222.67,221.15,10108460.0
2024-08-20,220.85,225.36,219.65,224.58,223.04,9908370.0
2024-08-19,219.7,221.21,217.2,219.86,218.35,6989544.0
2024-08-16,215.0,218.0,210.15,217.45,215.96,15202847.0
2024-08-14,225.01,225.74,210.06,210.94,209.5,23596240.0
2024-08-13,234.95,234.95,223.11,224.46,222.92,14257716.0
2024-08-12,219.0,230.7,217.11,229.63,228.06,9658768.0
2024-08-09,225.0,226.2,218.52,221.53,220.01,7529898.0
2024-08-08,229.2,229.74,221.91,222.49,220.97,6163968.0
