Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,414.0,427.7,411.3,420.95,420.95,18706355.0
2024-10-07,430.6,433.0,409.05,415.45,415.45,23431004.0
2024-10-04,432.9,439.35,426.3,430.45,430.45,18347292.0
2024-10-03,432.0,442.5,432.0,435.35,435.35,13563784.0
2024-10-01,446.0,447.75,438.8,440.1,440.1,15984996.0
2024-09-30,436.9,448.45,433.6,443.2,443.2,20903229.0
2024-09-27,436.0,442.5,433.5,436.9,436.9,53885913.0
2024-09-26,437.95,437.95,430.55,434.6,434.6,20041825.0
2024-09-25,428.1,437.0,425.65,436.1,436.1,19443168.0
2024-09-24,431.45,431.45,427.0,428.1,428.1,12539885.0
2024-09-23,427.5,430.5,425.0,428.35,428.35,14139629.0
2024-09-20,428.05,429.85,416.55,423.95,423.95,36084164.0
2024-09-19,424.0,431.85,420.55,423.95,423.95,59601773.0
2024-09-18,418.5,419.75,413.0,414.15,414.15,10303840.0
2024-09-17,411.85,417.65,410.1,416.3,416.3,14432501.0
2024-09-16,402.45,412.0,402.0,411.1,411.1,11479712.0
2024-09-13,404.85,407.3,399.35,401.4,401.4,12017217.0
2024-09-12,391.0,406.25,390.65,404.85,404.85,24028069.0
2024-09-11,399.0,399.3,387.5,389.65,389.65,11492592.0
2024-09-10,390.1,399.4,389.75,396.3,396.3,15852309.0
2024-09-09,391.2,392.75,385.3,389.85,389.85,12293356.0
2024-09-06,403.25,404.65,392.7,394.8,394.8,17956121.0
2024-09-05,405.35,408.4,401.85,403.25,403.25,14246871.0
2024-09-04,400.0,408.25,399.9,405.1,405.1,11052003.0
2024-09-03,410.5,411.55,405.6,406.4,406.4,7538160.0
2024-09-02,417.8,419.1,407.7,410.0,410.0,11107165.0
2024-08-30,412.7,419.2,411.5,416.2,416.2,22633988.0
2024-08-29,409.05,412.6,403.75,409.9,409.9,19014705.0
2024-08-28,410.05,414.4,407.35,409.05,409.05,15884745.0
2024-08-27,415.5,416.2,409.1,409.65,409.65,8441188.0
2024-08-26,402.45,415.95,401.95,414.85,414.85,13772637.0
2024-08-23,403.35,405.9,399.55,401.95,401.95,11513586.0
2024-08-22,409.8,410.05,402.25,403.35,403.35,10445288.0
2024-08-21,407.5,409.7,405.2,408.95,408.95,9726854.0
2024-08-20,404.55,408.2,403.1,406.25,406.25,10126083.0
2024-08-19,402.3,407.5,401.45,403.1,403.1,10677045.0
2024-08-16,398.05,400.95,393.3,398.05,398.05,13844122.0
2024-08-14,398.9,400.0,393.65,396.35,396.35,9424614.0
2024-08-13,403.0,404.5,395.0,396.2,396.2,11355664.0
2024-08-12,410.0,410.0,400.1,400.85,400.85,26254763.0
2024-08-09,413.8,416.35,408.2,410.65,410.65,10954753.0
2024-08-08,416.35,417.0,405.8,407.7,407.7,16447385.0
2024-08-07,421.0,421.0,415.0,416.3,416.3,15556736.0
2024-08-06,413.25,424.95,413.25,415.0,411.75,18230579.0
2024-08-05,407.65,415.65,404.65,413.25,410.01,42489503.0
2024-08-02,416.25,426.3,413.35,419.7,416.41,24233263.0
2024-08-01,419.9,424.35,415.6,423.45,420.13,28803487.0
2024-07-31,409.5,417.4,408.55,416.0,412.74,29727771.0
2024-07-30,397.0,412.7,397.0,406.95,403.76,34447139.0
