Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,288.15,293.9,280.55,293.45,293.45,10572360.0
2024-10-07,296.0,296.3,281.5,289.45,289.45,20917962.0
2024-10-04,297.0,299.7,293.2,295.25,295.25,23104209.0
2024-10-03,295.0,298.0,290.55,292.05,292.05,28124665.0
2024-10-01,297.0,299.15,290.7,291.95,291.95,10919818.0
2024-09-30,297.0,301.8,293.75,297.6,297.6,16294341.0
2024-09-27,292.7,298.45,289.7,297.2,297.2,35706130.0
2024-09-26,297.05,298.7,291.5,295.2,295.2,27812412.0
2024-09-25,299.45,301.2,296.7,298.7,298.7,10609614.0
2024-09-24,296.3,302.0,294.7,299.45,299.45,16986759.0
2024-09-23,288.4,296.4,287.55,295.45,295.45,14621229.0
2024-09-20,287.0,289.05,285.2,286.25,286.25,16585530.0
2024-09-19,287.4,289.2,282.5,285.25,285.25,17067311.0
2024-09-18,297.6,297.8,287.9,290.4,290.4,13421760.0
2024-09-17,293.7,296.6,292.15,294.65,294.65,11873436.0
2024-09-16,294.8,295.4,291.35,292.5,292.5,10971110.0
2024-09-13,295.7,297.25,291.05,291.45,291.45,13672371.0
2024-09-12,288.0,294.75,286.5,294.05,294.05,21964895.0
2024-09-11,292.4,292.4,283.25,285.3,285.3,44826300.0
2024-09-10,300.1,301.5,295.0,295.6,295.6,15618589.0
2024-09-09,308.7,308.7,294.65,298.9,298.9,30369085.0
2024-09-06,311.5,313.15,303.7,308.8,308.8,27946491.0
2024-09-05,316.95,316.95,310.15,311.4,311.4,15571640.0
2024-09-04,315.0,316.2,308.4,314.4,314.4,25397204.0
2024-09-03,327.0,328.0,321.65,322.2,322.2,10321111.0
2024-09-02,330.0,331.95,325.8,326.2,326.2,8975511.0
2024-08-30,330.45,334.4,329.55,330.75,330.75,19666466.0
2024-08-29,326.1,330.15,324.95,329.6,329.6,13799961.0
2024-08-28,328.65,330.3,324.65,327.8,327.8,12446738.0
2024-08-27,329.4,332.55,326.0,328.85,328.85,20165503.0
2024-08-26,323.5,329.1,322.8,327.85,327.85,21346682.0
2024-08-23,324.4,324.8,317.55,318.9,318.9,13229612.0
2024-08-22,328.55,330.5,323.6,324.35,321.85,13387819.0
2024-08-21,330.65,331.5,326.5,327.7,325.17,11835143.0
2024-08-20,335.85,336.0,328.05,330.1,327.56,14972714.0
2024-08-19,335.0,338.75,333.55,335.3,332.72,19636518.0
2024-08-16,332.55,335.75,328.65,329.6,327.06,16584396.0
2024-08-14,335.85,336.5,326.8,328.15,325.62,17812763.0
2024-08-13,344.1,345.0,332.95,335.9,333.31,28943385.0
2024-08-12,332.75,344.7,329.9,341.3,338.67,34754596.0
2024-08-09,333.95,335.85,328.2,332.55,329.99,29814474.0
