Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,1645.3,1711.15,1640.0,1656.4,1656.4,1238984.0
2024-10-07,1680.05,1710.0,1655.0,1673.75,1673.75,708402.0
2024-10-04,1680.0,1688.1,1560.0,1672.3,1672.3,1828038.0
2024-10-03,1691.85,1717.7,1640.35,1658.55,1658.55,1478637.0
2024-10-01,1850.0,1850.85,1733.45,1753.15,1753.15,876644.0
2024-09-30,1810.55,1869.95,1751.1,1845.65,1845.65,1349743.0
2024-09-27,1790.0,1968.0,1701.6,1858.55,1858.55,1288402.0
2024-09-26,1804.9,1827.8,1780.0,1813.1,1813.1,362455.0
2024-09-25,1819.9,1820.85,1786.3,1792.1,1792.1,297607.0
2024-09-24,1801.5,1865.95,1769.05,1820.35,1820.35,555747.0
2024-09-23,1880.9,1890.0,1789.65,1804.3,1804.3,477663.0
2024-09-20,1820.0,1950.0,1722.05,1844.05,1844.05,1296237.0
2024-09-19,1745.0,1777.5,1686.85,1765.9,1765.9,526008.0
2024-09-18,1759.93,1782.5,1680.63,1722.85,1722.85,457888.0
2024-09-17,1777.47,1789.7,1739.63,1746.35,1746.35,502892.0
2024-09-16,1689.47,1775.0,1647.8,1766.13,1766.13,716332.0
2024-09-13,1697.0,1699.9,1645.2,1671.4,1671.4,1086434.0
2024-09-12,1735.03,1746.45,1672.0,1682.1,1682.1,476524.0
2024-09-11,1793.5,1804.5,1715.03,1719.85,1719.85,382846.0
2024-09-10,1762.45,1806.0,1762.03,1782.93,1782.93,392166.0
2024-09-09,1817.57,1837.22,1731.3,1748.9,1748.9,495350.0
2024-09-06,1827.47,1895.95,1795.63,1803.38,1803.38,1477830.0
2024-09-05,1805.0,1821.0,1785.03,1796.47,1796.47,787150.0
2024-09-04,1821.65,1829.95,1792.65,1812.22,1812.22,348322.0
2024-09-03,1850.0,1868.13,1810.0,1818.85,1818.85,372218.0
2024-09-02,1892.0,1907.07,1835.0,1858.38,1858.38,325222.0
2024-08-30,1815.0,1918.97,1801.68,1884.7,1884.7,2094294.0
2024-08-29,1814.25,1840.9,1800.5,1821.13,1821.13,298172.0
2024-08-28,1827.88,1855.6,1795.0,1839.07,1839.07,437252.0
2024-08-27,1806.38,1832.5,1797.03,1827.88,1827.88,328990.0
2024-08-26,1786.43,1814.0,1763.68,1806.38,1806.38,505482.0
2024-08-23,1845.03,1868.72,1776.0,1781.68,1781.68,847008.0
2024-08-22,1756.78,1855.0,1748.32,1845.03,1845.03,707120.0
2024-08-21,1769.03,1792.45,1734.13,1754.3,1754.3,405714.0
2024-08-20,1750.03,1798.0,1734.07,1790.1,1790.1,384552.0
2024-08-19,1693.1,1750.0,1688.0,1745.45,1740.45,187004.0
2024-08-16,1690.95,1705.3,1673.68,1687.35,1682.52,327018.0
2024-08-14,1704.97,1709.1,1656.4,1682.57,1677.76,303134.0
2024-08-13,1685.5,1727.0,1656.88,1714.35,1709.44,530164.0
2024-08-12,1681.05,1711.95,1655.05,1664.65,1659.88,530716.0
2024-08-09,1662.0,1695.0,1656.82,1681.45,1676.63,459606.0
2024-08-08,1639.5,1664.0,1621.97,1652.6,1647.87,610052.0
2024-08-07,1644.95,1668.95,1605.28,1635.1,1630.42,461584.0
2024-08-06,1659.0,1723.0,1612.25,1623.4,1618.75,982506.0
2024-08-05,1649.5,1692.47,1558.5,1675.85,1671.05,2104614.0
2024-08-02,1789.5,1798.82,1717.5,1736.18,1731.2,719368.0
2024-08-01,1798.75,1810.32,1749.9,1803.45,1798.28,949472.0
2024-07-31,1868.22,1877.38,1790.13,1798.6,1793.45,738010.0
2024-07-30,1814.45,1945.05,1812.53,1849.63,1844.33,1185886.0
