Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,3157.25,3191.9,3102.2,3185.25,3185.25,475232.0
2024-10-07,3227.0,3227.0,3139.05,3153.3,3153.3,248961.0
2024-10-04,3270.0,3299.0,3192.45,3208.8,3208.8,359269.0
2024-10-03,3240.0,3324.0,3240.0,3299.8,3299.8,594000.0
2024-10-01,3387.15,3396.4,3331.2,3340.15,3340.15,323455.0
2024-09-30,3384.0,3415.0,3350.15,3359.4,3359.4,558443.0
2024-09-27,3295.0,3370.5,3274.65,3363.45,3363.45,871582.0
2024-09-26,3256.7,3303.15,3246.0,3289.65,3289.65,446470.0
2024-09-25,3265.05,3270.0,3217.0,3256.7,3256.7,146118.0
2024-09-24,3295.35,3327.85,3254.0,3265.05,3265.05,184450.0
2024-09-23,3298.9,3304.8,3277.7,3295.35,3295.35,163795.0
2024-09-20,3249.2,3298.35,3225.0,3287.1,3287.1,556121.0
2024-09-19,3225.0,3249.6,3185.0,3244.0,3244.0,269754.0
2024-09-18,3270.05,3271.05,3161.1,3192.3,3192.3,211503.0
2024-09-17,3309.95,3311.0,3263.35,3269.1,3269.1,117365.0
2024-09-16,3320.0,3320.0,3278.35,3304.75,3304.75,369327.0
2024-09-13,3269.0,3331.0,3241.0,3310.0,3310.0,617427.0
2024-09-12,3250.0,3280.0,3221.0,3269.65,3269.65,467044.0
2024-09-11,3269.95,3296.75,3249.9,3254.3,3254.3,534809.0
2024-09-10,3284.0,3289.95,3227.1,3231.45,3231.45,276297.0
2024-09-09,3254.0,3301.4,3220.1,3273.95,3273.95,676835.0
2024-09-06,3210.0,3259.0,3205.0,3233.7,3233.7,441560.0
2024-09-05,3214.95,3225.9,3181.5,3209.2,3209.2,587224.0
2024-09-04,3172.0,3246.6,3172.0,3214.95,3214.95,955844.0
2024-09-03,3167.95,3217.25,3162.35,3173.55,3173.55,604354.0
2024-09-02,3150.0,3181.75,3135.6,3162.2,3162.2,437322.0
2024-08-30,3080.85,3138.5,3071.1,3123.3,3123.3,478166.0
2024-08-29,3080.1,3095.0,3047.05,3080.85,3080.85,209792.0
2024-08-28,3115.0,3115.0,3070.55,3083.15,3083.15,183165.0
2024-08-27,3107.95,3115.0,3080.0,3099.15,3099.15,129045.0
2024-08-26,3084.65,3111.95,3061.85,3108.65,3108.65,122410.0
2024-08-23,3134.9,3134.9,3080.0,3084.65,3084.65,168470.0
2024-08-22,3069.0,3142.0,3065.0,3127.1,3127.1,384984.0
2024-08-21,3068.55,3085.0,3043.5,3057.75,3057.75,187932.0
2024-08-20,3078.0,3083.25,3050.3,3066.45,3066.45,194202.0
2024-08-19,3088.0,3088.6,3051.0,3056.6,3056.6,173165.0
2024-08-16,3050.0,3062.0,3025.1,3057.35,3057.35,238640.0
2024-08-14,3049.0,3060.0,2999.45,3030.75,3030.75,213043.0
2024-08-13,3030.5,3068.35,3022.05,3047.1,3047.1,181637.0
2024-08-12,3130.0,3130.0,3040.15,3051.8,3051.8,437462.0
2024-08-09,3207.9,3212.9,3100.0,3133.15,3133.15,386756.0
2024-08-08,3184.25,3278.95,3150.0,3168.3,3168.3,1397468.0
2024-08-07,3083.55,3196.0,3056.0,3152.85,3152.85,698319.0
2024-08-06,3065.15,3132.95,3043.6,3055.25,3055.25,213381.0
2024-08-05,3100.0,3137.45,3062.8,3072.95,3072.95,264116.0
2024-08-02,3119.9,3155.0,3110.0,3134.05,3134.05,156599.0
2024-08-01,3192.05,3206.85,3115.25,3121.3,3121.3,222347.0
2024-07-31,3160.0,3214.85,3156.0,3186.4,3186.4,306505.0
2024-07-30,3153.0,3230.0,3141.15,3156.0,3156.0,427317.0
2024-07-29,3142.4,3161.95,3130.05,3151.85,3151.85,168640.0
2024-07-26,3115.55,3148.95,3110.15,3135.35,3135.35,175804.0
2024-07-25,3101.0,3115.15,3081.4,3109.55,3109.55,244227.0
2024-07-24,3164.1,3174.0,3097.25,3108.9,3108.9,170005.0
2024-07-23,3150.35,3201.0,3099.25,3176.4,3160.4,353101.0
2024-07-22,3140.0,3155.0,3106.6,3150.35,3134.48,202299.0
2024-07-19,3193.4,3243.05,3121.45,3134.75,3118.96,428235.0
2024-07-18,3184.0,3227.0,3150.9,3193.4,3177.31,410938.0
2024-07-16,3178.95,3195.0,3148.55,3175.15,3159.16,235085.0
2024-07-15,3150.0,3193.3,3140.0,3171.0,3155.03,256068.0
2024-07-12,3161.45,3173.9,3136.65,3147.65,3131.79,221910.0
2024-07-11,3164.95,3174.0,3123.35,3161.45,3145.53,258142.0
2024-07-10,3127.0,3201.85,3121.4,3161.65,3145.72,637183.0
2024-07-09,3070.0,3121.0,3070.0,3113.9,3098.21,359032.0
2024-07-08,3099.75,3105.0,3056.0,3069.0,3053.54,203613.0
2024-07-05,3097.4,3111.4,3080.0,3099.75,3084.14,198671.0
2024-07-04,3109.9,3133.85,3092.25,3097.4,3081.8,213526.0
2024-07-03,3094.95,3124.25,3076.85,3111.95,3096.27,407852.0
2024-07-02,3110.0,3131.95,3068.35,3085.15,3069.61,619224.0
2024-07-01,3155.65,3171.8,3108.0,3121.4,3105.68,240293.0
2024-06-28,3143.95,3192.65,3143.95,3158.95,3143.04,287796.0
2024-06-27,3185.05,3187.6,3133.0,3143.95,3128.11,293519.0
2024-06-26,3142.65,3200.0,3140.95,3173.95,3157.96,521269.0
2024-06-25,3108.1,3145.95,3108.1,3138.6,3122.79,221816.0
2024-06-24,3139.5,3139.5,3100.0,3107.1,3091.45,269504.0
2024-06-21,3150.0,3153.45,3114.05,3144.45,3128.61,414300.0
2024-06-20,3120.0,3158.05,3095.35,3132.45,3116.67,468706.0
2024-06-19,3129.0,3148.0,3101.35,3117.2,3101.5,309433.0
2024-06-18,3110.0,3139.0,3104.5,3122.6,3106.87,335912.0
2024-06-14,3090.0,3124.85,3088.9,3109.8,3094.14,366384.0
2024-06-13,3100.0,3103.6,3064.05,3078.6,3063.09,671337.0
2024-06-12,3182.75,3184.0,3071.55,3078.5,3062.99,687067.0
2024-06-11,3175.0,3205.0,3160.3,3175.4,3159.41,328933.0
2024-06-10,3154.0,3193.0,3113.0,3174.05,3158.06,387276.0
2024-06-07,3111.35,3143.0,3089.4,3123.7,3107.97,707236.0
2024-06-06,3141.0,3164.55,3084.0,3089.2,3073.64,398647.0
2024-06-05,3064.0,3231.0,3050.0,3166.2,3150.25,632880.0
2024-06-04,2985.0,3086.35,2907.25,3062.2,3046.78,713025.0
2024-06-03,3035.0,3035.0,2954.8,2984.6,2969.57,419140.0
2024-05-31,2998.8,2998.85,2920.0,2969.5,2954.54,1237333.0
2024-05-30,3029.8,3044.9,2985.0,2998.8,2983.69,424311.0
2024-05-29,3047.55,3050.0,3015.0,3037.0,3021.7,269778.0
2024-05-28,3038.0,3071.95,3019.8,3047.85,3032.5,413115.0
2024-05-27,2974.65,3030.0,2972.05,3019.9,3004.69,323516.0
2024-05-24,3003.15,3010.35,2946.0,2972.05,2957.08,769375.0
2024-05-23,3010.05,3025.8,2970.3,2989.2,2974.14,267841.0
2024-05-22,3029.8,3063.0,3000.0,3010.95,2995.78,672386.0
2024-05-21,2983.1,3037.75,2970.85,3015.25,3000.06,728534.0
2024-05-17,3018.1,3034.7,2978.05,2986.95,2971.9,273543.0
2024-05-16,2990.25,3030.0,2983.7,3018.1,3002.9,602332.0
2024-05-15,2985.0,3001.0,2955.0,2987.45,2972.4,327294.0
2024-05-14,2975.95,2995.0,2961.05,2983.75,2968.72,275114.0
2024-05-13,2904.25,2978.0,2903.05,2965.85,2950.91,386238.0
2024-05-10,2865.95,2937.0,2845.1,2919.95,2905.24,555148.0
2024-05-09,2815.05,2907.0,2814.0,2837.35,2823.06,696744.0
2024-05-08,2935.5,2964.9,2777.0,2815.05,2800.87,1332543.0
2024-05-07,2953.3,2965.55,2930.55,2950.25,2935.39,309866.0
2024-05-06,2940.2,2963.55,2934.1,2953.3,2938.42,210232.0
2024-05-03,3009.7,3023.5,2937.0,2952.8,2937.93,327375.0
2024-05-02,3049.0,3118.0,2965.65,2988.05,2973.0,545207.0
2024-04-30,3025.15,3081.75,3013.65,3049.0,3033.64,477148.0
2024-04-29,2990.0,3026.0,2985.2,3021.1,3005.88,337877.0
2024-04-26,2920.0,3004.95,2916.4,2982.5,2967.48,250128.0
2024-04-25,2950.0,2950.4,2910.4,2919.45,2904.74,291095.0
2024-04-24,2933.55,2976.9,2927.0,2950.4,2935.54,283020.0
2024-04-23,2919.85,2925.0,2875.55,2914.4,2899.72,379694.0
2024-04-22,2837.05,2911.0,2835.05,2898.05,2883.45,227565.0
2024-04-19,2859.05,2860.0,2804.6,2830.7,2816.44,668800.0
2024-04-18,2887.45,2921.75,2860.55,2871.8,2857.33,328125.0
2024-04-16,2881.85,2898.25,2853.0,2879.1,2864.6,187154.0
2024-04-15,2932.0,2951.6,2873.0,2883.3,2868.78,347574.0
2024-04-12,3000.0,3021.2,2980.0,2985.85,2970.81,185365.0
2024-04-10,3014.1,3027.4,2998.0,3000.1,2984.99,146814.0
2024-04-09,3044.45,3054.9,2996.1,3014.55,2999.37,125853.0
2024-04-08,3001.5,3049.0,2981.45,3044.2,3028.87,232856.0
2024-04-05,2997.8,3016.75,2980.5,3000.8,2985.68,216912.0
2024-04-04,3011.55,3024.5,2992.1,2997.8,2982.7,321073.0
2024-04-03,3009.9,3019.15,2976.85,3002.9,2987.77,319919.0
2024-04-02,3051.55,3055.0,2990.7,2999.75,2984.64,422095.0
2024-04-01,3042.9,3074.0,3020.1,3051.55,3036.18,370415.0
2024-03-28,2997.75,3037.3,2964.5,3014.7,2999.51,661523.0
2024-03-27,3031.15,3034.8,2982.5,2992.3,2977.23,370069.0
2024-03-26,2981.8,3009.95,2959.85,3001.6,2986.48,1035426.0
2024-03-22,2907.45,2969.35,2904.45,2960.1,2945.19,623393.0
2024-03-21,2872.0,2908.45,2856.95,2901.4,2886.79,354279.0
2024-03-20,2885.1,2890.95,2820.4,2871.8,2857.33,263055.0
2024-03-19,2925.25,2925.25,2867.1,2891.4,2876.84,274009.0
