Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,102.07,103.3,101.15,102.49,102.49,28947367.0
2024-10-07,106.16,107.4,100.8,102.07,102.07,83307848.0
2024-10-04,104.2,107.4,104.15,105.85,105.85,79454589.0
2024-10-03,103.25,106.75,103.0,105.06,105.06,99417000.0
2024-10-01,104.0,106.17,103.86,105.21,105.21,120187762.0
2024-09-30,108.89,109.26,106.81,107.21,107.21,30911908.0
2024-09-27,107.8,109.6,107.29,109.22,109.22,40191522.0
2024-09-26,105.2,107.49,104.56,107.29,107.29,34719895.0
2024-09-25,107.48,107.48,103.62,105.05,105.05,71227249.0
2024-09-24,111.0,111.24,107.6,107.83,107.83,79101837.0
2024-09-23,108.59,111.9,108.51,111.51,111.51,35372759.0
2024-09-20,108.0,109.16,106.31,108.41,108.41,23196144.0
2024-09-19,109.85,110.15,105.6,107.25,107.25,21178477.0
2024-09-18,108.3,109.98,107.78,108.75,108.75,24775806.0
2024-09-17,110.81,110.9,107.82,108.03,108.03,18548760.0
2024-09-16,111.3,112.2,110.26,110.81,110.81,12834170.0
2024-09-13,109.5,112.6,108.82,111.11,111.11,28921320.0
2024-09-12,108.7,109.47,107.0,108.72,108.72,20816903.0
2024-09-11,109.72,110.49,106.85,107.46,107.46,22838612.0
2024-09-10,110.19,110.63,109.37,109.59,109.59,12498926.0
2024-09-09,109.4,110.19,107.2,109.63,109.63,27017545.0
2024-09-06,112.9,113.13,109.75,110.0,110.0,29092655.0
2024-09-05,113.67,113.88,112.15,113.4,113.4,18290375.0
2024-09-04,114.05,114.53,112.74,112.94,112.94,26202729.0
2024-09-03,116.59,117.2,115.3,115.59,115.59,10681101.0
2024-09-02,116.94,117.49,115.62,116.52,116.52,14419150.0
2024-08-30,115.83,117.55,115.83,116.57,116.57,26208535.0
2024-08-29,114.75,115.89,114.5,115.53,115.53,14852490.0
2024-08-28,116.05,116.34,114.51,114.75,114.75,14645860.0
2024-08-27,116.25,116.65,115.7,115.96,115.96,9861808.0
2024-08-26,116.32,116.84,115.81,116.16,116.16,11190669.0
2024-08-23,117.68,117.9,116.11,116.27,116.27,10286090.0
2024-08-22,116.64,117.98,116.55,117.36,117.36,18399460.0
2024-08-21,117.39,117.75,115.27,116.41,116.41,31985161.0
2024-08-20,115.5,117.9,114.97,117.35,117.35,24197410.0
2024-08-19,114.34,115.87,113.85,115.21,115.21,16314063.0
2024-08-16,112.0,113.55,111.9,113.04,113.04,27059803.0
2024-08-14,114.55,115.1,112.52,113.57,113.57,20442740.0
2024-08-13,115.32,115.99,113.6,114.3,114.3,17938540.0
2024-08-12,114.95,115.89,113.81,114.6,114.6,15808638.0
2024-08-09,115.75,116.49,113.85,115.27,115.27,22149553.0
2024-08-08,116.25,116.3,113.8,114.02,114.02,27941633.0
2024-08-07,116.0,116.25,114.03,115.93,115.93,28249277.0
2024-08-06,116.0,117.8,113.49,113.81,113.81,27461434.0
2024-08-05,117.97,117.97,113.2,113.94,113.94,51711021.0
2024-08-02,121.0,121.65,119.56,120.26,120.26,29241484.0
2024-08-01,124.5,125.7,121.88,122.95,122.95,23162046.0
2024-07-31,126.0,126.0,122.73,123.95,123.95,47960947.0
2024-07-30,127.0,127.7,124.9,125.51,125.51,33365327.0
2024-07-29,124.86,128.8,123.54,127.0,127.0,144104708.0
2024-07-26,117.25,120.3,117.03,119.95,119.95,24356026.0
2024-07-25,116.05,117.95,115.34,117.72,117.72,22543073.0
2024-07-24,117.51,119.13,115.76,116.55,116.55,39917998.0
2024-07-23,118.4,118.95,112.52,117.75,117.75,28867094.0
2024-07-22,116.4,118.69,114.76,118.16,118.16,20931256.0
2024-07-19,119.35,119.79,116.2,116.51,116.51,32480581.0
2024-07-18,119.99,120.9,118.15,118.84,118.84,21826818.0
2024-07-16,121.41,122.15,119.2,119.86,119.86,29031539.0
2024-07-15,118.1,121.35,117.5,120.93,120.93,32712545.0
2024-07-12,119.8,119.8,117.5,117.74,117.74,26896471.0
2024-07-11,120.4,120.6,119.07,119.4,119.4,25511815.0
2024-07-10,122.8,122.95,118.54,119.22,119.22,48724410.0
2024-07-09,121.95,124.14,121.64,122.39,122.39,30994243.0
2024-07-08,122.65,123.39,121.12,121.36,121.36,23249946.0
2024-07-05,122.97,123.95,122.11,122.8,122.8,33669963.0
2024-07-04,122.2,122.38,120.49,121.53,121.53,20117728.0
2024-07-03,121.35,122.45,120.34,121.64,121.64,37154088.0
2024-07-02,122.5,123.13,119.9,120.63,120.63,41519074.0
2024-07-01,123.15,123.61,121.76,122.46,122.46,44039186.0
2024-06-28,120.15,124.99,120.15,123.26,123.26,121916127.0
2024-06-27,124.3,124.5,117.81,119.2,119.2,136068914.0
2024-06-26,124.13,126.0,123.0,124.36,124.36,36345676.0
2024-06-25,125.1,125.93,123.75,124.13,124.13,19684789.0
2024-06-24,125.7,126.68,122.9,125.07,125.07,29824639.0
2024-06-21,127.46,127.8,125.5,125.8,125.8,24071503.0
2024-06-20,128.3,129.85,127.8,128.49,126.99,22469105.0
2024-06-19,129.0,130.19,126.97,128.29,126.79,60954903.0
2024-06-18,129.0,129.9,128.33,128.63,127.13,20304777.0
2024-06-14,126.57,129.55,126.4,128.94,127.43,38637971.0
2024-06-13,128.3,128.8,125.8,126.57,125.09,23810879.0
2024-06-12,126.3,127.98,126.0,127.48,125.99,29332963.0
2024-06-11,126.2,127.32,125.4,126.14,124.67,22932643.0
2024-06-10,125.85,128.35,125.0,125.34,123.88,36182690.0
2024-06-07,124.0,125.6,123.05,125.1,123.64,28076164.0
2024-06-06,123.2,126.5,122.0,123.9,122.45,59619303.0
2024-06-05,119.0,122.6,110.45,121.85,120.43,104945370.0
2024-06-04,136.4,136.4,104.2,115.35,114.0,169672083.0
2024-06-03,135.0,138.6,132.65,137.0,135.4,95948403.0
2024-05-31,128.6,130.0,126.05,129.45,127.94,74303548.0
2024-05-30,128.0,130.0,127.0,127.45,125.96,26985052.0
2024-05-29,127.25,130.55,126.95,128.05,126.56,46255738.0
2024-05-28,130.1,131.55,126.85,128.2,126.7,44999618.0
2024-05-27,126.25,131.0,125.9,129.55,128.04,57820057.0
2024-05-24,126.65,127.35,125.3,126.45,124.97,23179947.0
2024-05-23,126.5,128.0,126.05,126.65,125.17,24483383.0
2024-05-22,127.0,127.0,123.5,125.85,124.38,30665828.0
2024-05-21,126.4,128.0,125.8,126.4,124.92,30284178.0
2024-05-17,125.3,125.95,124.6,125.1,123.64,20071553.0
2024-05-16,125.25,126.25,122.4,125.15,123.69,33690165.0
2024-05-15,126.75,127.75,124.0,124.3,122.85,47253149.0
2024-05-14,123.55,126.6,123.05,125.75,124.28,32083064.0
2024-05-13,123.9,124.0,119.0,123.1,121.66,41922266.0
2024-05-10,123.9,124.75,120.5,123.9,122.45,45163174.0
2024-05-09,125.95,126.65,120.7,122.15,120.72,82730547.0
2024-05-08,122.5,126.15,122.1,124.8,123.34,70886836.0
2024-05-07,127.9,127.95,120.75,122.3,120.87,86243645.0
2024-05-06,136.9,136.9,126.4,127.1,125.62,144404671.0
2024-05-03,139.15,139.3,134.25,135.8,134.21,61353686.0
2024-05-02,141.1,142.5,137.35,138.05,136.44,58420041.0
2024-04-30,137.9,142.9,136.4,141.05,139.4,95390289.0
2024-04-29,137.5,138.85,134.85,137.25,135.65,51158461.0
2024-04-26,136.55,138.1,136.0,136.45,134.86,33021444.0
2024-04-25,132.95,137.0,132.55,135.9,134.31,59269785.0
2024-04-24,133.25,133.7,132.15,133.0,131.45,18644765.0
2024-04-23,135.0,135.0,132.5,132.85,131.3,28249840.0
2024-04-22,130.8,133.9,129.85,133.1,131.55,37568034.0
2024-04-19,128.0,129.35,125.25,128.25,126.75,35611955.0
2024-04-18,129.85,132.4,128.8,129.55,128.04,37211719.0
2024-04-16,132.4,132.5,128.2,128.55,127.05,45007324.0
2024-04-15,132.2,135.35,129.25,132.85,131.3,45918093.0
2024-04-12,135.6,138.3,134.6,134.85,133.28,40533614.0
2024-04-10,132.75,136.9,132.35,136.3,134.71,48720465.0
2024-04-09,133.5,134.75,131.25,132.5,130.95,25963967.0
2024-04-08,136.5,136.8,132.5,132.9,131.35,41839925.0
2024-04-05,135.1,137.5,134.3,136.55,134.96,44560290.0
2024-04-04,137.05,137.35,134.0,135.1,133.52,81127069.0
2024-04-03,126.7,136.7,125.6,135.15,133.57,100643107.0
2024-04-02,125.5,127.0,124.95,126.7,125.22,29181379.0
2024-04-01,125.45,126.1,124.9,125.6,124.13,24639923.0
2024-03-28,122.9,125.1,122.9,124.4,122.95,29453142.0
2024-03-27,124.0,125.15,122.2,122.75,121.32,42673023.0
2024-03-26,122.8,124.6,122.15,123.95,122.5,30860596.0
2024-03-22,121.0,123.3,120.1,122.75,121.32,35001868.0
