Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,327.3,331.0,322.35,327.15,327.15,21148292.0
2024-10-07,340.0,340.0,325.0,328.95,328.95,13851446.0
2024-10-04,343.0,347.45,337.75,338.85,338.85,20121706.0
2024-10-03,343.0,349.9,342.6,344.15,344.15,19350466.0
2024-10-01,351.1,356.0,349.95,350.8,350.8,9856291.0
2024-09-30,354.25,357.45,349.7,352.85,352.85,16356171.0
2024-09-27,362.2,363.3,353.35,354.25,354.25,33148043.0
2024-09-26,364.05,366.1,357.2,365.45,365.45,18733959.0
2024-09-25,353.85,366.25,352.35,363.75,363.75,40770462.0
2024-09-24,344.55,351.0,342.35,350.05,350.05,26145769.0
2024-09-23,342.0,342.5,340.25,341.15,341.15,6542941.0
2024-09-20,338.15,342.95,334.75,340.85,340.85,31236123.0
2024-09-19,336.2,338.35,333.1,334.9,334.9,10589610.0
2024-09-18,338.5,338.9,333.1,334.3,334.3,6583254.0
2024-09-17,336.7,340.0,334.5,336.9,336.9,11451846.0
2024-09-16,337.25,341.5,337.05,338.25,338.25,7748570.0
2024-09-13,339.8,341.25,336.1,337.25,337.25,10417461.0
2024-09-12,334.85,339.0,333.25,338.2,338.2,18410837.0
2024-09-11,336.9,337.25,332.0,333.2,333.2,10134008.0
2024-09-10,327.0,335.3,327.0,334.15,334.15,15472387.0
2024-09-09,327.7,329.2,323.55,328.55,328.55,18597200.0
2024-09-06,333.05,333.1,325.0,329.8,329.8,23755639.0
2024-09-05,332.35,334.3,329.6,331.25,331.25,13912371.0
2024-09-04,331.2,334.7,331.0,332.9,332.9,9025610.0
2024-09-03,336.0,337.95,334.0,334.65,334.65,8434423.0
2024-09-02,338.4,339.9,334.2,335.55,335.55,9789776.0
2024-08-30,335.0,340.85,334.05,337.4,337.4,22713812.0
2024-08-29,332.5,335.9,328.8,333.3,333.3,17653536.0
2024-08-28,335.35,338.9,333.75,334.45,334.45,8790600.0
2024-08-27,339.0,341.45,335.0,335.35,335.35,9589690.0
2024-08-26,336.45,341.5,335.85,338.25,338.25,7993675.0
2024-08-23,334.65,336.95,333.35,336.25,336.25,7494822.0
2024-08-22,336.0,337.7,330.5,334.0,334.0,18370039.0
2024-08-21,340.0,340.95,336.15,336.65,336.65,10118601.0
2024-08-20,340.45,342.65,338.8,340.5,340.5,6393840.0
2024-08-19,342.65,343.3,339.3,340.3,340.3,5891370.0
2024-08-16,333.0,339.55,330.6,338.6,338.6,13013828.0
2024-08-14,337.0,338.35,332.5,333.5,330.75,12385993.0
2024-08-13,337.0,342.45,335.15,336.95,334.17,10435954.0
2024-08-12,343.0,343.8,339.5,341.15,338.34,12521136.0
2024-08-09,347.9,348.95,344.3,346.0,343.15,8720610.0
2024-08-08,355.0,355.0,341.25,342.65,339.82,15489731.0
2024-08-07,345.85,352.55,343.4,352.05,349.15,12441847.0
2024-08-06,342.8,350.8,339.25,340.75,337.94,12273667.0
2024-08-05,352.75,354.8,341.5,342.8,339.97,13566586.0
2024-08-02,358.0,361.05,354.0,358.25,355.3,13771470.0
2024-08-01,351.15,362.5,350.15,361.1,358.12,26792459.0
2024-07-31,348.25,350.65,342.6,348.2,345.33,17976593.0
2024-07-30,345.0,356.95,343.3,349.8,346.92,25813219.0
2024-07-29,339.8,345.9,337.75,342.35,339.53,31849674.0
2024-07-26,340.35,345.55,338.5,344.2,341.36,11468068.0
2024-07-25,330.45,342.6,330.45,339.45,336.65,16271884.0
2024-07-24,330.9,338.8,330.3,337.15,334.37,12573882.0
2024-07-23,339.1,340.5,321.1,334.25,331.49,15954324.0
2024-07-22,330.0,339.4,329.5,338.6,335.81,10678640.0
2024-07-19,339.55,341.85,331.0,332.2,329.46,12937990.0
2024-07-18,342.0,344.7,336.95,341.25,338.44,13908161.0
2024-07-16,342.75,347.0,341.5,342.45,339.63,11363095.0
2024-07-15,345.4,345.4,340.2,343.85,341.01,5277531.0
2024-07-12,342.8,345.9,340.1,343.1,340.27,11380570.0
2024-07-11,348.5,348.75,342.0,342.8,339.97,12642065.0
2024-07-10,343.0,347.8,335.5,346.05,343.2,10662609.0
2024-07-09,340.0,342.35,338.1,341.15,338.34,9214579.0
2024-07-08,341.0,341.0,336.85,339.4,336.6,7828162.0
2024-07-05,335.0,339.9,332.85,339.4,336.6,10894118.0
2024-07-04,337.0,338.7,333.9,335.0,332.24,12878827.0
2024-07-03,331.1,336.9,329.1,335.15,332.39,9369793.0
2024-07-02,330.05,334.4,328.05,330.8,328.07,12684459.0
2024-07-01,331.0,331.75,325.25,329.6,326.88,11959181.0
2024-06-28,333.0,337.35,329.6,330.95,328.22,21676594.0
2024-06-27,328.55,332.5,324.35,331.55,328.82,27061015.0
2024-06-26,325.7,330.2,324.95,326.7,324.01,12946277.0
2024-06-25,335.0,335.0,325.8,327.4,324.7,13979671.0
2024-06-24,323.1,334.0,322.55,332.95,330.2,18044357.0
2024-06-21,326.7,329.6,323.0,325.95,323.26,17209541.0
2024-06-20,327.5,328.3,322.3,324.55,321.87,11749507.0
2024-06-19,334.0,334.85,325.4,327.3,324.6,14235150.0
2024-06-18,322.0,332.5,322.0,331.8,329.06,21653702.0
2024-06-14,326.0,326.0,319.35,321.5,318.85,14159988.0
2024-06-13,327.0,327.95,320.65,321.45,318.8,11756503.0
2024-06-12,319.9,327.1,316.9,324.65,321.97,20346144.0
2024-06-11,316.2,319.7,315.15,316.55,313.94,12238518.0
2024-06-10,313.0,323.35,311.6,315.8,313.2,25478964.0
2024-06-07,298.05,310.65,296.8,309.35,306.8,38016104.0
2024-06-06,303.4,311.45,298.1,300.45,297.97,36508044.0
2024-06-05,296.3,301.05,279.2,298.8,296.34,45312613.0
2024-06-04,334.95,334.95,279.75,295.95,293.51,73262478.0
2024-06-03,335.0,348.7,325.6,337.65,334.87,55218939.0
2024-05-31,308.55,311.5,305.7,310.0,307.44,36929443.0
2024-05-30,314.6,317.65,303.8,306.7,304.17,22768893.0
2024-05-29,309.1,318.7,309.1,317.7,315.08,16812268.0
2024-05-28,319.0,319.5,312.0,312.8,310.22,10935739.0
2024-05-27,321.5,321.5,314.5,317.95,315.33,12857918.0
2024-05-24,318.0,322.95,317.4,318.8,316.17,15058182.0
2024-05-23,319.45,320.7,309.0,319.9,317.26,35705284.0
2024-05-22,327.75,327.75,320.2,325.75,323.06,10287081.0
2024-05-21,311.0,327.45,311.0,325.65,322.96,21976662.0
2024-05-17,314.9,316.0,310.75,313.15,310.57,9069551.0
2024-05-16,314.5,315.6,305.3,312.5,309.92,19843532.0
2024-05-15,310.0,316.3,308.85,314.85,312.25,11397656.0
2024-05-14,308.0,313.0,307.75,309.25,306.7,9957875.0
2024-05-13,304.2,307.65,297.6,306.55,304.02,11710605.0
2024-05-10,296.25,304.45,296.25,303.75,301.25,11786977.0
2024-05-09,302.75,304.35,295.25,296.15,293.71,11196567.0
2024-05-08,292.0,302.85,292.0,302.0,299.51,18754452.0
2024-05-07,307.0,308.3,294.5,295.25,292.82,13857464.0
2024-05-06,310.2,310.8,303.1,306.85,304.32,16855909.0
2024-05-03,312.0,316.1,308.25,310.85,308.29,27074447.0
2024-05-02,301.95,317.25,301.85,313.6,311.01,44059506.0
2024-04-30,293.7,304.35,293.05,301.85,299.36,33288857.0
2024-04-29,292.3,294.6,289.6,293.7,291.28,9804396.0
2024-04-26,294.25,296.15,291.45,292.25,289.84,15581578.0
2024-04-25,292.0,294.5,289.25,293.3,290.88,22022414.0
2024-04-24,285.0,291.85,284.4,290.4,288.01,19324163.0
2024-04-23,283.65,287.15,280.7,285.35,283.0,11464036.0
2024-04-22,284.0,284.7,281.7,283.65,281.31,14965203.0
2024-04-19,278.1,282.25,274.7,281.65,279.33,18755469.0
2024-04-18,287.9,289.9,277.7,280.1,277.79,51039603.0
2024-04-16,273.0,275.55,271.25,274.25,271.99,9662195.0
2024-04-15,270.25,276.2,268.4,274.05,271.79,13378690.0
2024-04-12,281.5,284.45,274.65,275.25,272.98,17731780.0
2024-04-10,280.0,285.35,280.0,282.55,280.22,8809693.0
2024-04-09,282.85,284.35,281.0,281.2,278.88,5780865.0
2024-04-08,280.55,284.2,279.05,281.75,279.43,14473340.0
2024-04-05,279.95,279.95,275.15,278.4,276.1,9308711.0
2024-04-04,282.8,286.7,275.05,277.65,275.36,23722104.0
2024-04-03,280.15,283.1,278.55,280.1,277.79,14499308.0
2024-04-02,279.25,281.7,278.5,279.55,277.24,13229425.0
2024-04-01,280.75,281.6,277.65,280.15,277.84,8945400.0
2024-03-28,272.0,279.5,271.65,276.9,274.62,26646830.0
2024-03-27,271.0,272.8,269.2,270.25,268.02,18094214.0
2024-03-26,270.1,274.1,266.1,270.05,267.82,28477120.0
2024-03-22,273.75,278.25,271.35,275.75,273.48,22097588.0
2024-03-21,267.8,274.5,267.1,273.75,271.49,23559105.0
2024-03-20,259.95,265.15,258.95,264.65,262.47,11308487.0
2024-03-19,262.15,266.5,258.3,259.0,256.86,20031514.0
2024-03-18,265.95,266.65,259.5,264.9,262.72,12423655.0
2024-03-15,268.1,272.0,257.65,265.95,263.76,43817794.0
2024-03-14,264.05,268.4,260.7,266.35,264.15,26005940.0
2024-03-13,283.3,283.9,261.8,264.3,262.12,39389523.0
2024-03-12,284.9,288.65,282.75,285.15,282.8,17906155.0
2024-03-11,288.4,291.95,284.4,285.55,283.2,19020659.0
2024-03-07,294.0,298.9,291.0,292.65,290.24,14908694.0
2024-03-06,290.3,294.9,286.5,293.7,291.28,15969436.0
2024-03-05,292.05,295.45,289.75,295.0,292.57,13220556.0
2024-03-04,288.0,297.0,288.0,294.65,292.22,23131460.0
2024-03-01,285.0,289.4,284.6,287.7,285.33,15149735.0
2024-02-29,279.6,285.0,274.4,282.85,280.52,35043015.0
2024-02-28,291.5,293.65,278.4,279.55,277.24,18824161.0
2024-02-27,284.1,293.4,284.1,292.5,290.09,36510093.0
2024-02-26,282.95,291.5,282.05,287.8,285.43,31012494.0
2024-02-23,282.55,285.2,279.0,281.95,279.63,14313526.0
2024-02-22,280.1,283.5,273.25,282.6,280.27,26793590.0
2024-02-21,287.55,289.45,279.25,280.1,277.79,24651085.0
2024-02-20,278.35,288.75,277.7,287.9,285.53,43053543.0
2024-02-19,275.1,278.3,273.3,276.35,274.07,11429901.0
2024-02-16,282.0,282.9,273.3,274.55,272.29,25129188.0
2024-02-15,272.0,283.35,271.35,281.65,279.33,25475670.0
2024-02-14,269.5,275.0,267.0,273.65,266.93,13546941.0
2024-02-13,270.3,270.85,264.25,270.25,263.61,22031847.0
2024-02-12,273.2,276.0,266.25,270.3,263.66,19140023.0
2024-02-09,278.6,279.45,269.1,273.0,266.3,24496638.0
2024-02-08,270.8,288.05,270.8,276.2,269.42,69776717.0
2024-02-07,272.1,274.4,266.8,267.95,261.37,27335466.0
2024-02-06,282.9,282.9,272.3,274.25,267.52,29668277.0
2024-02-05,277.5,289.4,274.9,282.9,275.95,27440927.0
2024-02-02,264.5,281.4,263.95,277.1,270.3,33900724.0
2024-02-01,259.0,270.95,258.3,265.8,259.27,29929092.0
2024-01-31,254.0,260.0,252.4,259.3,252.93,34369455.0
2024-01-30,254.0,256.95,251.5,254.1,247.86,16031367.0
2024-01-29,245.45,255.0,245.15,253.95,247.71,26181011.0
2024-01-25,244.75,248.7,243.1,245.5,239.47,20651484.0
2024-01-24,236.15,247.0,235.0,246.2,240.15,28309825.0
2024-01-23,241.0,246.8,236.25,237.95,232.11,27492163.0
2024-01-19,235.0,236.95,232.4,235.4,229.62,20931080.0
2024-01-18,227.25,235.7,226.05,233.45,227.72,25522629.0
2024-01-17,238.5,241.2,237.7,239.2,233.33,13620300.0
2024-01-16,241.65,242.4,237.7,239.05,233.18,7478450.0
2024-01-15,240.4,241.5,237.0,241.15,235.23,12597366.0
2024-01-12,242.5,242.65,238.8,239.5,233.62,11296498.0
2024-01-11,240.25,243.1,239.2,241.95,236.01,18812468.0
2024-01-10,241.0,242.1,238.0,239.15,233.28,16872195.0
2024-01-09,242.6,244.65,241.5,242.3,236.35,8688409.0
2024-01-08,242.4,245.25,240.4,242.35,236.4,13585746.0
2024-01-05,242.0,245.0,239.3,241.25,235.33,16345257.0
2024-01-04,238.0,243.1,237.05,241.45,235.52,19663959.0
2024-01-03,236.0,238.7,234.6,237.05,231.23,8284439.0
2024-01-02,240.0,240.1,236.15,237.85,232.01,9128513.0
2024-01-01,237.9,239.5,236.4,238.25,232.4,5952776.0
2023-12-29,237.8,238.25,234.75,237.2,231.38,12665999.0
2023-12-28,235.1,239.95,234.1,239.1,233.23,39164340.0
2023-12-27,235.0,235.85,232.5,234.05,228.3,10231881.0
2023-12-26,232.0,235.8,231.05,233.35,227.62,6772092.0
2023-12-22,233.0,234.2,230.5,231.75,226.06,9735375.0
2023-12-21,224.45,233.2,222.7,232.35,226.64,17755207.0
2023-12-20,234.95,235.4,226.2,227.15,221.57,20400245.0
2023-12-19,232.15,234.4,230.85,233.55,227.82,12612164.0
2023-12-18,236.9,236.9,231.45,231.85,226.16,29051897.0
2023-12-15,235.0,238.1,227.15,237.35,231.52,41341690.0
2023-12-14,237.25,237.6,231.1,232.1,226.4,29972018.0
2023-12-13,231.0,237.5,230.6,236.95,231.13,26878281.0
2023-12-12,230.0,233.3,229.5,231.35,225.67,14355329.0
2023-12-11,228.0,232.9,226.55,230.95,225.28,19106395.0
2023-12-08,231.8,233.4,226.45,228.6,222.99,22206320.0
2023-12-07,225.0,232.4,224.25,230.0,224.35,24534268.0
