Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,2745.95,2802.0,2730.2,2794.7,2794.7,8510404.0
2024-10-07,2787.0,2793.0,2722.75,2741.45,2741.45,11090670.0
2024-10-04,2807.85,2834.7,2763.55,2773.05,2773.05,18536438.0
2024-10-03,2873.15,2898.8,2804.15,2813.95,2813.95,18878647.0
2024-10-01,2961.3,2975.9,2925.65,2929.65,2929.65,8215821.0
2024-09-30,3038.8,3049.95,2948.8,2953.15,2953.15,13504407.0
2024-09-27,2998.0,3066.95,2984.0,3052.35,3052.35,10298739.0
2024-09-26,2981.3,3008.0,2976.1,2995.9,2995.9,9409499.0
2024-09-25,2967.8,2993.0,2960.4,2987.9,2987.9,3534501.0
2024-09-24,2977.0,3001.0,2975.75,2978.75,2978.75,8568722.0
2024-09-23,2982.0,3003.0,2977.9,2986.75,2986.75,4416157.0
2024-09-20,2948.0,2990.0,2942.75,2971.85,2971.85,15448660.0
2024-09-19,2932.5,2953.0,2911.1,2939.35,2939.35,8477951.0
2024-09-18,2940.0,2964.0,2921.1,2926.9,2926.9,4287357.0
2024-09-17,2948.0,2954.95,2933.25,2944.6,2944.6,2967664.0
2024-09-16,2955.1,2961.8,2929.5,2942.7,2942.7,2740887.0
2024-09-13,2952.8,2966.3,2939.0,2945.25,2945.25,4355664.0
2024-09-12,2914.0,2972.0,2891.75,2959.6,2959.6,11174688.0
2024-09-11,2926.1,2937.5,2895.1,2903.0,2903.0,4880101.0
2024-09-10,2921.0,2944.1,2915.15,2923.05,2923.05,5384130.0
2024-09-09,2933.0,2939.85,2911.2,2924.9,2924.9,4505149.0
2024-09-06,2985.0,2994.0,2923.25,2929.65,2929.65,9697114.0
2024-09-05,3038.1,3051.55,2974.1,2985.95,2985.95,8132084.0
2024-09-04,3001.4,3035.0,2999.0,3029.1,3029.1,5991652.0
2024-09-03,3042.5,3046.0,3015.0,3018.25,3018.25,5461900.0
2024-09-02,3021.75,3053.6,3013.25,3032.5,3032.5,5620426.0
2024-08-30,3068.0,3079.45,3006.65,3019.25,3019.25,20810365.0
2024-08-29,3006.2,3074.0,2988.0,3041.85,3041.85,19167679.0
2024-08-28,3010.0,3014.95,2986.0,2996.6,2996.6,4805143.0
2024-08-27,3021.0,3026.95,2998.9,3000.9,3000.9,3125578.0
2024-08-26,3013.95,3046.0,3006.0,3025.2,3025.2,4408057.0
2024-08-23,3007.5,3022.65,2996.85,2999.95,2999.95,4624827.0
2024-08-22,3006.0,3013.0,2981.3,2996.25,2996.25,5222891.0
2024-08-21,2986.5,3015.75,2980.0,2997.35,2997.35,3884998.0
2024-08-20,2994.45,3007.85,2980.05,2991.9,2991.9,4205904.0
2024-08-19,2965.0,2996.6,2961.0,2976.8,2976.8,6898871.0
2024-08-16,2937.3,2960.8,2916.1,2956.4,2946.4,4708451.0
2024-08-14,2927.1,2944.0,2907.4,2923.7,2913.81,3133733.0
2024-08-13,2921.5,2940.15,2916.0,2927.25,2917.35,3132532.0
2024-08-12,2940.0,2946.0,2915.5,2921.25,2911.37,4092292.0
2024-08-09,2920.0,2953.0,2912.0,2948.6,2938.63,3124888.0
2024-08-08,2915.05,2930.0,2891.85,2898.25,2888.45,6193596.0
2024-08-07,2938.0,2945.0,2923.0,2929.65,2919.74,4087284.0
2024-08-06,2910.3,2955.0,2902.65,2912.1,2902.25,5118093.0
2024-08-05,2960.0,2967.8,2866.5,2894.65,2884.86,8523352.0
2024-08-02,3010.0,3018.65,2986.55,2998.65,2988.51,5134124.0
2024-08-01,3024.0,3036.0,3008.6,3030.6,3020.35,5382111.0
2024-07-31,3008.0,3020.9,3002.3,3010.85,3000.67,5028673.0
2024-07-30,3034.05,3050.0,3020.0,3026.3,3016.06,4114104.0
2024-07-29,3023.9,3055.0,3023.55,3040.2,3029.92,3769275.0
2024-07-26,2984.8,3024.85,2980.7,3018.05,3007.84,4929970.0
2024-07-25,2962.0,3000.95,2954.15,2984.8,2974.7,6259938.0
2024-07-24,2970.0,3019.0,2952.8,2991.4,2981.28,5956681.0
2024-07-23,3002.0,3011.5,2926.0,2975.8,2965.73,9026022.0
2024-07-22,3074.5,3075.0,2998.55,3001.35,2991.2,9837188.0
2024-07-19,3172.0,3179.95,3105.6,3110.3,3099.78,6570195.0
2024-07-18,3152.0,3187.8,3115.65,3173.35,3162.62,6149187.0
2024-07-16,3187.0,3200.0,3138.25,3152.5,3141.84,4693419.0
2024-07-15,3208.9,3211.7,3171.0,3194.45,3183.64,2664844.0
2024-07-12,3169.0,3210.3,3149.0,3193.45,3182.65,6462392.0
2024-07-11,3175.0,3208.5,3141.0,3161.3,3150.61,5970473.0
2024-07-10,3190.0,3195.0,3126.3,3168.45,3157.73,3567289.0
2024-07-09,3195.2,3201.0,3161.0,3180.55,3169.79,3480001.0
2024-07-08,3178.0,3217.6,3165.05,3201.8,3190.97,4750403.0
2024-07-05,3107.65,3197.0,3096.0,3177.25,3166.5,6134855.0
2024-07-04,3114.0,3135.0,3101.6,3108.05,3097.54,3418588.0
2024-07-03,3132.65,3150.0,3085.55,3104.85,3094.35,4524810.0
2024-07-02,3139.0,3147.0,3114.0,3130.35,3119.76,3874623.0
2024-07-01,3125.05,3158.8,3111.35,3120.3,3109.75,3862153.0
2024-06-28,3062.05,3162.0,3062.05,3130.8,3120.21,14478668.0
2024-06-27,3027.5,3075.0,3012.0,3061.1,3050.75,14191515.0
2024-06-26,2892.1,3037.95,2890.25,3028.05,3017.81,11007441.0
2024-06-25,2886.0,2911.85,2882.0,2908.3,2898.46,3522693.0
2024-06-24,2891.05,2899.0,2875.0,2882.95,2873.2,4439193.0
2024-06-21,2947.25,2949.4,2881.15,2908.4,2898.56,15585180.0
2024-06-20,2918.0,2965.7,2900.2,2947.4,2937.43,8056888.0
2024-06-19,2975.0,2975.0,2912.0,2917.3,2907.43,4362937.0
2024-06-18,2974.7,2974.8,2942.7,2962.05,2952.03,3598383.0
2024-06-14,2940.0,2959.35,2914.45,2955.1,2945.1,4078999.0
2024-06-13,2944.0,2944.5,2920.2,2930.5,2920.59,4590580.0
2024-06-12,2915.0,2952.0,2910.35,2926.65,2916.75,5040871.0
2024-06-11,2938.0,2947.35,2909.35,2913.35,2903.5,5887451.0
2024-06-10,2939.9,2986.7,2936.15,2942.8,2932.85,4625880.0
2024-06-07,2857.0,2944.0,2853.0,2939.9,2929.96,9279348.0
2024-06-06,2870.0,2887.4,2842.7,2863.2,2853.52,8927861.0
2024-06-05,2844.0,2862.3,2768.2,2841.5,2831.89,8732445.0
2024-06-04,2996.1,2996.1,2718.6,2794.55,2785.1,18354549.0
2024-06-03,2966.0,3029.0,2918.0,3020.65,3010.43,10763971.0
2024-05-31,2862.6,2884.5,2844.5,2860.8,2851.12,15534916.0
2024-05-30,2871.0,2880.8,2840.2,2849.7,2840.06,6603429.0
2024-05-29,2893.0,2916.0,2876.9,2881.55,2871.8,3691778.0
2024-05-28,2936.0,2957.0,2905.5,2912.4,2902.55,3910081.0
2024-05-27,2960.45,2969.8,2923.1,2932.5,2922.58,3314505.0
2024-05-24,2967.25,2977.0,2952.2,2960.5,2950.49,3547388.0
2024-05-23,2917.1,2984.45,2910.0,2972.1,2962.05,7304130.0
2024-05-22,2872.55,2937.55,2872.55,2921.3,2911.42,5140802.0
2024-05-21,2851.2,2883.65,2851.2,2872.25,2862.53,5588064.0
2024-05-17,2846.1,2874.4,2826.5,2871.4,2861.69,5458238.0
