Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,916.0,924.8,893.85,919.8,919.8,21177886.0
2024-10-07,942.0,944.45,915.0,927.85,927.85,11772546.0
2024-10-04,930.0,949.2,920.0,930.75,930.75,19187758.0
2024-10-03,939.0,950.15,925.0,925.7,925.7,24418517.0
2024-10-01,976.9,984.5,958.9,965.2,965.2,10085203.0
2024-09-30,993.0,996.95,971.8,974.65,974.65,12225895.0
2024-09-27,996.0,1000.4,989.15,993.0,993.0,10360030.0
2024-09-26,970.8,994.95,965.6,993.15,993.15,21640021.0
2024-09-25,982.4,982.5,959.25,963.6,963.6,12959075.0
2024-09-24,974.0,985.0,972.6,977.3,977.3,12755422.0
2024-09-23,973.5,979.2,966.05,971.8,971.8,10254297.0
2024-09-20,967.0,977.5,949.2,970.85,970.85,16764981.0
2024-09-19,970.4,978.95,956.35,967.0,967.0,13466770.0
2024-09-18,978.2,983.7,957.15,962.05,962.05,12044431.0
2024-09-17,995.0,995.0,960.0,974.95,974.95,44516613.0
2024-09-16,997.0,999.9,984.5,988.4,988.4,5836274.0
2024-09-13,994.9,1006.0,988.0,992.1,992.1,13203676.0
2024-09-12,976.3,988.0,958.0,986.15,986.15,25675836.0
2024-09-11,1000.0,1011.55,971.25,976.3,976.3,36140411.0
2024-09-10,1049.0,1049.0,1032.2,1035.8,1035.8,6919238.0
2024-09-09,1049.35,1049.95,1026.25,1038.7,1038.7,7206054.0
2024-09-06,1068.8,1072.95,1040.5,1049.35,1049.35,8717377.0
2024-09-05,1081.0,1085.85,1066.95,1069.15,1069.15,7900593.0
2024-09-04,1079.0,1085.0,1072.1,1080.45,1080.45,4665908.0
2024-09-03,1097.6,1100.0,1082.2,1085.1,1085.1,5088731.0
2024-09-02,1105.0,1105.0,1087.35,1092.65,1092.65,8116675.0
2024-08-30,1113.95,1115.0,1097.45,1111.35,1111.35,17647545.0
2024-08-29,1079.05,1142.0,1066.0,1121.65,1121.65,40658159.0
2024-08-28,1082.95,1088.7,1070.1,1074.55,1074.55,8145376.0
2024-08-27,1093.05,1096.65,1075.0,1077.25,1077.25,8813305.0
2024-08-26,1089.0,1103.35,1082.85,1092.4,1092.4,9415039.0
2024-08-23,1073.0,1092.6,1071.0,1085.15,1085.15,10179655.0
2024-08-22,1090.0,1094.75,1064.95,1068.45,1068.45,9377476.0
2024-08-21,1089.0,1095.3,1083.3,1085.2,1085.2,4869876.0
2024-08-20,1097.0,1098.05,1082.05,1086.9,1086.9,5625723.0
2024-08-19,1105.9,1107.0,1085.0,1087.7,1087.7,6911441.0
2024-08-16,1072.0,1099.95,1070.0,1098.35,1098.35,11435650.0
2024-08-14,1057.0,1067.05,1047.0,1062.35,1062.35,8211830.0
2024-08-13,1074.85,1075.5,1048.2,1053.45,1053.45,7508231.0
2024-08-12,1065.0,1079.9,1055.0,1076.15,1076.15,11311050.0
2024-08-09,1055.0,1082.95,1052.05,1068.1,1068.1,15443008.0
2024-08-08,1034.95,1056.4,1027.0,1041.75,1041.75,19529790.0
2024-08-07,1036.05,1040.2,1015.05,1025.3,1025.3,9978703.0
2024-08-06,1030.0,1060.65,1008.4,1013.75,1013.75,16726393.0
2024-08-05,1059.95,1065.0,1014.05,1016.45,1016.45,26651144.0
2024-08-02,1120.0,1120.0,1090.05,1096.65,1096.65,21967812.0
2024-08-01,1167.0,1176.0,1136.5,1144.4,1144.4,14375948.0
2024-07-31,1164.0,1167.9,1145.3,1156.65,1156.65,10860623.0
2024-07-30,1125.8,1179.0,1118.6,1161.85,1161.85,28592304.0
2024-07-29,1124.0,1139.9,1118.6,1124.0,1124.0,11850624.0
2024-07-26,1111.95,1120.5,1083.6,1118.3,1118.3,21232845.0
