Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,163.0,163.59,156.7,159.52,159.52,74956764.0
2024-10-07,167.1,167.95,162.33,164.36,164.36,48775098.0
2024-10-04,167.0,169.1,164.0,166.75,166.75,53880875.0
2024-10-03,165.5,169.99,164.52,166.98,166.98,75959797.0
2024-10-01,169.49,169.49,165.1,167.03,167.03,50761579.0
2024-09-30,167.5,170.18,167.26,168.55,168.55,92381529.0
2024-09-27,167.0,169.01,165.89,166.55,166.55,72795668.0
2024-09-26,162.0,165.9,160.48,165.61,165.61,88661662.0
2024-09-25,161.5,162.69,159.52,161.66,161.66,58044967.0
2024-09-24,155.15,161.5,154.85,160.53,160.53,137414352.0
2024-09-23,154.38,154.39,152.8,153.99,153.99,33281905.0
2024-09-20,151.0,153.34,150.65,152.02,152.02,53873369.0
2024-09-19,151.89,152.19,147.79,149.54,149.54,36913781.0
2024-09-18,152.4,152.98,149.61,150.6,150.6,24856345.0
2024-09-17,154.0,154.24,152.27,152.82,152.82,18275113.0
2024-09-16,155.0,155.66,153.5,154.21,154.21,32575460.0
2024-09-13,152.78,155.4,152.5,153.49,153.49,54894255.0
2024-09-12,152.0,152.44,148.75,151.74,151.74,73191476.0
2024-09-11,149.9,150.2,147.62,148.17,148.17,24633287.0
2024-09-10,150.5,151.59,148.81,149.42,149.42,41607844.0
2024-09-09,150.9,150.9,148.05,149.47,149.47,32624586.0
2024-09-06,151.94,152.9,149.65,151.22,151.22,30709532.0
2024-09-05,151.0,152.79,151.0,151.72,151.72,28347324.0
2024-09-04,149.5,152.18,149.16,151.18,151.18,39613696.0
2024-09-03,152.84,153.45,152.01,152.15,152.15,19780066.0
2024-09-02,153.9,153.9,152.14,152.88,152.88,19200143.0
2024-08-30,153.0,155.25,152.47,152.76,152.76,55134023.0
2024-08-29,153.21,153.56,151.2,152.97,152.97,44452983.0
2024-08-28,154.7,155.0,153.05,153.7,153.7,25195197.0
2024-08-27,155.8,156.5,154.6,154.7,154.7,24523684.0
2024-08-26,154.61,156.4,153.7,155.7,155.7,32497603.0
2024-08-23,154.0,154.39,152.55,154.2,154.2,31490857.0
2024-08-22,152.51,154.35,152.51,154.14,154.14,36719176.0
2024-08-21,153.0,154.18,151.77,151.92,151.92,49749381.0
2024-08-20,155.7,155.7,152.8,153.93,153.93,37559016.0
2024-08-19,150.85,154.3,150.39,153.96,153.96,62889770.0
2024-08-16,148.0,150.0,146.46,149.52,149.52,54131721.0
2024-08-14,149.9,149.9,142.35,146.17,146.17,97911180.0
2024-08-13,152.1,152.95,148.5,148.88,148.88,29396493.0
2024-08-12,151.0,153.4,149.88,152.06,152.06,30550334.0
2024-08-09,153.0,153.0,151.25,151.81,151.81,23290101.0
2024-08-08,153.4,153.44,150.0,150.28,150.28,51858615.0
2024-08-07,153.7,154.3,151.9,153.86,153.86,32029697.0
2024-08-06,151.21,153.8,149.61,150.32,150.32,53507102.0
2024-08-05,153.66,154.0,149.0,149.82,149.82,102883971.0
2024-08-02,161.0,161.19,154.72,158.22,158.22,72427529.0
2024-08-01,168.2,168.95,160.9,163.06,163.06,118341338.0
2024-07-31,166.29,166.5,163.55,165.33,165.33,52769925.0
2024-07-30,162.9,165.3,161.31,164.07,164.07,42824600.0
2024-07-29,164.7,164.7,162.33,162.87,162.87,31754833.0
2024-07-26,158.75,162.95,158.21,162.55,162.55,45642032.0
2024-07-25,158.5,158.5,156.9,157.39,157.39,45155876.0
2024-07-24,160.02,162.02,159.19,160.31,160.31,28086566.0
2024-07-23,161.6,161.97,155.0,160.02,160.02,37077411.0
2024-07-22,158.4,160.7,156.41,160.32,160.32,40353690.0
2024-07-19,166.0,166.09,157.2,157.77,157.77,77987514.0
2024-07-18,167.61,167.61,164.44,166.36,166.36,36568852.0
2024-07-16,167.8,169.82,166.7,167.07,167.07,26505901.0
2024-07-15,168.69,168.99,165.8,166.76,166.76,32635187.0
2024-07-12,170.2,170.39,168.01,168.69,168.69,33311402.0
2024-07-11,170.0,170.95,168.67,168.92,168.92,33987236.0
2024-07-10,172.5,172.89,167.02,167.98,167.98,41525591.0
2024-07-09,173.6,173.7,171.51,171.8,171.8,25127904.0
2024-07-08,174.6,175.47,172.09,172.28,172.28,31479861.0
2024-07-05,176.2,176.2,173.4,174.71,174.71,38123217.0
2024-07-04,177.0,178.19,175.82,176.29,176.29,29504744.0
2024-07-03,174.54,176.88,174.4,176.37,176.37,29090492.0
2024-07-02,174.47,175.75,173.6,174.54,174.54,33359495.0
2024-07-01,174.5,175.99,173.51,174.07,174.07,27807688.0
2024-06-28,174.17,177.1,173.57,174.01,174.01,37521949.0
2024-06-27,172.56,174.95,171.8,174.16,174.16,49767976.0
2024-06-26,175.68,176.0,171.84,172.56,172.56,44006436.0
2024-06-25,177.99,179.0,175.25,175.68,175.68,30599989.0
2024-06-24,177.44,178.95,175.1,177.96,177.96,47597307.0
2024-06-21,179.4,180.9,178.18,179.94,179.94,65494855.0
2024-06-20,181.6,182.95,179.37,182.28,178.68,38837494.0
2024-06-19,182.45,182.49,179.31,180.02,176.46,27476795.0
2024-06-18,183.8,184.6,180.6,181.12,177.54,35032118.0
2024-06-14,182.95,183.5,181.4,183.15,179.53,28509237.0
2024-06-13,183.4,184.1,180.51,182.56,178.95,36669164.0
2024-06-12,182.25,183.87,181.5,182.23,178.63,33304643.0
2024-06-11,180.5,183.75,180.5,181.33,177.75,55555544.0
2024-06-10,180.21,182.1,177.36,180.29,176.73,74286848.0
2024-06-07,172.0,179.65,170.8,178.9,175.37,84319867.0
2024-06-06,170.0,174.7,169.4,172.05,168.65,57920819.0
2024-06-05,162.15,169.6,159.0,169.2,165.86,60098501.0
2024-06-04,174.5,174.65,148.15,158.95,155.81,125042158.0
2024-06-03,173.25,175.0,168.85,174.25,170.81,86397540.0
2024-05-31,166.05,167.95,164.0,167.2,163.9,83713848.0
2024-05-30,172.0,172.0,163.35,164.15,160.91,108813875.0
2024-05-29,174.75,176.0,173.5,174.25,170.81,36575550.0
2024-05-28,175.9,177.5,173.45,174.9,171.45,39208456.0
2024-05-27,177.7,177.7,174.85,175.5,172.03,30410585.0
2024-05-24,174.95,177.55,174.15,174.85,171.4,38674485.0
2024-05-23,173.05,175.8,170.5,175.5,172.03,49377680.0
2024-05-22,175.45,175.5,171.5,173.3,169.88,42919832.0
2024-05-21,168.5,175.2,167.95,174.35,170.91,84833644.0
2024-05-17,166.6,168.45,165.45,167.35,164.04,39181277.0
2024-05-16,167.25,168.0,162.3,165.9,162.62,41126570.0
2024-05-15,164.95,167.55,164.95,165.6,162.33,29601304.0
2024-05-14,164.1,166.55,163.5,164.95,161.69,46261468.0
2024-05-13,162.45,164.5,158.05,163.85,160.61,36561003.0
2024-05-10,163.2,164.35,161.85,162.25,159.05,31472419.0
2024-05-09,165.95,166.7,161.5,161.9,158.7,30223088.0
2024-05-08,164.2,167.1,163.5,166.05,162.77,30128705.0
2024-05-07,167.95,167.95,162.3,164.25,161.01,43611824.0
2024-05-06,167.95,168.65,164.7,167.6,164.29,37621296.0
2024-05-03,168.95,170.75,165.15,166.5,163.21,62573586.0
2024-05-02,165.0,168.9,165.0,167.35,164.04,69320283.0
2024-04-30,168.4,168.4,164.5,165.0,161.74,55043389.0
2024-04-29,168.2,169.6,166.9,167.4,164.09,44906151.0
2024-04-26,168.0,170.7,165.25,165.8,162.53,65355111.0
2024-04-25,165.4,168.0,164.15,167.7,164.39,50128523.0
2024-04-24,162.45,166.9,161.45,165.55,162.28,59894921.0
2024-04-23,163.5,163.5,160.8,161.15,157.97,30295177.0
2024-04-22,163.8,164.7,161.5,161.85,158.65,39304790.0
2024-04-19,160.0,162.5,157.3,162.1,158.9,60078229.0
2024-04-18,160.9,164.0,159.15,160.05,156.89,68093672.0
2024-04-16,160.85,162.45,159.0,160.05,156.89,41391261.0
2024-04-15,161.8,164.7,158.6,160.85,157.67,66426404.0
2024-04-12,166.0,166.0,163.0,163.5,160.27,55317636.0
2024-04-10,167.3,169.2,164.5,165.05,161.79,64134758.0
2024-04-09,166.0,169.8,165.2,166.0,162.72,63884687.0
2024-04-08,166.95,166.95,164.2,165.2,161.94,48255703.0
2024-04-05,163.9,164.15,160.8,163.35,160.12,44668121.0
2024-04-04,165.55,165.95,161.0,163.4,160.17,61094750.0
2024-04-03,164.65,166.25,163.1,163.65,160.42,50938559.0
2024-04-02,162.95,165.5,161.8,164.65,161.4,69533405.0
2024-04-01,156.8,163.9,156.5,163.15,159.93,84583929.0
2024-03-28,152.7,157.0,152.7,155.85,152.77,62575327.0
2024-03-27,152.45,154.1,152.0,152.7,149.68,35328794.0
2024-03-26,151.15,153.4,150.5,152.4,149.39,52965508.0
2024-03-22,149.0,152.75,148.35,151.8,148.8,68241556.0
2024-03-21,148.0,151.2,147.8,150.1,147.14,84225737.0
2024-03-20,149.6,150.65,143.85,145.65,142.77,77550319.0
2024-03-19,149.0,152.45,147.6,148.75,145.81,105004268.0
2024-03-18,142.55,150.25,142.2,149.7,146.74,166913078.0
2024-03-15,142.9,143.7,139.85,141.7,138.9,68482621.0
2024-03-14,143.6,143.95,138.35,142.45,139.64,91956952.0
2024-03-13,152.8,152.9,142.5,143.65,140.81,70937597.0
2024-03-12,154.2,154.55,150.9,152.5,149.49,34947937.0
2024-03-11,158.9,158.9,153.0,153.45,150.42,54155385.0
2024-03-07,152.4,159.15,152.25,157.25,154.14,124847699.0
2024-03-06,151.8,152.65,147.9,151.6,148.61,51782444.0
2024-03-05,153.2,154.0,150.75,151.85,148.85,37165490.0
2024-03-04,154.9,154.9,151.05,153.1,150.08,67577785.0
2024-03-01,143.0,150.65,143.0,149.95,146.99,123709943.0
2024-02-29,140.8,141.85,139.4,140.85,138.07,32248156.0
2024-02-28,144.05,144.95,140.05,140.75,137.97,20721926.0
2024-02-27,142.65,144.5,142.0,144.2,141.35,24119469.0
2024-02-26,145.85,145.95,142.25,142.65,139.83,22570277.0
2024-02-23,146.4,147.1,145.0,145.45,142.58,28414697.0
2024-02-22,145.0,146.15,143.5,145.9,143.02,46728176.0
2024-02-21,141.55,146.2,141.45,143.9,141.06,88000833.0
2024-02-20,141.95,142.25,140.05,141.05,138.26,24291123.0
2024-02-19,142.95,143.35,141.35,141.95,139.15,16973568.0
2024-02-16,142.05,143.45,141.5,142.3,139.49,22316127.0
2024-02-15,141.5,143.45,141.0,141.2,138.41,31587387.0
2024-02-14,137.0,141.5,135.75,141.2,138.41,29141690.0
2024-02-13,137.75,138.25,134.1,137.85,135.13,39155909.0
2024-02-12,142.0,142.95,136.65,137.4,134.69,36477544.0
2024-02-09,144.2,144.45,139.15,141.3,138.51,35961925.0
2024-02-08,145.3,145.65,143.05,143.65,140.81,38997666.0
2024-02-07,146.85,147.4,144.05,144.4,141.55,61517064.0
2024-02-06,143.0,145.1,140.45,144.65,141.79,53192936.0
2024-02-05,140.0,143.35,139.35,141.55,138.75,80737626.0
2024-02-02,135.3,139.6,134.8,138.7,135.96,69296192.0
2024-02-01,136.4,136.75,134.5,134.8,132.14,31701793.0
2024-01-31,135.0,136.7,134.5,135.95,133.27,36079354.0
2024-01-30,135.6,137.7,134.5,134.7,132.04,35704185.0
2024-01-29,134.7,135.4,133.5,135.0,132.33,29745400.0
2024-01-25,136.5,136.5,132.0,133.75,131.11,61358839.0
2024-01-24,130.2,135.55,130.1,135.15,132.48,39340119.0
2024-01-23,134.8,135.2,129.3,130.1,127.53,35373970.0
2024-01-19,132.6,134.7,131.6,134.25,131.6,32653013.0
2024-01-18,131.65,132.25,128.2,131.0,128.41,45273496.0
2024-01-17,135.45,135.75,131.4,131.65,129.05,58982971.0
2024-01-16,134.7,138.5,134.0,137.25,134.54,56361287.0
2024-01-15,136.0,136.25,133.95,134.9,132.24,34158775.0
2024-01-12,135.8,136.25,134.65,135.3,132.63,32883921.0
2024-01-11,134.85,135.65,134.2,134.9,132.24,23113349.0
2024-01-10,133.8,134.7,132.1,134.1,131.45,27213624.0
2024-01-09,133.5,134.8,132.5,133.65,131.01,30736868.0
2024-01-08,135.3,135.95,131.75,132.0,129.39,39559717.0
2024-01-05,135.0,135.95,132.85,133.65,131.01,71330190.0
2024-01-04,136.0,136.35,134.0,134.25,131.6,43913498.0
2024-01-03,139.5,139.6,134.35,135.35,132.68,45176618.0
2024-01-02,140.5,140.6,137.05,139.6,136.84,27764060.0
2024-01-01,140.0,140.95,139.05,139.85,137.09,21186105.0
2023-12-29,138.6,141.25,137.15,139.6,136.84,49202910.0
2023-12-28,138.15,138.75,136.85,138.15,135.42,34661176.0
2023-12-27,135.85,138.9,135.5,137.2,134.49,48101400.0
2023-12-26,134.7,136.1,134.45,135.2,132.53,25936447.0
2023-12-22,132.4,134.75,131.75,133.55,130.91,37357334.0
2023-12-21,128.7,131.45,127.85,131.0,128.41,34914399.0
2023-12-20,135.9,136.15,128.75,129.75,127.19,39495961.0
2023-12-19,136.65,137.6,134.8,135.4,132.73,27726431.0
