Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,500.3,503.7,484.6,497.45,497.45,13145961.0
2024-10-07,512.9,513.8,491.35,500.3,500.3,15751180.0
2024-10-04,514.0,515.95,501.15,508.7,508.7,12088199.0
2024-10-03,513.0,520.5,509.0,511.75,511.75,13155901.0
2024-10-01,510.3,521.35,506.15,516.15,516.15,14071685.0
2024-09-30,519.0,523.65,508.5,512.65,512.65,19027211.0
2024-09-27,506.0,515.9,506.0,513.0,513.0,24451210.0
2024-09-26,484.55,504.9,477.0,501.75,501.75,42980530.0
2024-09-25,478.0,486.0,473.8,479.85,479.85,24495683.0
2024-09-24,456.3,473.5,456.0,470.2,470.2,28418267.0
2024-09-23,453.0,456.25,450.05,453.1,453.1,5177341.0
2024-09-20,452.0,458.45,448.65,449.95,449.95,17249829.0
2024-09-19,451.0,453.3,437.0,449.75,449.75,7777695.0
2024-09-18,450.8,451.0,445.65,448.3,448.3,5180919.0
2024-09-17,450.7,454.25,447.05,449.8,449.8,11644008.0
2024-09-16,458.0,471.0,444.4,446.3,446.3,34590598.0
2024-09-13,444.9,456.4,444.5,454.05,454.05,15909513.0
2024-09-12,430.05,443.55,428.8,441.7,441.7,13025897.0
2024-09-11,440.0,440.45,424.55,425.8,425.8,13394230.0
2024-09-10,439.8,444.0,436.95,440.0,440.0,13192375.0
2024-09-09,460.95,461.4,451.55,460.25,440.25,14042464.0
2024-09-06,467.9,470.35,457.2,459.8,439.82,17832425.0
2024-09-05,463.5,469.45,462.15,466.7,446.42,12242972.0
2024-09-04,460.45,462.95,455.0,459.35,439.39,15530065.0
2024-09-03,473.0,473.25,462.1,464.55,444.36,23319237.0
2024-09-02,472.7,473.65,461.0,463.25,443.12,11933834.0
2024-08-30,465.65,473.2,464.5,468.45,448.09,14026797.0
2024-08-29,470.2,470.95,459.05,463.4,443.26,12608981.0
2024-08-28,467.9,469.25,463.6,466.05,445.8,9277650.0
2024-08-27,463.0,468.5,460.85,463.9,443.74,10906758.0
2024-08-26,453.0,465.95,452.0,463.1,442.98,11143399.0
2024-08-23,459.95,460.2,448.35,449.3,429.78,6908675.0
2024-08-22,460.0,461.6,454.7,459.55,439.58,8864437.0
2024-08-21,449.6,458.9,447.65,455.3,435.52,13609457.0
2024-08-20,444.5,447.85,440.15,446.65,427.24,8887888.0
2024-08-19,430.5,444.4,429.25,442.75,423.51,10922980.0
2024-08-16,426.0,430.85,421.55,429.05,410.41,9815524.0
2024-08-14,425.0,428.5,405.2,420.2,401.94,18914429.0
2024-08-13,433.2,434.0,421.25,422.35,404.0,8522806.0
2024-08-12,426.15,436.0,424.75,432.1,413.32,8178539.0
2024-08-09,430.1,432.25,423.55,428.85,410.21,8363641.0
2024-08-08,430.05,431.5,421.05,422.3,403.95,9305734.0
2024-08-07,425.5,434.45,418.5,432.3,413.51,15297435.0
2024-08-06,417.55,421.95,411.3,413.9,395.91,17994697.0
2024-08-05,424.0,428.45,404.25,413.25,395.29,20763297.0
2024-08-02,440.0,441.95,432.3,434.2,415.33,13093052.0
2024-08-01,458.0,462.25,443.55,448.1,424.8,19749880.0
2024-07-31,453.0,454.4,445.5,450.75,427.31,14227543.0
2024-07-30,446.8,448.15,440.2,447.2,423.95,16607270.0
2024-07-29,447.0,455.5,438.0,448.95,425.61,45433689.0
2024-07-26,439.0,448.15,434.6,444.5,421.39,28749214.0
2024-07-25,428.85,434.35,424.0,430.9,408.5,18871603.0
2024-07-24,436.8,441.0,430.85,432.7,410.2,36773405.0
2024-07-23,449.4,449.4,410.55,434.95,412.34,33154992.0
2024-07-22,442.0,451.0,437.0,448.75,425.42,17818304.0
2024-07-19,453.0,454.25,438.0,439.8,416.93,14552716.0
2024-07-18,458.95,460.5,448.0,451.4,427.93,16469541.0
2024-07-16,466.9,467.55,453.6,455.5,431.82,23302200.0
2024-07-15,452.1,462.5,446.25,459.45,435.56,10391508.0
2024-07-12,451.9,454.4,445.1,449.7,426.32,11038603.0
2024-07-11,457.0,458.0,441.65,447.7,424.42,13978497.0
2024-07-10,466.0,466.95,445.15,456.7,432.95,11556309.0
2024-07-09,467.4,468.0,462.6,465.65,441.44,5474279.0
2024-07-08,475.9,477.5,464.8,465.65,441.44,8576939.0
2024-07-05,470.4,479.6,467.0,473.85,449.21,12860621.0
2024-07-04,468.1,473.45,463.45,469.1,444.71,12818706.0
2024-07-03,460.15,465.25,458.25,463.9,439.78,7347763.0
2024-07-02,467.0,473.1,455.0,457.85,434.04,11050920.0
2024-07-01,457.0,468.85,456.25,465.0,440.82,15408362.0
2024-06-28,444.6,458.65,443.85,454.0,430.4,15248617.0
2024-06-27,442.0,446.1,433.55,443.3,420.25,20922873.0
2024-06-26,436.65,446.85,426.05,442.1,419.11,162210828.0
2024-06-25,465.2,468.55,451.0,454.05,430.44,8309097.0
2024-06-24,460.05,471.5,457.2,463.35,439.26,7716484.0
2024-06-21,472.75,474.6,464.0,470.25,445.8,17801714.0
2024-06-20,450.0,479.0,449.15,469.95,445.52,28530186.0
2024-06-19,452.55,455.6,446.05,448.45,425.13,6416994.0
2024-06-18,449.95,454.8,447.6,452.3,428.78,8601634.0
2024-06-14,441.1,451.9,440.0,447.6,424.33,9634670.0
2024-06-13,449.0,449.95,439.0,439.8,416.93,11641274.0
2024-06-12,447.25,453.65,442.6,444.25,421.15,11163309.0
2024-06-11,444.0,455.8,442.3,443.75,420.68,10546091.0
2024-06-10,455.5,455.5,441.25,444.1,421.01,13920775.0
2024-06-07,454.4,462.95,451.85,460.65,436.7,11283521.0
2024-06-06,451.0,458.0,446.3,449.9,426.51,13579110.0
2024-06-05,419.0,446.0,401.65,440.7,417.79,16642007.0
2024-06-04,458.0,458.0,366.3,417.85,396.12,30797125.0
2024-06-03,472.0,472.2,452.4,457.85,434.04,14471274.0
2024-05-31,446.8,455.85,440.0,450.0,426.6,35126841.0
2024-05-30,454.0,458.0,437.2,440.8,417.88,13122990.0
2024-05-29,453.8,462.3,451.15,454.25,430.63,11526945.0
2024-05-28,462.9,471.9,453.3,454.95,431.3,17930755.0
2024-05-27,461.9,468.5,456.85,459.7,435.8,11775106.0
2024-05-24,463.9,470.0,459.6,460.8,436.84,12873214.0
2024-05-23,480.0,480.1,461.8,472.7,437.69,25849836.0
2024-05-22,498.0,506.75,476.8,487.0,450.94,33932802.0
2024-05-21,471.0,493.9,463.0,491.7,455.29,34592201.0
2024-05-17,436.0,445.0,432.6,442.65,409.87,13366917.0
2024-05-16,445.0,447.05,427.05,433.05,400.98,16155897.0
2024-05-15,438.0,449.0,434.75,437.4,405.01,20115791.0
2024-05-14,421.0,438.5,415.05,432.55,400.52,22195946.0
2024-05-13,412.55,415.5,398.1,414.05,383.39,10884162.0
2024-05-10,397.0,411.85,395.25,410.7,380.29,11076423.0
2024-05-09,406.8,408.4,393.0,394.65,365.42,6134997.0
2024-05-08,393.0,409.95,392.85,404.85,374.87,8831897.0
2024-05-07,410.5,411.5,392.0,396.0,366.67,8797213.0
2024-05-06,418.0,418.7,404.45,410.5,380.1,8108475.0
2024-05-03,415.0,420.0,404.4,415.65,384.87,14324148.0
2024-05-02,400.0,413.9,397.3,410.8,380.38,12788526.0
2024-04-30,409.1,409.95,396.0,397.85,368.39,11863519.0
2024-04-29,401.15,408.2,397.1,406.3,376.21,11228541.0
2024-04-26,386.9,402.95,386.0,396.55,367.18,24602811.0
2024-04-25,380.0,387.7,377.1,381.05,352.83,10150138.0
2024-04-24,376.0,386.6,376.0,383.45,355.05,11074253.0
2024-04-23,383.2,383.2,371.1,377.05,349.13,14434838.0
2024-04-22,392.15,393.15,373.4,381.0,352.79,19626373.0
2024-04-19,388.2,396.75,382.2,385.95,357.37,33307212.0
2024-04-18,385.05,394.75,383.05,388.5,359.73,35907412.0
2024-04-16,370.1,381.5,364.05,378.2,350.19,28859435.0
2024-04-15,374.0,383.95,360.25,370.55,343.11,44715399.0
2024-04-12,365.55,374.9,360.8,372.95,345.33,39995547.0
2024-04-10,347.0,369.65,345.7,361.8,335.01,75804480.0
2024-04-09,324.1,339.5,320.6,338.0,312.97,32086038.0
2024-04-08,323.9,325.35,317.1,323.3,299.36,16694867.0
2024-04-05,311.05,322.4,305.95,318.95,295.33,22256365.0
2024-04-04,306.05,312.5,301.7,309.95,287.0,24723528.0
2024-04-03,301.2,308.0,297.8,298.8,276.67,19966252.0
2024-04-02,286.95,301.95,285.85,301.3,278.99,27928247.0
2024-04-01,273.5,288.25,273.35,287.5,266.21,17331916.0
2024-03-28,272.0,275.0,270.75,271.65,251.53,6625066.0
2024-03-27,269.9,274.25,267.75,271.6,251.49,5949040.0
