Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","3,058.00","3,099.00","3,045.65","3,088.05","3,088.05","817,718"
"Oct 7, 2024","3,075.00","3,098.55","3,038.00","3,062.25","3,062.25","909,812"
"Oct 4, 2024","3,135.00","3,156.75","3,054.55","3,072.50","3,072.50","1,551,818"
"Oct 3, 2024","3,192.30","3,225.90","3,126.50","3,149.30","3,149.30","1,741,363"
"Oct 1, 2024","3,317.00","3,328.95","3,244.05","3,277.35","3,277.35","968,660"
"Sep 30, 2024","3,310.75","3,358.00","3,305.15","3,329.10","3,329.10","1,088,162"
"Sep 27, 2024","3,290.95","3,337.95","3,277.05","3,310.75","3,310.75","1,315,996"
"Sep 26, 2024","3,250.00","3,285.85","3,227.10","3,277.05","3,277.05","951,080"
"Sep 25, 2024","3,252.00","3,252.00","3,206.75","3,244.75","3,244.75","740,636"
"Sep 24, 2024","3,277.45","3,297.75","3,241.10","3,248.40","3,248.40","1,057,933"
"Sep 23, 2024","3,316.95","3,324.90","3,273.20","3,277.45","3,277.45","522,775"
"Sep 20, 2024","3,304.00","3,324.80","3,266.05","3,306.95","3,306.95","1,504,277"
"Sep 19, 2024","3,294.00","3,320.00","3,275.00","3,293.85","3,293.85","963,456"
"Sep 18, 2024","3,312.80","3,324.85","3,251.55","3,274.65","3,274.65","410,510"
"Sep 17, 2024","3,335.80","3,349.90","3,301.80","3,312.80","3,312.80","586,834"
"Sep 16, 2024","3,360.00","3,394.90","3,330.60","3,335.80","3,335.80","1,019,280"
"Sep 13, 2024","3,355.55","3,369.70","3,320.90","3,358.05","3,358.05","1,029,400"
"Sep 12, 2024","3,370.00","3,393.00","3,340.30","3,383.25","3,383.25","1,643,536"
"Sep 11, 2024","3,315.00","3,382.95","3,315.00","3,367.45","3,367.45","2,561,892"
"Sep 10, 2024","3,290.00","3,310.00","3,270.90","3,295.05","3,295.05","928,920"
"Sep 9, 2024","3,273.70","3,314.00","3,258.00","3,280.75","3,280.75","1,272,289"
"Sep 6, 2024","3,238.00","3,285.90","3,225.35","3,273.70","3,273.70","2,131,256"
"Sep 5, 2024","3,240.00","3,257.00","3,217.00","3,238.25","3,238.25","1,482,119"
"Sep 4, 2024","3,155.50","3,252.00","3,155.50","3,231.65","3,231.65","2,379,110"
"Sep 3, 2024","3,164.95","3,174.55","3,147.50","3,154.85","3,154.85","577,471"
"Sep 2, 2024","3,148.00","3,184.00","3,139.60","3,150.95","3,150.95","702,358"
"Aug 30, 2024","3,130.05","3,166.75","3,110.70","3,126.80","3,126.80","1,567,031"
"Aug 29, 2024","3,125.50","3,143.95","3,092.70","3,115.85","3,115.85","849,866"
"Aug 28, 2024","3,152.95","3,165.50","3,118.80","3,125.50","3,125.50","538,366"
"Aug 27, 2024","3,154.00","3,203.65","3,150.00","3,166.20","3,166.20","1,003,501"
"Aug 26, 2024","3,155.00","3,177.45","3,141.50","3,171.35","3,171.35","472,874"
"Aug 23, 2024","3,190.00","3,198.60","3,148.75","3,154.65","3,154.65","779,284"
"Aug 22, 2024","3,167.00","3,198.65","3,156.05","3,186.60","3,186.60","1,540,888"
"Aug 21, 2024","3,101.00","3,170.60","3,084.05","3,151.55","3,151.55","1,186,536"
"Aug 20, 2024","3,096.00","3,106.35","3,078.00","3,103.20","3,103.20","668,282"
"Aug 19, 2024","3,053.95","3,087.85","3,038.35","3,076.30","3,076.30","542,858"
"Aug 16, 2024","3,054.00","3,054.00","3,003.00","3,048.15","3,048.15","514,229"
"Aug 14, 2024","3,034.80","3,034.80","2,994.05","3,025.85","3,025.85","454,671"
"Aug 13, 2024","3,054.90","3,059.80","3,013.00","3,023.55","3,023.55","502,260"
"Aug 12, 2024","3,020.00","3,084.00","3,003.70","3,053.20","3,053.20","1,736,881"
"Aug 9, 2024","3,039.00","3,052.75","2,966.00","3,040.60","3,040.60","1,665,414"
"Aug 8, 2024","3,080.00","3,089.70","2,990.40","3,005.40","3,005.40","1,280,109"
"Aug 7, 2024","3,101.75","3,118.50","3,060.05","3,101.45","3,101.45","1,907,105"
"Aug 6, 2024","3,101.70","3,135.00","3,086.05","3,101.75","3,101.75","885,743"
"Aug 5, 2024","3,069.95","3,145.00","3,055.30","3,093.40","3,093.40","2,019,141"
"Aug 2, 2024","3,070.00","3,129.05","3,060.00","3,106.70","3,106.70","1,348,780"
"Aug 1, 2024","3,088.00","3,128.95","3,062.80","3,099.35","3,099.35","1,675,122"
"Jul 31, 2024","3,005.05","3,098.00","3,005.05","3,084.45","3,084.45","3,549,501"
"Jul 30, 2024","2,973.50","3,032.80","2,970.00","3,005.05","3,005.05","2,144,591"
"Jul 29, 2024","2,953.05","2,965.10","2,936.00","2,954.70","2,954.70","854,408"
"Jul 26, 2024","2,902.20","2,964.45","2,900.70","2,950.15","2,950.15","1,359,780"
"Jul 25, 2024","2,892.05","2,908.70","2,885.25","2,901.40","2,901.40","1,239,922"
"Jul 24, 2024","2,901.00","2,927.00","2,886.20","2,912.80","2,912.80","1,476,148"
"Jul 23, 2024","2,934.30","2,947.30","2,886.00","2,897.10","2,897.10","1,906,312"
"Jul 22, 2024","2,937.00","2,973.35","2,917.15","2,934.30","2,934.30","1,616,347"
"Jul 19, 2024","2,925.00","2,980.00","2,917.25","2,946.05","2,946.05","2,164,746"
"Jul 18, 2024","2,875.00","2,957.90","2,842.00","2,931.55","2,931.55","5,384,611"
"Jul 16, 2024","2,959.00","3,015.95","2,941.50","2,974.45","2,974.45","2,085,611"
"Jul 15, 2024","2,999.00","2,999.00","2,932.55","2,956.50","2,956.50","2,425,341"
"Jul 12, 2024","3,025.00","3,052.00","2,970.90","2,999.15","2,999.15","1,879,930"
"Jul 11, 2024","2,999.00","3,030.00","2,973.00","3,022.05","3,022.05","1,968,980"
"Jul 10, 2024","2,900.05","3,014.50","2,894.35","2,996.45","2,996.45","2,299,950"
"Jul 9, 2024","2,908.95","2,913.20","2,890.00","2,905.00","2,905.00","685,431"
"Jul 8, 2024","2,935.90","2,935.90","2,890.70","2,898.15","2,898.15","828,260"
"Jul 5, 2024","2,937.15","2,946.90","2,913.10","2,935.90","2,935.90","817,429"
"Jul 4, 2024","2,940.00","2,968.45","2,923.00","2,934.90","2,934.90","968,666"
"Jul 3, 2024","2,929.70","2,948.95","2,916.00","2,925.55","2,925.55","925,189"
"Jul 2, 2024","2,927.80","2,936.00","2,912.00","2,925.60","2,925.60","1,064,295"
"Jul 1, 2024","2,889.30","2,939.00","2,888.00","2,927.80","2,927.80","1,104,110"
"Jun 28, 2024","2,865.00","2,932.00","2,862.20","2,917.05","2,917.05","1,206,712"
"Jun 27, 2024","2,860.75","2,903.00","2,845.00","2,880.85","2,880.85","1,628,022"
"Jun 26, 2024","2,860.20","2,873.85","2,844.05","2,863.35","2,863.35","960,622"
"Jun 25, 2024","2,876.00","2,894.95","2,856.00","2,858.45","2,858.45","1,217,792"
"Jun 24, 2024","2,883.00","2,899.95","2,871.40","2,896.05","2,896.05","892,125"
"Jun 21, 2024","2,925.00","2,928.00","2,880.10","2,890.85","2,890.85","1,722,379"
"Jun 20, 2024","2,885.00","2,924.50","2,872.40","2,915.50","2,915.50","1,129,752"
"Jun 19, 2024","2,918.00","2,920.00","2,882.65","2,891.70","2,891.70","1,018,294"
"Jun 18, 2024","2,921.60","2,928.00","2,905.00","2,918.50","2,918.50","741,098"
"Jun 14, 2024","2,910.00","2,931.35","2,905.10","2,921.60","2,921.60","982,815"
"Jun 13, 2024","2,929.00","2,929.00","2,905.00","2,910.00","2,910.00","726,380"
"Jun 12, 2024","2,909.00","2,918.00","2,865.65","2,905.80","2,905.80","1,701,770"
"Jun 11, 2024",28.15 Dividend
"Jun 11, 2024","2,915.00","2,920.35","2,895.00","2,902.45","2,902.45","855,430"
"Jun 10, 2024","2,928.00","2,951.90","2,915.00","2,937.55","2,909.40","876,867"
"Jun 7, 2024","2,904.80","2,943.10","2,888.85","2,927.70","2,899.64","1,600,180"
"Jun 6, 2024","2,960.00","2,961.75","2,882.25","2,904.80","2,876.96","1,689,408"
"Jun 5, 2024","2,864.50","3,027.30","2,864.50","2,961.75","2,933.37","2,410,576"
"Jun 4, 2024","2,880.00","2,897.00","2,775.75","2,857.65","2,830.27","2,683,847"
"Jun 3, 2024","2,950.00","2,950.00","2,860.05","2,866.45","2,838.98","952,701"
"May 31, 2024","2,883.70","2,906.00","2,855.60","2,881.20","2,853.59","2,520,363"
"May 30, 2024","2,875.25","2,910.85","2,875.00","2,883.70","2,856.07","1,344,426"
"May 29, 2024","2,896.00","2,921.70","2,881.10","2,900.15","2,872.36","1,758,297"
"May 28, 2024","2,875.85","2,921.00","2,864.00","2,911.20","2,883.30","1,084,544"
"May 27, 2024","2,887.90","2,898.30","2,855.55","2,872.30","2,844.78","817,091"
"May 24, 2024","2,910.20","2,910.20","2,867.00","2,874.75","2,847.20","755,822"
"May 23, 2024","2,885.00","2,921.25","2,877.30","2,903.75","2,875.92","1,181,894"
"May 22, 2024","2,851.80","2,895.00","2,836.60","2,885.75","2,858.10","933,846"
"May 21, 2024","2,815.00","2,866.95","2,801.00","2,851.80","2,824.47","921,822"
"May 17, 2024","2,814.60","2,838.20","2,786.10","2,809.90","2,782.97","1,325,150"
"May 16, 2024","2,821.05","2,837.60","2,786.55","2,814.05","2,787.08","1,534,319"
"May 15, 2024","2,866.15","2,874.25","2,806.15","2,813.70","2,786.74","1,230,520"
"May 14, 2024","2,879.00","2,888.00","2,842.00","2,866.15","2,838.68","999,330"
"May 13, 2024","2,771.25","2,895.00","2,754.10","2,879.25","2,851.66","2,748,823"
"May 10, 2024","2,699.00","2,792.60","2,670.10","2,771.25","2,744.69","2,478,584"
"May 9, 2024","2,828.00","2,853.95","2,703.80","2,710.10","2,684.13","3,547,959"
"May 8, 2024","2,900.00","2,905.00","2,821.00","2,843.30","2,816.05","1,652,877"
"May 7, 2024","2,947.00","2,967.95","2,904.00","2,913.00","2,885.09","629,534"
"May 6, 2024","2,950.00","2,959.00","2,911.20","2,932.15","2,904.05","768,806"
"May 3, 2024","2,983.05","2,997.00","2,909.25","2,929.75","2,901.67","1,594,445"
"May 2, 2024","2,875.10","2,988.00","2,875.10","2,975.40","2,946.89","2,493,406"
"Apr 30, 2024","2,855.00","2,912.00","2,855.00","2,875.90","2,848.34","1,290,649"
"Apr 29, 2024","2,844.15","2,873.95","2,839.00","2,868.20","2,840.71","566,219"
"Apr 26, 2024","2,870.00","2,878.20","2,837.05","2,844.15","2,816.90","625,507"
"Apr 25, 2024","2,865.00","2,869.90","2,829.05","2,861.45","2,834.03","1,594,152"
"Apr 24, 2024","2,882.95","2,883.10","2,860.00","2,867.75","2,840.27","718,441"
"Apr 23, 2024","2,852.00","2,877.95","2,844.00","2,874.90","2,847.35","929,062"
"Apr 22, 2024","2,846.60","2,846.60","2,814.05","2,841.85","2,814.62","676,040"
"Apr 19, 2024","2,790.00","2,822.10","2,766.15","2,808.55","2,781.64","1,337,807"
"Apr 18, 2024","2,855.00","2,859.20","2,800.10","2,807.70","2,780.79","1,732,434"
"Apr 16, 2024","2,827.65","2,841.45","2,820.00","2,830.00","2,802.88","911,249"
"Apr 15, 2024","2,830.20","2,853.50","2,812.35","2,844.40","2,817.14","884,519"
"Apr 12, 2024","2,890.00","2,893.00","2,845.00","2,854.50","2,827.15","1,766,311"
"Apr 10, 2024","2,883.30","2,899.10","2,858.00","2,896.75","2,868.99","740,495"
"Apr 9, 2024","2,893.00","2,916.45","2,845.00","2,857.15","2,829.77","1,017,670"
"Apr 8, 2024","2,908.00","2,908.95","2,873.80","2,892.00","2,864.29","570,695"
"Apr 5, 2024","2,924.00","2,927.75","2,880.00","2,883.45","2,855.82","1,155,672"
"Apr 4, 2024","2,870.00","2,943.25","2,851.25","2,918.30","2,890.33","1,831,347"
"Apr 3, 2024","2,845.00","2,884.55","2,845.00","2,869.35","2,841.85","816,676"
"Apr 2, 2024","2,874.05","2,892.40","2,856.00","2,874.20","2,846.66","562,473"
"Apr 1, 2024","2,860.95","2,886.45","2,852.35","2,871.00","2,843.49","558,086"
"Mar 28, 2024","2,835.05","2,868.00","2,819.00","2,846.75","2,819.47","1,864,623"
"Mar 27, 2024","2,817.95","2,842.85","2,817.70","2,830.50","2,803.38","1,156,231"
"Mar 26, 2024","2,820.00","2,844.15","2,810.00","2,814.65","2,787.68","1,372,390"
"Mar 22, 2024","2,821.15","2,855.15","2,808.00","2,841.50","2,814.27","1,652,689"
"Mar 21, 2024","2,845.00","2,845.40","2,806.00","2,821.15","2,794.12","1,167,680"
"Mar 20, 2024","2,815.10","2,837.05","2,797.55","2,824.90","2,797.83","818,910"
"Mar 19, 2024","2,840.00","2,840.00","2,801.00","2,815.10","2,788.12","1,199,135"
"Mar 18, 2024","2,866.00","2,866.00","2,817.25","2,846.50","2,819.22","940,424"
"Mar 15, 2024","2,895.00","2,896.95","2,850.00","2,867.55","2,840.07","1,356,226"
"Mar 14, 2024","2,860.00","2,898.05","2,841.00","2,892.25","2,864.53","1,381,741"
"Mar 13, 2024","2,878.60","2,887.25","2,835.00","2,860.15","2,832.74","955,841"
"Mar 12, 2024","2,880.00","2,899.90","2,865.45","2,876.15","2,848.59","663,186"
"Mar 11, 2024","2,895.55","2,896.55","2,853.10","2,876.85","2,849.28","866,546"
"Mar 7, 2024","2,825.00","2,894.00","2,825.00","2,870.55","2,843.04","1,564,364"
"Mar 6, 2024","2,827.95","2,839.00","2,777.75","2,827.30","2,800.21","1,723,066"
"Mar 5, 2024","2,834.00","2,834.85","2,805.00","2,820.40","2,793.37","736,381"
"Mar 4, 2024","2,860.00","2,860.95","2,828.00","2,831.75","2,804.61","971,299"
"Mar 1, 2024","2,832.90","2,845.95","2,815.05","2,831.75","2,804.61","978,174"
"Feb 29, 2024","2,785.00","2,838.00","2,776.75","2,821.90","2,794.86","2,284,424"
"Feb 28, 2024","2,850.15","2,859.40","2,785.50","2,794.35","2,767.57","2,472,196"
"Feb 27, 2024","2,855.00","2,870.00","2,850.10","2,859.55","2,832.15","1,296,180"
"Feb 26, 2024","2,920.00","2,930.00","2,847.80","2,868.45","2,840.96","3,524,491"
"Feb 23, 2024","2,999.00","3,005.00","2,966.20","2,985.95","2,957.34","1,650,523"
"Feb 22, 2024","2,983.00","3,027.20","2,932.10","3,017.40","2,988.48","2,615,821"
"Feb 21, 2024","3,012.05","3,026.75","2,983.50","3,001.80","2,973.03","927,130"
"Feb 20, 2024","2,998.10","3,017.10","2,972.10","3,011.65","2,982.79","729,371"
"Feb 19, 2024","3,007.90","3,018.70","2,987.50","2,998.10","2,969.37","560,700"
"Feb 16, 2024","3,035.00","3,035.00","3,000.00","3,007.90","2,979.08","1,179,473"
"Feb 15, 2024","2,980.00","3,024.50","2,967.45","3,016.55","2,987.64","1,068,730"
"Feb 14, 2024","2,969.90","2,980.80","2,936.05","2,976.40","2,947.88","750,339"
"Feb 13, 2024","2,964.95","2,981.25","2,945.70","2,971.60","2,943.12","717,118"
"Feb 12, 2024","2,951.65","2,964.95","2,920.05","2,953.80","2,925.49","614,469"
"Feb 9, 2024","2,930.00","2,959.00","2,910.55","2,951.65","2,923.36","1,144,765"
"Feb 8, 2024","2,999.75","2,999.75","2,919.80","2,929.60","2,901.53","1,633,654"
"Feb 7, 2024","2,957.00","3,002.95","2,936.05","2,981.15","2,952.58","1,134,012"
"Feb 6, 2024","2,931.00","2,947.00","2,902.65","2,930.95","2,902.86","1,471,312"
"Feb 5, 2024","2,950.00","2,965.00","2,912.00","2,917.35","2,889.39","923,435"
"Feb 2, 2024","2,950.00","2,962.35","2,924.05","2,936.30","2,908.16","1,881,911"
"Feb 1, 2024","2,961.00","2,972.85","2,919.95","2,929.35","2,901.28","3,006,472"
"Jan 31, 2024","2,966.00","2,971.90","2,948.05","2,957.85","2,929.51","1,771,244"
"Jan 30, 2024","2,990.00","3,005.00","2,951.05","2,954.10","2,925.79","1,273,188"
"Jan 29, 2024","2,940.05","2,988.45","2,940.05","2,976.05","2,947.53","1,862,723"
"Jan 25, 2024","3,010.05","3,016.00","2,942.30","2,949.20","2,920.94","2,001,961"
"Jan 24, 2024","3,055.00","3,055.00","2,976.10","2,999.45","2,970.71","2,665,932"
"Jan 23, 2024","3,087.55","3,109.00","3,021.55","3,054.70","3,025.43","2,365,225"
"Jan 19, 2024","3,177.80","3,201.55","3,148.60","3,165.85","3,135.51","936,201"
