Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,453.00","1,495.50","1,439.50","1,491.25","1,491.25","661,516"
"Oct 7, 2024","1,467.00","1,488.85","1,442.30","1,466.60","1,466.60","1,218,725"
"Oct 4, 2024","1,458.00","1,489.70","1,442.20","1,466.05","1,466.05","923,928"
"Oct 3, 2024","1,438.30","1,463.25","1,425.00","1,458.60","1,458.60","1,525,846"
"Oct 1, 2024","1,455.00","1,461.70","1,407.00","1,438.30","1,438.30","2,603,178"
"Sep 30, 2024","1,512.05","1,518.90","1,444.00","1,460.70","1,460.70","1,857,748"
"Sep 27, 2024","1,505.00","1,520.85","1,489.65","1,511.35","1,511.35","704,353"
"Sep 26, 2024","1,530.10","1,530.30","1,493.90","1,515.30","1,515.30","853,880"
"Sep 25, 2024","1,507.00","1,531.45","1,498.50","1,526.75","1,526.75","1,026,040"
"Sep 24, 2024","1,487.00","1,508.30","1,471.70","1,501.15","1,501.15","1,153,620"
"Sep 23, 2024","1,498.00","1,510.50","1,470.00","1,480.95","1,480.95","2,358,329"
"Sep 20, 2024","1,537.80","1,540.85","1,482.60","1,496.35","1,496.35","2,007,987"
"Sep 19, 2024","1,550.10","1,559.90","1,511.00","1,528.10","1,528.10","692,586"
"Sep 18, 2024","1,552.45","1,559.90","1,518.05","1,539.15","1,539.15","581,463"
"Sep 17, 2024","1,564.00","1,568.30","1,549.05","1,552.45","1,552.45","584,857"
"Sep 16, 2024","1,574.85","1,583.95","1,551.30","1,564.00","1,564.00","1,277,762"
"Sep 13, 2024","1,565.00","1,592.00","1,555.00","1,567.25","1,567.25","1,185,312"
"Sep 12, 2024","1,521.50","1,578.00","1,521.50","1,561.45","1,561.45","4,067,763"
"Sep 11, 2024","1,533.60","1,546.20","1,502.40","1,507.40","1,507.40","979,903"
"Sep 10, 2024","1,528.00","1,534.70","1,515.20","1,518.40","1,518.40","877,176"
"Sep 9, 2024","1,537.35","1,540.00","1,512.75","1,518.50","1,518.50","841,713"
"Sep 6, 2024","1,533.80","1,546.75","1,516.25","1,537.40","1,537.40","1,043,914"
"Sep 5, 2024","1,542.15","1,559.00","1,529.50","1,533.55","1,533.55","1,023,539"
"Sep 4, 2024","1,528.00","1,556.50","1,528.00","1,550.15","1,550.15","1,069,656"
"Sep 3, 2024","1,553.00","1,569.80","1,546.40","1,549.40","1,549.40","1,033,542"
"Sep 2, 2024","1,580.80","1,584.45","1,549.10","1,553.95","1,553.95","728,911"
"Aug 30, 2024","1,560.00","1,580.60","1,551.00","1,569.40","1,569.40","1,757,837"
"Aug 29, 2024","1,555.55","1,574.90","1,555.10","1,563.15","1,563.15","573,393"
"Aug 28, 2024","1,551.95","1,578.35","1,544.95","1,564.20","1,564.20","999,085"
"Aug 27, 2024","1,543.60","1,556.15","1,537.90","1,551.95","1,551.95","434,249"
