Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,153.00","1,168.35","1,142.50","1,153.30","1,153.30","8,464,570"
"Oct 7, 2024","1,182.95","1,184.85","1,130.90","1,145.70","1,145.70","20,047,013"
"Oct 4, 2024","1,175.50","1,202.80","1,174.00","1,178.40","1,178.40","13,064,515"
"Oct 3, 2024","1,207.50","1,219.15","1,173.10","1,175.70","1,175.70","17,300,892"
"Oct 1, 2024","1,228.10","1,242.95","1,224.65","1,226.65","1,226.65","11,164,280"
"Sep 30, 2024","1,263.50","1,275.00","1,229.35","1,232.20","1,232.20","8,466,919"
"Sep 27, 2024","1,273.00","1,281.55","1,257.25","1,273.15","1,273.15","13,372,027"
"Sep 26, 2024","1,267.55","1,281.65","1,262.25","1,277.10","1,277.10","7,270,078"
"Sep 25, 2024","1,238.00","1,271.00","1,231.10","1,268.10","1,268.10","6,853,324"
"Sep 24, 2024","1,241.10","1,247.10","1,235.35","1,239.55","1,239.55","9,225,946"
"Sep 23, 2024","1,251.50","1,252.45","1,240.55","1,246.80","1,246.80","5,462,814"
"Sep 20, 2024","1,244.00","1,250.00","1,229.90","1,245.00","1,245.00","15,009,629"
"Sep 19, 2024","1,248.45","1,261.70","1,239.00","1,242.70","1,242.70","8,449,864"
"Sep 18, 2024","1,231.90","1,250.40","1,225.00","1,240.45","1,240.45","8,210,034"
"Sep 17, 2024","1,235.20","1,240.60","1,227.60","1,232.10","1,232.10","8,030,427"
"Sep 16, 2024","1,222.00","1,234.00","1,215.00","1,231.05","1,231.05","4,039,284"
"Sep 13, 2024","1,209.90","1,219.55","1,201.00","1,217.45","1,217.45","6,762,566"
"Sep 12, 2024","1,190.10","1,205.70","1,176.75","1,203.35","1,203.35","7,592,871"
"Sep 11, 2024","1,187.20","1,194.85","1,181.00","1,186.10","1,186.10","6,000,329"
"Sep 10, 2024","1,178.90","1,190.85","1,173.35","1,187.20","1,187.20","8,723,854"
"Sep 9, 2024","1,158.00","1,175.60","1,145.00","1,170.85","1,170.85","7,700,940"
"Sep 6, 2024","1,176.00","1,181.35","1,150.80","1,158.75","1,158.75","9,874,576"
"Sep 5, 2024","1,182.00","1,182.85","1,173.45","1,180.55","1,180.55","4,234,766"
"Sep 4, 2024","1,182.70","1,189.65","1,173.30","1,177.70","1,177.70","6,527,941"
"Sep 3, 2024","1,188.00","1,193.55","1,176.70","1,191.60","1,191.60","7,920,246"
"Sep 2, 2024","1,176.00","1,194.00","1,174.10","1,188.80","1,188.80","6,432,362"
"Aug 30, 2024","1,177.00","1,182.95","1,171.85","1,175.25","1,175.25","10,190,506"
"Aug 29, 2024","1,169.00","1,179.90","1,163.40","1,175.40","1,175.40","7,290,114"
"Aug 28, 2024","1,177.00","1,181.70","1,169.35","1,170.95","1,170.95","5,483,503"
"Aug 27, 2024","1,170.00","1,184.85","1,164.25","1,181.25","1,181.25","8,702,113"
"Aug 26, 2024","1,171.70","1,175.25","1,166.10","1,170.30","1,170.30","3,392,612"
"Aug 23, 2024","1,170.00","1,173.95","1,163.50","1,165.95","1,165.95","5,121,962"
"Aug 22, 2024","1,179.70","1,181.00","1,168.95","1,169.95","1,169.95","5,841,326"
"Aug 21, 2024","1,166.60","1,178.00","1,161.50","1,174.40","1,174.40","9,480,630"
"Aug 20, 2024","1,158.00","1,177.00","1,154.65","1,168.00","1,168.00","6,721,749"
"Aug 19, 2024","1,169.00","1,171.30","1,150.20","1,153.25","1,153.25","6,691,823"
"Aug 16, 2024","1,166.40","1,170.00","1,149.60","1,166.85","1,166.85","6,107,134"
