Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,662.60","1,679.50","1,652.00","1,657.45","1,657.45","5,224,335"
"Oct 7, 2024","1,651.00","1,670.00","1,642.45","1,662.05","1,662.05","5,387,707"
"Oct 4, 2024","1,670.05","1,686.70","1,630.15","1,640.90","1,640.90","8,576,527"
"Oct 3, 2024","1,665.00","1,695.00","1,665.00","1,673.45","1,673.45","7,200,276"
"Oct 1, 2024","1,705.00","1,722.85","1,696.00","1,698.70","1,698.70","3,649,090"
"Sep 30, 2024","1,714.00","1,733.00","1,704.20","1,709.55","1,709.55","6,907,288"
"Sep 27, 2024","1,755.20","1,763.45","1,722.50","1,734.60","1,734.60","7,116,861"
"Sep 26, 2024","1,770.00","1,779.00","1,746.15","1,771.10","1,771.10","7,417,423"
"Sep 25, 2024","1,755.55","1,766.90","1,745.00","1,760.40","1,760.40","4,017,103"
"Sep 24, 2024","1,752.00","1,767.55","1,746.10","1,756.65","1,756.65","7,579,205"
"Sep 23, 2024","1,719.00","1,754.25","1,719.00","1,750.45","1,750.45","5,001,827"
"Sep 20, 2024","1,671.00","1,723.40","1,666.00","1,711.75","1,711.75","21,646,275"
"Sep 19, 2024","1,647.70","1,711.70","1,647.70","1,664.85","1,664.85","8,498,240"
"Sep 18, 2024","1,655.20","1,670.95","1,647.85","1,654.90","1,654.90","3,171,195"
"Sep 17, 2024","1,650.00","1,666.05","1,638.50","1,661.75","1,661.75","4,223,072"
"Sep 16, 2024","1,634.45","1,652.95","1,630.10","1,635.45","1,635.45","3,762,063"
"Sep 13, 2024","1,651.00","1,654.90","1,631.05","1,634.45","1,634.45","5,609,618"
"Sep 12, 2024","1,596.15","1,652.80","1,590.10","1,646.75","1,646.75","12,204,496"
"Sep 11, 2024","1,578.45","1,598.90","1,574.45","1,577.80","1,577.80","5,994,914"
"Sep 10, 2024","1,545.15","1,586.00","1,545.15","1,577.85","1,577.85","6,163,457"
"Sep 9, 2024","1,523.25","1,546.75","1,523.25","1,542.65","1,542.65","3,912,508"
"Sep 6, 2024","1,552.80","1,555.60","1,530.20","1,539.25","1,539.25","5,497,805"
"Sep 5, 2024","1,559.00","1,563.00","1,541.50","1,547.20","1,547.20","5,652,812"
"Sep 4, 2024","1,558.00","1,566.00","1,542.00","1,561.90","1,561.90","5,213,811"
"Sep 3, 2024","1,579.00","1,579.00","1,558.60","1,560.60","1,560.60","4,546,295"
"Sep 2, 2024","1,605.00","1,605.00","1,565.50","1,571.35","1,571.35","4,890,314"
"Aug 30, 2024","1,576.00","1,608.40","1,561.60","1,589.05","1,589.05","37,820,442"
"Aug 29, 2024","1,565.00","1,571.70","1,545.95","1,565.90","1,565.90","8,036,748"
"Aug 28, 2024","1,527.95","1,564.50","1,521.65","1,556.35","1,556.35","6,225,319"
"Aug 27, 2024","1,518.00","1,526.35","1,502.00","1,522.75","1,522.75","3,965,066"
"Aug 26, 2024","1,509.00","1,520.70","1,505.00","1,513.55","1,513.55","4,307,432"
"Aug 23, 2024","1,493.00","1,510.00","1,479.35","1,506.75","1,506.75","6,238,112"
"Aug 22, 2024","1,473.70","1,499.90","1,465.00","1,486.35","1,486.35","6,781,325"
"Aug 21, 2024","1,453.00","1,466.60","1,447.70","1,463.45","1,463.45","6,175,510"
"Aug 20, 2024","1,480.00","1,484.75","1,446.50","1,449.15","1,449.15","10,046,892"
"Aug 19, 2024","1,487.00","1,489.10","1,464.30","1,469.65","1,469.65","4,404,075"
"Aug 16, 2024","1,480.00","1,491.00","1,468.10","1,483.55","1,483.55","7,176,426"
"Aug 14, 2024","1,453.10","1,480.10","1,453.10","1,471.70","1,471.70","5,891,784"
"Aug 13, 2024","1,468.00","1,478.40","1,450.35","1,459.70","1,459.70","4,495,208"
"Aug 12, 2024","1,466.00","1,477.50","1,445.00","1,458.60","1,458.60","4,028,226"
"Aug 9, 2024","1,465.00","1,482.00","1,457.30","1,464.10","1,464.10","3,615,910"
"Aug 8, 2024","1,435.00","1,466.50","1,430.00","1,451.80","1,451.80","5,986,360"
"Aug 7, 2024",8.00 Dividend
"Aug 7, 2024","1,452.00","1,454.90","1,422.60","1,441.75","1,441.75","5,700,734"
"Aug 6, 2024","1,483.10","1,492.90","1,431.10","1,443.55","1,435.55","8,249,573"
"Aug 5, 2024","1,482.00","1,488.00","1,451.50","1,465.70","1,457.58","5,111,901"
"Aug 2, 2024","1,494.10","1,505.15","1,483.60","1,493.80","1,485.52","3,335,905"
"Aug 1, 2024","1,485.00","1,511.00","1,485.00","1,505.50","1,497.16","4,531,379"
"Jul 31, 2024","1,477.85","1,504.15","1,473.15","1,491.55","1,483.28","5,634,305"
"Jul 30, 2024","1,484.40","1,484.90","1,464.05","1,470.35","1,462.20","4,263,689"
"Jul 29, 2024","1,525.00","1,525.00","1,477.05","1,481.35","1,473.14","4,589,313"
"Jul 26, 2024","1,450.25","1,520.00","1,449.15","1,514.40","1,506.01","9,564,987"
"Jul 25, 2024","1,445.00","1,454.00","1,440.10","1,449.15","1,441.12","4,277,756"
"Jul 24, 2024","1,466.00","1,475.60","1,436.55","1,455.20","1,447.14","4,529,339"
"Jul 23, 2024","1,470.00","1,470.00","1,428.45","1,465.70","1,457.58","2,936,143"
"Jul 22, 2024","1,450.00","1,472.00","1,449.05","1,465.40","1,457.28","3,560,584"
"Jul 19, 2024","1,480.00","1,480.00","1,451.95","1,461.75","1,453.65","3,858,596"
"Jul 18, 2024","1,466.00","1,485.95","1,459.05","1,483.65","1,475.43","6,470,342"
"Jul 16, 2024","1,452.00","1,473.30","1,445.00","1,466.50","1,458.37","6,967,651"
"Jul 15, 2024","1,433.25","1,440.00","1,426.05","1,437.60","1,429.63","3,324,806"
"Jul 12, 2024","1,442.00","1,447.60","1,421.45","1,433.25","1,425.31","6,342,135"
"Jul 11, 2024","1,450.00","1,450.85","1,428.00","1,437.95","1,429.98","4,178,558"
"Jul 10, 2024","1,441.00","1,448.75","1,426.15","1,445.05","1,437.04","3,416,762"
"Jul 9, 2024","1,436.00","1,441.65","1,428.15","1,435.55","1,427.59","2,897,480"
"Jul 8, 2024","1,431.00","1,438.85","1,423.15","1,435.15","1,427.20","3,261,797"
"Jul 5, 2024","1,422.50","1,433.60","1,416.85","1,429.70","1,421.78","4,881,198"
"Jul 4, 2024","1,418.00","1,441.10","1,411.50","1,423.05","1,415.16","9,570,938"
"Jul 3, 2024","1,427.95","1,432.40","1,408.45","1,419.85","1,411.98","8,261,388"
"Jul 2, 2024","1,462.00","1,473.40","1,417.00","1,418.95","1,411.09","7,792,632"
"Jul 1, 2024","1,450.00","1,466.80","1,449.25","1,454.00","1,445.94","6,011,806"
"Jun 28, 2024","1,536.25","1,536.25","1,436.65","1,444.05","1,436.05","29,145,832"
"Jun 27, 2024","1,464.00","1,489.00","1,440.05","1,475.80","1,467.62","19,675,528"
"Jun 26, 2024","1,414.95","1,479.95","1,408.95","1,459.50","1,451.41","9,579,826"
"Jun 25, 2024","1,434.00","1,434.00","1,409.85","1,414.95","1,407.11","6,353,748"
"Jun 24, 2024","1,402.00","1,423.80","1,389.35","1,419.80","1,411.93","6,195,831"
"Jun 21, 2024","1,384.95","1,423.95","1,372.85","1,416.05","1,408.20","43,929,578"
"Jun 20, 2024","1,405.95","1,406.95","1,376.25","1,381.15","1,373.50","8,742,855"
"Jun 19, 2024","1,433.95","1,434.80","1,388.30","1,392.35","1,384.63","8,640,918"
"Jun 18, 2024","1,444.00","1,444.00","1,418.00","1,428.35","1,420.43","8,671,131"
"Jun 14, 2024","1,434.00","1,434.00","1,420.95","1,427.40","1,419.49","3,978,442"
"Jun 13, 2024","1,449.00","1,455.95","1,420.45","1,425.75","1,417.85","7,990,376"
"Jun 12, 2024","1,425.00","1,447.85","1,422.10","1,438.40","1,430.43","4,876,138"
"Jun 11, 2024","1,426.00","1,434.60","1,413.00","1,427.25","1,419.34","4,416,792"
