Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,389.00","1,410.00","1,333.05","1,343.65","1,343.65","356,305"
"Oct 7, 2024","1,376.90","1,400.90","1,355.90","1,378.75","1,378.75","2,470,388"
"Oct 4, 2024","1,368.95","1,419.70","1,357.50","1,370.00","1,370.00","675,188"
"Oct 3, 2024","1,400.00","1,411.30","1,365.00","1,369.70","1,369.70","380,995"
"Oct 1, 2024","1,424.00","1,437.00","1,404.00","1,431.15","1,431.15","352,447"
"Sep 30, 2024","1,400.00","1,439.95","1,383.90","1,417.05","1,417.05","425,519"
"Sep 27, 2024","1,345.00","1,448.70","1,340.45","1,414.50","1,414.50","1,051,988"
"Sep 26, 2024","1,345.30","1,352.75","1,330.00","1,344.75","1,344.75","588,697"
"Sep 25, 2024","1,321.05","1,361.70","1,318.65","1,333.75","1,333.75","481,003"
"Sep 24, 2024","1,333.30","1,338.80","1,318.35","1,326.20","1,326.20","431,447"
"Sep 23, 2024","1,343.25","1,352.45","1,324.80","1,333.60","1,333.60","97,493"
"Sep 20, 2024","1,342.90","1,376.00","1,325.00","1,332.45","1,332.45","640,015"
"Sep 19, 2024","1,365.00","1,369.00","1,318.35","1,327.90","1,327.90","527,498"
"Sep 18, 2024","1,364.00","1,369.20","1,349.75","1,361.55","1,361.55","566,095"
"Sep 17, 2024","1,351.20","1,366.00","1,329.95","1,354.45","1,354.45","129,046"
"Sep 16, 2024","1,342.00","1,355.00","1,336.05","1,351.20","1,351.20","194,988"
"Sep 13, 2024","1,324.00","1,349.00","1,324.00","1,335.55","1,335.55","329,650"
"Sep 12, 2024","1,320.00","1,324.30","1,308.90","1,320.20","1,320.20","389,281"
"Sep 11, 2024","1,317.85","1,325.70","1,310.85","1,320.40","1,320.40","307,552"
"Sep 10, 2024","1,315.00","1,325.55","1,303.90","1,317.85","1,317.85","430,894"
"Sep 9, 2024","1,312.55","1,318.00","1,297.60","1,312.00","1,312.00","862,268"
"Sep 6, 2024","1,306.25","1,333.00","1,304.45","1,318.75","1,318.75","597,373"
"Sep 5, 2024","1,270.00","1,306.00","1,265.60","1,302.05","1,302.05","565,136"
"Sep 4, 2024","1,226.40","1,272.00","1,226.40","1,268.45","1,268.45","612,560"
"Sep 3, 2024","1,280.00","1,302.00","1,239.00","1,245.10","1,245.10","997,978"
"Sep 2, 2024","1,220.00","1,269.00","1,207.35","1,241.10","1,241.10","888,325"
"Aug 30, 2024","1,216.80","1,227.70","1,193.70","1,204.55","1,204.55","342,427"
"Aug 29, 2024","1,170.00","1,212.00","1,166.35","1,202.20","1,202.20","370,295"
"Aug 28, 2024","1,196.50","1,197.65","1,161.10","1,173.60","1,173.60","298,409"
"Aug 27, 2024","1,153.00","1,193.00","1,147.05","1,188.40","1,188.40","275,117"
"Aug 26, 2024","1,146.55","1,170.80","1,124.15","1,154.35","1,154.35","482,576"
"Aug 23, 2024","1,150.05","1,165.65","1,121.20","1,130.85","1,130.85","272,373"
"Aug 22, 2024","1,159.00","1,164.45","1,142.00","1,150.80","1,150.80","162,137"
"Aug 21, 2024","1,170.10","1,196.25","1,146.90","1,152.85","1,152.85","244,987"
"Aug 20, 2024","1,149.95","1,179.85","1,140.80","1,169.05","1,169.05","1,039,967"
"Aug 19, 2024","1,162.00","1,162.00","1,141.10","1,146.70","1,146.70","111,809"
"Aug 16, 2024","1,144.05","1,162.45","1,115.00","1,152.35","1,152.35","1,130,217"
"Aug 14, 2024","1,136.75","1,136.80","1,112.00","1,121.50","1,121.50","360,284"
"Aug 13, 2024","1,139.15","1,140.00","1,105.80","1,120.80","1,120.80","606,800"
"Aug 12, 2024","1,100.00","1,141.65","1,089.80","1,139.15","1,139.15","384,166"
"Aug 9, 2024","1,176.10","1,176.95","1,119.45","1,125.40","1,125.40","467,959"
"Aug 8, 2024","1,180.00","1,198.90","1,153.70","1,159.65","1,159.65","338,145"
"Aug 7, 2024","1,174.15","1,192.15","1,139.85","1,175.60","1,175.60","273,463"
"Aug 6, 2024","1,205.35","1,247.00","1,150.05","1,157.45","1,157.45","1,324,247"
"Aug 5, 2024","1,170.00","1,174.60","1,114.00","1,124.25","1,124.25","375,033"
"Aug 2, 2024","1,245.05","1,245.05","1,195.00","1,198.55","1,198.55","241,377"
"Aug 1, 2024","1,260.30","1,282.85","1,245.60","1,258.00","1,258.00","193,491"
