Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","6,137.70","6,234.80","6,052.05","6,204.40","6,204.40","708,471"
"Oct 7, 2024","6,222.65","6,235.00","6,105.00","6,120.30","6,120.30","374,593"
"Oct 4, 2024","6,278.25","6,339.95","6,179.85","6,206.00","6,206.00","395,753"
"Oct 3, 2024","6,444.20","6,469.90","6,290.00","6,331.75","6,331.75","495,791"
"Oct 1, 2024","6,306.90","6,463.60","6,306.90","6,446.05","6,446.05","416,639"
"Sep 30, 2024","6,252.65","6,362.90","6,241.10","6,338.15","6,338.15","442,617"
"Sep 27, 2024","6,237.70","6,332.95","6,180.80","6,268.80","6,268.80","400,543"
"Sep 26, 2024","6,200.00","6,270.40","6,154.35","6,254.10","6,254.10","327,297"
"Sep 25, 2024","6,203.00","6,203.00","6,101.55","6,180.30","6,180.30","357,145"
"Sep 24, 2024","6,200.75","6,245.90","6,185.05","6,203.15","6,203.15","234,706"
"Sep 23, 2024","6,235.25","6,250.00","6,190.80","6,211.20","6,211.20","312,563"
"Sep 20, 2024","6,165.35","6,258.65","6,125.85","6,210.55","6,210.55","663,556"
"Sep 19, 2024","6,128.90","6,225.00","6,113.65","6,134.50","6,134.50","362,388"
"Sep 18, 2024","6,135.00","6,166.55","6,060.05","6,123.25","6,123.25","218,424"
"Sep 17, 2024","6,073.45","6,204.65","6,069.15","6,111.05","6,111.05","527,917"
"Sep 16, 2024","6,000.00","6,130.00","5,936.80","6,063.00","6,063.00","352,336"
"Sep 13, 2024","6,138.00","6,148.80","6,057.35","6,133.10","6,133.10","274,846"
"Sep 12, 2024","6,018.65","6,128.70","6,004.70","6,109.25","6,109.25","548,745"
"Sep 11, 2024","5,953.05","6,047.05","5,947.25","6,008.65","6,008.65","437,060"
"Sep 10, 2024","5,980.05","6,010.00","5,930.05","5,969.90","5,969.90","337,831"
"Sep 9, 2024","5,859.95","5,961.20","5,846.20","5,939.45","5,939.45","321,187"
"Sep 6, 2024","5,846.70","5,884.80","5,827.10","5,843.55","5,843.55","213,556"
"Sep 5, 2024","5,911.75","5,920.00","5,833.30","5,850.00","5,850.00","170,014"
"Sep 4, 2024","5,849.95","5,935.35","5,828.00","5,926.55","5,926.55","219,283"
"Sep 3, 2024","5,933.00","5,944.00","5,870.00","5,916.05","5,916.05","258,133"
"Sep 2, 2024","5,882.05","5,933.95","5,865.00","5,922.15","5,922.15","307,023"
"Aug 30, 2024","5,842.95","5,908.90","5,793.25","5,855.25","5,855.25","519,387"
"Aug 29, 2024","5,710.00","5,845.00","5,696.15","5,831.40","5,831.40","351,330"
"Aug 28, 2024","5,746.55","5,775.40","5,690.05","5,703.35","5,703.35","161,445"
"Aug 27, 2024","5,828.80","5,845.40","5,735.00","5,764.30","5,764.30","175,740"
"Aug 26, 2024","5,800.00","5,860.00","5,776.25","5,796.95","5,796.95","265,107"
"Aug 23, 2024","5,837.00","5,850.00","5,784.35","5,792.65","5,792.65","124,435"
"Aug 22, 2024","5,858.00","5,858.00","5,808.65","5,836.80","5,836.80","160,154"
"Aug 21, 2024","5,773.80","5,849.90","5,756.50","5,837.35","5,837.35","169,215"
"Aug 20, 2024","5,740.45","5,773.80","5,728.25","5,765.80","5,765.80","189,035"
"Aug 19, 2024","5,745.00","5,763.25","5,718.10","5,732.50","5,732.50","102,452"
"Aug 16, 2024","5,670.50","5,742.45","5,662.50","5,729.65","5,729.65","144,969"
"Aug 14, 2024","5,676.00","5,695.20","5,594.15","5,659.15","5,659.15","164,575"
"Aug 13, 2024","5,678.95","5,714.95","5,617.05","5,666.50","5,666.50","236,505"
"Aug 12, 2024","5,745.00","5,774.50","5,625.00","5,645.75","5,645.75","622,193"
"Aug 9, 2024","5,770.40","5,785.55","5,720.00","5,740.30","5,740.30","232,215"
"Aug 8, 2024","5,844.75","5,861.95","5,725.00","5,744.65","5,744.65","271,628"
