Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,624.65","1,653.20","1,623.85","1,640.70","1,640.70","1,239,808"
"Oct 7, 2024","1,623.00","1,644.85","1,612.05","1,624.65","1,624.65","1,553,239"
"Oct 4, 2024","1,645.10","1,656.40","1,577.30","1,623.30","1,623.30","2,371,220"
"Oct 3, 2024","1,661.25","1,678.00","1,640.35","1,656.55","1,656.55","1,533,472"
"Oct 1, 2024","1,660.00","1,667.05","1,651.55","1,664.85","1,664.85","945,740"
"Sep 30, 2024","1,675.00","1,678.90","1,646.30","1,654.10","1,654.10","1,313,437"
"Sep 27, 2024","1,630.15","1,679.05","1,630.00","1,672.50","1,672.50","3,866,952"
"Sep 26, 2024","1,643.20","1,652.45","1,602.30","1,621.80","1,621.80","2,613,098"
"Sep 25, 2024","1,638.00","1,649.00","1,618.25","1,643.20","1,643.20","759,761"
"Sep 24, 2024","1,625.00","1,659.60","1,624.95","1,637.55","1,637.55","1,476,260"
"Sep 23, 2024","1,646.85","1,664.85","1,638.00","1,658.15","1,658.15","1,129,445"
"Sep 20, 2024","1,645.90","1,652.60","1,609.80","1,638.65","1,638.65","2,504,382"
"Sep 19, 2024","1,660.00","1,668.00","1,632.75","1,637.70","1,637.70","2,048,750"
"Sep 18, 2024","1,673.00","1,673.00","1,638.05","1,651.60","1,651.60","1,084,127"
"Sep 17, 2024","1,660.00","1,683.00","1,656.70","1,671.80","1,671.80","958,137"
"Sep 16, 2024","1,661.20","1,671.85","1,654.15","1,659.40","1,659.40","683,436"
"Sep 13, 2024","1,658.90","1,669.20","1,643.50","1,659.70","1,659.70","747,149"
"Sep 12, 2024","1,635.00","1,660.00","1,630.55","1,657.25","1,657.25","1,728,200"
"Sep 11, 2024","1,627.10","1,652.30","1,624.25","1,628.35","1,628.35","1,243,738"
"Sep 10, 2024","1,633.00","1,644.35","1,624.30","1,632.00","1,632.00","1,248,269"
"Sep 9, 2024","1,611.05","1,636.80","1,610.00","1,620.15","1,620.15","1,003,511"
"Sep 6, 2024","1,627.75","1,631.95","1,608.05","1,611.05","1,611.05","913,336"
"Sep 5, 2024","1,651.10","1,659.95","1,623.40","1,627.75","1,627.75","1,081,756"
"Sep 4, 2024","1,635.05","1,658.00","1,630.80","1,651.90","1,651.90","1,019,049"
"Sep 3, 2024","1,643.30","1,659.85","1,643.30","1,653.20","1,653.20","1,264,708"
"Sep 2, 2024","1,669.00","1,681.60","1,642.00","1,646.65","1,646.65","1,306,971"
"Aug 30, 2024","1,615.00","1,663.70","1,615.00","1,654.90","1,654.90","3,296,701"
"Aug 29, 2024","1,622.00","1,642.30","1,609.00","1,618.55","1,618.55","2,749,546"
"Aug 28, 2024","1,604.00","1,630.00","1,595.20","1,618.20","1,618.20","1,433,847"
"Aug 27, 2024","1,586.50","1,619.80","1,586.50","1,598.05","1,598.05","1,570,234"
"Aug 26, 2024","1,570.00","1,596.00","1,566.55","1,593.95","1,593.95","658,120"
"Aug 23, 2024","1,580.05","1,585.80","1,568.45","1,574.55","1,574.55","770,573"
