Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",480.80,492.75,476.45,491.85,491.85,"6,049,075"
"Oct 7, 2024",498.10,500.55,475.35,480.45,480.45,"8,940,891"
"Oct 4, 2024",499.60,504.65,494.05,497.20,497.20,"7,170,285"
"Oct 3, 2024",499.50,509.90,499.50,502.35,502.35,"11,285,134"
"Oct 1, 2024",512.00,516.00,506.15,508.50,508.50,"4,743,517"
"Sep 30, 2024",513.00,513.45,502.50,510.15,510.15,"8,881,502"
"Sep 27, 2024",506.55,517.85,504.90,516.10,516.10,"15,443,031"
"Sep 26, 2024",506.00,507.45,500.05,506.55,506.55,"6,877,039"
"Sep 25, 2024",506.50,507.00,502.00,505.30,505.30,"5,059,851"
"Sep 24, 2024",505.00,506.65,501.55,504.30,504.30,"7,306,001"
"Sep 23, 2024",493.50,502.50,490.50,500.60,500.60,"6,123,879"
"Sep 20, 2024",480.95,498.00,480.30,490.95,490.95,"12,982,128"
"Sep 19, 2024",489.00,491.60,476.25,477.95,477.95,"10,014,450"
"Sep 18, 2024",489.80,493.60,486.15,487.10,487.10,"6,527,832"
"Sep 17, 2024",493.25,494.80,487.65,488.50,488.50,"5,063,902"
"Sep 16, 2024",492.50,494.90,487.35,493.25,493.25,"5,244,657"
"Sep 13, 2024",497.00,497.85,489.50,490.25,490.25,"8,093,877"
"Sep 12, 2024",487.00,497.25,482.25,495.65,495.65,"12,058,489"
"Sep 11, 2024",492.85,493.55,481.95,483.95,483.95,"8,134,497"
"Sep 10, 2024",487.30,492.00,481.80,491.10,491.10,"9,809,547"
"Sep 9, 2024",488.00,488.50,478.05,484.45,484.45,"10,189,742"
"Sep 6, 2024",499.00,499.00,481.05,488.55,488.55,"13,110,103"
"Sep 5, 2024",507.50,507.50,495.15,497.00,497.00,"10,830,621"
"Sep 4, 2024",516.85,516.85,500.55,503.65,503.65,"16,783,593"
"Sep 3, 2024",521.00,523.60,518.25,519.60,519.60,"5,526,155"
"Sep 2, 2024",527.00,529.00,517.65,520.85,520.85,"6,370,038"
"Aug 30, 2024",530.00,537.00,522.00,524.95,524.95,"30,921,282"
"Aug 29, 2024",526.35,530.00,516.10,527.55,527.55,"9,147,836"
"Aug 28, 2024",533.90,535.55,525.45,526.35,526.35,"6,066,259"
"Aug 27, 2024",539.10,541.70,530.00,531.40,531.40,"7,865,530"
"Aug 26, 2024",542.00,543.55,534.70,538.10,538.10,"7,193,307"
"Aug 23, 2024",528.95,541.15,528.85,538.85,538.85,"12,566,904"
"Aug 22, 2024",534.00,535.45,526.80,528.85,528.85,"8,531,700"
"Aug 21, 2024",526.50,535.25,524.40,532.20,532.20,"9,067,794"
"Aug 20, 2024",524.35,528.45,521.05,524.60,524.60,"8,191,127"
"Aug 19, 2024",513.80,523.45,513.15,522.00,522.00,"10,737,456"
"Aug 16, 2024",5.00 Dividend
"Aug 16, 2024",507.70,515.75,502.50,512.30,512.30,"7,313,429"
"Aug 14, 2024",522.90,527.90,499.05,504.70,499.70,"14,766,889"
"Aug 13, 2024",525.00,529.90,520.00,521.75,516.58,"5,201,294"
"Aug 12, 2024",529.00,530.50,523.30,523.95,518.76,"5,238,736"
"Aug 9, 2024",530.00,531.35,521.85,529.80,524.55,"6,468,264"
"Aug 8, 2024",534.00,535.00,521.25,523.45,518.26,"13,624,148"
"Aug 7, 2024",507.70,532.80,507.70,531.50,526.23,"18,293,730"
"Aug 6, 2024",508.10,517.20,498.00,499.60,494.65,"7,142,269"
"Aug 5, 2024",515.00,515.00,497.55,506.80,501.78,"11,835,031"
"Aug 2, 2024",534.00,537.20,522.30,524.50,519.30,"10,985,150"
"Aug 1, 2024",535.00,542.25,528.00,540.40,535.05,"34,763,894"
"Jul 31, 2024",523.45,525.40,510.50,522.20,517.03,"11,972,565"
"Jul 30, 2024",512.15,525.60,509.95,519.35,514.20,"13,197,520"
"Jul 29, 2024",514.50,515.70,507.50,512.15,507.08,"7,259,754"
"Jul 26, 2024",498.25,511.70,498.25,509.85,504.80,"20,437,968"
"Jul 25, 2024",491.00,503.55,484.00,494.00,489.11,"10,281,157"
"Jul 24, 2024",486.70,499.40,485.10,493.80,488.91,"6,823,248"
"Jul 23, 2024",494.00,495.80,464.55,487.00,482.18,"11,311,831"
"Jul 22, 2024",488.00,496.00,483.55,491.20,486.33,"7,281,653"
"Jul 19, 2024",505.30,506.40,486.75,488.00,483.17,"9,971,704"
"Jul 18, 2024",515.35,515.80,501.25,505.25,500.24,"12,540,956"
"Jul 16, 2024",498.00,518.40,498.00,512.45,507.37,"23,169,665"
"Jul 15, 2024",500.00,503.60,492.55,497.75,492.82,"7,106,020"
"Jul 12, 2024",504.00,508.60,495.50,496.20,491.28,"8,198,389"
"Jul 11, 2024",492.00,506.00,488.55,500.05,495.10,"20,146,927"
"Jul 10, 2024",493.80,494.90,480.55,490.75,485.89,"5,981,477"
"Jul 9, 2024",496.95,496.95,491.10,493.80,488.91,"6,444,684"
"Jul 8, 2024",492.70,496.00,487.20,493.30,488.41,"7,477,292"
"Jul 5, 2024",489.50,493.30,486.90,491.50,486.63,"5,754,517"
"Jul 4, 2024",488.75,492.80,485.30,489.55,484.70,"7,796,954"
"Jul 3, 2024",481.90,487.65,479.40,484.95,480.15,"7,244,652"
"Jul 2, 2024",478.00,485.00,473.35,479.10,474.35,"14,629,287"
"Jul 1, 2024",473.35,476.30,471.25,474.80,470.10,"8,579,861"
"Jun 28, 2024",470.00,476.00,468.00,473.15,468.46,"8,302,706"
"Jun 27, 2024",468.75,469.00,461.50,467.05,462.42,"14,857,335"
"Jun 26, 2024",470.25,471.85,465.05,468.75,464.11,"6,655,899"
"Jun 25, 2024",475.90,477.95,465.30,469.25,464.60,"7,951,999"
"Jun 24, 2024",480.00,480.05,472.00,473.70,469.01,"11,124,175"
"Jun 21, 2024",483.15,491.40,479.00,480.20,475.44,"10,340,882"
"Jun 20, 2024",481.05,487.40,471.55,483.15,478.36,"7,864,157"
"Jun 19, 2024",489.40,491.20,476.50,477.95,473.22,"8,962,510"
"Jun 18, 2024",492.00,492.90,485.20,489.05,484.21,"6,946,544"
"Jun 14, 2024",487.90,492.40,485.25,486.95,482.13,"5,974,636"
"Jun 13, 2024",493.90,493.90,483.50,487.90,483.07,"7,438,571"
"Jun 12, 2024",481.00,494.30,479.35,488.70,483.86,"15,412,796"
"Jun 11, 2024",482.00,483.50,475.20,476.35,471.63,"11,169,021"
"Jun 10, 2024",485.00,488.00,475.50,477.70,472.97,"10,958,537"
"Jun 7, 2024",473.00,481.30,467.60,479.15,474.40,"8,317,343"
"Jun 6, 2024",470.00,484.40,464.65,472.95,468.26,"21,757,857"
"Jun 5, 2024",452.00,462.85,425.10,460.55,455.99,"18,966,089"
"Jun 4, 2024",512.35,512.40,410.80,441.90,437.52,"48,046,493"
"Jun 3, 2024",515.00,527.40,505.55,512.35,507.27,"24,416,215"
"May 31, 2024",484.40,493.10,479.00,491.20,486.33,"11,223,848"
"May 30, 2024",486.00,487.95,479.50,482.15,477.37,"7,725,080"
"May 29, 2024",482.10,491.90,482.10,486.45,481.63,"8,014,727"
"May 28, 2024",496.00,496.20,484.10,487.65,482.82,"8,165,238"
"May 27, 2024",502.95,503.00,490.75,494.45,489.55,"8,811,105"
"May 24, 2024",495.95,505.40,489.15,501.00,496.04,"12,190,536"
"May 23, 2024",503.40,503.80,492.10,497.30,492.37,"14,378,840"
"May 22, 2024",494.50,507.35,491.60,501.70,496.73,"28,346,931"
"May 21, 2024",469.70,493.90,469.70,490.65,485.79,"27,356,982"
"May 17, 2024",469.05,473.70,466.80,470.25,465.59,"10,625,019"
"May 16, 2024",468.65,475.00,457.85,468.30,463.66,"17,232,651"
"May 15, 2024",450.00,470.00,449.50,467.85,463.22,"23,543,942"
"May 14, 2024",446.70,450.65,445.10,448.70,444.25,"6,592,194"
"May 13, 2024",451.25,451.80,434.70,444.00,439.60,"11,107,909"
"May 10, 2024",447.20,451.15,440.25,449.40,444.95,"9,190,621"
"May 9, 2024",465.35,467.70,441.35,443.50,439.11,"15,601,338"
"May 8, 2024",456.70,471.40,455.10,464.45,459.85,"16,978,094"
"May 7, 2024",463.00,469.50,452.85,456.00,451.48,"13,728,379"
"May 6, 2024",479.00,481.45,444.05,460.60,456.04,"36,408,390"
"May 3, 2024",457.90,475.80,449.40,474.60,469.90,"51,071,947"
"May 2, 2024",457.55,459.55,449.40,453.90,449.40,"14,980,896"
"Apr 30, 2024",456.40,458.40,452.05,454.30,449.80,"6,021,793"
"Apr 29, 2024",458.70,458.70,450.55,453.25,448.76,"5,305,655"
"Apr 26, 2024",454.00,460.45,452.20,455.80,451.28,"7,209,435"
"Apr 25, 2024",443.00,454.00,441.75,452.45,447.97,"10,858,594"
"Apr 24, 2024",441.55,448.70,441.15,443.85,439.45,"6,538,090"
"Apr 23, 2024",445.75,445.75,439.25,440.95,436.58,"5,390,120"
"Apr 22, 2024",440.90,444.50,438.00,442.95,438.56,"6,396,926"
"Apr 19, 2024",436.00,438.60,428.05,435.30,430.99,"7,628,287"
"Apr 18, 2024",454.95,456.80,435.15,438.60,434.25,"10,945,138"
"Apr 16, 2024",449.00,456.40,446.35,453.20,448.71,"4,996,845"
"Apr 15, 2024",448.95,455.80,441.10,451.00,446.53,"7,680,715"
"Apr 12, 2024",455.00,463.45,452.55,455.60,451.09,"11,259,294"
"Apr 10, 2024",442.55,458.60,442.10,456.35,451.83,"15,825,331"
"Apr 9, 2024",448.70,450.30,437.25,439.85,435.49,"8,005,012"
"Apr 8, 2024",449.00,450.45,444.55,447.40,442.97,"3,980,972"
"Apr 5, 2024",448.75,448.85,444.00,446.95,442.52,"4,820,138"
"Apr 4, 2024",450.00,453.50,442.55,448.85,444.40,"14,743,020"
"Apr 3, 2024",443.20,447.00,440.90,445.50,441.09,"6,972,648"
"Apr 2, 2024",442.05,448.30,436.05,443.20,438.81,"11,530,800"
"Apr 1, 2024",436.70,443.80,434.80,442.05,437.67,"7,256,592"
"Mar 28, 2024",430.00,438.45,430.00,434.10,429.80,"10,332,853"
"Mar 27, 2024",439.80,439.80,426.05,429.45,425.20,"17,985,246"
"Mar 26, 2024",433.80,440.95,430.90,435.95,431.63,"9,389,403"
"Mar 22, 2024",430.90,436.20,428.30,431.95,427.67,"9,172,888"
"Mar 21, 2024",424.00,433.55,423.15,432.05,427.77,"9,911,230"
"Mar 20, 2024",419.80,422.80,412.70,419.50,415.34,"6,950,340"
"Mar 19, 2024",417.00,424.60,414.00,419.05,414.90,"8,373,676"
"Mar 18, 2024",416.00,423.50,413.55,421.85,417.67,"9,803,914"
"Mar 15, 2024",427.70,428.05,401.20,415.25,411.14,"25,435,001"
"Mar 14, 2024",419.00,428.85,412.20,427.70,423.46,"20,478,918"
"Mar 13, 2024",449.30,449.90,410.00,417.05,412.92,"17,803,423"
"Mar 12, 2024",453.90,455.80,446.70,449.30,444.85,"8,409,613"
"Mar 11, 2024",461.00,462.85,452.40,453.90,449.40,"7,824,738"
"Mar 7, 2024",461.60,465.40,456.05,458.60,454.06,"9,680,802"
"Mar 6, 2024",462.45,464.95,444.55,461.60,457.03,"14,061,966"
"Mar 5, 2024",456.00,461.75,453.55,460.65,456.09,"9,605,493"
"Mar 4, 2024",451.85,458.00,448.05,455.40,450.89,"11,977,226"
"Mar 1, 2024",438.00,448.80,438.00,446.35,441.93,"8,411,615"
"Feb 29, 2024",444.00,444.00,429.65,436.70,432.37,"11,711,699"
"Feb 28, 2024",440.30,442.85,430.35,434.20,429.90,"8,893,614"
"Feb 27, 2024",442.30,445.30,435.05,441.40,437.03,"8,343,526"
"Feb 26, 2024",443.90,447.25,440.55,442.30,437.92,"7,570,244"
"Feb 23, 2024",448.00,449.60,441.65,443.90,439.50,"9,625,544"
"Feb 22, 2024",438.00,448.00,427.95,445.15,440.74,"22,083,710"
"Feb 21, 2024",450.95,450.95,431.00,432.95,428.66,"19,032,050"
"Feb 20, 2024",5.25 Dividend
"Feb 20, 2024",457.95,457.95,441.00,446.50,442.08,"27,899,165"
"Feb 19, 2024",482.80,487.45,455.45,461.00,451.23,"19,798,448"
"Feb 16, 2024",482.40,487.60,477.50,480.00,469.83,"14,513,583"
"Feb 15, 2024",469.00,481.25,467.55,476.85,466.75,"18,501,875"
