Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","7,274.00","7,347.05","7,075.05","7,321.95","7,302.84","300,317"
"Oct 7, 2024","7,194.45","7,285.00","7,100.35","7,208.05","7,189.24","664,253"
"Oct 4, 2024","7,050.00","7,234.95","7,032.15","7,125.55","7,106.96","532,082"
"Oct 3, 2024","6,952.00","7,247.45","6,952.00","7,060.15","7,041.73","518,013"
"Oct 1, 2024","7,000.00","7,139.00","6,980.05","7,126.45","7,107.85","473,715"
"Sep 30, 2024","6,936.50","7,029.30","6,874.95","7,016.45","6,998.14","302,359"
"Sep 27, 2024","7,011.90","7,149.00","6,921.30","6,935.35","6,917.25","697,662"
"Sep 26, 2024","6,965.25","6,974.95","6,786.85","6,874.25","6,856.31","641,705"
"Sep 25, 2024","6,998.00","7,082.45","6,862.00","6,906.80","6,888.78","256,348"
"Sep 24, 2024","6,889.00","7,015.60","6,841.50","6,998.00","6,979.74","300,789"
"Sep 23, 2024","6,970.00","7,003.85","6,870.00","6,885.30","6,867.33","224,597"
"Sep 20, 2024","6,970.00","6,978.95","6,844.00","6,945.35","6,927.23","299,674"
"Sep 19, 2024","7,010.00","7,082.95","6,827.10","6,915.60","6,897.55","671,487"
"Sep 18, 2024","7,000.00","7,000.00","6,770.00","6,860.75","6,842.85","329,594"
"Sep 17, 2024","6,923.75","7,049.00","6,920.20","6,998.55","6,980.29","248,222"
"Sep 16, 2024","7,015.00","7,088.10","6,923.75","6,989.30","6,971.06","477,869"
"Sep 13, 2024","6,900.00","7,043.95","6,814.90","7,013.75","6,995.45","649,973"
"Sep 12, 2024","6,898.00","6,929.00","6,810.05","6,876.50","6,858.56","292,965"
"Sep 11, 2024","6,807.00","6,912.30","6,777.00","6,841.10","6,823.25","441,166"
"Sep 10, 2024","6,610.00","6,872.80","6,604.05","6,807.00","6,789.24","1,273,605"
"Sep 9, 2024","6,555.70","6,693.00","6,431.15","6,490.75","6,473.81","509,962"
"Sep 6, 2024","6,551.25","6,713.75","6,540.00","6,624.65","6,607.36","627,971"
"Sep 5, 2024","6,377.00","6,580.00","6,313.70","6,551.25","6,534.16","828,530"
"Sep 4, 2024","6,242.10","6,342.65","6,222.70","6,331.10","6,314.58","381,230"
"Sep 3, 2024","6,344.00","6,425.55","6,313.85","6,407.60","6,390.88","196,286"
"Sep 2, 2024","6,345.00","6,447.70","6,304.10","6,340.60","6,324.06","310,819"
"Aug 30, 2024","6,290.00","6,387.90","6,237.95","6,344.05","6,327.50","393,337"
"Aug 29, 2024","6,238.00","6,348.85","6,185.15","6,282.25","6,265.86","305,394"
"Aug 28, 2024","6,090.00","6,345.00","6,080.90","6,255.45","6,239.13","695,937"
"Aug 27, 2024","6,048.00","6,130.00","6,026.15","6,080.90","6,065.03","263,887"
"Aug 26, 2024","6,052.35","6,181.60","6,012.25","6,026.15","6,010.43","434,677"
"Aug 23, 2024","6,089.00","6,089.55","5,981.05","6,022.25","6,006.54","178,042"
"Aug 22, 2024","6,122.00","6,195.00","6,075.10","6,084.20","6,068.32","219,794"
"Aug 21, 2024","6,135.00","6,163.95","6,054.45","6,090.35","6,074.46","198,485"
"Aug 20, 2024","6,090.00","6,210.10","6,084.95","6,115.25","6,099.29","325,670"
"Aug 19, 2024","6,120.00","6,150.00","6,034.55","6,059.65","6,043.84","415,023"
"Aug 16, 2024","5,972.70","6,089.00","5,926.00","6,077.00","6,061.14","408,062"
"Aug 14, 2024","5,869.00","5,925.00","5,790.55","5,870.30","5,854.98","234,688"
"Aug 13, 2024","5,875.00","5,947.80","5,814.55","5,847.75","5,832.49","169,097"
"Aug 12, 2024","5,894.95","5,899.00","5,766.00","5,874.55","5,859.22","341,681"
"Aug 9, 2024","5,960.00","5,994.55","5,840.65","5,878.40","5,863.06","256,835"
"Aug 8, 2024","6,000.15","6,018.70","5,831.50","5,845.10","5,829.85","268,749"
"Aug 7, 2024","5,910.00","6,036.00","5,910.00","6,016.70","6,001.00","174,546"
"Aug 6, 2024","5,926.35","6,099.00","5,871.35","5,896.00","5,880.62","374,311"
"Aug 5, 2024","5,800.00","5,932.10","5,749.00","5,897.05","5,881.66","675,161"
"Aug 2, 2024",19.00 Dividend
"Aug 2, 2024","6,190.00","6,229.90","6,060.00","6,080.00","6,064.14","248,706"
"Aug 1, 2024","6,342.45","6,357.00","6,230.10","6,286.15","6,250.80","212,890"
"Jul 31, 2024","6,299.85","6,375.00","6,268.70","6,305.50","6,270.04","205,810"
"Jul 30, 2024","6,310.00","6,348.95","6,265.60","6,313.00","6,277.50","149,027"
"Jul 29, 2024","6,370.00","6,412.40","6,266.10","6,313.45","6,277.94","393,131"
"Jul 26, 2024","6,321.70","6,407.05","6,321.70","6,343.70","6,308.02","217,924"
"Jul 25, 2024","6,208.00","6,425.00","6,195.50","6,321.70","6,286.15","437,234"
"Jul 24, 2024","6,149.00","6,421.35","6,131.10","6,334.10","6,298.48","750,878"
"Jul 23, 2024","6,110.80","6,335.00","6,020.05","6,179.35","6,144.60","1,718,488"
"Jul 22, 2024","5,930.05","6,114.40","5,840.60","6,076.20","6,042.03","1,000,047"
"Jul 19, 2024","6,017.00","6,143.90","5,952.05","5,983.75","5,950.10","772,909"
"Jul 18, 2024","5,900.00","6,043.65","5,805.10","5,997.60","5,963.87","675,683"
"Jul 16, 2024","5,949.00","5,965.30","5,811.50","5,896.90","5,863.74","489,410"
"Jul 15, 2024","6,030.00","6,058.75","5,866.05","5,916.00","5,882.73","474,811"
"Jul 12, 2024","5,652.00","6,040.00","5,632.05","5,977.65","5,944.03","2,172,502"
"Jul 11, 2024","5,700.00","5,700.00","5,551.05","5,563.50","5,532.21","501,505"
"Jul 10, 2024","5,774.90","5,795.00","5,625.05","5,669.10","5,637.22","203,051"
"Jul 9, 2024","5,900.00","5,900.05","5,725.10","5,760.65","5,728.25","301,221"
"Jul 8, 2024","5,917.95","5,975.35","5,752.65","5,855.45","5,822.52","750,011"
"Jul 5, 2024","5,934.00","5,934.00","5,840.05","5,870.15","5,837.14","320,376"
"Jul 4, 2024","5,700.45","5,906.45","5,690.00","5,898.70","5,865.53","1,117,259"
"Jul 3, 2024","5,700.00","5,714.95","5,621.00","5,680.90","5,648.95","371,477"
"Jul 2, 2024","5,554.00","5,754.90","5,522.00","5,653.75","5,621.95","1,103,329"
"Jul 1, 2024","5,455.00","5,594.00","5,425.75","5,518.40","5,487.36","479,608"
"Jun 28, 2024","5,425.05","5,548.00","5,391.30","5,458.80","5,428.10","674,314"
"Jun 27, 2024","5,376.60","5,454.95","5,300.00","5,439.00","5,408.41","517,602"
"Jun 26, 2024","5,395.00","5,462.85","5,305.00","5,325.35","5,295.40","400,431"
"Jun 25, 2024","5,360.00","5,398.90","5,311.50","5,350.65","5,320.56","150,871"
