Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,630.00","1,656.80","1,622.00","1,651.05","1,651.05","14,867,203"
"Oct 7, 2024","1,652.20","1,659.00","1,613.00","1,617.80","1,617.80","47,229,148"
"Oct 4, 2024","1,674.50","1,690.65","1,653.00","1,657.65","1,657.65","24,341,616"
"Oct 3, 2024","1,715.65","1,726.15","1,673.35","1,682.00","1,682.00","24,236,699"
"Oct 1, 2024","1,724.00","1,742.00","1,720.10","1,726.20","1,726.20","12,286,142"
"Sep 30, 2024","1,748.80","1,751.45","1,724.40","1,732.05","1,732.05","13,191,767"
"Sep 27, 2024","1,777.00","1,778.20","1,750.00","1,752.65","1,752.65","17,806,751"
"Sep 26, 2024","1,773.05","1,788.00","1,768.05","1,783.45","1,783.45","15,949,822"
"Sep 25, 2024","1,760.15","1,788.00","1,760.15","1,779.10","1,779.10","15,982,656"
"Sep 24, 2024","1,765.00","1,781.65","1,754.25","1,768.05","1,768.05","16,519,518"
"Sep 23, 2024","1,749.00","1,766.35","1,740.25","1,759.80","1,759.80","13,482,675"
"Sep 20, 2024","1,716.50","1,744.95","1,707.55","1,741.20","1,741.20","30,311,693"
"Sep 19, 2024","1,699.20","1,719.00","1,699.15","1,708.50","1,708.50","15,325,888"
"Sep 18, 2024","1,671.85","1,698.90","1,671.10","1,694.80","1,694.80","20,458,671"
"Sep 17, 2024","1,678.00","1,678.00","1,664.15","1,668.80","1,668.80","10,063,561"
"Sep 16, 2024","1,667.00","1,677.80","1,664.05","1,670.95","1,670.95","7,586,410"
"Sep 13, 2024","1,674.00","1,674.00","1,657.05","1,665.95","1,665.95","11,930,266"
"Sep 12, 2024","1,654.00","1,670.00","1,647.05","1,666.60","1,666.60","16,212,023"
"Sep 11, 2024","1,650.40","1,652.50","1,639.20","1,643.90","1,643.90","11,113,342"
"Sep 10, 2024","1,654.00","1,654.00","1,638.00","1,650.35","1,650.35","13,303,323"
"Sep 9, 2024","1,638.00","1,648.50","1,630.10","1,646.50","1,646.50","11,896,457"
"Sep 6, 2024","1,638.30","1,647.75","1,634.10","1,636.95","1,636.95","13,014,801"
"Sep 5, 2024","1,646.00","1,649.90","1,642.00","1,645.45","1,645.45","11,438,159"
"Sep 4, 2024","1,639.00","1,644.80","1,632.00","1,641.80","1,641.80","12,341,372"
"Sep 3, 2024","1,634.00","1,639.95","1,624.60","1,637.35","1,637.35","18,641,430"
"Sep 2, 2024","1,646.80","1,646.80","1,623.20","1,626.95","1,626.95","17,024,840"
"Aug 30, 2024","1,656.00","1,662.00","1,621.15","1,636.90","1,636.90","222,671,050"
"Aug 29, 2024","1,642.00","1,644.40","1,631.15","1,638.55","1,638.55","24,526,302"
"Aug 28, 2024","1,637.75","1,639.75","1,630.20","1,637.10","1,637.10","13,460,594"
"Aug 27, 2024","1,643.40","1,647.40","1,632.20","1,637.75","1,637.75","17,886,622"
"Aug 26, 2024","1,632.20","1,647.95","1,632.20","1,639.95","1,639.95","11,182,133"
"Aug 23, 2024","1,634.00","1,634.00","1,623.00","1,625.05","1,625.05","10,166,711"
"Aug 22, 2024","1,632.00","1,638.30","1,628.00","1,631.30","1,631.30","10,650,319"
"Aug 21, 2024","1,628.10","1,634.55","1,617.80","1,625.80","1,625.80","23,815,452"
"Aug 20, 2024","1,627.45","1,646.00","1,627.45","1,637.70","1,637.70","15,567,247"
"Aug 19, 2024","1,637.65","1,637.65","1,623.70","1,631.55","1,631.55","9,751,082"
"Aug 16, 2024","1,628.50","1,634.15","1,611.00","1,632.10","1,632.10","13,924,623"
"Aug 14, 2024","1,606.50","1,613.70","1,603.20","1,607.80","1,607.80","16,167,214"
"Aug 13, 2024","1,628.00","1,632.40","1,601.15","1,603.20","1,603.20","27,027,521"
"Aug 12, 2024","1,652.00","1,675.95","1,647.35","1,660.10","1,660.10","19,658,098"
"Aug 9, 2024","1,652.00","1,662.55","1,645.80","1,650.20","1,650.20","13,322,309"
"Aug 8, 2024","1,624.00","1,653.30","1,619.25","1,642.70","1,642.70","16,988,475"
"Aug 7, 2024","1,617.00","1,630.00","1,602.20","1,623.50","1,623.50","21,173,132"
"Aug 6, 2024","1,630.00","1,632.95","1,593.30","1,601.20","1,601.20","22,558,025"
"Aug 5, 2024","1,640.10","1,646.00","1,601.00","1,615.75","1,615.75","20,666,817"
"Aug 2, 2024","1,631.00","1,670.50","1,631.00","1,659.15","1,659.15","22,059,619"
"Aug 1, 2024","1,622.90","1,650.05","1,617.95","1,638.80","1,638.80","13,107,587"
"Jul 31, 2024","1,614.00","1,627.90","1,609.20","1,615.75","1,615.75","18,910,242"
"Jul 30, 2024","1,602.00","1,634.75","1,599.00","1,615.55","1,615.55","27,297,917"
"Jul 29, 2024","1,615.00","1,631.85","1,598.30","1,605.05","1,605.05","25,500,574"
"Jul 26, 2024","1,605.00","1,621.75","1,596.45","1,618.15","1,618.15","21,905,270"
"Jul 25, 2024","1,593.00","1,625.00","1,593.00","1,616.60","1,616.60","12,767,866"
"Jul 24, 2024","1,608.15","1,621.00","1,588.05","1,604.05","1,604.05","30,864,103"
"Jul 23, 2024","1,647.55","1,647.80","1,605.00","1,618.40","1,618.40","26,001,076"
"Jul 22, 2024","1,617.00","1,651.00","1,612.65","1,642.55","1,642.55","26,872,411"
"Jul 19, 2024","1,616.00","1,623.00","1,603.50","1,607.30","1,607.30","13,001,076"
"Jul 18, 2024","1,608.00","1,623.95","1,599.15","1,614.80","1,614.80","16,858,532"
"Jul 16, 2024","1,620.75","1,627.00","1,616.80","1,619.75","1,619.75","14,475,162"
"Jul 15, 2024","1,623.50","1,629.80","1,615.20","1,622.10","1,622.10","16,687,847"
"Jul 12, 2024","1,622.00","1,638.40","1,611.15","1,622.70","1,622.70","28,024,980"
"Jul 11, 2024","1,623.95","1,625.85","1,601.00","1,621.90","1,621.90","22,088,537"
"Jul 10, 2024","1,629.95","1,640.00","1,620.75","1,626.10","1,626.10","22,753,591"
"Jul 9, 2024","1,625.00","1,646.70","1,620.35","1,636.50","1,636.50","24,275,439"
"Jul 8, 2024","1,645.30","1,654.95","1,627.15","1,635.35","1,635.35","19,543,900"
"Jul 5, 2024","1,685.00","1,685.00","1,642.20","1,648.10","1,648.10","41,121,274"
"Jul 4, 2024","1,759.75","1,759.75","1,724.85","1,727.15","1,727.15","22,924,329"
"Jul 3, 2024","1,791.00","1,794.00","1,764.65","1,768.65","1,768.65","61,608,901"
"Jul 2, 2024","1,715.00","1,734.90","1,702.75","1,730.60","1,730.60","22,960,845"
"Jul 1, 2024","1,680.00","1,707.30","1,680.00","1,705.20","1,705.20","10,593,512"
"Jun 28, 2024","1,697.60","1,706.60","1,679.00","1,683.80","1,683.80","13,238,023"
"Jun 27, 2024","1,696.10","1,713.00","1,686.60","1,696.15","1,696.15","27,537,325"
"Jun 26, 2024","1,707.95","1,710.90","1,691.10","1,701.50","1,701.50","23,798,333"
"Jun 25, 2024","1,671.10","1,716.95","1,671.10","1,711.35","1,711.35","37,260,774"
"Jun 24, 2024","1,647.00","1,675.10","1,645.75","1,672.40","1,672.40","14,272,497"
"Jun 21, 2024","1,672.85","1,672.85","1,643.15","1,665.75","1,665.75","25,815,388"
"Jun 20, 2024","1,669.80","1,681.45","1,652.00","1,669.35","1,669.35","20,704,371"
"Jun 19, 2024","1,613.40","1,669.90","1,604.00","1,657.85","1,657.85","45,065,598"
"Jun 18, 2024","1,596.90","1,610.50","1,589.45","1,607.80","1,607.80","16,207,857"
"Jun 14, 2024","1,584.00","1,599.00","1,577.70","1,596.90","1,596.90","12,770,277"
"Jun 13, 2024","1,581.75","1,585.70","1,574.00","1,580.75","1,580.75","12,060,096"
"Jun 12, 2024","1,575.00","1,588.30","1,566.40","1,574.15","1,574.15","19,640,218"
"Jun 11, 2024","1,556.00","1,571.00","1,552.20","1,564.80","1,564.80","14,772,663"
"Jun 10, 2024","1,574.00","1,580.65","1,557.60","1,561.30","1,561.30","11,227,029"
"Jun 7, 2024","1,561.05","1,584.35","1,552.05","1,573.35","1,573.35","18,356,108"
"Jun 6, 2024","1,564.90","1,565.45","1,546.60","1,559.70","1,559.70","23,211,435"
"Jun 5, 2024","1,494.05","1,559.60","1,482.35","1,551.80","1,551.80","40,815,825"
"Jun 4, 2024","1,557.00","1,559.00","1,454.00","1,483.15","1,483.15","44,765,620"
"Jun 3, 2024","1,599.00","1,599.00","1,550.00","1,572.20","1,572.20","36,318,628"
"May 31, 2024","1,519.00","1,536.00","1,514.00","1,531.55","1,531.55","37,039,794"
"May 30, 2024","1,499.20","1,523.60","1,497.65","1,514.85","1,514.85","16,877,675"
"May 29, 2024","1,518.00","1,523.85","1,501.25","1,508.30","1,508.30","17,573,853"
"May 28, 2024","1,530.10","1,536.05","1,524.80","1,530.50","1,530.50","13,954,452"
"May 27, 2024","1,523.35","1,545.00","1,519.05","1,527.70","1,527.70","14,692,720"
"May 24, 2024","1,487.50","1,519.90","1,486.00","1,517.20","1,517.20","15,530,103"
"May 23, 2024","1,458.65","1,495.65","1,457.05","1,492.60","1,492.60","20,430,960"
"May 22, 2024","1,457.85","1,465.60","1,448.15","1,459.20","1,459.20","19,998,139"
"May 21, 2024","1,450.10","1,469.70","1,450.10","1,458.80","1,458.80","21,884,989"
"May 17, 2024","1,446.20","1,468.00","1,446.20","1,464.10","1,464.10","10,460,095"
"May 16, 2024","1,446.05","1,462.55","1,435.50","1,460.25","1,460.25","17,472,618"
"May 15, 2024","1,459.70","1,459.70","1,435.80","1,438.50","1,438.50","19,465,998"
"May 14, 2024","1,452.25","1,465.50","1,450.30","1,460.95","1,460.95","12,832,571"
"May 13, 2024","1,432.00","1,459.80","1,430.30","1,455.25","1,455.25","13,523,601"
"May 10, 2024",19.50 Dividend
"May 10, 2024","1,439.00","1,451.95","1,426.80","1,437.90","1,437.90","13,638,304"
"May 9, 2024","1,474.95","1,486.75","1,445.30","1,447.50","1,428.00","23,140,639"
"May 8, 2024","1,495.95","1,496.95","1,480.35","1,482.65","1,462.68","20,843,931"
"May 7, 2024","1,521.95","1,524.05","1,504.15","1,506.15","1,485.86","14,240,301"
"May 6, 2024","1,522.00","1,534.50","1,517.15","1,522.65","1,502.14","14,396,698"
"May 3, 2024","1,533.25","1,540.60","1,507.20","1,519.60","1,499.13","15,932,621"
"May 2, 2024","1,522.00","1,537.00","1,520.35","1,532.25","1,511.61","16,737,503"
"Apr 30, 2024","1,529.20","1,539.50","1,514.90","1,520.10","1,499.62","26,153,691"
"Apr 29, 2024","1,515.00","1,534.45","1,506.55","1,529.50","1,508.90","18,046,675"
"Apr 26, 2024","1,519.80","1,528.00","1,505.55","1,509.80","1,489.46","12,427,347"
"Apr 25, 2024","1,506.25","1,519.70","1,506.25","1,510.75","1,490.40","17,722,602"
"Apr 24, 2024","1,515.00","1,521.75","1,509.05","1,511.70","1,491.34","11,220,790"
