Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","2,844.00","2,886.00","2,798.70","2,818.80","2,818.80","1,761,488"
"Oct 7, 2024","2,845.00","2,866.45","2,825.05","2,833.40","2,833.40","1,280,975"
"Oct 4, 2024","2,891.00","2,914.00","2,817.05","2,848.75","2,848.75","2,456,486"
"Oct 3, 2024","2,908.75","2,923.10","2,861.10","2,893.35","2,893.35","1,233,447"
"Oct 1, 2024","2,962.70","2,962.70","2,891.40","2,923.75","2,923.75","1,184,642"
"Sep 30, 2024","2,964.20","2,997.90","2,942.60","2,958.30","2,958.30","1,627,702"
"Sep 27, 2024","2,986.10","3,030.00","2,952.75","2,966.25","2,966.25","2,977,081"
"Sep 26, 2024","2,951.10","2,992.85","2,941.20","2,986.10","2,986.10","1,902,889"
"Sep 25, 2024","2,950.55","2,960.35","2,905.10","2,948.95","2,948.95","1,055,354"
"Sep 24, 2024","3,020.00","3,020.00","2,946.10","2,950.55","2,950.55","1,929,308"
"Sep 23, 2024","2,980.00","3,035.00","2,969.95","3,028.55","3,028.55","1,300,470"
"Sep 20, 2024","2,924.80","2,989.35","2,895.40","2,977.60","2,977.60","3,641,632"
"Sep 19, 2024","2,876.25","2,934.30","2,873.35","2,911.75","2,911.75","1,713,010"
"Sep 18, 2024","2,874.00","2,893.55","2,861.70","2,875.85","2,875.85","464,796"
"Sep 17, 2024","2,867.10","2,913.90","2,860.10","2,873.50","2,873.50","1,098,661"
"Sep 16, 2024","2,910.00","2,910.00","2,807.40","2,867.10","2,867.10","1,489,057"
"Sep 13, 2024","2,956.40","2,956.40","2,918.50","2,932.95","2,932.95","1,902,001"
"Sep 12, 2024","2,911.00","2,963.40","2,894.20","2,956.40","2,956.40","2,454,564"
"Sep 11, 2024","2,911.60","2,950.00","2,898.10","2,904.15","2,904.15","1,913,665"
"Sep 10, 2024","2,934.00","2,937.60","2,887.50","2,898.60","2,898.60","1,536,584"
"Sep 9, 2024","2,853.10","2,938.20","2,843.20","2,921.80","2,921.80","3,342,754"
"Sep 6, 2024","2,828.10","2,866.45","2,828.10","2,838.95","2,838.95","1,672,730"
"Sep 5, 2024","2,840.05","2,855.00","2,823.65","2,838.45","2,838.45","1,945,173"
"Sep 4, 2024","2,780.00","2,843.85","2,771.65","2,841.25","2,841.25","1,640,986"
"Sep 3, 2024","2,780.00","2,827.95","2,775.00","2,794.30","2,794.30","2,022,116"
"Sep 2, 2024","2,794.00","2,808.90","2,779.00","2,789.05","2,789.05","957,950"
"Aug 30, 2024","2,795.70","2,816.30","2,760.10","2,778.00","2,778.00","4,029,712"
"Aug 29, 2024","2,769.95","2,810.00","2,745.00","2,785.25","2,785.25","2,129,934"
"Aug 28, 2024","2,760.00","2,781.75","2,745.75","2,764.35","2,764.35","1,723,549"
"Aug 27, 2024","2,809.00","2,824.10","2,759.55","2,766.90","2,766.90","1,357,212"
"Aug 26, 2024","2,815.60","2,834.95","2,803.60","2,821.15","2,821.15","1,152,244"
"Aug 23, 2024","2,799.20","2,821.00","2,771.35","2,815.60","2,815.60","2,111,401"
"Aug 22, 2024","2,802.95","2,810.00","2,782.10","2,792.80","2,792.80","1,552,947"
"Aug 21, 2024","2,749.50","2,795.10","2,742.95","2,791.20","2,791.20","1,417,729"
"Aug 20, 2024","2,742.55","2,756.25","2,735.05","2,751.05","2,751.05","1,097,889"
"Aug 19, 2024","2,750.05","2,759.75","2,737.05","2,742.55","2,742.55","1,130,327"
"Aug 16, 2024","2,737.90","2,753.60","2,710.70","2,748.25","2,748.25","1,727,926"
"Aug 14, 2024","2,741.00","2,742.55","2,706.60","2,722.05","2,722.05","946,995"
"Aug 13, 2024","2,742.00","2,757.65","2,730.10","2,741.40","2,741.40","1,051,237"
"Aug 12, 2024","2,738.00","2,763.40","2,722.40","2,748.70","2,748.70","1,297,178"
"Aug 9, 2024","2,756.00","2,758.00","2,718.60","2,747.20","2,747.20","1,284,031"
"Aug 8, 2024","2,754.00","2,759.25","2,720.40","2,733.20","2,733.20","1,464,161"
"Aug 7, 2024","2,781.70","2,781.85","2,735.50","2,744.05","2,744.05","1,713,875"
"Aug 6, 2024","2,720.10","2,771.75","2,708.65","2,750.05","2,750.05","2,296,031"
"Aug 5, 2024","2,675.95","2,742.00","2,666.20","2,715.90","2,715.90","3,118,731"
"Aug 2, 2024","2,712.00","2,759.50","2,681.15","2,692.55","2,692.55","1,738,872"
"Aug 1, 2024","2,714.00","2,724.95","2,695.20","2,715.55","2,715.55","1,886,392"
"Jul 31, 2024","2,705.00","2,709.65","2,675.05","2,705.65","2,705.65","1,751,085"
"Jul 30, 2024","2,715.60","2,754.35","2,685.40","2,691.40","2,691.40","1,560,399"
"Jul 29, 2024","2,711.20","2,720.00","2,692.80","2,711.60","2,711.60","957,011"
"Jul 26, 2024","2,724.00","2,727.00","2,687.25","2,711.05","2,711.05","2,135,309"
"Jul 25, 2024","2,717.05","2,724.85","2,670.00","2,707.20","2,707.20","2,166,670"
"Jul 24, 2024","2,748.00","2,757.45","2,675.10","2,717.05","2,717.05","3,611,927"
"Jul 23, 2024","2,746.00","2,811.30","2,732.00","2,766.35","2,766.35","3,906,259"
"Jul 22, 2024","2,705.70","2,749.95","2,705.65","2,735.30","2,735.30","1,911,629"
"Jul 19, 2024","2,739.00","2,743.00","2,715.95","2,727.00","2,727.00","1,668,862"
"Jul 18, 2024","2,700.00","2,751.20","2,655.00","2,738.40","2,738.40","5,569,762"
"Jul 16, 2024","2,625.95","2,725.00","2,624.55","2,688.45","2,688.45","3,298,003"
"Jul 15, 2024","2,628.00","2,629.25","2,613.65","2,620.30","2,620.30","920,101"
"Jul 12, 2024","2,601.00","2,639.50","2,601.00","2,622.25","2,622.25","1,912,642"
"Jul 11, 2024","2,617.00","2,617.05","2,590.05","2,608.85","2,608.85","1,432,671"
"Jul 10, 2024","2,581.00","2,626.00","2,573.00","2,610.45","2,610.45","1,764,036"
"Jul 9, 2024","2,587.15","2,614.00","2,568.00","2,590.15","2,590.15","1,479,529"
"Jul 8, 2024","2,560.00","2,595.00","2,536.25","2,587.15","2,587.15","2,818,809"
"Jul 5, 2024","2,495.95","2,554.00","2,495.95","2,547.00","2,547.00","1,754,286"
"Jul 4, 2024","2,515.05","2,536.85","2,492.90","2,495.95","2,495.95","1,977,010"
"Jul 3, 2024","2,486.65","2,519.85","2,474.30","2,510.35","2,510.35","1,406,405"
"Jul 2, 2024","2,515.00","2,515.00","2,479.35","2,485.15","2,485.15","1,305,210"
"Jul 1, 2024","2,461.05","2,523.00","2,450.10","2,505.10","2,505.10","3,312,865"
"Jun 28, 2024","2,463.00","2,490.50","2,462.85","2,473.05","2,473.05","2,129,791"
"Jun 27, 2024","2,449.95","2,483.20","2,436.00","2,462.15","2,462.15","3,402,726"
"Jun 26, 2024","2,437.00","2,467.00","2,432.40","2,445.60","2,445.60","1,738,656"
"Jun 25, 2024","2,439.35","2,446.70","2,427.90","2,432.20","2,432.20","833,789"
"Jun 24, 2024","2,435.00","2,467.85","2,427.05","2,442.20","2,442.20","1,945,519"
"Jun 21, 2024","2,475.00","2,478.00","2,426.55","2,441.30","2,441.30","3,646,215"
"Jun 20, 2024","2,457.00","2,490.00","2,446.65","2,482.20","2,482.20","2,163,310"
"Jun 19, 2024","2,495.00","2,495.00","2,451.50","2,457.00","2,457.00","986,976"
"Jun 18, 2024","2,479.90","2,498.00","2,473.15","2,486.25","2,486.25","1,820,933"
"Jun 14, 2024",24.00 Dividend
"Jun 14, 2024","2,473.00","2,510.40","2,470.40","2,479.75","2,479.75","1,729,552"
"Jun 13, 2024","2,487.95","2,505.80","2,446.45","2,487.40","2,463.40","3,123,098"
"Jun 12, 2024","2,568.00","2,568.00","2,517.00","2,528.70","2,504.30","1,754,677"
"Jun 11, 2024","2,566.00","2,576.70","2,551.30","2,556.35","2,531.68","1,402,423"
"Jun 10, 2024","2,579.00","2,593.65","2,546.00","2,565.35","2,540.60","1,449,122"
"Jun 7, 2024","2,555.30","2,596.50","2,525.00","2,577.80","2,552.93","3,974,253"
"Jun 6, 2024","2,600.00","2,600.00","2,518.00","2,549.60","2,525.00","4,102,547"
"Jun 5, 2024","2,533.55","2,723.95","2,525.00","2,602.75","2,577.64","11,061,076"
"Jun 4, 2024","2,374.00","2,510.05","2,342.10","2,496.30","2,472.21","7,826,048"
"Jun 3, 2024","2,381.00","2,387.45","2,344.30","2,355.90","2,333.17","1,207,445"
"May 31, 2024","2,353.00","2,377.45","2,317.60","2,329.05","2,306.58","5,529,186"
"May 30, 2024","2,368.00","2,372.45","2,334.05","2,351.40","2,328.71","1,837,380"
"May 29, 2024","2,381.20","2,395.00","2,369.40","2,373.40","2,350.50","1,592,495"
"May 28, 2024","2,390.00","2,409.00","2,378.55","2,395.95","2,372.83","1,631,747"
"May 27, 2024","2,369.05","2,399.95","2,362.50","2,384.50","2,361.49","1,116,934"
"May 24, 2024","2,378.50","2,383.25","2,364.70","2,369.05","2,346.19","974,100"
"May 23, 2024","2,366.90","2,386.80","2,355.00","2,382.50","2,359.51","1,614,718"
"May 22, 2024","2,311.00","2,374.00","2,310.70","2,366.90","2,344.06","1,914,851"
"May 21, 2024","2,307.00","2,324.80","2,301.75","2,310.70","2,288.40","1,663,959"
"May 17, 2024","2,351.90","2,351.90","2,315.10","2,320.35","2,297.96","1,264,582"
"May 16, 2024","2,337.00","2,348.10","2,301.35","2,343.15","2,320.54","1,880,021"
"May 15, 2024","2,349.55","2,355.80","2,317.65","2,323.30","2,300.88","812,282"
"May 14, 2024","2,360.60","2,372.30","2,346.75","2,349.60","2,326.93","689,430"
"May 13, 2024","2,374.00","2,381.65","2,347.90","2,360.65","2,337.87","1,170,617"
"May 10, 2024","2,321.00","2,371.00","2,321.00","2,362.55","2,339.75","2,610,266"
"May 9, 2024","2,340.60","2,362.10","2,319.45","2,325.65","2,303.21","1,558,987"
"May 8, 2024","2,366.40","2,372.25","2,325.00","2,341.05","2,318.46","1,813,439"
"May 7, 2024","2,266.00","2,389.60","2,259.00","2,379.40","2,356.44","8,277,810"
"May 6, 2024","2,225.00","2,261.50","2,212.00","2,256.20","2,234.43","1,619,256"
"May 3, 2024","2,232.00","2,235.65","2,204.00","2,217.05","2,195.66","2,595,307"
"May 2, 2024","2,205.05","2,243.20","2,205.05","2,226.30","2,204.82","2,140,383"
"Apr 30, 2024","2,232.05","2,240.25","2,225.00","2,230.45","2,208.93","2,119,102"
"Apr 29, 2024","2,234.00","2,234.00","2,220.00","2,226.10","2,204.62","1,395,292"
"Apr 26, 2024","2,245.00","2,255.00","2,218.60","2,222.65","2,201.20","2,307,512"
"Apr 25, 2024","2,238.05","2,239.85","2,215.10","2,230.85","2,209.33","4,951,866"
"Apr 24, 2024","2,266.05","2,268.35","2,245.65","2,260.25","2,238.44","1,404,398"
"Apr 23, 2024","2,253.00","2,273.50","2,248.70","2,262.75","2,240.92","1,991,778"
"Apr 22, 2024","2,250.00","2,253.55","2,229.05","2,241.50","2,219.87","1,804,108"
"Apr 19, 2024","2,220.00","2,243.75","2,196.00","2,231.60","2,210.07","2,337,694"
"Apr 18, 2024","2,215.05","2,237.70","2,209.05","2,214.80","2,193.43","3,392,171"
"Apr 16, 2024","2,183.00","2,231.25","2,172.05","2,220.80","2,199.37","2,821,129"
"Apr 15, 2024","2,227.70","2,227.75","2,190.00","2,194.05","2,172.88","4,909,564"
"Apr 12, 2024","2,260.90","2,264.85","2,228.60","2,232.30","2,210.76","3,388,551"
"Apr 10, 2024","2,276.90","2,276.90","2,257.70","2,260.90","2,239.09","2,308,993"
"Apr 9, 2024","2,271.00","2,274.60","2,255.75","2,264.15","2,242.30","1,189,343"
"Apr 8, 2024","2,277.00","2,288.95","2,267.20","2,268.95","2,247.06","1,127,294"
"Apr 5, 2024","2,264.95","2,280.50","2,258.10","2,266.95","2,245.08","1,153,449"
"Apr 4, 2024","2,270.00","2,282.00","2,249.25","2,264.95","2,243.10","1,890,255"
"Apr 3, 2024","2,281.85","2,281.85","2,261.05","2,265.20","2,243.34","1,175,309"
"Apr 2, 2024","2,298.00","2,298.00","2,277.05","2,286.70","2,264.64","1,221,495"
"Apr 1, 2024","2,270.00","2,295.00","2,262.00","2,285.90","2,263.84","1,427,873"
"Mar 28, 2024","2,245.00","2,287.90","2,240.10","2,264.35","2,242.50","3,186,360"
"Mar 27, 2024","2,250.00","2,263.00","2,236.00","2,239.70","2,218.09","2,168,861"
"Mar 26, 2024","2,232.10","2,259.15","2,232.00","2,240.00","2,218.39","3,027,027"
"Mar 22, 2024","2,239.05","2,266.00","2,232.05","2,256.55","2,234.78","3,507,809"
"Mar 21, 2024","2,234.00","2,259.15","2,234.00","2,242.35","2,220.71","3,504,486"
"Mar 20, 2024","2,250.00","2,265.45","2,240.00","2,241.95","2,220.32","2,995,013"
"Mar 19, 2024","2,283.25","2,303.90","2,246.85","2,266.95","2,245.08","4,220,638"
"Mar 18, 2024","2,320.80","2,325.00","2,297.00","2,299.95","2,277.76","2,487,402"
"Mar 15, 2024","2,330.05","2,336.95","2,315.90","2,327.70","2,305.24","2,751,403"
"Mar 14, 2024","2,304.85","2,341.70","2,301.85","2,334.60","2,312.07","2,292,515"
"Mar 13, 2024","2,375.00","2,375.00","2,303.85","2,312.60","2,290.29","2,322,669"
"Mar 12, 2024","2,380.00","2,385.00","2,360.80","2,378.15","2,355.20","1,012,157"
"Mar 11, 2024","2,409.00","2,413.00","2,383.55","2,389.85","2,366.79","2,040,761"
"Mar 7, 2024","2,404.95","2,426.00","2,403.00","2,419.55","2,396.20","1,820,704"
"Mar 6, 2024","2,404.00","2,408.85","2,375.30","2,400.80","2,377.64","1,354,111"
"Mar 5, 2024","2,405.00","2,420.00","2,391.10","2,399.85","2,376.69","1,587,199"
"Mar 4, 2024","2,416.20","2,427.90","2,404.40","2,422.00","2,398.63","1,501,261"
"Mar 1, 2024","2,416.95","2,438.80","2,404.00","2,409.70","2,386.45","2,326,244"
"Feb 29, 2024","2,425.00","2,428.80","2,397.25","2,412.30","2,389.02","2,848,084"
"Feb 28, 2024","2,411.10","2,425.00","2,401.00","2,421.55","2,398.19","629,152"
"Feb 27, 2024","2,404.05","2,408.95","2,389.15","2,405.30","2,382.09","1,120,424"
"Feb 26, 2024","2,391.10","2,406.55","2,380.00","2,404.25","2,381.05","831,596"
"Feb 23, 2024","2,388.55","2,405.50","2,383.95","2,394.10","2,371.00","1,210,775"
"Feb 22, 2024","2,420.30","2,420.30","2,365.75","2,388.10","2,365.06","2,258,516"
"Feb 21, 2024","2,404.10","2,422.80","2,394.10","2,407.10","2,383.88","1,127,778"
"Feb 20, 2024","2,370.10","2,408.45","2,368.20","2,404.10","2,380.90","1,032,995"
"Feb 19, 2024","2,389.50","2,394.95","2,373.80","2,387.15","2,364.12","576,683"
"Feb 16, 2024","2,369.95","2,382.00","2,357.60","2,375.25","2,352.33","2,363,302"
"Feb 15, 2024","2,368.35","2,384.70","2,346.75","2,350.85","2,328.17","2,553,695"
"Feb 14, 2024","2,385.00","2,394.00","2,370.00","2,387.95","2,364.91","1,397,975"
"Feb 13, 2024","2,390.00","2,400.95","2,380.10","2,394.00","2,370.90","957,865"
"Feb 12, 2024","2,424.10","2,429.85","2,382.00","2,385.65","2,362.63","1,292,460"
"Feb 9, 2024","2,417.05","2,428.45","2,406.10","2,424.15","2,400.76","886,474"
"Feb 8, 2024","2,441.80","2,441.80","2,399.00","2,417.05","2,393.73","1,758,661"
"Feb 7, 2024","2,439.90","2,439.90","2,411.55","2,425.45","2,402.05","1,149,076"
"Feb 6, 2024","2,424.95","2,441.35","2,418.05","2,426.35","2,402.94","1,557,511"
"Feb 5, 2024","2,464.00","2,464.75","2,412.75","2,419.50","2,396.16","1,315,445"
"Feb 2, 2024","2,477.00","2,486.90","2,442.00","2,452.60","2,428.94","1,956,115"
"Feb 1, 2024","2,475.10","2,511.55","2,468.35","2,473.60","2,449.73","1,727,534"
"Jan 31, 2024","2,450.00","2,485.90","2,441.75","2,481.55","2,457.61","1,445,004"
"Jan 30, 2024","2,454.00","2,494.55","2,447.30","2,458.65","2,434.93","1,793,711"
"Jan 29, 2024","2,410.00","2,449.00","2,410.00","2,444.40","2,420.81","1,587,091"
"Jan 25, 2024","2,454.80","2,468.00","2,420.20","2,428.30","2,404.87","2,364,765"
"Jan 24, 2024","2,388.00","2,445.90","2,367.15","2,441.65","2,418.09","1,551,469"
"Jan 23, 2024","2,451.00","2,480.50","2,365.45","2,375.55","2,352.63","4,369,332"
"Jan 19, 2024","2,565.00","2,573.95","2,532.00","2,565.40","2,540.65","1,323,064"
"Jan 18, 2024","2,570.00","2,570.00","2,537.55","2,548.00","2,523.42","1,273,095"
"Jan 17, 2024","2,549.00","2,571.35","2,539.75","2,562.90","2,538.17","3,047,652"
"Jan 16, 2024","2,573.20","2,584.60","2,556.35","2,569.10","2,544.31","1,599,406"
"Jan 15, 2024","2,546.00","2,578.75","2,531.00","2,573.20","2,548.37","1,391,204"
"Jan 12, 2024","2,533.50","2,555.00","2,511.85","2,544.00","2,519.45","2,979,841"
"Jan 11, 2024","2,580.00","2,589.00","2,531.85","2,536.20","2,511.73","2,399,600"
"Jan 10, 2024","2,580.00","2,594.30","2,565.00","2,577.40","2,552.53","881,278"
"Jan 9, 2024","2,582.55","2,589.00","2,571.55","2,579.75","2,554.86","1,017,205"
"Jan 8, 2024","2,624.95","2,626.00","2,566.50","2,578.25","2,553.37","1,189,828"
"Jan 5, 2024","2,595.00","2,629.90","2,595.00","2,620.05","2,594.77","1,150,738"
"Jan 4, 2024","2,606.55","2,623.00","2,588.05","2,592.55","2,567.54","1,376,844"
"Jan 3, 2024","2,599.00","2,628.60","2,595.55","2,606.55","2,581.40","1,008,270"
"Jan 2, 2024","2,648.00","2,653.95","2,607.00","2,613.80","2,588.58","1,310,629"
