Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",510.00,512.55,506.00,507.95,507.95,"9,502,367"
"Oct 7, 2024",507.00,514.95,506.75,510.20,510.20,"16,479,772"
"Oct 4, 2024",510.00,517.35,501.55,503.55,503.55,"18,228,912"
"Oct 3, 2024",508.55,515.70,508.10,512.75,512.75,"15,870,147"
"Oct 1, 2024",518.15,519.75,514.00,516.20,516.20,"5,089,315"
"Sep 30, 2024",520.60,524.35,514.05,518.15,518.15,"10,531,347"
"Sep 27, 2024",520.25,528.50,520.25,522.70,522.70,"17,251,962"
"Sep 26, 2024",517.65,523.75,517.00,522.75,522.75,"15,489,991"
"Sep 25, 2024",515.50,519.30,512.30,517.55,517.55,"8,476,223"
"Sep 24, 2024",517.00,517.80,514.15,515.25,515.25,"6,755,320"
"Sep 23, 2024",515.45,519.45,513.60,516.95,516.95,"7,804,918"
"Sep 20, 2024",512.00,517.35,508.00,514.40,514.40,"23,808,194"
"Sep 19, 2024",510.00,514.80,507.50,508.25,508.25,"13,925,311"
"Sep 18, 2024",507.85,512.40,505.10,507.35,507.35,"5,429,619"
"Sep 17, 2024",511.05,513.55,506.25,507.75,507.75,"10,486,015"
"Sep 16, 2024",515.90,517.00,509.70,511.10,511.10,"7,531,604"
"Sep 13, 2024",519.50,520.00,512.00,513.85,513.85,"8,825,193"
"Sep 12, 2024",515.10,520.50,508.55,519.50,519.50,"18,377,550"
"Sep 11, 2024",513.00,519.50,511.95,514.35,514.35,"14,922,832"
"Sep 10, 2024",511.90,515.00,508.75,513.60,513.60,"10,911,995"
"Sep 9, 2024",502.00,512.65,500.35,511.75,511.75,"13,736,044"
"Sep 6, 2024",512.00,512.00,497.15,501.70,501.70,"13,716,752"
"Sep 5, 2024",508.35,511.90,507.05,511.20,511.20,"10,898,888"
"Sep 4, 2024",500.00,510.05,499.95,506.35,506.35,"8,414,967"
"Sep 3, 2024",510.05,515.95,507.90,509.40,509.40,"12,018,677"
"Sep 2, 2024",504.00,512.90,503.30,510.05,510.05,"15,885,469"
"Aug 30, 2024",501.95,509.15,500.20,501.90,501.90,"14,947,670"
"Aug 29, 2024",498.00,507.70,497.35,505.10,505.10,"18,670,632"
"Aug 28, 2024",500.40,502.30,496.50,497.30,497.30,"7,782,216"
"Aug 27, 2024",507.55,507.60,500.00,500.60,500.60,"7,954,114"
"Aug 26, 2024",506.00,508.00,502.00,505.70,505.70,"7,825,037"
"Aug 23, 2024",505.05,506.95,499.95,505.80,505.80,"7,891,446"
"Aug 22, 2024",507.85,508.50,501.45,504.55,504.55,"8,364,290"
"Aug 21, 2024",500.00,509.00,499.05,505.40,505.40,"8,474,830"
"Aug 20, 2024",501.00,503.40,497.70,498.80,498.80,"6,633,171"
"Aug 19, 2024",504.75,509.30,499.60,501.45,501.45,"10,198,725"
"Aug 16, 2024",494.50,504.20,492.65,502.65,502.65,"13,137,392"
"Aug 14, 2024",491.95,499.00,489.90,492.20,492.20,"9,253,598"
"Aug 13, 2024",495.95,497.85,488.25,490.00,490.00,"7,757,706"
"Aug 12, 2024",492.00,500.00,492.00,494.60,494.60,"9,076,097"
"Aug 9, 2024",498.00,498.00,493.10,495.90,495.90,"9,201,793"
"Aug 8, 2024",494.00,498.00,492.50,494.75,494.75,"20,558,134"
"Aug 7, 2024",490.00,495.60,488.10,492.65,492.65,"10,900,585"
"Aug 6, 2024",486.25,491.70,484.05,486.30,486.30,"13,722,855"
