Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,800.00","1,814.00","1,781.85","1,803.40","1,803.40","5,097,103"
"Oct 7, 2024","1,810.00","1,836.40","1,769.40","1,790.25","1,790.25","7,446,633"
"Oct 4, 2024","1,815.50","1,850.00","1,798.35","1,809.00","1,809.00","3,734,632"
"Oct 3, 2024","1,857.90","1,863.65","1,815.80","1,822.80","1,822.80","6,363,232"
"Oct 1, 2024","1,847.00","1,884.75","1,847.00","1,879.40","1,879.40","4,871,526"
"Sep 30, 2024","1,856.70","1,884.45","1,843.10","1,853.95","1,853.95","3,246,840"
"Sep 27, 2024","1,900.00","1,910.00","1,866.30","1,872.45","1,872.45","6,643,112"
"Sep 26, 2024","1,895.00","1,913.30","1,884.30","1,902.30","1,902.30","4,204,513"
"Sep 25, 2024","1,910.05","1,922.70","1,894.30","1,897.95","1,897.95","3,307,467"
"Sep 24, 2024","1,935.00","1,938.60","1,909.60","1,914.70","1,914.70","3,709,386"
"Sep 23, 2024","1,914.95","1,942.00","1,908.20","1,934.70","1,934.70","3,686,272"
"Sep 20, 2024","1,874.00","1,926.30","1,870.00","1,904.50","1,904.50","18,849,579"
"Sep 19, 2024","1,849.90","1,875.00","1,845.10","1,871.95","1,871.95","2,892,430"
"Sep 18, 2024","1,850.00","1,859.45","1,835.60","1,839.70","1,839.70","6,877,499"
"Sep 17, 2024","1,839.40","1,853.40","1,830.65","1,846.65","1,846.65","3,674,862"
"Sep 16, 2024","1,833.00","1,845.70","1,828.30","1,831.30","1,831.30","2,730,634"
"Sep 13, 2024","1,837.00","1,837.00","1,816.75","1,820.35","1,820.35","2,056,720"
"Sep 12, 2024","1,803.90","1,834.15","1,795.15","1,827.45","1,827.45","6,365,508"
"Sep 11, 2024","1,795.00","1,805.45","1,785.00","1,789.25","1,789.25","3,733,872"
"Sep 10, 2024","1,798.00","1,799.65","1,778.05","1,791.60","1,791.60","3,497,612"
"Sep 9, 2024","1,767.70","1,793.95","1,758.45","1,790.15","1,790.15","3,436,461"
"Sep 6, 2024","1,767.55","1,781.95","1,756.50","1,764.15","1,764.15","3,254,880"
"Sep 5, 2024","1,781.25","1,786.35","1,760.00","1,777.95","1,777.95","3,573,005"
"Sep 4, 2024","1,770.00","1,788.30","1,763.50","1,783.80","1,783.80","3,192,443"
"Sep 3, 2024","1,780.05","1,786.45","1,772.35","1,783.80","1,783.80","5,196,273"
"Sep 2, 2024","1,782.00","1,793.45","1,772.70","1,780.25","1,780.25","4,048,520"
"Aug 30, 2024","1,777.30","1,790.00","1,774.35","1,780.80","1,780.80","7,458,172"
"Aug 29, 2024","1,783.25","1,798.50","1,773.00","1,777.25","1,777.25","5,531,158"
"Aug 28, 2024","1,796.00","1,805.90","1,785.85","1,791.30","1,791.30","4,280,796"
"Aug 27, 2024","1,811.05","1,813.10","1,791.70","1,803.35","1,803.35","4,541,696"
"Aug 26, 2024","1,820.00","1,822.95","1,809.70","1,812.50","1,812.50","2,356,257"
"Aug 23, 2024","1,821.50","1,827.90","1,812.70","1,818.00","1,818.00","1,815,186"
"Aug 22, 2024","1,814.00","1,824.30","1,805.80","1,821.50","1,821.50","3,217,988"
"Aug 21, 2024","1,800.00","1,817.00","1,787.35","1,812.95","1,812.95","5,717,190"
"Aug 20, 2024","1,783.00","1,813.05","1,776.25","1,805.65","1,805.65","3,115,486"
"Aug 19, 2024","1,780.55","1,790.00","1,771.00","1,781.35","1,781.35","2,172,279"
"Aug 16, 2024","1,762.00","1,785.75","1,746.00","1,777.30","1,777.30","2,961,871"
"Aug 14, 2024","1,755.00","1,760.00","1,744.55","1,747.90","1,747.90","2,585,649"
"Aug 13, 2024","1,763.00","1,791.50","1,746.10","1,752.05","1,752.05","3,530,319"
"Aug 12, 2024","1,761.00","1,791.05","1,751.25","1,772.55","1,772.55","4,544,443"
"Aug 9, 2024","1,785.05","1,785.45","1,765.00","1,769.65","1,769.65","2,464,443"
"Aug 8, 2024","1,766.65","1,781.80","1,762.65","1,772.75","1,772.75","2,472,221"
"Aug 7, 2024","1,785.00","1,786.60","1,760.05","1,776.55","1,776.55","3,537,745"
"Aug 6, 2024","1,785.00","1,792.20","1,760.00","1,770.55","1,770.55","3,924,022"
"Aug 5, 2024","1,770.20","1,805.60","1,768.55","1,773.65","1,773.65","4,911,818"
"Aug 2, 2024","1,781.10","1,810.00","1,775.00","1,803.45","1,803.45","3,242,589"
"Aug 1, 2024","1,807.10","1,818.25","1,786.25","1,792.65","1,792.65","3,816,044"
"Jul 31, 2024","1,793.00","1,816.00","1,773.15","1,807.90","1,807.90","5,806,257"
"Jul 30, 2024","1,793.90","1,806.65","1,781.30","1,786.10","1,786.10","5,679,537"
"Jul 29, 2024","1,824.70","1,827.00","1,783.50","1,793.90","1,793.90","8,006,367"
"Jul 26, 2024","1,758.10","1,829.85","1,758.10","1,813.85","1,813.85","5,309,351"
"Jul 25, 2024","1,732.00","1,779.00","1,732.00","1,775.15","1,775.15","3,096,397"
"Jul 24, 2024","1,767.95","1,780.90","1,729.05","1,746.20","1,746.20","7,487,207"
"Jul 23, 2024","1,769.00","1,780.50","1,739.15","1,768.90","1,768.90","6,155,196"
"Jul 22, 2024","1,821.00","1,821.00","1,748.90","1,757.55","1,757.55","10,742,361"
"Jul 19, 2024",2.00 Dividend
"Jul 19, 2024","1,818.50","1,831.00","1,805.95","1,821.60","1,821.60","4,138,865"
"Jul 18, 2024","1,805.00","1,831.20","1,793.15","1,826.75","1,824.75","7,590,838"
"Jul 16, 2024","1,842.10","1,849.10","1,800.90","1,805.30","1,803.32","6,542,702"
"Jul 15, 2024","1,839.00","1,857.90","1,826.65","1,843.55","1,841.53","5,909,996"
"Jul 12, 2024","1,844.50","1,851.00","1,826.25","1,832.85","1,830.84","4,240,855"
"Jul 11, 2024","1,830.85","1,852.00","1,821.55","1,844.50","1,842.48","4,615,372"
"Jul 10, 2024","1,843.00","1,844.50","1,820.20","1,829.85","1,827.85","5,629,789"
"Jul 9, 2024","1,861.20","1,870.00","1,830.00","1,847.85","1,845.83","3,920,211"
"Jul 8, 2024","1,854.00","1,857.25","1,835.45","1,853.20","1,851.17","3,861,203"
"Jul 5, 2024","1,820.00","1,857.95","1,818.45","1,852.70","1,850.67","3,465,653"
"Jul 4, 2024","1,806.60","1,838.55","1,801.30","1,833.85","1,831.84","5,068,893"
"Jul 3, 2024","1,765.80","1,815.85","1,752.20","1,810.70","1,808.72","8,981,003"
"Jul 2, 2024","1,820.95","1,820.95","1,737.10","1,769.60","1,767.66","9,625,017"
"Jul 1, 2024","1,802.50","1,813.15","1,790.00","1,808.10","1,806.12","2,901,510"
"Jun 28, 2024","1,822.20","1,847.95","1,798.90","1,802.50","1,800.53","4,969,007"
"Jun 27, 2024","1,791.00","1,838.00","1,785.00","1,830.55","1,828.55","13,342,769"
"Jun 26, 2024","1,780.00","1,816.00","1,776.10","1,798.15","1,796.18","6,685,932"
"Jun 25, 2024","1,776.55","1,798.25","1,763.00","1,781.90","1,779.95","5,933,859"
"Jun 24, 2024","1,757.15","1,775.20","1,749.75","1,772.55","1,770.61","4,228,888"
"Jun 21, 2024","1,770.00","1,789.00","1,745.30","1,775.65","1,773.71","19,031,689"
"Jun 20, 2024","1,765.00","1,789.85","1,760.30","1,766.25","1,764.32","9,243,104"
"Jun 19, 2024","1,729.00","1,763.05","1,715.00","1,746.70","1,744.79","9,959,798"
"Jun 18, 2024","1,718.60","1,724.65","1,703.25","1,719.40","1,717.52","5,707,330"
"Jun 14, 2024","1,723.00","1,734.90","1,710.40","1,717.20","1,715.32","3,153,666"
"Jun 13, 2024","1,731.40","1,737.55","1,719.00","1,726.35","1,724.46","6,016,145"
"Jun 12, 2024","1,720.10","1,734.00","1,712.90","1,715.75","1,713.87","5,881,576"
"Jun 11, 2024","1,746.60","1,747.20","1,717.10","1,720.00","1,718.12","4,105,647"
"Jun 10, 2024","1,750.10","1,773.45","1,736.15","1,745.65","1,743.74","4,848,044"
"Jun 7, 2024","1,730.05","1,758.65","1,722.00","1,753.70","1,751.78","4,608,146"
"Jun 6, 2024","1,721.00","1,738.50","1,703.80","1,734.70","1,732.80","6,359,901"
"Jun 5, 2024","1,662.55","1,724.75","1,645.00","1,718.10","1,716.22","14,426,318"
"Jun 4, 2024","1,703.25","1,715.50","1,602.45","1,637.95","1,636.16","15,229,468"
"Jun 3, 2024","1,721.45","1,738.85","1,700.10","1,718.05","1,716.17","9,801,071"
"May 31, 2024","1,703.00","1,703.00","1,660.55","1,680.40","1,678.56","12,804,476"
"May 30, 2024","1,684.35","1,707.60","1,683.00","1,690.10","1,688.25","5,580,489"
"May 29, 2024","1,698.00","1,710.90","1,682.20","1,687.85","1,686.00","4,952,472"
"May 28, 2024","1,712.30","1,716.00","1,698.00","1,703.65","1,701.78","3,716,141"
"May 27, 2024","1,703.45","1,722.00","1,702.50","1,711.00","1,709.13","3,454,287"
"May 24, 2024","1,711.00","1,717.85","1,694.70","1,703.45","1,701.58","4,936,177"
"May 23, 2024","1,700.00","1,713.60","1,697.05","1,709.05","1,707.18","5,681,295"
"May 22, 2024","1,702.80","1,704.95","1,681.10","1,699.55","1,697.69","6,058,697"
"May 21, 2024","1,692.00","1,715.00","1,690.00","1,698.25","1,696.39","5,810,167"
"May 17, 2024","1,674.00","1,705.65","1,665.00","1,696.55","1,694.69","9,617,451"
"May 16, 2024","1,655.00","1,675.00","1,647.20","1,672.05","1,670.22","6,998,357"
"May 15, 2024","1,649.70","1,654.00","1,637.05","1,650.80","1,648.99","5,260,900"
"May 14, 2024","1,642.00","1,650.00","1,632.50","1,646.30","1,644.50","4,282,026"
"May 13, 2024","1,627.00","1,643.65","1,616.00","1,641.20","1,639.40","5,839,248"
"May 10, 2024","1,643.00","1,653.10","1,615.90","1,627.95","1,626.17","11,769,402"
"May 9, 2024","1,648.00","1,661.85","1,637.00","1,643.10","1,641.30","4,656,044"
"May 8, 2024","1,640.00","1,657.45","1,636.10","1,648.35","1,646.55","9,853,753"
"May 7, 2024","1,628.70","1,647.35","1,618.00","1,643.90","1,642.10","9,866,785"
"May 6, 2024","1,605.00","1,633.00","1,594.00","1,624.30","1,622.52","21,608,211"
"May 3, 2024","1,583.00","1,587.90","1,543.85","1,546.70","1,545.01","16,123,589"
"May 2, 2024","1,590.00","1,594.50","1,552.40","1,575.65","1,573.92","26,640,478"
"Apr 30, 2024","1,640.40","1,647.00","1,620.00","1,623.95","1,622.17","18,206,448"
"Apr 29, 2024","1,610.10","1,647.25","1,609.50","1,640.40","1,638.60","11,227,409"
"Apr 26, 2024","1,642.45","1,655.00","1,605.00","1,608.50","1,606.74","22,146,849"
"Apr 25, 2024","1,665.00","1,697.80","1,602.00","1,642.45","1,640.65","66,179,079"
"Apr 24, 2024","1,812.00","1,845.50","1,807.80","1,842.80","1,840.78","3,295,077"
"Apr 23, 2024","1,810.00","1,829.00","1,803.10","1,813.05","1,811.07","5,956,005"
"Apr 22, 2024","1,813.00","1,822.50","1,800.00","1,809.95","1,807.97","6,151,139"
"Apr 19, 2024","1,764.00","1,805.00","1,763.00","1,792.65","1,790.69","3,870,380"
"Apr 18, 2024","1,790.05","1,813.00","1,783.10","1,786.75","1,784.79","4,250,740"
"Apr 16, 2024","1,778.00","1,804.60","1,775.65","1,792.60","1,790.64","4,096,778"
"Apr 15, 2024","1,789.95","1,809.70","1,780.00","1,798.15","1,796.18","4,319,868"
"Apr 12, 2024","1,811.00","1,818.10","1,799.35","1,813.05","1,811.07","3,966,227"
"Apr 10, 2024","1,788.90","1,829.90","1,784.00","1,825.95","1,823.95","5,525,818"
"Apr 9, 2024","1,790.35","1,793.00","1,775.70","1,780.60","1,778.65","2,373,231"
"Apr 8, 2024","1,793.80","1,801.85","1,785.10","1,788.40","1,786.44","2,634,811"
"Apr 5, 2024","1,749.05","1,787.20","1,740.10","1,785.15","1,783.20","6,558,023"
"Apr 4, 2024","1,747.00","1,751.70","1,723.30","1,749.15","1,747.23","13,125,292"
"Apr 3, 2024","1,753.50","1,756.70","1,729.00","1,731.15","1,729.25","12,683,551"
"Apr 2, 2024","1,793.90","1,798.00","1,754.45","1,757.40","1,755.48","6,851,190"
"Apr 1, 2024","1,795.00","1,817.65","1,786.50","1,790.70","1,788.74","2,885,880"
"Mar 28, 2024","1,777.95","1,803.90","1,774.20","1,785.50","1,783.55","6,630,072"
"Mar 27, 2024","1,758.00","1,779.80","1,753.90","1,775.60","1,773.66","8,231,130"
"Mar 26, 2024","1,765.00","1,775.40","1,750.00","1,753.70","1,751.78","5,303,630"
"Mar 22, 2024","1,769.90","1,782.50","1,765.00","1,776.40","1,774.46","7,061,283"
"Mar 21, 2024","1,772.10","1,790.65","1,764.30","1,772.15","1,770.21","3,783,681"
"Mar 20, 2024","1,751.40","1,768.50","1,730.80","1,765.40","1,763.47","4,420,886"
"Mar 19, 2024","1,734.85","1,756.90","1,730.55","1,749.65","1,747.73","4,481,075"
"Mar 18, 2024","1,737.40","1,744.85","1,715.30","1,737.90","1,736.00","2,314,143"
"Mar 15, 2024","1,735.80","1,756.00","1,721.20","1,738.30","1,736.40","15,507,454"
"Mar 14, 2024","1,725.00","1,757.85","1,719.15","1,742.40","1,740.49","4,809,633"
"Mar 13, 2024","1,720.35","1,742.75","1,717.20","1,729.55","1,727.66","5,816,083"
"Mar 12, 2024","1,734.90","1,743.45","1,707.35","1,720.35","1,718.47","10,243,298"
"Mar 11, 2024","1,765.90","1,769.85","1,724.25","1,729.65","1,727.76","3,640,143"
"Mar 7, 2024","1,759.75","1,764.90","1,745.00","1,748.05","1,746.14","3,139,360"
"Mar 6, 2024","1,722.85","1,771.95","1,718.40","1,759.75","1,757.82","7,451,712"
"Mar 5, 2024","1,726.90","1,727.20","1,708.95","1,715.70","1,713.82","3,122,194"
"Mar 4, 2024","1,727.95","1,741.50","1,718.50","1,727.20","1,725.31","2,777,198"
"Mar 1, 2024","1,695.50","1,730.25","1,695.00","1,727.70","1,725.81","3,444,149"
"Feb 29, 2024","1,687.00","1,702.25","1,667.40","1,689.45","1,687.60","6,606,975"
"Feb 28, 2024","1,711.00","1,712.85","1,675.20","1,683.60","1,681.76","3,076,327"
"Feb 27, 2024","1,713.00","1,714.95","1,697.00","1,706.75","1,704.88","4,431,652"
"Feb 26, 2024","1,722.10","1,725.40","1,701.95","1,706.30","1,704.43","5,958,066"
"Feb 23, 2024","1,724.50","1,732.75","1,715.40","1,724.00","1,722.11","3,453,766"
"Feb 22, 2024","1,744.50","1,745.00","1,714.20","1,724.75","1,722.86","6,200,760"
"Feb 21, 2024","1,769.00","1,769.00","1,740.55","1,746.10","1,744.19","4,184,871"
"Feb 20, 2024","1,739.70","1,768.65","1,737.35","1,762.50","1,760.57","7,611,124"
"Feb 19, 2024","1,744.00","1,744.00","1,726.15","1,731.40","1,729.50","4,447,954"
"Feb 16, 2024","1,749.95","1,751.00","1,732.20","1,735.25","1,733.35","1,643,146"
"Feb 15, 2024","1,755.00","1,757.45","1,720.05","1,739.25","1,737.35","2,541,670"
"Feb 14, 2024","1,723.65","1,764.80","1,712.15","1,748.95","1,747.04","3,850,323"
"Feb 13, 2024","1,713.00","1,745.10","1,709.00","1,737.15","1,735.25","4,492,334"
