Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","3,074.00","3,176.90","3,066.00","3,165.85","3,165.85","6,060,165"
"Oct 7, 2024","3,028.00","3,066.95","2,982.90","3,060.20","3,060.20","2,732,276"
"Oct 4, 2024","3,127.05","3,157.60","3,009.50","3,017.45","3,017.45","4,281,562"
"Oct 3, 2024","3,085.00","3,171.00","3,072.45","3,129.85","3,129.85","3,237,011"
"Oct 1, 2024","3,105.50","3,185.45","3,095.80","3,165.50","3,165.50","4,028,211"
"Sep 30, 2024","3,163.15","3,179.00","3,087.00","3,094.90","3,094.90","3,554,400"
"Sep 27, 2024","3,171.00","3,222.10","3,152.55","3,183.65","3,183.65","6,803,795"
"Sep 26, 2024","3,072.00","3,197.20","3,045.65","3,181.10","3,181.10","4,753,617"
"Sep 25, 2024","3,045.00","3,149.00","3,034.55","3,091.05","3,091.05","4,218,815"
"Sep 24, 2024","3,020.00","3,098.55","3,020.00","3,074.30","3,074.30","3,697,722"
"Sep 23, 2024","2,962.75","3,056.90","2,956.15","3,049.80","3,049.80","3,925,490"
"Sep 20, 2024","2,798.70","2,960.00","2,798.50","2,950.85","2,950.85","12,492,909"
"Sep 19, 2024","2,812.00","2,852.00","2,792.20","2,797.50","2,797.50","2,807,727"
"Sep 18, 2024","2,781.50","2,848.00","2,777.65","2,808.20","2,808.20","2,526,756"
"Sep 17, 2024","2,765.00","2,793.50","2,745.30","2,787.65","2,787.65","1,387,175"
"Sep 16, 2024","2,740.20","2,784.30","2,732.05","2,757.40","2,757.40","1,234,752"
"Sep 13, 2024","2,755.00","2,758.55","2,711.75","2,739.10","2,739.10","2,102,332"
"Sep 12, 2024","2,665.00","2,751.60","2,635.60","2,740.90","2,740.90","3,730,285"
"Sep 11, 2024","2,681.50","2,708.00","2,644.10","2,654.25","2,654.25","2,034,245"
"Sep 10, 2024","2,691.25","2,715.00","2,677.00","2,690.00","2,690.00","2,034,126"
"Sep 9, 2024","2,688.15","2,714.30","2,660.05","2,708.85","2,708.85","1,269,082"
"Sep 6, 2024","2,723.00","2,738.90","2,680.10","2,698.10","2,698.10","2,835,519"
"Sep 5, 2024","2,756.20","2,760.00","2,711.90","2,723.10","2,723.10","2,360,312"
"Sep 4, 2024","2,761.00","2,779.90","2,731.10","2,749.60","2,749.60","1,697,000"
"Sep 3, 2024","2,780.00","2,798.10","2,772.60","2,784.85","2,784.85","1,592,710"
"Sep 2, 2024","2,848.80","2,848.80","2,756.50","2,777.00","2,777.00","2,270,687"
"Aug 30, 2024","2,780.00","2,821.55","2,765.00","2,805.40","2,805.40","4,895,220"
"Aug 29, 2024","2,789.35","2,801.65","2,741.65","2,757.60","2,757.60","2,237,121"
"Aug 28, 2024","2,781.90","2,827.00","2,780.80","2,798.00","2,798.00","1,851,275"
"Aug 27, 2024","2,797.95","2,800.00","2,773.95","2,780.80","2,780.80","1,604,159"
"Aug 26, 2024","2,764.95","2,799.00","2,753.10","2,793.10","2,793.10","2,765,969"
"Aug 23, 2024","2,732.95","2,769.00","2,725.30","2,759.00","2,759.00","1,943,539"
"Aug 22, 2024","2,771.10","2,775.75","2,724.05","2,732.95","2,732.95","2,346,622"
"Aug 21, 2024","2,774.00","2,780.95","2,755.00","2,769.40","2,769.40","1,497,501"
"Aug 20, 2024","2,779.75","2,783.20","2,748.50","2,771.30","2,771.30","1,762,399"
"Aug 19, 2024","2,859.90","2,859.90","2,760.00","2,765.15","2,765.15","2,500,718"
"Aug 16, 2024","2,789.00","2,845.05","2,776.15","2,840.45","2,840.45","4,376,092"
"Aug 14, 2024","2,728.80","2,771.95","2,715.30","2,745.25","2,745.25","2,609,359"
"Aug 13, 2024","2,718.10","2,738.65","2,704.10","2,718.05","2,718.05","1,292,521"
"Aug 12, 2024","2,749.15","2,757.00","2,708.70","2,717.65","2,717.65","2,321,474"
"Aug 9, 2024","2,734.00","2,765.00","2,705.00","2,749.15","2,749.15","2,279,076"
"Aug 8, 2024","2,660.50","2,716.50","2,656.50","2,682.95","2,682.95","2,673,182"
"Aug 7, 2024","2,697.50","2,704.75","2,661.00","2,680.85","2,680.85","2,479,171"
"Aug 6, 2024","2,688.30","2,748.75","2,625.70","2,632.95","2,632.95","3,069,277"
"Aug 5, 2024","2,679.65","2,729.20","2,635.80","2,678.95","2,678.95","3,731,770"
"Aug 2, 2024","2,810.30","2,810.30","2,733.85","2,749.65","2,749.65","3,041,513"
"Aug 1, 2024","2,926.50","2,926.50","2,820.10","2,828.40","2,828.40","4,971,708"
"Jul 31, 2024","2,937.00","2,979.60","2,872.95","2,907.80","2,907.80","4,238,740"
"Jul 30, 2024","2,945.00","2,950.00","2,904.60","2,922.10","2,922.10","2,290,006"
"Jul 29, 2024","2,900.00","2,945.00","2,875.50","2,933.00","2,933.00","2,388,937"
"Jul 26, 2024","2,821.60","2,897.40","2,790.00","2,887.80","2,887.80","2,352,661"
"Jul 25, 2024","2,799.80","2,827.00","2,781.80","2,811.40","2,811.40","1,857,122"
"Jul 24, 2024","2,823.00","2,830.40","2,763.65","2,805.50","2,805.50","2,276,082"
"Jul 23, 2024","2,824.00","2,854.50","2,743.40","2,821.35","2,821.35","2,572,524"
"Jul 22, 2024","2,751.05","2,819.00","2,725.00","2,804.75","2,804.75","2,208,103"
"Jul 19, 2024","2,819.95","2,819.95","2,743.00","2,749.30","2,749.30","2,042,568"
"Jul 18, 2024","2,756.00","2,825.95","2,736.50","2,819.45","2,819.45","4,122,844"
"Jul 16, 2024","2,754.95","2,766.85","2,740.00","2,756.75","2,756.75","1,925,983"
"Jul 15, 2024","2,722.85","2,739.00","2,708.10","2,731.05","2,731.05","2,017,720"
"Jul 12, 2024","2,689.65","2,722.30","2,687.15","2,703.95","2,703.95","3,398,732"
