Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","12,502.25","12,630.10","12,462.05","12,531.95","12,531.95","387,060"
"Oct 7, 2024","12,626.05","12,648.00","12,378.00","12,527.50","12,527.50","465,500"
"Oct 4, 2024","12,689.90","12,877.85","12,512.50","12,605.75","12,605.75","679,362"
"Oct 3, 2024","12,941.05","13,148.00","12,592.30","12,647.35","12,647.35","863,520"
"Oct 1, 2024","13,238.00","13,300.45","13,000.05","13,166.00","13,166.00","388,888"
"Sep 30, 2024","13,343.55","13,500.00","13,208.70","13,238.00","13,238.00","415,743"
"Sep 27, 2024","13,383.00","13,541.65","13,274.45","13,495.60","13,495.60","865,698"
"Sep 26, 2024","12,835.00","13,411.00","12,830.00","13,383.80","13,383.80","1,471,069"
"Sep 25, 2024","12,727.25","12,816.20","12,611.00","12,785.30","12,785.30","341,172"
"Sep 24, 2024","12,583.10","12,778.95","12,583.10","12,738.60","12,738.60","425,916"
"Sep 23, 2024","12,625.00","12,749.00","12,625.00","12,683.10","12,683.10","235,586"
"Sep 20, 2024","12,360.40","12,705.15","12,360.05","12,614.50","12,614.50","875,654"
"Sep 19, 2024","12,259.95","12,410.00","12,206.40","12,351.50","12,351.50","465,608"
"Sep 18, 2024","12,240.05","12,337.95","12,170.00","12,204.10","12,204.10","182,282"
"Sep 17, 2024","12,285.00","12,285.00","12,151.65","12,245.75","12,245.75","568,161"
"Sep 16, 2024","12,321.95","12,364.00","12,256.00","12,289.00","12,289.00","170,114"
"Sep 13, 2024","12,365.00","12,395.00","12,291.05","12,316.05","12,316.05","361,093"
"Sep 12, 2024","12,262.10","12,427.00","12,151.35","12,400.85","12,400.85","547,830"
"Sep 11, 2024","12,260.00","12,334.00","12,165.00","12,242.60","12,242.60","349,799"
"Sep 10, 2024","12,150.10","12,288.05","12,098.00","12,263.40","12,263.40","285,122"
"Sep 9, 2024","12,197.50","12,219.85","12,102.00","12,145.75","12,145.75","415,790"
"Sep 6, 2024","12,250.00","12,304.85","12,094.70","12,186.15","12,186.15","733,354"
"Sep 5, 2024","12,337.00","12,370.00","12,230.00","12,298.60","12,298.60","595,865"
"Sep 4, 2024","12,325.05","12,398.00","12,234.10","12,336.25","12,336.25","735,076"
"Sep 3, 2024","12,474.00","12,474.30","12,359.90","12,397.10","12,397.10","445,514"
"Sep 2, 2024","12,373.00","12,525.00","12,350.40","12,427.40","12,427.40","331,514"
