Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","2,570.60","2,594.00","2,551.60","2,581.75","2,581.75","1,202,170"
"Oct 7, 2024","2,604.95","2,620.00","2,566.90","2,573.85","2,573.85","1,102,858"
"Oct 4, 2024","2,663.00","2,678.35","2,590.30","2,598.15","2,598.15","1,033,034"
"Oct 3, 2024","2,685.00","2,695.00","2,650.35","2,674.85","2,674.85","812,365"
"Oct 1, 2024","2,690.00","2,710.00","2,672.90","2,707.05","2,707.05","552,759"
"Sep 30, 2024","2,720.00","2,740.00","2,684.80","2,689.95","2,689.95","883,192"
"Sep 27, 2024","2,750.00","2,778.00","2,731.00","2,745.70","2,745.70","1,097,167"
"Sep 26, 2024","2,707.95","2,762.45","2,707.95","2,755.50","2,755.50","1,158,606"
"Sep 25, 2024","2,685.25","2,704.60","2,659.05","2,697.35","2,697.35","718,957"
"Sep 24, 2024","2,725.00","2,766.80","2,674.00","2,696.40","2,696.40","1,540,033"
"Sep 23, 2024","2,705.15","2,729.85","2,690.00","2,725.15","2,725.15","1,072,247"
"Sep 20, 2024","2,644.00","2,704.25","2,631.15","2,699.55","2,699.55","2,322,758"
"Sep 19, 2024","2,603.00","2,677.00","2,597.15","2,634.20","2,634.20","2,534,289"
"Sep 18, 2024","2,549.95","2,601.10","2,546.00","2,597.15","2,597.15","1,177,029"
"Sep 17, 2024","2,551.15","2,585.30","2,538.70","2,546.85","2,546.85","695,187"
"Sep 16, 2024","2,530.00","2,555.60","2,500.00","2,549.60","2,549.60","394,397"
"Sep 13, 2024","2,530.00","2,561.00","2,528.25","2,531.40","2,531.40","732,717"
"Sep 12, 2024","2,529.90","2,540.00","2,488.00","2,527.85","2,527.85","1,554,879"
"Sep 11, 2024","2,547.00","2,561.60","2,519.45","2,526.85","2,526.85","979,938"
"Sep 10, 2024","2,529.00","2,547.90","2,514.00","2,535.50","2,535.50","1,522,039"
"Sep 9, 2024","2,495.15","2,520.00","2,488.75","2,516.75","2,516.75","583,598"
"Sep 6, 2024","2,508.60","2,519.25","2,488.05","2,503.20","2,503.20","836,700"
"Sep 5, 2024","2,534.75","2,535.00","2,492.15","2,504.90","2,504.90","1,119,296"
"Sep 4, 2024","2,525.05","2,541.45","2,513.70","2,534.75","2,534.75","502,943"
"Sep 3, 2024","2,502.00","2,559.00","2,502.00","2,530.75","2,530.75","987,527"
"Sep 2, 2024","2,500.00","2,516.00","2,497.05","2,509.90","2,509.90","875,591"
"Aug 30, 2024","2,504.55","2,517.30","2,491.80","2,500.75","2,500.75","1,904,487"
"Aug 29, 2024","2,498.90","2,519.45","2,490.65","2,504.55","2,504.55","899,794"
"Aug 28, 2024","2,519.00","2,519.00","2,490.00","2,492.50","2,492.50","565,161"
"Aug 27, 2024","2,528.65","2,532.80","2,511.50","2,521.45","2,521.45","391,065"
"Aug 26, 2024","2,529.20","2,545.00","2,507.95","2,519.55","2,519.55","633,399"
"Aug 23, 2024","2,550.95","2,551.35","2,520.00","2,529.20","2,529.20","511,537"
"Aug 22, 2024","2,565.00","2,565.05","2,545.00","2,551.00","2,551.00","634,905"
"Aug 21, 2024","2,529.90","2,555.00","2,521.65","2,551.75","2,551.75","624,773"
"Aug 20, 2024","2,510.60","2,526.00","2,499.05","2,518.50","2,518.50","484,732"
"Aug 19, 2024","2,530.00","2,546.00","2,500.55","2,503.15","2,503.15","477,701"
"Aug 16, 2024","2,490.00","2,533.45","2,471.35","2,525.45","2,525.45","859,834"
"Aug 14, 2024","2,486.90","2,491.95","2,460.60","2,474.60","2,474.60","561,876"
"Aug 13, 2024","2,474.00","2,492.00","2,473.50","2,484.70","2,484.70","311,846"
"Aug 12, 2024","2,501.80","2,509.95","2,468.35","2,473.10","2,473.10","475,020"
"Aug 9, 2024","2,506.60","2,511.90","2,490.20","2,504.70","2,504.70","270,006"
"Aug 8, 2024","2,518.55","2,525.00","2,478.00","2,489.10","2,489.10","1,425,006"
"Aug 7, 2024","2,518.55","2,528.95","2,510.25","2,522.80","2,522.80","649,970"
"Aug 6, 2024","2,513.90","2,528.00","2,501.00","2,508.50","2,508.50","949,431"
"Aug 5, 2024","2,488.00","2,528.90","2,475.05","2,510.90","2,510.90","1,325,910"
"Aug 2, 2024","2,480.00","2,514.00","2,465.00","2,495.10","2,495.10","1,155,474"
"Aug 1, 2024","2,465.00","2,492.30","2,456.35","2,484.00","2,484.00","1,326,762"
"Jul 31, 2024","2,470.00","2,477.00","2,452.00","2,456.35","2,456.35","822,361"
"Jul 30, 2024","2,470.35","2,480.40","2,451.00","2,457.65","2,457.65","1,714,758"
"Jul 29, 2024","2,483.60","2,486.95","2,459.00","2,470.30","2,470.30","802,901"
"Jul 26, 2024","2,492.60","2,492.60","2,451.50","2,476.90","2,476.90","1,619,693"
"Jul 25, 2024","2,544.80","2,556.65","2,459.45","2,480.65","2,480.65","3,469,181"
"Jul 24, 2024","2,581.00","2,581.00","2,518.70","2,541.40","2,541.40","1,311,044"
"Jul 23, 2024","2,596.60","2,606.50","2,550.00","2,581.55","2,581.55","968,499"
"Jul 22, 2024","2,597.85","2,630.00","2,565.30","2,587.30","2,587.30","745,171"
"Jul 19, 2024","2,634.85","2,645.50","2,586.45","2,597.85","2,597.85","538,936"
"Jul 18, 2024","2,575.00","2,634.90","2,575.00","2,627.05","2,627.05","866,797"
"Jul 16, 2024",11.25 Dividend
"Jul 16, 2024","2,604.60","2,618.85","2,569.05","2,607.30","2,607.30","757,069"
"Jul 15, 2024","2,609.05","2,619.50","2,597.00","2,605.10","2,593.85","347,961"
"Jul 12, 2024","2,605.00","2,619.85","2,585.85","2,609.00","2,597.73","725,893"
"Jul 11, 2024","2,620.00","2,631.60","2,563.70","2,593.20","2,582.00","1,053,799"
"Jul 10, 2024","2,637.90","2,649.95","2,598.05","2,616.45","2,605.15","534,990"
"Jul 9, 2024","2,627.30","2,640.10","2,593.60","2,633.10","2,621.73","832,573"
"Jul 8, 2024","2,574.15","2,620.00","2,561.45","2,603.40","2,592.16","724,276"
"Jul 5, 2024","2,550.60","2,579.60","2,532.50","2,574.15","2,563.03","791,513"
"Jul 4, 2024","2,560.00","2,565.00","2,542.05","2,545.15","2,534.16","313,676"
"Jul 3, 2024","2,550.10","2,569.55","2,540.70","2,551.50","2,540.48","315,956"
"Jul 2, 2024","2,585.40","2,588.00","2,533.15","2,544.45","2,533.46","581,100"
"Jul 1, 2024","2,559.80","2,591.10","2,557.00","2,568.10","2,557.01","924,514"
"Jun 28, 2024","2,533.75","2,573.70","2,528.30","2,551.65","2,540.63","1,182,033"
"Jun 27, 2024","2,531.20","2,554.00","2,508.05","2,533.75","2,522.81","866,311"
"Jun 26, 2024","2,522.60","2,547.00","2,507.45","2,534.25","2,523.31","479,356"
"Jun 25, 2024","2,535.00","2,538.30","2,505.00","2,515.45","2,504.59","312,730"
"Jun 24, 2024","2,498.40","2,532.00","2,484.50","2,530.05","2,519.12","724,201"
"Jun 21, 2024","2,532.60","2,548.00","2,488.50","2,498.40","2,487.61","1,271,544"
"Jun 20, 2024","2,525.00","2,551.15","2,500.00","2,539.75","2,528.78","657,413"
"Jun 19, 2024","2,550.00","2,559.60","2,517.85","2,526.05","2,515.14","784,307"
"Jun 18, 2024","2,549.00","2,555.00","2,534.00","2,550.35","2,539.34","259,554"
"Jun 14, 2024","2,564.60","2,564.60","2,534.10","2,542.50","2,531.52","429,472"
"Jun 13, 2024","2,594.15","2,614.45","2,545.15","2,551.75","2,540.73","1,081,272"
"Jun 12, 2024","2,544.00","2,554.75","2,521.00","2,537.30","2,526.34","480,408"
"Jun 11, 2024","2,560.00","2,575.00","2,534.00","2,541.95","2,530.97","569,411"
"Jun 10, 2024","2,510.00","2,565.00","2,507.05","2,548.20","2,537.20","795,174"
"Jun 7, 2024","2,476.45","2,516.25","2,467.00","2,502.45","2,491.64","1,011,202"
"Jun 6, 2024","2,518.00","2,518.00","2,452.65","2,471.40","2,460.73","972,140"
"Jun 5, 2024","2,430.00","2,574.05","2,430.00","2,509.85","2,499.01","2,028,779"
"Jun 4, 2024","2,363.95","2,438.00","2,327.45","2,427.75","2,417.27","1,558,531"
"Jun 3, 2024","2,374.80","2,388.95","2,350.00","2,355.05","2,344.88","1,072,515"
"May 31, 2024","2,425.60","2,425.60","2,345.00","2,354.90","2,344.73","2,532,973"
"May 30, 2024","2,465.05","2,473.10","2,400.55","2,404.80","2,394.42","1,274,214"
"May 29, 2024","2,447.70","2,497.00","2,445.00","2,476.20","2,465.51","869,600"
"May 28, 2024","2,461.15","2,467.65","2,446.00","2,451.70","2,441.11","521,672"
"May 27, 2024","2,477.00","2,479.00","2,455.00","2,459.90","2,449.28","535,831"
"May 24, 2024","2,476.95","2,485.00","2,458.05","2,467.75","2,457.09","453,772"
"May 23, 2024","2,481.00","2,487.50","2,455.55","2,474.15","2,463.47","781,663"
"May 22, 2024","2,472.00","2,487.50","2,461.90","2,469.15","2,458.49","787,327"
"May 21, 2024","2,466.00","2,489.60","2,432.00","2,460.80","2,450.17","1,287,451"
"May 17, 2024","2,468.35","2,468.35","2,433.80","2,445.50","2,434.94","721,178"
"May 16, 2024","2,470.00","2,479.95","2,420.30","2,468.35","2,457.69","972,494"
"May 15, 2024","2,488.00","2,499.00","2,460.00","2,465.00","2,454.35","434,406"
"May 14, 2024","2,506.10","2,518.95","2,482.00","2,487.35","2,476.61","556,747"
