Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",224.00,224.22,211.00,218.99,218.99,"31,173,719"
"Oct 7, 2024",238.25,241.72,225.15,228.74,228.74,"13,245,690"
"Oct 4, 2024",238.00,242.00,234.10,236.56,236.56,"8,931,385"
"Oct 3, 2024",238.13,245.40,236.74,239.40,239.40,"15,024,610"
"Oct 1, 2024",244.75,247.40,239.40,244.53,244.53,"16,310,833"
"Sep 30, 2024",243.00,247.20,240.10,244.91,244.91,"44,963,225"
"Sep 27, 2024",237.19,239.80,234.30,235.18,235.18,"17,801,016"
"Sep 26, 2024",225.75,235.26,221.89,234.29,234.29,"27,222,191"
"Sep 25, 2024",225.80,229.20,224.80,225.80,225.80,"14,742,106"
"Sep 24, 2024",218.90,225.63,218.05,223.93,223.93,"23,607,013"
"Sep 23, 2024",213.19,216.00,212.15,215.39,215.39,"5,902,902"
"Sep 20, 2024",214.00,218.30,211.82,212.54,212.54,"14,316,486"
"Sep 19, 2024",212.68,215.02,205.68,212.38,212.38,"9,429,431"
"Sep 18, 2024",214.10,214.28,209.45,212.12,212.12,"6,951,954"
"Sep 17, 2024",1.50 Dividend
"Sep 17, 2024",218.68,219.43,213.64,214.66,214.66,"4,781,521"
"Sep 16, 2024",221.70,223.50,218.56,219.10,217.60,"8,214,628"
"Sep 13, 2024",216.85,221.90,216.01,220.69,219.18,"14,241,696"
"Sep 12, 2024",209.00,216.80,208.50,215.48,214.00,"12,680,003"
"Sep 11, 2024",210.50,212.00,205.71,206.79,205.37,"5,943,141"
"Sep 10, 2024",207.80,212.20,207.80,210.93,209.49,"6,975,219"
"Sep 9, 2024",210.98,211.40,204.90,207.67,206.25,"8,130,579"
"Sep 6, 2024",212.70,212.70,207.39,210.98,209.54,"8,668,953"
"Sep 5, 2024",211.95,213.57,210.75,212.70,211.24,"6,331,145"
"Sep 4, 2024",212.98,214.97,209.12,211.09,209.64,"10,341,353"
"Sep 3, 2024",215.00,217.41,213.83,214.98,213.51,"8,338,138"
"Sep 2, 2024",221.00,221.79,214.50,216.41,214.93,"11,598,432"
"Aug 30, 2024",224.50,226.16,222.07,222.66,221.14,"6,171,301"
"Aug 29, 2024",225.77,226.71,220.55,223.92,222.39,"5,523,974"
"Aug 28, 2024",230.00,230.90,225.81,226.23,224.68,"5,284,320"
"Aug 27, 2024",230.05,233.10,228.83,229.65,228.08,"7,506,640"
"Aug 26, 2024",223.00,230.20,221.76,229.22,227.65,"8,423,452"
"Aug 23, 2024",226.90,226.90,221.40,221.76,220.24,"4,688,481"
"Aug 22, 2024",224.50,227.89,223.76,226.34,224.79,"7,702,784"
"Aug 21, 2024",225.00,227.40,222.10,222.67,221.15,"10,108,460"
"Aug 20, 2024",220.85,225.36,219.65,224.58,223.04,"9,908,370"
"Aug 19, 2024",219.70,221.21,217.20,219.86,218.35,"6,989,544"
"Aug 16, 2024",215.00,218.00,210.15,217.45,215.96,"15,202,847"
"Aug 14, 2024",225.01,225.74,210.06,210.94,209.50,"23,596,240"
"Aug 13, 2024",234.95,234.95,223.11,224.46,222.92,"14,257,716"
"Aug 12, 2024",219.00,230.70,217.11,229.63,228.06,"9,658,768"
"Aug 9, 2024",225.00,226.20,218.52,221.53,220.01,"7,529,898"
"Aug 8, 2024",229.20,229.74,221.91,222.49,220.97,"6,163,968"
"Aug 7, 2024",226.00,229.65,224.13,228.57,227.01,"7,046,166"
"Aug 6, 2024",224.75,231.48,221.86,222.74,221.22,"6,109,979"
"Aug 5, 2024",230.97,231.39,221.61,224.29,222.75,"8,532,218"
"Aug 2, 2024",239.80,240.25,234.55,235.91,234.29,"5,617,281"
"Aug 1, 2024",242.70,249.14,241.40,242.73,241.07,"12,713,711"
"Jul 31, 2024",244.50,245.94,240.91,241.61,239.96,"6,566,727"
"Jul 30, 2024",242.80,244.86,240.40,243.03,241.37,"5,002,321"
"Jul 29, 2024",240.10,245.98,239.25,244.19,242.52,"10,284,790"
"Jul 26, 2024",232.45,239.32,232.06,238.55,236.92,"8,395,880"
"Jul 25, 2024",229.99,234.95,227.54,229.87,228.30,"10,759,754"
"Jul 24, 2024",234.40,237.45,231.78,232.73,231.14,"5,686,076"
"Jul 23, 2024",234.90,236.20,220.88,234.67,233.06,"13,033,258"
"Jul 22, 2024",228.00,235.60,225.00,233.89,232.29,"6,988,560"
"Jul 19, 2024",241.85,241.85,228.01,228.76,227.19,"11,559,080"
"Jul 18, 2024",246.40,246.40,240.71,241.90,240.24,"6,314,659"
"Jul 16, 2024",248.00,250.72,246.16,246.72,245.03,"6,724,913"
"Jul 15, 2024",247.00,248.25,243.64,247.12,245.43,"5,920,050"
"Jul 12, 2024",247.21,248.88,244.20,246.26,244.57,"4,846,292"
"Jul 11, 2024",246.05,247.30,244.25,246.19,244.50,"7,005,866"
"Jul 10, 2024",251.50,252.60,239.57,244.91,243.23,"12,405,644"
"Jul 9, 2024",251.00,254.19,250.01,251.32,249.60,"10,409,892"
"Jul 8, 2024",253.19,253.40,249.50,250.13,248.42,"8,898,452"
"Jul 5, 2024",250.00,254.00,249.00,252.28,250.55,"14,121,287"
"Jul 4, 2024",253.50,255.40,250.83,251.61,249.89,"13,292,695"
"Jul 3, 2024",246.90,252.30,246.11,251.22,249.50,"11,558,134"
"Jul 2, 2024",251.60,252.15,242.40,244.35,242.68,"23,920,837"
"Jul 1, 2024",245.00,252.25,244.66,251.60,249.88,"24,400,033"
"Jun 28, 2024",246.85,250.90,245.45,246.05,244.37,"12,936,396"
"Jun 27, 2024",250.00,253.40,241.25,245.50,243.82,"19,985,477"
"Jun 26, 2024",255.90,256.00,248.25,249.25,247.54,"19,495,243"
"Jun 25, 2024",266.55,267.30,255.60,258.05,256.28,"9,792,700"
"Jun 24, 2024",267.45,267.70,262.10,264.00,262.19,"6,577,928"
"Jun 21, 2024",275.00,275.20,268.05,269.70,267.85,"9,563,807"
"Jun 20, 2024",262.00,275.60,259.25,273.25,271.38,"22,534,993"
"Jun 19, 2024",267.05,268.10,260.55,262.10,260.31,"5,470,537"
"Jun 18, 2024",268.60,270.85,265.35,265.95,264.13,"7,466,397"
"Jun 14, 2024",265.35,268.70,263.10,267.40,265.57,"6,373,405"
"Jun 13, 2024",267.40,268.10,262.65,265.35,263.53,"8,338,914"
"Jun 12, 2024",256.50,263.95,255.35,263.10,261.30,"9,493,539"
"Jun 11, 2024",254.90,261.45,252.50,255.25,253.50,"6,642,572"
"Jun 10, 2024",259.00,259.00,253.85,254.70,252.96,"5,191,811"
"Jun 7, 2024",255.50,259.80,253.20,258.50,256.73,"8,317,059"
"Jun 6, 2024",249.70,257.50,247.00,252.20,250.47,"9,585,788"
"Jun 5, 2024",240.00,247.00,223.85,244.80,243.12,"17,659,231"
"Jun 4, 2024",267.90,267.90,211.15,237.30,235.68,"32,014,391"
"Jun 3, 2024",273.00,273.10,262.80,267.90,266.07,"15,343,724"
"May 31, 2024",252.80,261.85,250.20,260.15,258.37,"24,596,856"
"May 30, 2024",258.00,258.15,248.20,249.45,247.74,"10,123,573"
"May 29, 2024",257.00,260.15,254.35,258.15,256.38,"11,084,059"
"May 28, 2024",258.00,265.65,257.70,258.85,257.08,"17,938,456"
"May 27, 2024",270.15,270.15,261.70,262.60,260.80,"10,049,267"
"May 24, 2024",267.00,271.25,266.55,267.90,266.07,"7,687,611"
"May 23, 2024",273.85,274.10,263.65,266.05,264.23,"13,589,767"
"May 22, 2024",284.80,285.00,270.65,273.20,271.33,"19,119,026"
"May 21, 2024",281.05,286.35,279.15,282.20,280.27,"13,473,517"
"May 17, 2024",266.00,277.70,265.05,276.65,274.76,"16,792,856"
"May 16, 2024",269.40,271.65,261.40,265.00,263.19,"11,009,983"
"May 15, 2024",265.50,269.45,265.20,267.30,265.47,"8,577,348"
"May 14, 2024",256.55,266.30,256.55,265.05,263.24,"11,115,912"
"May 13, 2024",255.40,257.10,246.20,255.75,254.00,"8,631,620"
"May 10, 2024",253.00,257.00,248.45,255.40,253.65,"9,447,020"
"May 9, 2024",267.00,268.10,251.85,253.00,251.27,"10,986,791"
"May 8, 2024",258.25,268.40,258.25,266.80,264.97,"11,543,112"
"May 7, 2024",270.50,270.50,258.25,260.80,259.01,"20,081,243"
"May 6, 2024",271.70,273.20,258.00,269.40,267.56,"26,525,706"
"May 3, 2024",258.50,269.90,258.15,268.95,267.11,"38,974,667"
"May 2, 2024",254.00,260.40,252.20,258.50,256.73,"14,420,844"
