Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","3,157.25","3,191.90","3,102.20","3,185.25","3,185.25","475,232"
"Oct 7, 2024","3,227.00","3,227.00","3,139.05","3,153.30","3,153.30","248,961"
"Oct 4, 2024","3,270.00","3,299.00","3,192.45","3,208.80","3,208.80","359,269"
"Oct 3, 2024","3,240.00","3,324.00","3,240.00","3,299.80","3,299.80","594,000"
"Oct 1, 2024","3,387.15","3,396.40","3,331.20","3,340.15","3,340.15","323,455"
"Sep 30, 2024","3,384.00","3,415.00","3,350.15","3,359.40","3,359.40","558,443"
"Sep 27, 2024","3,295.00","3,370.50","3,274.65","3,363.45","3,363.45","871,582"
"Sep 26, 2024","3,256.70","3,303.15","3,246.00","3,289.65","3,289.65","446,470"
"Sep 25, 2024","3,265.05","3,270.00","3,217.00","3,256.70","3,256.70","146,118"
"Sep 24, 2024","3,295.35","3,327.85","3,254.00","3,265.05","3,265.05","184,450"
"Sep 23, 2024","3,298.90","3,304.80","3,277.70","3,295.35","3,295.35","163,795"
"Sep 20, 2024","3,249.20","3,298.35","3,225.00","3,287.10","3,287.10","556,121"
"Sep 19, 2024","3,225.00","3,249.60","3,185.00","3,244.00","3,244.00","269,754"
"Sep 18, 2024","3,270.05","3,271.05","3,161.10","3,192.30","3,192.30","211,503"
"Sep 17, 2024","3,309.95","3,311.00","3,263.35","3,269.10","3,269.10","117,365"
"Sep 16, 2024","3,320.00","3,320.00","3,278.35","3,304.75","3,304.75","369,327"
"Sep 13, 2024","3,269.00","3,331.00","3,241.00","3,310.00","3,310.00","617,427"
"Sep 12, 2024","3,250.00","3,280.00","3,221.00","3,269.65","3,269.65","467,044"
"Sep 11, 2024","3,269.95","3,296.75","3,249.90","3,254.30","3,254.30","534,809"
"Sep 10, 2024","3,284.00","3,289.95","3,227.10","3,231.45","3,231.45","276,297"
"Sep 9, 2024","3,254.00","3,301.40","3,220.10","3,273.95","3,273.95","676,835"
"Sep 6, 2024","3,210.00","3,259.00","3,205.00","3,233.70","3,233.70","441,560"
"Sep 5, 2024","3,214.95","3,225.90","3,181.50","3,209.20","3,209.20","587,224"
"Sep 4, 2024","3,172.00","3,246.60","3,172.00","3,214.95","3,214.95","955,844"
"Sep 3, 2024","3,167.95","3,217.25","3,162.35","3,173.55","3,173.55","604,354"
"Sep 2, 2024","3,150.00","3,181.75","3,135.60","3,162.20","3,162.20","437,322"
"Aug 30, 2024","3,080.85","3,138.50","3,071.10","3,123.30","3,123.30","478,166"
"Aug 29, 2024","3,080.10","3,095.00","3,047.05","3,080.85","3,080.85","209,792"
"Aug 28, 2024","3,115.00","3,115.00","3,070.55","3,083.15","3,083.15","183,165"
"Aug 27, 2024","3,107.95","3,115.00","3,080.00","3,099.15","3,099.15","129,045"
"Aug 26, 2024","3,084.65","3,111.95","3,061.85","3,108.65","3,108.65","122,410"
"Aug 23, 2024","3,134.90","3,134.90","3,080.00","3,084.65","3,084.65","168,470"
"Aug 22, 2024","3,069.00","3,142.00","3,065.00","3,127.10","3,127.10","384,984"
"Aug 21, 2024","3,068.55","3,085.00","3,043.50","3,057.75","3,057.75","187,932"
"Aug 20, 2024","3,078.00","3,083.25","3,050.30","3,066.45","3,066.45","194,202"
"Aug 19, 2024","3,088.00","3,088.60","3,051.00","3,056.60","3,056.60","173,165"
"Aug 16, 2024","3,050.00","3,062.00","3,025.10","3,057.35","3,057.35","238,640"
"Aug 14, 2024","3,049.00","3,060.00","2,999.45","3,030.75","3,030.75","213,043"
"Aug 13, 2024","3,030.50","3,068.35","3,022.05","3,047.10","3,047.10","181,637"
"Aug 12, 2024","3,130.00","3,130.00","3,040.15","3,051.80","3,051.80","437,462"
"Aug 9, 2024","3,207.90","3,212.90","3,100.00","3,133.15","3,133.15","386,756"
"Aug 8, 2024","3,184.25","3,278.95","3,150.00","3,168.30","3,168.30","1,397,468"
"Aug 7, 2024","3,083.55","3,196.00","3,056.00","3,152.85","3,152.85","698,319"
"Aug 6, 2024","3,065.15","3,132.95","3,043.60","3,055.25","3,055.25","213,381"
"Aug 5, 2024","3,100.00","3,137.45","3,062.80","3,072.95","3,072.95","264,116"
"Aug 2, 2024","3,119.90","3,155.00","3,110.00","3,134.05","3,134.05","156,599"
"Aug 1, 2024","3,192.05","3,206.85","3,115.25","3,121.30","3,121.30","222,347"
"Jul 31, 2024","3,160.00","3,214.85","3,156.00","3,186.40","3,186.40","306,505"
"Jul 30, 2024","3,153.00","3,230.00","3,141.15","3,156.00","3,156.00","427,317"
"Jul 29, 2024","3,142.40","3,161.95","3,130.05","3,151.85","3,151.85","168,640"
"Jul 26, 2024","3,115.55","3,148.95","3,110.15","3,135.35","3,135.35","175,804"
"Jul 25, 2024","3,101.00","3,115.15","3,081.40","3,109.55","3,109.55","244,227"
"Jul 24, 2024",16.00 Dividend
"Jul 24, 2024","3,164.10","3,174.00","3,097.25","3,108.90","3,108.90","170,005"
"Jul 23, 2024","3,150.35","3,201.00","3,099.25","3,176.40","3,160.40","353,101"
"Jul 22, 2024","3,140.00","3,155.00","3,106.60","3,150.35","3,134.48","202,299"
"Jul 19, 2024","3,193.40","3,243.05","3,121.45","3,134.75","3,118.96","428,235"
"Jul 18, 2024","3,184.00","3,227.00","3,150.90","3,193.40","3,177.31","410,938"
"Jul 16, 2024","3,178.95","3,195.00","3,148.55","3,175.15","3,159.16","235,085"
"Jul 15, 2024","3,150.00","3,193.30","3,140.00","3,171.00","3,155.03","256,068"
"Jul 12, 2024","3,161.45","3,173.90","3,136.65","3,147.65","3,131.79","221,910"
"Jul 11, 2024","3,164.95","3,174.00","3,123.35","3,161.45","3,145.53","258,142"
"Jul 10, 2024","3,127.00","3,201.85","3,121.40","3,161.65","3,145.72","637,183"
"Jul 9, 2024","3,070.00","3,121.00","3,070.00","3,113.90","3,098.21","359,032"
"Jul 8, 2024","3,099.75","3,105.00","3,056.00","3,069.00","3,053.54","203,613"
"Jul 5, 2024","3,097.40","3,111.40","3,080.00","3,099.75","3,084.14","198,671"
"Jul 4, 2024","3,109.90","3,133.85","3,092.25","3,097.40","3,081.80","213,526"
"Jul 3, 2024","3,094.95","3,124.25","3,076.85","3,111.95","3,096.27","407,852"
"Jul 2, 2024","3,110.00","3,131.95","3,068.35","3,085.15","3,069.61","619,224"
"Jul 1, 2024","3,155.65","3,171.80","3,108.00","3,121.40","3,105.68","240,293"
"Jun 28, 2024","3,143.95","3,192.65","3,143.95","3,158.95","3,143.04","287,796"
"Jun 27, 2024","3,185.05","3,187.60","3,133.00","3,143.95","3,128.11","293,519"
"Jun 26, 2024","3,142.65","3,200.00","3,140.95","3,173.95","3,157.96","521,269"
"Jun 25, 2024","3,108.10","3,145.95","3,108.10","3,138.60","3,122.79","221,816"
"Jun 24, 2024","3,139.50","3,139.50","3,100.00","3,107.10","3,091.45","269,504"
"Jun 21, 2024","3,150.00","3,153.45","3,114.05","3,144.45","3,128.61","414,300"
"Jun 20, 2024","3,120.00","3,158.05","3,095.35","3,132.45","3,116.67","468,706"
"Jun 19, 2024","3,129.00","3,148.00","3,101.35","3,117.20","3,101.50","309,433"
"Jun 18, 2024","3,110.00","3,139.00","3,104.50","3,122.60","3,106.87","335,912"
"Jun 14, 2024","3,090.00","3,124.85","3,088.90","3,109.80","3,094.14","366,384"
"Jun 13, 2024","3,100.00","3,103.60","3,064.05","3,078.60","3,063.09","671,337"
"Jun 12, 2024","3,182.75","3,184.00","3,071.55","3,078.50","3,062.99","687,067"
"Jun 11, 2024","3,175.00","3,205.00","3,160.30","3,175.40","3,159.41","328,933"
"Jun 10, 2024","3,154.00","3,193.00","3,113.00","3,174.05","3,158.06","387,276"
"Jun 7, 2024","3,111.35","3,143.00","3,089.40","3,123.70","3,107.97","707,236"
"Jun 6, 2024","3,141.00","3,164.55","3,084.00","3,089.20","3,073.64","398,647"
"Jun 5, 2024","3,064.00","3,231.00","3,050.00","3,166.20","3,150.25","632,880"
"Jun 4, 2024","2,985.00","3,086.35","2,907.25","3,062.20","3,046.78","713,025"
"Jun 3, 2024","3,035.00","3,035.00","2,954.80","2,984.60","2,969.57","419,140"
"May 31, 2024","2,998.80","2,998.85","2,920.00","2,969.50","2,954.54","1,237,333"
"May 30, 2024","3,029.80","3,044.90","2,985.00","2,998.80","2,983.69","424,311"
"May 29, 2024","3,047.55","3,050.00","3,015.00","3,037.00","3,021.70","269,778"
"May 28, 2024","3,038.00","3,071.95","3,019.80","3,047.85","3,032.50","413,115"
"May 27, 2024","2,974.65","3,030.00","2,972.05","3,019.90","3,004.69","323,516"
"May 24, 2024","3,003.15","3,010.35","2,946.00","2,972.05","2,957.08","769,375"
"May 23, 2024","3,010.05","3,025.80","2,970.30","2,989.20","2,974.14","267,841"
"May 22, 2024","3,029.80","3,063.00","3,000.00","3,010.95","2,995.78","672,386"
"May 21, 2024","2,983.10","3,037.75","2,970.85","3,015.25","3,000.06","728,534"
"May 17, 2024","3,018.10","3,034.70","2,978.05","2,986.95","2,971.90","273,543"
"May 16, 2024","2,990.25","3,030.00","2,983.70","3,018.10","3,002.90","602,332"
"May 15, 2024","2,985.00","3,001.00","2,955.00","2,987.45","2,972.40","327,294"
"May 14, 2024","2,975.95","2,995.00","2,961.05","2,983.75","2,968.72","275,114"
"May 13, 2024","2,904.25","2,978.00","2,903.05","2,965.85","2,950.91","386,238"
"May 10, 2024","2,865.95","2,937.00","2,845.10","2,919.95","2,905.24","555,148"
"May 9, 2024","2,815.05","2,907.00","2,814.00","2,837.35","2,823.06","696,744"
"May 8, 2024","2,935.50","2,964.90","2,777.00","2,815.05","2,800.87","1,332,543"
"May 7, 2024","2,953.30","2,965.55","2,930.55","2,950.25","2,935.39","309,866"
"May 6, 2024","2,940.20","2,963.55","2,934.10","2,953.30","2,938.42","210,232"
"May 3, 2024","3,009.70","3,023.50","2,937.00","2,952.80","2,937.93","327,375"
"May 2, 2024","3,049.00","3,118.00","2,965.65","2,988.05","2,973.00","545,207"
"Apr 30, 2024","3,025.15","3,081.75","3,013.65","3,049.00","3,033.64","477,148"
"Apr 29, 2024","2,990.00","3,026.00","2,985.20","3,021.10","3,005.88","337,877"
"Apr 26, 2024","2,920.00","3,004.95","2,916.40","2,982.50","2,967.48","250,128"
"Apr 25, 2024","2,950.00","2,950.40","2,910.40","2,919.45","2,904.74","291,095"
"Apr 24, 2024","2,933.55","2,976.90","2,927.00","2,950.40","2,935.54","283,020"
"Apr 23, 2024","2,919.85","2,925.00","2,875.55","2,914.40","2,899.72","379,694"
"Apr 22, 2024","2,837.05","2,911.00","2,835.05","2,898.05","2,883.45","227,565"
"Apr 19, 2024","2,859.05","2,860.00","2,804.60","2,830.70","2,816.44","668,800"
"Apr 18, 2024","2,887.45","2,921.75","2,860.55","2,871.80","2,857.33","328,125"
"Apr 16, 2024","2,881.85","2,898.25","2,853.00","2,879.10","2,864.60","187,154"
