Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",772.25,784.40,772.25,781.45,781.45,"8,560,960"
"Oct 7, 2024",800.00,804.00,765.40,770.65,770.65,"24,267,990"
"Oct 4, 2024",792.00,809.85,785.25,796.65,796.65,"20,097,454"
"Oct 3, 2024",789.90,804.00,784.30,794.10,794.10,"15,944,135"
"Oct 1, 2024",788.00,800.35,788.00,796.95,796.95,"13,280,535"
"Sep 30, 2024",801.90,802.60,786.45,787.90,787.90,"15,484,573"
"Sep 27, 2024",801.85,808.00,798.45,802.65,802.65,"15,193,681"
"Sep 26, 2024",796.00,803.00,791.60,801.85,801.85,"23,198,842"
"Sep 25, 2024",797.90,798.00,788.70,793.10,793.10,"18,465,571"
"Sep 24, 2024",799.25,804.25,796.50,798.25,798.25,"15,180,653"
"Sep 23, 2024",786.00,805.00,784.50,801.85,801.85,"17,309,545"
"Sep 20, 2024",794.85,794.85,779.50,781.70,781.70,"21,372,244"
"Sep 19, 2024",795.05,801.35,784.05,789.95,789.95,"10,645,478"
"Sep 18, 2024",783.80,794.75,782.00,792.75,792.75,"18,324,412"
"Sep 17, 2024",785.60,787.50,780.55,782.90,782.90,"10,665,630"
"Sep 16, 2024",790.85,795.00,784.40,785.55,785.55,"9,553,736"
"Sep 13, 2024",791.00,795.00,785.10,790.85,790.85,"12,950,936"
"Sep 12, 2024",775.00,789.90,772.75,787.75,787.75,"17,578,964"
"Sep 11, 2024",780.05,788.00,765.40,768.60,768.60,"20,060,665"
"Sep 10, 2024",788.00,788.80,777.50,782.65,782.65,"12,824,701"
"Sep 9, 2024",785.00,788.20,771.00,784.25,784.25,"21,322,103"
"Sep 6, 2024",811.50,812.90,777.00,782.50,782.50,"40,220,096"
"Sep 5, 2024",818.35,822.15,814.40,818.75,818.75,"8,395,074"
"Sep 4, 2024",815.45,818.65,813.65,816.50,816.50,"10,789,570"
"Sep 3, 2024",822.15,825.95,816.40,824.80,824.80,"10,548,350"
"Sep 2, 2024",817.30,825.40,813.05,822.15,822.15,"11,813,750"
"Aug 30, 2024",817.15,820.70,814.35,815.60,815.60,"8,911,426"
"Aug 29, 2024",809.55,816.00,806.95,814.50,814.50,"18,247,268"
"Aug 28, 2024",814.75,817.20,806.50,809.40,809.40,"10,371,300"
"Aug 27, 2024",817.80,819.45,811.05,815.90,815.90,"12,833,290"
"Aug 26, 2024",818.00,823.45,813.80,815.05,815.05,"8,523,795"
"Aug 23, 2024",821.50,822.00,814.50,815.35,815.35,"5,537,747"
"Aug 22, 2024",819.00,823.90,817.10,820.30,820.30,"7,832,917"
"Aug 21, 2024",820.30,821.00,811.20,815.55,815.55,"14,607,257"
"Aug 20, 2024",817.95,823.00,813.35,820.30,820.30,"10,347,493"
"Aug 19, 2024",815.00,825.40,812.60,813.70,813.70,"10,151,482"
"Aug 16, 2024",803.00,814.90,803.00,812.10,812.10,"11,427,335"
"Aug 14, 2024",800.95,809.15,800.40,803.00,803.00,"11,788,665"
"Aug 13, 2024",813.50,820.00,795.05,797.55,797.55,"17,585,172"
"Aug 12, 2024",820.60,823.00,811.20,812.60,812.60,"16,120,449"
"Aug 9, 2024",816.00,829.95,809.55,824.30,824.30,"15,320,885"
"Aug 8, 2024",812.00,817.80,802.80,808.05,808.05,"14,769,069"
"Aug 7, 2024",809.00,810.70,800.55,808.65,808.65,"17,692,355"
"Aug 6, 2024",822.65,826.55,795.65,797.70,797.70,"17,900,930"
"Aug 5, 2024",830.00,831.35,800.00,811.65,811.65,"27,676,951"
"Aug 2, 2024",856.70,858.30,846.15,847.85,847.85,"12,609,331"
"Aug 1, 2024",877.80,881.40,859.45,862.65,862.65,"11,787,203"
"Jul 31, 2024",873.85,874.95,868.00,872.40,872.40,"11,636,874"
"Jul 30, 2024",874.70,880.55,869.00,872.80,872.80,"13,528,447"
