Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",163.00,163.59,156.70,159.52,159.52,"74,956,764"
"Oct 7, 2024",167.10,167.95,162.33,164.36,164.36,"48,775,098"
"Oct 4, 2024",167.00,169.10,164.00,166.75,166.75,"53,880,875"
"Oct 3, 2024",165.50,169.99,164.52,166.98,166.98,"75,959,797"
"Oct 1, 2024",169.49,169.49,165.10,167.03,167.03,"50,761,579"
"Sep 30, 2024",167.50,170.18,167.26,168.55,168.55,"92,381,529"
"Sep 27, 2024",167.00,169.01,165.89,166.55,166.55,"72,795,668"
"Sep 26, 2024",162.00,165.90,160.48,165.61,165.61,"88,661,662"
"Sep 25, 2024",161.50,162.69,159.52,161.66,161.66,"58,044,967"
"Sep 24, 2024",155.15,161.50,154.85,160.53,160.53,"137,414,352"
"Sep 23, 2024",154.38,154.39,152.80,153.99,153.99,"33,281,905"
"Sep 20, 2024",151.00,153.34,150.65,152.02,152.02,"53,873,369"
"Sep 19, 2024",151.89,152.19,147.79,149.54,149.54,"36,913,781"
"Sep 18, 2024",152.40,152.98,149.61,150.60,150.60,"24,856,345"
"Sep 17, 2024",154.00,154.24,152.27,152.82,152.82,"18,275,113"
"Sep 16, 2024",155.00,155.66,153.50,154.21,154.21,"32,575,460"
"Sep 13, 2024",152.78,155.40,152.50,153.49,153.49,"54,894,255"
"Sep 12, 2024",152.00,152.44,148.75,151.74,151.74,"73,191,476"
"Sep 11, 2024",149.90,150.20,147.62,148.17,148.17,"24,633,287"
"Sep 10, 2024",150.50,151.59,148.81,149.42,149.42,"41,607,844"
"Sep 9, 2024",150.90,150.90,148.05,149.47,149.47,"32,624,586"
"Sep 6, 2024",151.94,152.90,149.65,151.22,151.22,"30,709,532"
"Sep 5, 2024",151.00,152.79,151.00,151.72,151.72,"28,347,324"
"Sep 4, 2024",149.50,152.18,149.16,151.18,151.18,"39,613,696"
"Sep 3, 2024",152.84,153.45,152.01,152.15,152.15,"19,780,066"
"Sep 2, 2024",153.90,153.90,152.14,152.88,152.88,"19,200,143"
"Aug 30, 2024",153.00,155.25,152.47,152.76,152.76,"55,134,023"
"Aug 29, 2024",153.21,153.56,151.20,152.97,152.97,"44,452,983"
"Aug 28, 2024",154.70,155.00,153.05,153.70,153.70,"25,195,197"
"Aug 27, 2024",155.80,156.50,154.60,154.70,154.70,"24,523,684"
"Aug 26, 2024",154.61,156.40,153.70,155.70,155.70,"32,497,603"
"Aug 23, 2024",154.00,154.39,152.55,154.20,154.20,"31,490,857"
"Aug 22, 2024",152.51,154.35,152.51,154.14,154.14,"36,719,176"
"Aug 21, 2024",153.00,154.18,151.77,151.92,151.92,"49,749,381"
"Aug 20, 2024",155.70,155.70,152.80,153.93,153.93,"37,559,016"
"Aug 19, 2024",150.85,154.30,150.39,153.96,153.96,"62,889,770"
"Aug 16, 2024",148.00,150.00,146.46,149.52,149.52,"54,131,721"
"Aug 14, 2024",149.90,149.90,142.35,146.17,146.17,"97,911,180"
"Aug 13, 2024",152.10,152.95,148.50,148.88,148.88,"29,396,493"
"Aug 12, 2024",151.00,153.40,149.88,152.06,152.06,"30,550,334"
"Aug 9, 2024",153.00,153.00,151.25,151.81,151.81,"23,290,101"
"Aug 8, 2024",153.40,153.44,150.00,150.28,150.28,"51,858,615"
"Aug 7, 2024",153.70,154.30,151.90,153.86,153.86,"32,029,697"
"Aug 6, 2024",151.21,153.80,149.61,150.32,150.32,"53,507,102"
"Aug 5, 2024",153.66,154.00,149.00,149.82,149.82,"102,883,971"
"Aug 2, 2024",161.00,161.19,154.72,158.22,158.22,"72,427,529"
"Aug 1, 2024",168.20,168.95,160.90,163.06,163.06,"118,341,338"
"Jul 31, 2024",166.29,166.50,163.55,165.33,165.33,"52,769,925"
"Jul 30, 2024",162.90,165.30,161.31,164.07,164.07,"42,824,600"
"Jul 29, 2024",164.70,164.70,162.33,162.87,162.87,"31,754,833"
"Jul 26, 2024",158.75,162.95,158.21,162.55,162.55,"45,642,032"
"Jul 25, 2024",158.50,158.50,156.90,157.39,157.39,"45,155,876"
"Jul 24, 2024",160.02,162.02,159.19,160.31,160.31,"28,086,566"
"Jul 23, 2024",161.60,161.97,155.00,160.02,160.02,"37,077,411"
"Jul 22, 2024",158.40,160.70,156.41,160.32,160.32,"40,353,690"
"Jul 19, 2024",166.00,166.09,157.20,157.77,157.77,"77,987,514"
"Jul 18, 2024",167.61,167.61,164.44,166.36,166.36,"36,568,852"
"Jul 16, 2024",167.80,169.82,166.70,167.07,167.07,"26,505,901"
"Jul 15, 2024",168.69,168.99,165.80,166.76,166.76,"32,635,187"
