Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",222.05,224.60,220.09,222.47,222.47,"6,737,775"
"Oct 7, 2024",225.39,227.39,219.20,222.42,222.42,"10,610,957"
"Oct 4, 2024",232.00,232.00,223.87,225.39,225.39,"17,369,449"
"Oct 3, 2024",233.98,236.75,229.34,230.70,230.70,"7,331,777"
"Oct 1, 2024",235.90,242.19,233.50,238.13,238.13,"11,617,306"
"Sep 30, 2024",239.55,241.00,234.50,235.40,235.40,"10,196,690"
"Sep 27, 2024",240.95,242.70,238.25,239.55,239.55,"6,353,970"
"Sep 26, 2024",238.35,242.00,236.35,241.20,241.20,"12,748,640"
"Sep 25, 2024",237.30,239.20,235.15,238.35,238.35,"5,662,642"
"Sep 24, 2024",236.45,239.10,236.35,237.30,237.30,"6,102,544"
"Sep 23, 2024",238.50,240.00,235.05,236.45,236.45,"11,199,584"
"Sep 20, 2024",238.00,239.55,235.65,237.85,237.85,"10,309,320"
"Sep 19, 2024",238.00,238.50,233.05,237.55,237.55,"14,207,700"
"Sep 18, 2024",240.40,240.40,234.80,235.95,235.95,"7,474,116"
"Sep 17, 2024",243.80,244.65,237.85,240.80,240.80,"5,317,996"
"Sep 16, 2024",245.95,248.20,243.30,243.80,243.80,"5,872,152"
"Sep 13, 2024",248.00,248.55,245.20,245.65,245.65,"4,303,244"
"Sep 12, 2024",244.45,247.90,242.00,246.15,246.15,"9,914,360"
"Sep 11, 2024",248.20,249.45,240.15,241.55,241.55,"7,330,665"
"Sep 10, 2024",244.65,249.80,244.40,248.25,248.25,"4,997,115"
"Sep 9, 2024",247.85,247.85,242.10,243.90,243.90,"6,407,709"
"Sep 6, 2024",251.90,251.90,246.40,247.80,247.80,"5,065,459"
"Sep 5, 2024",252.90,254.75,250.30,251.15,251.15,"8,541,934"
"Sep 4, 2024",247.80,252.10,247.60,250.50,250.50,"5,452,449"
"Sep 3, 2024",251.50,252.50,249.95,251.00,251.00,"6,318,452"
"Sep 2, 2024",258.10,258.10,250.45,251.35,251.35,"7,391,898"
"Aug 30, 2024",255.20,258.60,251.10,256.45,256.45,"15,816,295"
"Aug 29, 2024",260.00,260.95,251.85,253.80,253.80,"10,575,592"
"Aug 28, 2024",262.50,263.35,260.00,260.45,260.45,"4,397,583"
"Aug 27, 2024",260.15,264.65,258.60,262.15,262.15,"9,384,044"
"Aug 26, 2024",260.05,261.15,258.55,260.15,260.15,"4,777,721"
"Aug 23, 2024",261.95,262.85,258.95,260.40,260.40,"5,774,591"
"Aug 22, 2024",260.20,262.40,259.75,261.75,261.75,"4,207,060"
"Aug 21, 2024",258.45,261.50,258.15,260.25,260.25,"3,577,864"
"Aug 20, 2024",258.10,261.75,256.85,260.00,260.00,"8,623,913"
"Aug 19, 2024",258.00,260.15,255.70,257.50,257.50,"14,623,178"
"Aug 16, 2024",249.05,256.90,248.50,255.95,255.95,"11,252,720"
"Aug 14, 2024",251.50,252.35,245.70,246.45,246.45,"4,645,867"
"Aug 13, 2024",253.35,255.25,251.05,251.70,251.70,"8,115,854"
"Aug 12, 2024",249.95,253.80,249.60,252.05,252.05,"9,417,006"
"Aug 9, 2024",248.00,254.60,247.20,253.10,253.10,"11,598,638"
"Aug 8, 2024",247.25,249.50,245.15,246.30,246.30,"10,675,857"
"Aug 7, 2024",246.35,248.70,244.20,247.30,247.30,"5,262,867"
"Aug 6, 2024",244.35,251.95,242.25,243.15,243.15,"11,070,020"
"Aug 5, 2024",240.00,247.80,240.00,244.00,244.00,"16,265,652"
"Aug 2, 2024",245.75,253.35,244.45,250.15,250.15,"10,065,906"
"Aug 1, 2024",258.45,258.45,246.95,250.20,250.20,"17,612,711"
"Jul 31, 2024",254.00,259.00,252.90,257.09,257.09,"9,627,255"
"Jul 30, 2024",256.40,256.40,251.57,253.59,253.59,"10,302,462"
"Jul 29, 2024",249.00,258.85,249.00,256.35,256.35,"28,698,736"
"Jul 26, 2024",235.10,248.89,235.10,246.38,246.38,"45,804,874"
"Jul 25, 2024",229.81,233.48,224.85,232.43,232.43,"21,033,162"
"Jul 24, 2024",228.00,233.50,227.15,232.50,232.50,"6,724,938"
"Jul 23, 2024",231.29,233.40,219.35,229.63,229.63,"18,414,004"
"Jul 22, 2024",225.15,232.95,222.52,230.70,230.70,"18,930,934"
"Jul 19, 2024",228.33,228.80,223.00,223.95,223.95,"7,812,680"
"Jul 18, 2024",229.50,230.33,225.56,228.33,228.33,"8,461,245"
"Jul 16, 2024",230.70,230.70,227.56,228.41,228.41,"9,385,976"
"Jul 15, 2024",225.00,228.69,223.40,228.20,228.20,"11,695,271"
"Jul 12, 2024",227.90,228.00,223.96,224.26,224.26,"9,394,331"
"Jul 11, 2024",226.00,228.50,225.20,226.94,226.94,"6,829,086"
"Jul 10, 2024",228.50,229.28,221.25,225.97,225.97,"10,970,675"
"Jul 9, 2024",227.25,230.45,227.25,228.28,228.28,"13,237,954"
"Jul 8, 2024",230.00,231.28,224.85,226.05,226.05,"11,746,524"
"Jul 5, 2024",227.00,230.45,226.00,229.56,229.56,"13,557,431"
"Jul 4, 2024",231.30,231.90,226.45,227.11,227.11,"10,961,313"
"Jul 3, 2024",235.30,235.97,226.15,229.47,229.47,"17,206,470"
"Jul 2, 2024",238.90,239.00,233.45,234.52,234.52,"9,422,599"
"Jul 1, 2024",241.90,243.29,235.37,238.78,238.78,"10,772,576"
"Jun 28, 2024",241.30,243.95,240.61,241.89,241.89,"5,963,889"
"Jun 27, 2024",240.19,242.69,238.33,242.16,242.16,"6,615,344"
"Jun 26, 2024",241.60,243.88,239.30,240.19,240.19,"6,266,436"
"Jun 25, 2024",241.00,245.67,240.90,241.86,241.86,"13,089,173"
"Jun 24, 2024",233.60,241.40,231.23,240.30,240.30,"17,966,888"
"Jun 21, 2024",236.90,238.16,234.55,235.65,235.65,"7,688,518"
"Jun 20, 2024",234.01,237.90,233.29,236.86,236.86,"6,600,075"
"Jun 19, 2024",239.00,239.88,231.55,234.01,234.01,"12,166,591"
"Jun 18, 2024",240.60,242.65,238.15,239.24,239.24,"12,642,828"
"Jun 14, 2024",237.00,242.69,235.89,239.84,239.84,"17,009,595"
"Jun 13, 2024",238.90,240.52,235.55,236.79,236.79,"9,109,087"
"Jun 12, 2024",239.00,241.50,237.31,238.04,238.04,"12,247,408"
"Jun 11, 2024",232.35,238.85,230.10,237.96,237.96,"13,553,181"
"Jun 10, 2024",233.90,233.95,228.82,231.42,231.42,"17,582,561"
"Jun 7, 2024",225.70,232.15,224.15,231.45,231.45,"13,365,598"
"Jun 6, 2024",225.40,231.05,223.55,225.70,225.70,"18,592,488"
"Jun 5, 2024",215.35,225.50,205.20,224.15,224.15,"29,006,990"
"Jun 4, 2024",235.00,235.00,192.00,207.75,207.75,"45,845,987"
"Jun 3, 2024",235.00,237.95,231.00,236.50,236.50,"27,249,178"
"May 31, 2024",222.00,225.70,219.70,224.00,224.00,"25,224,364"
"May 30, 2024",221.65,223.50,218.30,219.75,219.75,"10,163,073"
"May 29, 2024",223.00,229.00,221.10,221.65,221.65,"20,861,689"
"May 28, 2024",227.75,230.80,224.30,226.85,226.85,"27,423,811"
"May 27, 2024",216.00,228.30,212.60,226.70,226.70,"82,852,947"
"May 24, 2024",212.75,219.45,207.00,210.70,210.70,"44,277,487"
"May 23, 2024",209.65,213.70,206.15,212.35,212.35,"18,192,042"
"May 22, 2024",211.85,211.85,206.15,208.20,208.20,"11,330,579"
"May 21, 2024",210.95,211.95,209.05,211.35,211.35,"15,423,923"
"May 17, 2024",207.35,209.95,206.40,207.85,207.85,"14,071,079"
"May 16, 2024",202.80,207.45,202.50,206.65,206.65,"19,482,108"
"May 15, 2024",205.20,205.55,200.50,201.40,201.40,"10,515,237"
"May 14, 2024",200.05,205.90,199.85,204.55,204.55,"19,216,483"
"May 13, 2024",199.55,199.95,190.05,199.35,199.35,"18,601,645"
"May 10, 2024",196.00,199.90,194.10,198.30,198.30,"12,391,915"
"May 9, 2024",198.90,202.20,194.00,194.65,194.65,"14,749,855"
"May 8, 2024",194.50,199.65,192.65,198.35,198.35,"12,219,792"
"May 7, 2024",201.55,201.70,192.50,194.10,194.10,"16,416,394"
"May 6, 2024",203.70,204.90,200.30,200.85,200.85,"17,426,209"
"May 3, 2024",203.75,205.10,200.30,202.30,202.30,"26,107,306"
"May 2, 2024",195.85,201.95,194.50,201.35,201.35,"50,511,799"
"Apr 30, 2024",186.75,194.25,185.65,192.65,192.65,"55,035,190"
"Apr 29, 2024",187.20,188.00,184.85,185.35,185.35,"15,675,179"
"Apr 26, 2024",178.00,187.20,177.40,185.00,185.00,"48,050,897"
"Apr 25, 2024",178.00,178.80,177.05,177.70,177.70,"11,988,994"
"Apr 24, 2024",175.50,178.40,174.40,177.60,177.60,"13,300,471"
"Apr 23, 2024",173.00,174.95,172.75,174.65,174.65,"9,131,403"
"Apr 22, 2024",171.00,173.40,170.25,172.70,172.70,"12,831,083"
"Apr 19, 2024",168.00,170.00,166.25,169.35,169.35,"10,957,286"
"Apr 18, 2024",176.50,176.50,169.05,169.70,169.70,"20,636,185"
"Apr 16, 2024",173.35,177.30,172.05,176.20,176.20,"11,464,985"
"Apr 15, 2024",174.15,176.20,172.95,174.85,174.85,"11,891,660"
"Apr 12, 2024",177.90,181.20,177.10,178.35,178.35,"16,842,899"
"Apr 10, 2024",176.30,180.60,176.00,178.50,178.50,"15,885,567"
"Apr 9, 2024",177.20,177.65,175.10,176.05,176.05,"7,282,933"
"Apr 8, 2024",176.10,178.20,175.55,177.20,177.20,"22,040,896"
"Apr 5, 2024",172.80,176.50,171.40,176.00,176.00,"15,436,402"
"Apr 4, 2024",174.00,174.80,172.55,173.00,173.00,"8,582,623"
"Apr 3, 2024",4.95 Dividend
"Apr 3, 2024",171.70,175.45,171.00,174.25,174.25,"14,248,923"
"Apr 2, 2024",175.00,178.35,174.50,176.50,171.55,"34,582,301"
"Apr 1, 2024",173.00,175.40,173.00,174.65,169.75,"21,306,967"
"Mar 28, 2024",170.70,172.60,169.55,171.25,166.45,"16,280,598"
"Mar 27, 2024",170.25,171.35,168.60,169.00,164.26,"13,066,444"
"Mar 26, 2024",167.25,170.25,167.00,168.60,163.87,"20,210,770"
"Mar 22, 2024",166.80,168.45,166.05,166.65,161.98,"11,280,627"
"Mar 21, 2024",163.40,167.20,162.60,166.85,162.17,"12,691,900"
"Mar 20, 2024",162.05,162.85,160.05,161.55,157.02,"7,987,167"
"Mar 19, 2024",162.95,163.00,159.95,161.80,157.26,"16,013,195"
"Mar 18, 2024",162.20,163.45,159.75,162.65,158.09,"13,639,776"
"Mar 15, 2024",164.30,164.85,160.25,161.85,157.31,"19,074,491"
"Mar 14, 2024",158.10,164.45,157.55,164.10,159.50,"15,289,732"
"Mar 13, 2024",167.50,167.80,159.05,159.80,155.32,"14,467,593"
"Mar 12, 2024",170.00,170.15,167.00,167.30,162.61,"10,111,311"
"Mar 11, 2024",171.95,172.75,169.15,169.60,164.84,"15,018,946"
"Mar 7, 2024",170.70,172.25,170.60,171.05,166.25,"5,632,664"
"Mar 6, 2024",171.90,172.20,169.00,170.70,165.91,"9,408,878"
"Mar 5, 2024",171.90,173.50,171.55,171.90,167.08,"8,299,824"
"Mar 4, 2024",172.00,173.95,170.70,172.05,167.22,"17,740,019"
"Mar 1, 2024",171.00,173.35,170.60,171.95,167.13,"12,067,167"
"Feb 29, 2024",169.35,170.75,167.70,169.90,165.14,"21,249,116"
"Feb 28, 2024",174.00,174.45,168.75,169.30,164.55,"12,160,659"
"Feb 27, 2024",173.95,175.40,172.20,174.00,169.12,"9,973,480"
"Feb 26, 2024",174.20,176.10,171.75,174.00,169.12,"17,724,350"
"Feb 23, 2024",173.50,174.50,171.85,174.00,169.12,"10,916,517"
"Feb 22, 2024",172.70,173.60,166.40,173.00,168.15,"14,645,325"
"Feb 21, 2024",174.40,177.40,170.80,171.30,166.50,"34,084,215"
"Feb 20, 2024",172.65,174.85,171.50,172.95,168.10,"16,854,882"
"Feb 19, 2024",174.35,174.50,171.80,172.20,167.37,"11,146,517"
"Feb 16, 2024",174.80,176.80,173.00,174.20,169.31,"10,827,587"
"Feb 15, 2024",174.50,175.50,173.55,174.50,169.61,"5,903,195"
"Feb 14, 2024",170.90,174.70,170.05,173.65,168.78,"9,320,305"
"Feb 13, 2024",171.80,173.90,169.75,172.95,168.10,"9,548,570"
"Feb 12, 2024",174.35,174.35,170.30,171.35,166.54,"14,119,007"
"Feb 9, 2024",176.10,176.40,169.85,173.45,168.59,"15,647,861"
"Feb 8, 2024",178.50,178.70,173.10,176.00,171.06,"15,164,312"
"Feb 7, 2024",182.95,182.95,177.00,177.80,172.81,"24,524,288"
"Feb 6, 2024",186.85,186.85,176.15,179.95,174.90,"72,074,448"
"Feb 5, 2024",175.90,181.90,173.15,179.25,174.22,"56,970,804"
"Feb 2, 2024",173.20,175.20,168.30,174.05,169.17,"22,676,967"
"Feb 1, 2024",177.20,177.20,173.70,174.75,169.85,"12,127,881"
"Jan 31, 2024",172.65,176.25,171.60,175.90,170.97,"14,225,380"
"Jan 30, 2024",174.75,174.80,172.30,172.65,167.81,"10,850,911"
"Jan 29, 2024",170.75,175.05,168.75,173.70,168.83,"16,590,997"
"Jan 25, 2024",171.00,172.70,168.55,169.75,164.99,"10,840,926"
"Jan 24, 2024",171.00,171.45,167.70,170.60,165.82,"10,547,781"
"Jan 23, 2024",174.95,175.75,168.80,170.25,165.48,"13,224,397"
"Jan 19, 2024",175.35,175.45,171.85,172.35,167.52,"10,379,868"
"Jan 18, 2024",170.80,174.50,168.00,173.55,168.68,"16,760,144"
"Jan 17, 2024",174.20,174.80,170.85,171.40,166.59,"16,212,300"
"Jan 16, 2024",176.30,179.15,174.05,175.35,170.43,"9,460,820"
"Jan 15, 2024",177.50,177.80,175.50,176.30,171.36,"12,534,198"
"Jan 12, 2024",176.80,177.40,175.50,176.65,171.70,"7,613,337"
"Jan 11, 2024",177.55,177.85,175.80,176.60,171.65,"8,627,771"
"Jan 10, 2024",177.80,177.80,173.75,175.35,170.43,"11,158,390"
"Jan 9, 2024",179.45,180.50,176.95,177.30,172.33,"6,590,559"
"Jan 8, 2024",180.50,181.85,177.40,178.15,173.15,"13,359,269"
"Jan 5, 2024",181.00,182.15,178.20,179.45,174.42,"12,044,079"
"Jan 4, 2024",181.40,181.40,179.55,179.90,174.85,"12,256,991"
"Jan 3, 2024",182.10,182.10,177.95,179.70,174.66,"11,113,724"
"Jan 2, 2024",187.50,189.60,179.70,180.40,175.34,"34,044,615"
"Jan 1, 2024",182.50,188.05,181.65,185.95,180.73,"39,354,793"
"Dec 29, 2023",177.30,183.00,175.40,181.55,176.46,"38,292,309"
"Dec 28, 2023",175.00,176.20,174.15,175.30,170.38,"10,480,244"
"Dec 27, 2023",174.90,176.05,173.05,174.15,169.27,"13,576,279"
"Dec 26, 2023",173.25,174.90,172.50,173.90,169.02,"12,825,482"
"Dec 22, 2023",172.00,172.80,170.75,172.00,167.18,"11,274,911"
"Dec 21, 2023",168.20,171.25,165.25,169.35,164.60,"20,414,172"
"Dec 20, 2023",177.00,178.95,168.80,170.00,165.23,"22,142,946"
"Dec 19, 2023",176.30,176.90,174.25,175.30,170.38,"8,786,502"
"Dec 18, 2023",174.30,175.85,173.50,175.30,170.38,"11,861,227"
"Dec 15, 2023",176.50,176.65,173.75,174.30,169.41,"13,155,057"
"Dec 14, 2023",175.00,176.70,174.55,176.00,171.06,"14,787,422"
"Dec 13, 2023",172.95,175.25,170.00,174.25,169.36,"16,351,696"
"Dec 12, 2023",175.70,176.45,171.20,172.20,167.37,"12,084,177"
"Dec 11, 2023",174.85,176.50,174.35,175.55,170.63,"8,509,640"
"Dec 8, 2023",177.80,178.20,173.85,174.90,169.99,"13,046,260"
"Dec 7, 2023",176.95,179.15,175.50,177.80,172.81,"15,620,115"
"Dec 6, 2023",175.90,177.20,174.65,176.70,171.74,"14,066,029"
"Dec 5, 2023",175.45,177.00,173.10,174.95,170.04,"17,939,963"
"Dec 4, 2023",179.50,179.90,174.20,174.45,169.56,"29,222,922"
"Dec 1, 2023",183.65,184.20,175.05,176.30,171.36,"13,166,604"
"Nov 30, 2023",181.70,184.80,180.25,183.15,178.01,"22,948,832"
"Nov 29, 2023",179.95,182.50,178.50,181.45,176.36,"14,337,989"
"Nov 28, 2023",179.35,181.00,178.15,178.95,173.93,"8,345,825"
"Nov 24, 2023",178.30,179.85,175.80,178.15,173.15,"9,603,238"
"Nov 23, 2023",178.75,179.50,177.30,177.95,172.96,"5,527,714"
"Nov 22, 2023",179.50,181.25,176.40,178.40,173.40,"15,082,128"
"Nov 21, 2023",172.60,178.70,172.30,178.05,173.06,"16,566,555"
"Nov 20, 2023",175.00,175.00,171.00,172.15,167.32,"8,214,342"
"Nov 17, 2023",174.95,176.30,173.30,174.30,169.41,"17,957,303"
"Nov 16, 2023",175.00,176.20,174.00,174.35,169.46,"7,688,151"
"Nov 15, 2023",175.95,175.95,173.90,174.75,169.85,"6,875,266"
"Nov 13, 2023",176.05,176.05,172.90,173.95,169.07,"7,801,108"
"Nov 10, 2023",171.30,174.25,168.55,173.80,168.93,"11,807,704"
"Nov 9, 2023",174.50,174.55,168.75,170.40,165.62,"9,780,567"
"Nov 8, 2023",169.95,173.90,169.50,173.55,168.68,"6,599,319"
"Nov 7, 2023",169.30,169.65,168.25,168.75,164.02,"2,843,580"
"Nov 6, 2023",169.50,170.10,168.75,169.20,164.45,"4,743,132"
"Nov 3, 2023",169.95,171.05,168.00,168.30,163.58,"5,010,531"
"Nov 2, 2023",166.20,169.00,166.20,168.50,163.77,"6,522,631"
"Nov 1, 2023",167.05,167.25,164.75,165.10,160.47,"5,777,070"
"Oct 31, 2023",169.15,170.05,167.00,167.70,163.00,"7,900,834"
"Oct 30, 2023",169.20,169.20,165.10,167.95,163.24,"7,160,314"
"Oct 27, 2023",167.50,168.90,165.70,168.15,163.43,"5,166,324"
"Oct 26, 2023",168.75,168.75,165.15,166.55,161.88,"5,001,214"
"Oct 25, 2023",170.95,172.45,166.60,169.50,164.75,"6,132,925"
"Oct 23, 2023",172.20,173.25,169.60,170.50,165.72,"9,887,314"
"Oct 20, 2023",176.00,177.30,171.70,172.20,167.37,"6,177,198"
"Oct 19, 2023",175.00,177.15,172.70,176.80,171.84,"6,859,356"
"Oct 18, 2023",177.35,179.80,175.35,175.60,170.68,"12,286,670"
"Oct 17, 2023",177.70,178.35,176.30,176.60,171.65,"6,583,163"
"Oct 16, 2023",176.55,178.00,175.65,176.30,171.36,"10,119,504"
"Oct 13, 2023",173.95,176.85,173.35,175.80,170.87,"10,334,900"
"Oct 12, 2023",177.00,177.05,173.80,174.50,169.61,"7,258,388"
"Oct 11, 2023",174.90,176.80,173.10,176.35,171.40,"8,498,617"
"Oct 10, 2023",172.30,175.20,172.20,173.60,168.73,"8,560,915"
"Oct 9, 2023",170.00,173.10,168.00,171.70,166.88,"15,617,295"
"Oct 6, 2023",173.30,173.50,170.85,171.90,167.08,"4,756,787"
"Oct 5, 2023",174.00,175.10,171.75,172.25,167.42,"8,793,260"
"Oct 4, 2023",177.40,177.40,171.80,172.95,168.10,"8,931,833"
"Oct 3, 2023",178.00,180.00,176.90,177.60,172.62,"12,355,525"
"Sep 29, 2023",175.30,177.75,174.30,177.00,172.04,"9,219,280"
"Sep 28, 2023",179.45,180.00,173.55,174.10,169.22,"11,926,185"
"Sep 27, 2023",179.50,180.10,178.60,179.30,174.27,"5,758,850"
"Sep 26, 2023",182.45,182.50,178.70,179.60,174.56,"10,096,336"
"Sep 25, 2023",179.00,183.20,176.95,182.45,177.33,"14,574,686"
"Sep 22, 2023",179.35,180.50,177.80,178.85,173.83,"8,734,004"
"Sep 21, 2023",182.30,182.95,178.20,179.35,174.32,"8,185,965"
"Sep 20, 2023",183.25,184.15,181.10,182.25,177.14,"5,632,691"
"Sep 18, 2023",184.30,184.30,182.05,183.65,178.50,"7,405,887"
"Sep 15, 2023",180.80,183.75,180.45,183.00,177.87,"9,610,066"
"Sep 14, 2023",180.00,181.15,179.05,179.90,174.85,"7,169,478"
"Sep 13, 2023",180.00,181.35,177.65,179.50,174.47,"10,543,487"
"Sep 12, 2023",185.60,185.90,176.85,179.95,174.90,"17,054,738"
"Sep 11, 2023",184.75,185.25,184.00,184.85,179.67,"5,235,163"
"Sep 8, 2023",184.00,185.50,182.60,183.60,178.45,"10,389,774"
"Sep 7, 2023",182.30,183.55,181.40,182.00,176.90,"4,142,881"
"Sep 6, 2023",183.30,183.70,181.50,182.05,176.94,"11,766,095"
"Sep 5, 2023",183.80,185.00,182.75,183.40,178.26,"7,849,925"
"Sep 4, 2023",185.10,185.45,183.10,183.75,178.60,"8,555,408"
"Sep 1, 2023",184.65,185.40,181.00,184.20,179.03,"13,776,902"
"Aug 31, 2023",188.75,190.05,182.00,183.85,178.69,"197,084,238"
"Aug 30, 2023",189.75,191.00,187.50,187.80,182.53,"17,366,765"
"Aug 29, 2023",188.10,189.90,187.60,188.10,182.82,"16,770,194"
"Aug 28, 2023",186.85,188.95,185.85,187.50,182.24,"20,843,768"
"Aug 25, 2023",185.85,187.50,184.65,185.95,180.73,"13,286,843"
"Aug 24, 2023",188.90,189.15,185.25,185.85,180.64,"11,822,398"
"Aug 23, 2023",188.80,189.30,185.95,187.60,182.34,"8,889,071"
"Aug 22, 2023",187.75,189.00,186.40,187.90,182.63,"9,617,845"
"Aug 21, 2023",187.25,188.95,184.65,186.85,181.61,"8,961,440"
"Aug 18, 2023",188.55,189.25,185.05,186.40,181.17,"8,893,944"
"Aug 17, 2023",189.55,190.90,187.40,188.90,183.60,"13,147,908"
"Aug 16, 2023",186.50,191.50,185.50,188.60,183.31,"24,482,093"
