Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","11,585.00","11,936.85","11,562.20","11,889.10","11,889.10","359,432"
"Oct 7, 2024","11,774.40","11,817.00","11,525.00","11,617.05","11,617.05","341,323"
"Oct 4, 2024","11,661.20","11,948.30","11,639.00","11,774.40","11,774.40","650,553"
"Oct 3, 2024","11,732.00","12,018.85","11,700.00","11,806.45","11,806.45","670,365"
"Oct 1, 2024","12,414.25","12,500.00","12,112.10","12,157.45","12,157.45","670,828"
"Sep 30, 2024","12,553.60","12,651.15","12,281.65","12,345.95","12,345.95","479,000"
"Sep 27, 2024","12,621.65","12,774.00","12,551.60","12,666.40","12,666.40","480,852"
"Sep 26, 2024","12,460.00","12,676.50","12,391.05","12,621.65","12,621.65","641,805"
"Sep 25, 2024","12,390.00","12,430.70","12,310.00","12,397.25","12,397.25","262,012"
"Sep 24, 2024","12,230.55","12,477.50","12,230.55","12,443.65","12,443.65","503,848"
"Sep 23, 2024","12,000.00","12,380.00","12,000.00","12,338.95","12,338.95","735,579"
"Sep 20, 2024","11,925.00","12,015.00","11,868.25","11,941.70","11,941.70","772,831"
"Sep 19, 2024","11,811.20","12,040.25","11,811.20","11,868.00","11,868.00","500,633"
"Sep 18, 2024","11,840.50","12,054.00","11,740.00","11,764.65","11,764.65","446,416"
"Sep 17, 2024","11,680.00","11,972.85","11,643.10","11,950.30","11,950.30","444,755"
"Sep 16, 2024","11,734.00","11,751.80","11,640.05","11,688.35","11,688.35","172,602"
"Sep 13, 2024","11,723.50","11,893.95","11,688.40","11,737.15","11,737.15","417,878"
"Sep 12, 2024","11,480.75","11,779.25","11,443.35","11,723.50","11,723.50","1,409,151"
"Sep 11, 2024","11,067.75","11,501.30","10,986.60","11,420.75","11,420.75","1,283,385"
"Sep 10, 2024","10,793.40","11,035.70","10,780.05","10,987.75","10,987.75","466,892"
"Sep 9, 2024","10,830.10","10,902.40","10,780.00","10,847.60","10,847.60","193,055"
"Sep 6, 2024","10,855.75","10,913.95","10,796.25","10,830.10","10,830.10","216,847"
"Sep 5, 2024","10,964.00","11,015.85","10,825.55","10,855.75","10,855.75","297,298"
"Sep 4, 2024","11,012.00","11,029.85","10,908.90","10,963.70","10,963.70","324,246"
