Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",915.95,928.80,905.20,922.95,922.95,"20,087"
"Oct 7, 2024",929.30,935.65,905.00,913.30,913.30,"32,304"
"Oct 4, 2024",951.15,952.45,919.20,928.90,928.90,"71,080"
"Oct 3, 2024",965.00,969.40,944.55,948.15,948.15,"38,200"
"Oct 1, 2024",972.25,973.95,963.30,969.40,969.40,"25,859"
"Sep 30, 2024",981.35,983.40,964.05,972.25,972.25,"62,044"
"Sep 27, 2024",971.05,990.00,962.40,981.35,981.35,"174,084"
"Sep 26, 2024",981.10,981.10,965.00,970.95,970.95,"30,811"
"Sep 25, 2024",979.00,990.00,971.90,979.45,979.45,"22,034"
"Sep 24, 2024",988.00,988.00,969.95,979.80,979.80,"51,860"
"Sep 23, 2024",994.20,994.25,978.00,981.15,981.15,"43,160"
"Sep 20, 2024","1,011.00","1,011.00",980.00,986.60,986.60,"66,812"
"Sep 19, 2024",986.00,"1,038.00",970.00,"1,011.15","1,011.15","72,846"
"Sep 18, 2024",991.35,998.00,976.05,979.60,979.60,"20,596"
"Sep 17, 2024",981.00,998.00,979.00,983.45,983.45,"27,166"
"Sep 16, 2024",996.25,996.60,978.80,990.80,990.80,"54,650"
"Sep 13, 2024",985.00,996.00,976.05,987.50,987.50,"142,454"
"Sep 12, 2024",998.00,998.00,971.10,982.75,982.75,"53,358"
"Sep 11, 2024",999.70,"1,016.30",990.00,992.40,992.40,"94,009"
"Sep 10, 2024",991.00,"1,007.10",985.50,988.90,988.90,"213,172"
"Sep 9, 2024","1,010.00","1,010.00",979.55,984.30,984.30,"38,102"
"Sep 6, 2024",978.05,"1,022.00",978.05,"1,003.90","1,003.90","232,137"
"Sep 5, 2024",978.00,982.60,974.30,976.60,976.60,"17,720"
"Sep 4, 2024",977.00,986.70,967.20,973.15,973.15,"39,772"
"Sep 3, 2024",972.55,988.90,966.30,979.30,979.30,"62,754"
"Sep 2, 2024",962.00,969.95,959.70,962.90,962.90,"35,168"
"Aug 30, 2024",969.00,976.00,945.85,959.65,959.65,"53,700"
"Aug 29, 2024",964.00,968.95,955.00,963.20,963.20,"41,708"
"Aug 28, 2024",962.55,968.15,953.10,959.90,959.90,"35,528"
"Aug 27, 2024",982.50,990.25,935.35,961.35,961.35,"235,445"
"Aug 26, 2024",985.00,998.40,973.00,974.55,974.55,"46,577"
"Aug 23, 2024",979.25,984.60,966.95,979.45,979.45,"52,584"
"Aug 22, 2024",981.70,986.00,967.55,972.25,972.25,"44,441"
"Aug 21, 2024",968.45,985.15,966.80,977.05,977.05,"554,969"
"Aug 20, 2024",956.55,967.00,946.60,961.15,961.15,"394,892"
"Aug 19, 2024",991.80,"1,002.25",947.25,951.70,951.70,"139,814"
"Aug 16, 2024",957.55,"1,005.00",957.55,985.55,985.55,"192,037"
"Aug 14, 2024",992.00,992.00,947.25,957.50,957.50,"67,821"
"Aug 13, 2024",990.00,"1,010.95",975.00,978.75,978.75,"92,065"
"Aug 12, 2024",985.90,"1,015.80",978.40,987.95,987.95,"60,045"
