Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",339.50,345.35,335.95,342.70,342.70,"2,950,082"
"Oct 7, 2024",346.55,349.40,334.60,340.00,340.00,"5,769,251"
"Oct 4, 2024",359.35,360.15,345.10,346.35,346.35,"5,693,848"
"Oct 3, 2024",362.40,369.35,352.75,356.55,356.55,"3,235,274"
"Oct 1, 2024",362.40,371.80,361.85,370.65,370.65,"2,195,117"
"Sep 30, 2024",362.00,369.20,361.15,363.10,363.10,"3,231,111"
"Sep 27, 2024",375.95,378.75,367.90,368.85,368.85,"4,580,392"
"Sep 26, 2024",372.00,374.70,368.25,372.85,372.85,"3,506,872"
"Sep 25, 2024",377.80,381.80,368.60,371.45,371.45,"5,125,312"
"Sep 24, 2024",370.35,378.00,366.05,375.85,375.85,"4,468,287"
"Sep 23, 2024",365.35,372.85,363.60,370.35,370.35,"3,890,925"
"Sep 20, 2024",363.30,367.20,360.40,365.35,365.35,"4,175,049"
"Sep 19, 2024",365.00,369.00,351.00,361.50,361.50,"6,351,383"
"Sep 18, 2024",375.00,375.75,360.00,363.65,363.65,"6,911,164"
"Sep 17, 2024",393.60,395.80,374.30,375.85,375.85,"10,455,441"
"Sep 16, 2024",382.50,394.85,380.30,391.20,391.20,"7,932,099"
"Sep 13, 2024",378.45,383.80,372.45,378.95,378.95,"5,555,196"
"Sep 12, 2024",389.10,393.85,374.85,376.60,376.60,"8,824,201"
"Sep 11, 2024",390.20,394.90,382.50,385.30,385.30,"11,687,316"
"Sep 10, 2024",382.00,389.80,378.25,386.60,386.60,"9,473,666"
"Sep 9, 2024",373.15,379.65,366.15,377.60,377.60,"6,395,312"
"Sep 6, 2024",383.70,385.90,369.05,373.70,373.70,"7,030,758"
"Sep 5, 2024",385.00,394.70,380.70,382.85,382.85,"17,885,888"
"Sep 4, 2024",359.95,383.20,355.25,379.40,379.40,"12,159,916"
"Sep 3, 2024",364.75,366.70,361.05,361.90,361.90,"2,513,914"
"Sep 2, 2024",368.00,368.00,359.00,363.40,363.40,"5,156,434"
"Aug 30, 2024",355.55,362.95,355.55,359.10,359.10,"2,738,006"
"Aug 29, 2024",364.00,364.95,350.05,355.45,355.45,"5,275,221"
"Aug 28, 2024",355.00,363.75,353.75,356.70,356.70,"6,636,720"
"Aug 27, 2024",353.50,356.25,351.85,352.75,352.75,"1,158,652"
"Aug 26, 2024",352.00,355.75,352.00,353.25,353.25,"1,350,106"
"Aug 23, 2024",358.00,358.00,350.85,351.60,351.60,"1,312,131"
"Aug 22, 2024",357.40,359.05,353.70,356.50,356.50,"2,368,633"
"Aug 21, 2024",346.65,356.45,345.55,355.00,355.00,"3,548,478"
"Aug 20, 2024",346.50,350.90,343.30,346.75,346.75,"4,296,486"
"Aug 19, 2024",342.00,347.40,340.65,344.80,344.80,"3,453,510"
"Aug 16, 2024",330.00,342.00,328.10,340.95,340.95,"3,040,369"
"Aug 14, 2024",337.60,338.00,323.35,327.65,327.65,"3,713,151"
"Aug 13, 2024",338.00,342.00,334.05,337.10,337.10,"3,360,380"
"Aug 12, 2024",330.25,342.00,330.25,337.85,337.85,"4,281,522"
"Aug 9, 2024",339.15,345.00,332.65,336.95,336.95,"10,005,232"
"Aug 8, 2024",346.90,349.55,336.85,339.15,339.15,"4,003,614"
"Aug 7, 2024",342.00,348.05,335.30,346.85,346.85,"3,645,534"
"Aug 6, 2024",341.40,349.40,332.25,334.50,334.50,"2,981,838"
"Aug 5, 2024",344.05,352.85,333.70,340.40,340.40,"5,620,180"
