Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",331.50,339.45,328.25,338.00,338.00,"9,565,667"
"Oct 7, 2024",342.00,343.30,332.80,335.00,335.00,"7,847,806"
"Oct 4, 2024",342.50,347.95,334.35,340.25,340.25,"18,185,208"
"Oct 3, 2024",353.75,361.60,347.00,348.85,348.85,"20,754,875"
"Oct 1, 2024",370.00,373.35,364.15,368.25,368.25,"9,440,793"
"Sep 30, 2024",367.15,376.00,360.15,369.95,369.95,"23,860,696"
"Sep 27, 2024",347.00,370.50,346.35,367.30,367.30,"40,756,678"
"Sep 26, 2024",340.00,346.95,335.15,345.10,345.10,"9,517,367"
"Sep 25, 2024",341.00,341.80,335.15,339.80,339.80,"6,087,353"
"Sep 24, 2024",338.55,343.20,336.70,339.15,339.15,"7,068,491"
"Sep 23, 2024",333.00,339.50,331.30,338.10,338.10,"6,110,287"
"Sep 20, 2024",326.45,333.10,324.45,331.20,331.20,"14,642,546"
"Sep 19, 2024",337.95,337.95,322.95,324.45,324.45,"12,549,677"
"Sep 18, 2024",339.00,339.90,334.45,336.10,336.10,"4,111,826"
"Sep 17, 2024",339.95,340.85,335.05,338.40,338.40,"7,237,522"
"Sep 16, 2024",344.90,344.90,340.00,340.65,340.65,"4,850,244"
"Sep 13, 2024",346.00,349.75,341.65,342.30,342.30,"11,006,109"
"Sep 12, 2024",343.45,346.20,340.40,344.30,344.30,"15,970,391"
"Sep 11, 2024",349.95,352.80,338.55,340.25,340.25,"12,194,591"
"Sep 10, 2024",349.00,351.50,344.65,345.95,345.95,"8,137,710"
"Sep 9, 2024",352.10,353.55,347.10,347.80,347.80,"9,200,270"
"Sep 6, 2024",362.35,365.25,351.05,352.15,352.15,"19,044,553"
"Sep 5, 2024",359.50,364.35,355.75,360.70,360.70,"15,927,510"
"Sep 4, 2024",355.40,363.95,354.65,357.25,357.25,"19,416,507"
"Sep 3, 2024",359.50,359.70,353.50,355.40,355.40,"9,289,259"
"Sep 2, 2024",361.00,367.20,357.50,358.45,358.45,"14,344,785"
"Aug 30, 2024",359.95,365.50,354.75,357.65,357.65,"20,312,502"
"Aug 29, 2024",349.80,357.55,347.15,356.45,356.45,"13,054,801"
"Aug 28, 2024",348.50,355.75,346.65,348.15,348.15,"7,295,981"
"Aug 27, 2024",348.00,350.75,343.50,349.05,349.05,"9,683,173"
"Aug 26, 2024",355.45,355.90,349.00,351.15,351.15,"6,672,007"
"Aug 23, 2024",349.80,358.00,349.55,352.20,352.20,"15,872,017"
"Aug 22, 2024",354.60,355.10,348.55,350.10,350.10,"10,244,576"
"Aug 21, 2024",349.35,355.60,348.15,351.20,351.20,"14,795,459"
"Aug 20, 2024",348.95,354.10,347.40,349.40,349.40,"22,888,866"
"Aug 19, 2024",337.80,345.55,336.35,343.80,343.80,"17,875,728"
"Aug 16, 2024",326.05,333.80,326.05,332.50,332.50,"8,214,443"
"Aug 14, 2024",321.70,327.45,320.65,325.05,325.05,"8,457,477"
"Aug 13, 2024",331.95,332.75,321.00,321.70,321.70,"9,757,429"
"Aug 12, 2024",331.80,336.80,330.20,333.40,333.40,"12,253,716"
"Aug 9, 2024",10.50 Dividend
"Aug 9, 2024",333.15,336.70,329.80,333.40,333.40,"11,351,617"
"Aug 8, 2024",343.95,343.95,332.80,338.30,327.80,"15,378,854"
"Aug 7, 2024",341.20,347.75,337.40,343.65,332.98,"14,250,381"
"Aug 6, 2024",343.00,349.65,333.40,334.70,324.31,"13,702,018"
"Aug 5, 2024",342.00,346.95,334.40,341.70,331.09,"23,868,328"
"Aug 2, 2024",346.90,350.95,340.05,347.10,336.33,"15,120,989"
"Aug 1, 2024",351.00,351.90,344.60,349.10,338.26,"16,959,971"
"Jul 31, 2024",352.00,354.10,346.15,350.05,339.19,"17,224,023"
"Jul 30, 2024",338.55,359.05,337.30,348.20,337.39,"45,785,745"
"Jul 29, 2024",333.40,338.95,331.05,337.90,327.41,"20,234,464"
"Jul 26, 2024",327.95,329.40,323.40,328.80,318.59,"21,839,106"
"Jul 25, 2024",312.95,327.15,310.80,326.15,316.03,"30,554,549"
"Jul 24, 2024",306.40,315.85,304.85,314.95,305.17,"16,934,157"
"Jul 23, 2024",311.45,312.30,296.10,306.00,296.50,"24,287,234"
"Jul 22, 2024",304.55,317.15,300.10,308.25,298.68,"27,102,699"
"Jul 19, 2024",318.15,318.15,301.80,303.80,294.37,"19,823,046"
"Jul 18, 2024",318.50,319.00,312.70,318.15,308.28,"19,588,548"
"Jul 16, 2024",308.00,319.25,308.00,315.95,306.14,"28,132,502"
"Jul 15, 2024",306.00,309.00,304.15,307.75,298.20,"8,687,357"
"Jul 12, 2024",309.70,310.95,303.75,304.55,295.10,"10,426,157"
"Jul 11, 2024",302.00,308.00,299.60,306.60,297.08,"19,246,022"
