Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",571.50,572.65,564.70,567.35,567.35,"3,261,216"
"Oct 7, 2024",575.00,581.15,562.00,569.40,569.40,"4,723,935"
"Oct 4, 2024",584.75,585.00,571.05,572.45,572.45,"4,745,480"
"Oct 3, 2024",580.35,595.80,571.00,580.20,580.20,"18,729,275"
"Oct 1, 2024",626.00,629.75,614.00,619.00,619.00,"1,095,384"
"Sep 30, 2024",633.00,635.80,623.35,625.20,625.20,"2,475,507"
"Sep 27, 2024",628.00,634.80,622.00,633.00,633.00,"4,628,215"
"Sep 26, 2024",627.05,628.40,620.60,625.75,625.75,"2,581,456"
"Sep 25, 2024",651.00,653.95,622.15,627.00,627.00,"7,092,888"
"Sep 24, 2024",660.00,666.00,652.40,655.85,655.85,"1,881,683"
"Sep 23, 2024",668.00,671.50,656.30,661.05,661.05,"1,684,518"
"Sep 20, 2024",668.95,669.95,662.10,667.55,667.55,"1,798,471"
"Sep 19, 2024",655.00,666.80,654.40,664.70,664.70,"1,768,324"
"Sep 18, 2024",660.00,662.30,650.55,654.40,654.40,"1,465,661"
"Sep 17, 2024",661.35,672.00,656.40,660.15,660.15,"1,793,296"
"Sep 16, 2024",660.00,667.85,658.25,661.35,661.35,"806,885"
"Sep 13, 2024",665.65,667.70,651.25,660.90,660.90,"2,559,794"
"Sep 12, 2024",663.95,669.50,663.00,664.75,664.75,"2,222,824"
"Sep 11, 2024",668.00,671.50,662.00,663.90,663.90,"3,134,456"
"Sep 10, 2024",669.35,669.90,662.35,665.25,665.25,"4,126,339"
"Sep 9, 2024",645.00,664.90,644.05,662.35,662.35,"6,213,572"
"Sep 6, 2024",644.00,653.70,643.35,644.40,644.40,"1,910,995"
"Sep 5, 2024",655.00,655.00,642.65,644.80,644.80,"2,131,132"
"Sep 4, 2024",638.05,651.55,634.20,650.05,650.05,"3,104,663"
"Sep 3, 2024",636.65,648.50,635.25,638.20,638.20,"1,775,357"
"Sep 2, 2024",637.80,644.65,634.45,636.65,636.65,"745,420"
"Aug 30, 2024",644.00,645.55,636.10,637.15,637.15,"3,304,453"
"Aug 29, 2024",644.00,647.90,638.60,644.15,644.15,"1,071,747"
"Aug 28, 2024",645.95,649.50,638.00,644.40,644.40,"1,149,783"
"Aug 27, 2024",655.00,655.00,641.65,643.40,643.40,"1,428,673"
"Aug 26, 2024",646.00,655.40,640.90,654.55,654.55,"2,940,223"
"Aug 23, 2024",647.90,651.20,640.85,643.25,643.25,"3,461,642"
"Aug 22, 2024",637.00,647.70,632.10,646.15,646.15,"3,452,342"
"Aug 21, 2024",624.90,635.95,617.95,634.35,634.35,"2,105,395"
"Aug 20, 2024",625.40,625.45,617.05,623.10,623.10,"1,340,039"
"Aug 19, 2024",618.00,624.90,614.85,621.30,621.30,"2,332,398"
"Aug 16, 2024",606.35,618.50,604.40,617.60,617.60,"1,259,712"
"Aug 14, 2024",609.90,609.90,598.60,604.40,604.40,"2,012,408"
"Aug 13, 2024",620.60,624.25,602.70,605.85,605.85,"2,691,122"
"Aug 12, 2024",626.90,627.25,615.75,620.35,620.35,"1,139,283"
"Aug 9, 2024",641.60,642.20,622.10,623.95,623.95,"2,679,620"
"Aug 8, 2024",639.00,641.80,634.65,637.45,637.45,"1,528,269"
"Aug 7, 2024",631.20,641.30,631.20,639.25,639.25,"1,788,865"
"Aug 6, 2024",638.00,643.00,627.00,629.15,629.15,"1,854,542"
"Aug 5, 2024",615.00,640.00,614.05,634.00,634.00,"4,771,981"
"Aug 2, 2024",643.50,650.00,625.00,627.55,627.55,"4,123,973"
"Aug 1, 2024",638.90,655.85,636.75,643.50,643.50,"6,852,547"
"Jul 31, 2024",636.95,640.75,630.00,635.70,635.70,"2,769,613"
"Jul 30, 2024",641.05,648.85,632.50,633.90,633.90,"3,020,230"
"Jul 29, 2024",635.85,643.15,631.05,641.10,641.10,"2,240,896"
"Jul 26, 2024",631.20,635.25,625.10,632.45,632.45,"1,469,979"
"Jul 25, 2024",625.50,636.45,625.00,631.20,631.20,"1,831,371"
"Jul 24, 2024",650.00,650.00,618.05,634.15,634.15,"8,340,915"
"Jul 23, 2024",639.90,662.35,632.10,652.30,652.30,"7,195,533"
"Jul 22, 2024",628.25,639.85,627.20,636.65,636.65,"1,365,836"
"Jul 19, 2024",2.75 Dividend
"Jul 19, 2024",645.00,647.20,631.65,632.90,632.90,"2,176,993"
"Jul 18, 2024",640.95,651.00,639.25,644.85,642.10,"3,161,993"
"Jul 16, 2024",634.00,648.70,630.00,640.95,638.22,"2,960,104"
"Jul 15, 2024",632.90,638.95,630.15,632.40,629.70,"1,091,279"
"Jul 12, 2024",633.90,633.90,626.00,630.00,627.31,"1,630,043"
"Jul 11, 2024",635.80,635.80,623.80,629.35,626.67,"1,588,742"
"Jul 10, 2024",630.00,637.25,619.55,631.70,629.01,"2,882,570"
"Jul 9, 2024",622.05,633.40,618.05,630.20,627.51,"2,665,679"
"Jul 8, 2024",610.40,633.00,610.40,623.45,620.79,"7,279,634"
"Jul 5, 2024",604.00,607.95,603.25,606.45,603.86,"879,215"
"Jul 4, 2024",609.80,613.60,605.05,605.95,603.37,"2,277,423"
"Jul 3, 2024",607.00,613.30,605.00,609.70,607.10,"1,786,017"
"Jul 2, 2024",616.80,616.80,602.00,602.80,600.23,"3,919,339"
"Jul 1, 2024",600.70,613.25,600.70,610.95,608.34,"2,469,588"
"Jun 28, 2024",601.80,609.65,597.65,600.70,598.14,"1,710,529"
"Jun 27, 2024",602.00,606.00,595.05,599.30,596.74,"2,405,121"
"Jun 26, 2024",591.40,603.00,590.30,601.80,599.23,"2,230,523"
"Jun 25, 2024",603.80,603.95,592.50,593.35,590.82,"1,791,877"
"Jun 24, 2024",590.75,602.45,588.85,599.75,597.19,"1,774,168"
"Jun 21, 2024",601.00,603.90,588.55,589.95,587.43,"3,868,601"
"Jun 20, 2024",598.50,604.90,595.00,600.75,598.19,"2,886,298"
"Jun 19, 2024",602.00,603.10,594.00,598.55,596.00,"1,703,051"
"Jun 18, 2024",608.10,613.75,598.00,600.20,597.64,"4,304,663"
"Jun 14, 2024",610.95,618.80,606.00,608.65,606.05,"1,975,440"
"Jun 13, 2024",612.00,614.55,588.15,609.65,607.05,"7,963,596"
"Jun 12, 2024",614.15,623.00,611.75,619.50,616.86,"4,528,718"
"Jun 11, 2024",619.85,622.95,608.00,613.45,610.83,"3,728,825"
"Jun 10, 2024",604.20,627.45,604.20,619.85,617.21,"5,180,578"
"Jun 7, 2024",599.45,614.80,598.15,613.10,610.49,"5,429,725"
"Jun 6, 2024",600.25,605.30,582.05,597.20,594.65,"7,598,586"
"Jun 5, 2024",585.00,633.40,584.50,600.25,597.69,"21,568,184"
"Jun 4, 2024",548.45,584.45,536.75,578.20,575.73,"17,458,506"
"Jun 3, 2024",560.00,561.20,543.00,544.80,542.48,"2,836,670"
"May 31, 2024",552.05,554.50,540.55,545.10,542.78,"11,192,196"
"May 30, 2024",555.45,557.40,549.35,551.15,548.80,"1,591,522"
"May 29, 2024",570.80,570.80,553.05,555.45,553.08,"2,620,387"
"May 28, 2024",570.00,578.90,564.55,570.80,568.37,"4,429,603"
"May 27, 2024",559.85,571.00,559.80,567.40,564.98,"3,169,943"
"May 24, 2024",559.00,564.90,554.05,558.10,555.72,"2,805,803"
"May 23, 2024",556.00,562.00,551.65,559.95,557.56,"2,924,910"
"May 22, 2024",543.00,555.90,538.80,554.00,551.64,"4,319,988"
"May 21, 2024",538.10,541.00,533.60,539.35,537.05,"1,388,390"
"May 17, 2024",543.20,544.00,535.00,535.80,533.52,"1,642,503"
"May 16, 2024",547.65,549.40,534.70,542.05,539.74,"3,864,351"
"May 15, 2024",554.55,555.00,543.00,545.85,543.52,"2,436,198"
"May 14, 2024",550.25,562.70,550.25,554.55,552.19,"2,872,594"
"May 13, 2024",550.80,553.20,543.70,550.25,547.90,"3,067,643"
"May 10, 2024",550.95,551.95,540.35,550.80,548.45,"2,521,438"
"May 9, 2024",556.60,564.95,550.45,552.80,550.44,"5,305,923"
"May 8, 2024",558.45,561.95,554.10,556.60,554.23,"4,085,815"
"May 7, 2024",533.55,566.90,531.30,558.45,556.07,"14,721,222"
"May 6, 2024",535.00,535.50,524.25,530.80,528.54,"3,172,072"
"May 3, 2024",536.25,538.00,524.00,531.75,529.48,"7,008,370"
"May 2, 2024",508.00,536.05,508.00,525.30,523.06,"7,092,006"
"Apr 30, 2024",509.00,512.40,505.15,507.75,505.58,"2,092,290"
"Apr 29, 2024",512.40,512.80,506.00,506.70,504.54,"1,373,441"
"Apr 26, 2024",507.35,511.55,505.30,509.00,506.83,"1,372,205"
"Apr 25, 2024",509.50,510.25,504.15,506.45,504.29,"1,022,931"
"Apr 24, 2024",509.90,510.30,507.65,509.45,507.28,"1,855,798"
"Apr 23, 2024",507.10,510.45,505.20,507.15,504.99,"1,904,186"
"Apr 22, 2024",507.40,508.00,503.30,506.15,503.99,"1,208,372"
"Apr 19, 2024",501.60,505.80,496.05,504.20,502.05,"2,183,936"
"Apr 18, 2024",505.75,507.95,501.00,503.85,501.70,"2,604,037"
"Apr 16, 2024",495.20,505.60,492.35,503.90,501.75,"2,928,056"
"Apr 15, 2024",495.90,497.00,489.20,495.20,493.09,"3,600,795"
"Apr 12, 2024",507.00,507.65,499.10,500.60,498.47,"4,166,549"
"Apr 10, 2024",505.00,506.95,502.25,506.25,504.09,"1,978,008"
"Apr 9, 2024",506.50,508.50,502.50,503.15,501.00,"2,217,268"
"Apr 8, 2024",508.05,509.85,502.20,503.05,500.90,"3,602,540"
"Apr 5, 2024",510.00,510.00,504.00,507.90,505.73,"7,615,006"
"Apr 4, 2024",531.00,531.95,502.30,506.05,503.89,"10,445,923"
"Apr 3, 2024",530.90,532.40,528.60,531.00,528.74,"1,176,084"
"Apr 2, 2024",529.15,532.55,527.65,531.60,529.33,"1,175,093"
"Apr 1, 2024",523.50,530.60,523.50,529.15,526.89,"847,682"
"Mar 28, 2024",522.00,526.00,517.75,523.15,520.92,"2,312,982"
"Mar 27, 2024",524.00,524.40,519.10,521.65,519.43,"2,638,465"
"Mar 26, 2024",512.60,522.25,512.60,521.10,518.88,"1,961,179"
"Mar 22, 2024",524.00,527.35,519.00,520.80,518.58,"1,072,318"
"Mar 21, 2024",522.25,525.65,518.50,523.95,521.72,"973,386"
"Mar 20, 2024",518.35,521.20,512.00,520.20,517.98,"925,067"
"Mar 19, 2024",523.25,530.00,516.55,518.35,516.14,"2,071,489"
"Mar 18, 2024",526.55,526.55,521.10,523.60,521.37,"1,247,334"
"Mar 15, 2024",528.95,530.35,524.25,526.55,524.30,"1,710,825"
"Mar 14, 2024",517.00,530.80,516.15,529.65,527.39,"2,047,715"
"Mar 13, 2024",529.55,531.40,515.80,519.95,517.73,"2,666,699"
"Mar 12, 2024",530.55,532.30,525.85,529.00,526.74,"1,011,782"
"Mar 11, 2024",535.25,538.40,531.60,533.40,531.13,"984,138"
"Mar 7, 2024",531.50,537.75,530.50,535.25,532.97,"894,981"
"Mar 6, 2024",534.80,536.00,528.25,531.50,529.23,"1,082,367"
"Mar 5, 2024",535.15,536.80,533.05,534.75,532.47,"1,464,768"
"Mar 4, 2024",538.00,539.70,531.80,537.30,535.01,"2,030,164"
"Mar 1, 2024",538.15,544.95,538.15,541.10,538.79,"762,406"
"Feb 29, 2024",536.30,539.35,532.30,538.15,535.86,"2,453,976"
"Feb 28, 2024",535.35,541.45,531.90,536.25,533.96,"2,697,005"
"Feb 27, 2024",527.90,538.20,526.00,535.60,533.32,"2,954,271"
"Feb 26, 2024",534.15,537.10,526.85,529.25,526.99,"1,180,365"
"Feb 23, 2024",542.10,544.55,534.25,535.30,533.02,"1,160,683"
"Feb 22, 2024",546.50,546.50,538.65,541.60,539.29,"1,264,327"
"Feb 21, 2024",547.60,549.85,544.35,546.30,543.97,"1,636,393"
"Feb 20, 2024",551.20,551.20,543.00,547.55,545.21,"1,057,848"
"Feb 19, 2024",545.00,550.20,540.25,547.65,545.31,"1,353,397"
"Feb 16, 2024",545.10,547.85,541.00,544.50,542.18,"839,405"
"Feb 15, 2024",545.95,547.35,540.90,544.20,541.88,"1,006,711"
"Feb 14, 2024",533.55,545.25,533.25,544.30,541.98,"828,939"
"Feb 13, 2024",536.35,539.90,531.15,538.75,536.45,"725,665"
"Feb 12, 2024",539.20,543.75,535.40,536.55,534.26,"1,454,041"
"Feb 9, 2024",534.90,540.00,528.65,539.20,536.90,"1,786,915"
"Feb 8, 2024",539.70,541.00,532.00,533.95,531.67,"1,488,521"
"Feb 7, 2024",533.15,538.45,530.65,537.40,535.11,"1,784,199"
"Feb 6, 2024",534.25,537.40,531.25,532.70,530.43,"1,247,440"
"Feb 5, 2024",543.00,544.80,532.30,533.65,531.37,"1,417,520"
"Feb 2, 2024",554.50,559.00,539.75,544.65,542.33,"3,318,354"
"Feb 1, 2024",547.00,575.50,547.00,554.40,552.04,"11,117,689"
"Jan 31, 2024",535.95,545.60,534.00,539.60,537.30,"3,475,918"
"Jan 30, 2024",534.25,537.70,533.25,535.95,533.66,"1,603,876"
"Jan 29, 2024",515.00,535.95,515.00,534.25,531.97,"1,316,110"
"Jan 25, 2024",536.60,537.55,529.05,531.60,529.33,"924,085"
"Jan 24, 2024",525.75,537.40,522.20,536.60,534.31,"914,551"
"Jan 23, 2024",544.40,544.40,522.60,524.80,522.56,"2,256,565"
"Jan 19, 2024",543.25,543.95,539.55,542.30,539.99,"1,965,102"
"Jan 18, 2024",546.20,549.95,535.35,539.45,537.15,"1,520,695"
"Jan 17, 2024",557.85,557.85,546.10,549.45,547.11,"2,075,918"
"Jan 16, 2024",556.15,561.90,552.95,558.80,556.42,"2,027,207"
"Jan 15, 2024",551.00,557.50,548.25,554.15,551.79,"1,524,201"
"Jan 12, 2024",552.00,552.95,548.00,549.70,547.36,"1,029,614"
"Jan 11, 2024",549.60,556.00,548.45,552.00,549.65,"2,089,001"
"Jan 10, 2024",548.85,551.40,542.30,547.35,545.02,"1,758,621"
"Jan 9, 2024",555.00,556.00,546.20,547.85,545.51,"2,107,464"
"Jan 8, 2024",572.50,572.50,551.00,553.25,550.89,"2,152,367"
"Jan 5, 2024",571.00,571.65,564.50,569.05,566.62,"2,834,989"
"Jan 4, 2024",554.65,567.30,550.90,566.25,563.84,"3,064,476"
"Jan 3, 2024",557.00,562.70,546.60,551.10,548.75,"2,733,401"
"Jan 2, 2024",559.45,562.35,551.35,556.85,554.48,"1,201,767"
"Jan 1, 2024",560.00,563.00,555.00,557.45,555.07,"1,417,550"
"Dec 29, 2023",544.75,560.00,543.65,557.20,554.82,"4,120,332"
"Dec 28, 2023",534.55,545.75,534.35,543.10,540.78,"3,512,802"
"Dec 27, 2023",531.00,536.05,530.05,534.35,532.07,"3,308,899"
"Dec 26, 2023",530.00,534.80,529.00,530.60,528.34,"1,655,240"
"Dec 22, 2023",531.95,532.65,526.50,529.30,527.04,"3,869,597"
"Dec 21, 2023",533.25,534.00,527.05,530.25,527.99,"6,150,231"
"Dec 20, 2023",550.00,551.40,532.30,534.95,532.67,"3,685,894"
"Dec 19, 2023",541.45,551.50,539.70,548.20,545.86,"2,155,547"
"Dec 18, 2023",539.70,543.05,537.30,540.50,538.20,"2,700,975"
"Dec 15, 2023",547.95,548.00,537.25,539.70,537.40,"2,655,593"
"Dec 14, 2023",548.70,549.70,544.60,547.45,545.12,"2,078,199"
"Dec 13, 2023",547.55,549.35,543.10,547.55,545.21,"1,628,806"
"Dec 12, 2023",550.50,553.60,546.70,549.00,546.66,"1,418,773"
"Dec 11, 2023",548.00,551.35,545.05,550.50,548.15,"1,278,433"
