Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","5,401.70","5,566.50","5,398.65","5,547.05","5,547.05","396,786"
"Oct 7, 2024","5,448.00","5,521.00","5,376.70","5,404.35","5,404.35","383,652"
"Oct 4, 2024","5,408.00","5,522.20","5,385.25","5,425.55","5,425.55","524,300"
"Oct 3, 2024","5,400.00","5,493.70","5,241.70","5,430.30","5,430.30","602,874"
"Oct 1, 2024","5,440.55","5,464.05","5,362.75","5,423.80","5,423.80","686,142"
"Sep 30, 2024","5,472.95","5,512.15","5,378.55","5,443.35","5,443.35","820,627"
"Sep 27, 2024","5,371.70","5,523.30","5,315.65","5,457.90","5,457.90","6,886,792"
"Sep 26, 2024","5,410.00","5,418.60","5,292.25","5,379.30","5,379.30","554,676"
"Sep 25, 2024","5,375.80","5,448.50","5,354.50","5,394.30","5,394.30","693,122"
"Sep 24, 2024","5,375.00","5,419.70","5,317.65","5,375.80","5,375.80","515,534"
"Sep 23, 2024","5,490.00","5,582.95","5,364.50","5,372.85","5,372.85","588,823"
"Sep 20, 2024","5,456.30","5,505.00","5,427.35","5,450.75","5,450.75","630,993"
"Sep 19, 2024","5,469.15","5,513.00","5,419.00","5,429.20","5,429.20","341,889"
"Sep 18, 2024","5,451.95","5,482.70","5,392.05","5,469.15","5,469.15","213,575"
"Sep 17, 2024","5,479.05","5,560.00","5,436.00","5,452.20","5,452.20","529,121"
"Sep 16, 2024","5,495.00","5,520.00","5,471.70","5,479.35","5,479.35","238,494"
"Sep 13, 2024","5,465.05","5,531.75","5,403.05","5,498.65","5,498.65","401,361"
"Sep 12, 2024","5,450.00","5,513.00","5,396.20","5,482.80","5,482.80","763,771"
"Sep 11, 2024","5,405.00","5,469.90","5,380.05","5,439.30","5,439.30","595,689"
"Sep 10, 2024","5,200.95","5,447.35","5,198.00","5,426.45","5,426.45","1,628,691"
"Sep 9, 2024","5,105.00","5,194.30","5,082.20","5,173.50","5,173.50","354,291"
"Sep 6, 2024","5,127.00","5,170.00","5,062.35","5,137.80","5,137.80","432,124"
"Sep 5, 2024","5,100.00","5,164.45","5,087.15","5,120.90","5,120.90","491,284"
"Sep 4, 2024","5,060.50","5,110.00","5,015.25","5,096.60","5,096.60","313,543"
"Sep 3, 2024","5,036.85","5,098.45","5,036.55","5,066.00","5,066.00","288,902"
"Sep 2, 2024","5,124.80","5,132.95","5,023.05","5,036.85","5,036.85","196,235"
"Aug 30, 2024","5,019.50","5,132.50","5,019.50","5,093.90","5,093.90","853,203"
"Aug 29, 2024","5,049.90","5,077.35","4,990.05","5,012.55","5,012.55","430,810"
"Aug 28, 2024","4,882.10","5,096.00","4,858.95","5,030.70","5,030.70","963,990"
"Aug 27, 2024","4,908.00","4,995.50","4,875.00","4,902.50","4,902.50","400,046"
"Aug 26, 2024","4,860.00","4,934.00","4,860.00","4,926.25","4,926.25","288,510"
"Aug 23, 2024","4,927.00","4,950.00","4,828.95","4,855.95","4,855.95","420,463"
"Aug 22, 2024","4,927.50","4,929.95","4,869.00","4,911.45","4,911.45","480,842"
"Aug 21, 2024","4,736.00","4,963.35","4,734.95","4,900.80","4,900.80","1,371,112"
"Aug 20, 2024","4,674.80","4,728.85","4,663.30","4,723.15","4,723.15","255,795"
"Aug 19, 2024","4,665.00","4,689.95","4,615.55","4,669.90","4,669.90","232,374"
"Aug 16, 2024","4,665.00","4,709.80","4,623.30","4,633.90","4,633.90","522,991"
"Aug 14, 2024","4,848.00","4,848.00","4,642.05","4,662.00","4,662.00","729,449"
"Aug 13, 2024","4,900.00","4,919.95","4,803.05","4,861.80","4,861.80","203,334"
"Aug 12, 2024","4,828.95","4,905.00","4,777.55","4,891.00","4,891.00","431,270"
"Aug 9, 2024","4,904.80","4,904.80","4,816.05","4,829.95","4,829.95","222,355"
"Aug 8, 2024","4,920.10","5,024.85","4,823.00","4,834.50","4,834.50","722,958"
"Aug 7, 2024","4,841.00","4,957.10","4,841.00","4,946.50","4,946.50","590,493"
"Aug 6, 2024","4,830.00","4,959.00","4,815.05","4,827.55","4,827.55","403,211"
"Aug 5, 2024","4,933.55","4,988.90","4,778.00","4,826.95","4,826.95","1,449,786"
"Aug 2, 2024",30.00 Dividend
"Aug 2, 2024","4,861.70","5,010.00","4,839.10","4,991.25","4,991.25","960,970"
"Aug 1, 2024","4,930.00","5,008.00","4,900.00","4,917.90","4,887.90","622,863"
"Jul 31, 2024","4,904.35","4,943.75","4,800.20","4,923.20","4,893.17","1,167,323"
"Jul 30, 2024","4,923.85","4,945.00","4,889.15","4,912.35","4,882.38","515,488"
"Jul 29, 2024","4,804.00","4,951.00","4,771.70","4,923.85","4,893.81","886,247"
"Jul 26, 2024","4,570.95","4,810.00","4,563.85","4,790.60","4,761.38","1,262,221"
"Jul 25, 2024","4,530.00","4,582.70","4,475.30","4,547.00","4,519.26","232,749"
"Jul 24, 2024","4,506.20","4,579.30","4,501.45","4,551.60","4,523.83","392,515"
"Jul 23, 2024","4,521.00","4,541.05","4,395.30","4,527.00","4,499.38","499,837"
"Jul 22, 2024","4,500.00","4,577.35","4,441.35","4,534.80","4,507.14","308,095"
"Jul 19, 2024","4,580.00","4,587.25","4,496.45","4,519.80","4,492.23","279,117"
"Jul 18, 2024","4,550.00","4,603.10","4,515.75","4,584.80","4,556.83","432,503"
"Jul 16, 2024","4,575.40","4,598.95","4,551.70","4,570.80","4,542.92","266,585"
"Jul 15, 2024","4,542.00","4,604.35","4,536.10","4,575.40","4,547.49","616,728"
"Jul 12, 2024","4,590.00","4,594.60","4,485.30","4,539.30","4,511.61","661,038"
"Jul 11, 2024","4,656.70","4,660.00","4,565.05","4,582.50","4,554.55","559,139"
"Jul 10, 2024","4,572.00","4,651.85","4,536.80","4,636.95","4,608.66","550,188"
"Jul 9, 2024","4,491.40","4,582.90","4,458.00","4,551.95","4,524.18","769,145"
"Jul 8, 2024","4,629.40","4,649.65","4,445.00","4,464.20","4,436.97","890,261"
"Jul 5, 2024","4,550.00","4,670.00","4,550.00","4,629.70","4,601.46","1,285,879"
"Jul 4, 2024","4,559.15","4,577.40","4,521.70","4,544.05","4,516.33","242,990"
"Jul 3, 2024","4,576.95","4,595.05","4,505.00","4,559.15","4,531.34","573,402"
"Jul 2, 2024","4,607.70","4,620.85","4,565.25","4,571.45","4,543.56","258,530"
"Jul 1, 2024","4,596.45","4,615.20","4,540.20","4,602.10","4,574.03","507,284"
"Jun 28, 2024","4,522.35","4,648.45","4,522.35","4,596.45","4,568.41","391,476"
"Jun 27, 2024","4,545.35","4,556.05","4,500.10","4,522.35","4,494.76","531,345"
"Jun 26, 2024","4,546.45","4,568.90","4,512.50","4,545.35","4,517.62","203,886"
"Jun 25, 2024","4,515.00","4,597.45","4,488.05","4,539.30","4,511.61","353,120"
"Jun 24, 2024","4,512.60","4,555.45","4,488.50","4,519.55","4,491.98","188,506"
"Jun 21, 2024","4,500.00","4,575.95","4,489.75","4,522.15","4,494.56","583,517"
"Jun 20, 2024","4,486.00","4,522.25","4,439.70","4,504.05","4,476.57","412,934"
"Jun 19, 2024","4,565.00","4,581.30","4,466.00","4,479.70","4,452.37","223,028"
"Jun 18, 2024","4,521.00","4,583.90","4,521.00","4,564.50","4,536.66","241,254"
"Jun 14, 2024","4,595.00","4,627.95","4,559.10","4,588.60","4,560.61","281,968"
"Jun 13, 2024","4,501.30","4,617.00","4,496.85","4,593.50","4,565.48","1,275,865"
"Jun 12, 2024","4,504.00","4,515.00","4,433.90","4,452.35","4,425.19","296,209"
"Jun 11, 2024","4,560.00","4,585.00","4,462.30","4,475.45","4,448.15","264,078"
"Jun 10, 2024","4,524.05","4,579.60","4,515.05","4,536.25","4,508.58","462,274"
"Jun 7, 2024","4,450.80","4,540.40","4,438.80","4,524.05","4,496.45","432,970"
"Jun 6, 2024","4,500.00","4,500.00","4,366.60","4,448.90","4,421.76","790,310"
"Jun 5, 2024","4,334.35","4,525.00","4,306.75","4,502.70","4,475.23","1,077,221"
"Jun 4, 2024","4,323.40","4,422.60","4,180.50","4,324.15","4,297.77","847,809"
"Jun 3, 2024","4,400.00","4,435.50","4,292.95","4,321.90","4,295.54","515,368"
"May 31, 2024","4,427.45","4,455.85","4,290.15","4,307.20","4,280.93","970,571"
"May 30, 2024","4,444.05","4,465.00","4,390.00","4,412.80","4,385.88","768,574"
"May 29, 2024","4,360.00","4,467.50","4,355.55","4,448.00","4,420.87","1,220,726"
"May 28, 2024","4,242.75","4,401.60","4,238.45","4,392.10","4,365.31","2,151,413"
"May 27, 2024","4,298.75","4,359.00","4,215.60","4,255.25","4,229.29","2,534,740"
"May 24, 2024","4,113.00","4,175.00","4,105.55","4,122.40","4,097.25","612,183"
"May 23, 2024","4,060.00","4,127.55","4,027.40","4,113.00","4,087.91","693,482"
"May 22, 2024","4,051.00","4,071.75","3,986.70","4,058.55","4,033.79","398,441"
"May 21, 2024","3,861.70","4,038.90","3,850.00","4,016.55","3,992.05","472,233"
"May 17, 2024","3,935.00","3,954.70","3,895.60","3,910.75","3,886.89","267,526"
"May 16, 2024","3,896.00","3,945.00","3,830.00","3,931.15","3,907.17","362,920"
"May 15, 2024","3,896.50","3,949.95","3,867.55","3,892.55","3,868.80","188,401"
"May 14, 2024","3,910.00","3,955.00","3,865.15","3,896.20","3,872.43","262,796"
"May 13, 2024","3,776.10","3,933.20","3,724.00","3,911.50","3,887.64","608,329"
"May 10, 2024","3,794.75","3,831.35","3,768.00","3,793.50","3,770.36","276,308"
"May 9, 2024","3,934.00","3,949.05","3,755.20","3,789.95","3,766.83","626,179"
"May 8, 2024","3,903.00","3,951.40","3,873.15","3,927.35","3,903.39","308,127"
"May 7, 2024","3,969.55","3,969.55","3,873.25","3,911.40","3,887.54","291,924"
"May 6, 2024","3,950.95","3,989.00","3,901.15","3,963.00","3,938.82","271,254"
"May 3, 2024","3,965.10","3,991.00","3,900.00","3,950.95","3,926.85","348,122"
"May 2, 2024","4,002.40","4,009.00","3,935.50","3,964.65","3,940.46","868,450"
"Apr 30, 2024","4,013.00","4,066.00","3,973.60","4,002.40","3,977.98","360,469"
"Apr 29, 2024","4,025.00","4,100.00","3,971.10","3,989.25","3,964.91","752,787"
"Apr 26, 2024","3,850.00","4,039.00","3,836.05","4,016.35","3,991.85","1,155,173"
"Apr 25, 2024","3,834.00","3,876.80","3,790.55","3,843.80","3,820.35","835,354"
"Apr 24, 2024","3,779.65","3,823.95","3,765.55","3,813.80","3,790.54","473,558"
"Apr 23, 2024","3,737.50","3,780.05","3,730.00","3,768.65","3,745.66","307,637"
"Apr 22, 2024","3,689.75","3,744.70","3,675.00","3,737.50","3,714.70","439,590"
"Apr 19, 2024","3,661.00","3,710.85","3,641.00","3,671.70","3,649.30","746,223"
"Apr 18, 2024","3,780.00","3,781.10","3,695.20","3,708.90","3,686.27","802,591"
"Apr 16, 2024","3,699.95","3,781.00","3,686.20","3,764.20","3,741.24","318,671"
"Apr 15, 2024","3,770.00","3,770.00","3,686.20","3,716.55","3,693.88","428,141"
"Apr 12, 2024","3,739.00","3,809.00","3,728.00","3,779.70","3,756.64","573,189"
"Apr 10, 2024","3,763.00","3,776.05","3,705.15","3,739.10","3,716.29","1,015,345"
"Apr 9, 2024","3,806.00","3,822.00","3,772.05","3,804.95","3,781.74","275,295"
"Apr 8, 2024","3,750.00","3,813.00","3,720.55","3,796.00","3,772.84","602,786"
"Apr 5, 2024","3,734.25","3,784.00","3,726.70","3,748.15","3,725.29","553,607"
"Apr 4, 2024","3,708.00","3,755.90","3,688.25","3,734.20","3,711.42","976,430"
"Apr 3, 2024","3,663.80","3,726.00","3,611.05","3,684.90","3,662.42","799,460"
"Apr 2, 2024","3,571.00","3,636.00","3,555.20","3,622.50","3,600.40","675,426"
"Apr 1, 2024","3,450.00","3,590.00","3,450.00","3,567.95","3,546.18","651,461"
"Mar 28, 2024","3,367.05","3,469.70","3,367.05","3,445.30","3,424.28","1,145,370"
"Mar 27, 2024","3,390.00","3,403.40","3,350.00","3,367.85","3,347.31","506,472"
"Mar 26, 2024","3,400.00","3,439.00","3,375.00","3,391.00","3,370.31","478,462"
"Mar 22, 2024","3,463.00","3,476.35","3,425.00","3,431.45","3,410.52","409,887"
"Mar 21, 2024","3,444.80","3,477.40","3,431.25","3,465.30","3,444.16","279,116"
"Mar 20, 2024","3,447.15","3,460.00","3,397.15","3,428.30","3,407.39","517,131"
"Mar 19, 2024","3,509.80","3,514.95","3,422.05","3,447.15","3,426.12","525,027"
"Mar 18, 2024","3,485.40","3,520.00","3,475.00","3,506.60","3,485.21","171,118"
