Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",823.25,843.15,823.00,840.00,840.00,"2,801,195"
"Oct 7, 2024",848.45,853.75,815.70,825.65,825.65,"4,635,422"
"Oct 4, 2024",864.00,866.05,832.30,844.85,844.85,"6,178,623"
"Oct 3, 2024",888.50,908.00,858.80,864.85,864.85,"5,533,806"
"Oct 1, 2024",896.80,916.10,895.30,913.75,913.75,"1,899,090"
"Sep 30, 2024",909.95,917.90,893.05,895.15,895.15,"4,693,690"
"Sep 27, 2024",924.00,929.00,905.00,914.05,914.05,"4,444,599"
"Sep 26, 2024",920.90,928.80,905.70,924.00,924.00,"4,276,089"
"Sep 25, 2024",915.00,923.00,902.65,920.40,920.40,"2,956,612"
"Sep 24, 2024",910.95,925.90,910.20,917.00,917.00,"5,638,566"
"Sep 23, 2024",883.70,919.00,880.30,909.65,909.65,"6,822,019"
"Sep 20, 2024",854.00,881.00,853.15,877.60,877.60,"4,012,769"
"Sep 19, 2024",868.00,874.90,833.30,849.30,849.30,"3,526,011"
"Sep 18, 2024",857.10,863.65,849.00,860.70,860.70,"1,326,773"
"Sep 17, 2024",862.00,865.95,854.00,860.85,860.85,"1,262,957"
"Sep 16, 2024",869.00,880.80,858.50,862.10,862.10,"3,120,053"
"Sep 13, 2024",840.00,866.45,836.05,863.60,863.60,"4,679,178"
"Sep 12, 2024",830.00,837.05,827.30,835.90,835.90,"1,310,892"
"Sep 11, 2024",830.00,835.40,820.25,824.00,824.00,"1,543,757"
"Sep 10, 2024",830.30,836.00,820.90,829.80,829.80,"2,172,160"
"Sep 9, 2024",813.55,832.30,812.05,826.75,826.75,"2,517,054"
"Sep 6, 2024",840.00,841.00,809.55,814.25,814.25,"3,788,122"
"Sep 5, 2024",853.00,854.00,840.15,841.65,841.65,"942,254"
"Sep 4, 2024",840.70,851.85,835.25,850.35,850.35,"1,426,084"
"Sep 3, 2024",850.00,859.25,846.15,847.60,847.60,"2,402,444"
"Sep 2, 2024",850.00,853.95,843.35,848.25,848.25,"1,639,881"
"Aug 30, 2024",834.05,849.55,834.05,845.10,845.10,"4,433,064"
"Aug 29, 2024",837.10,838.30,818.50,831.90,831.90,"4,348,398"
"Aug 28, 2024",848.00,849.50,834.00,837.10,837.10,"2,135,655"
"Aug 27, 2024",848.80,860.45,843.40,846.35,846.35,"3,312,432"
"Aug 26, 2024",857.75,857.75,841.00,848.80,848.80,"1,382,673"
"Aug 23, 2024",859.25,870.60,847.75,849.50,849.50,"2,524,444"
"Aug 22, 2024",862.50,866.50,854.05,859.25,859.25,"1,597,012"
"Aug 21, 2024",868.75,871.15,853.30,860.55,860.55,"1,781,137"
"Aug 20, 2024",865.00,872.00,860.00,867.35,867.35,"1,686,482"
"Aug 19, 2024",869.00,872.65,855.30,857.20,857.20,"1,552,098"
"Aug 16, 2024",835.50,874.00,830.40,866.90,866.90,"8,826,463"
"Aug 14, 2024",817.80,823.95,809.20,821.65,821.65,"2,076,958"
"Aug 13, 2024",837.00,837.50,810.05,813.85,813.85,"1,433,125"
"Aug 12, 2024",827.00,840.80,822.45,835.45,835.45,"1,697,136"
"Aug 9, 2024",847.60,847.60,829.00,830.90,830.90,"1,309,164"
"Aug 8, 2024",843.50,850.50,830.50,832.60,832.60,"2,365,759"
"Aug 7, 2024",853.00,853.00,833.55,845.65,845.65,"2,323,809"
"Aug 6, 2024",828.55,844.30,817.80,820.70,820.70,"5,035,943"
"Aug 5, 2024",832.75,835.05,800.40,810.15,810.15,"5,834,107"
"Aug 2, 2024",858.00,866.25,841.45,844.45,844.45,"3,305,561"
"Aug 1, 2024",890.00,901.00,867.25,873.90,873.90,"6,040,354"
"Jul 31, 2024",5.00 Dividend
"Jul 31, 2024",882.55,891.55,870.40,889.15,889.15,"4,091,190"
"Jul 30, 2024",874.65,885.45,870.00,879.90,874.90,"4,629,527"
"Jul 29, 2024",833.95,876.00,830.50,870.00,865.06,"8,358,895"
"Jul 26, 2024",817.45,843.65,814.35,829.70,824.99,"5,503,367"
"Jul 25, 2024",818.55,822.50,802.55,811.70,807.09,"3,694,096"
"Jul 24, 2024",800.00,829.40,797.00,819.40,814.74,"6,572,592"
"Jul 23, 2024",836.95,839.05,778.20,809.35,804.75,"11,426,098"
"Jul 22, 2024",815.05,833.90,805.45,831.90,827.17,"3,125,767"
"Jul 19, 2024",848.00,848.00,808.00,816.40,811.76,"4,601,334"
"Jul 18, 2024",842.00,846.95,826.70,844.90,840.10,"4,433,926"
"Jul 16, 2024",833.30,851.70,831.10,843.75,838.96,"3,157,792"
"Jul 15, 2024",827.00,835.70,818.65,833.30,828.56,"1,494,904"
"Jul 12, 2024",837.90,837.90,819.55,821.70,817.03,"2,543,048"
"Jul 11, 2024",837.00,842.90,830.30,831.95,827.22,"1,293,318"
"Jul 10, 2024",845.00,853.00,822.90,836.70,831.95,"4,948,598"
"Jul 9, 2024",836.05,840.80,831.40,838.55,833.78,"1,237,622"
"Jul 8, 2024",832.80,839.75,828.05,835.70,830.95,"1,202,880"
"Jul 5, 2024",839.95,841.30,830.05,832.80,828.07,"2,792,876"
"Jul 4, 2024",842.00,847.00,833.65,838.60,833.83,"1,817,264"
"Jul 3, 2024",833.00,842.50,828.20,841.15,836.37,"1,939,722"
"Jul 2, 2024",827.00,841.00,817.95,830.40,825.68,"3,484,392"
"Jul 1, 2024",826.00,831.75,819.55,825.40,820.71,"1,970,264"
"Jun 28, 2024",817.00,829.90,813.00,824.75,820.06,"3,751,351"
"Jun 27, 2024",826.50,830.95,811.80,816.75,812.11,"6,534,966"
"Jun 26, 2024",825.45,836.00,822.10,825.70,821.01,"4,869,959"
"Jun 25, 2024",841.00,843.50,814.30,824.65,819.96,"6,394,175"
"Jun 24, 2024",849.50,849.50,833.50,840.45,835.67,"4,054,032"
"Jun 21, 2024",875.00,879.70,854.00,856.10,851.24,"2,496,508"
"Jun 20, 2024",861.75,876.65,857.00,874.50,869.53,"1,952,972"
