Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,914.00","1,954.70","1,910.00","1,948.45","1,948.45","1,086,748"
"Oct 7, 2024","1,944.00","1,950.00","1,900.95","1,914.60","1,914.60","731,944"
"Oct 4, 2024","1,968.95","1,983.55","1,928.90","1,934.45","1,934.45","1,379,482"
"Oct 3, 2024","1,959.00","2,009.95","1,919.55","1,972.90","1,972.90","1,327,472"
"Oct 1, 2024","2,020.00","2,065.40","1,970.55","1,999.80","1,999.80","860,908"
"Sep 30, 2024","2,035.00","2,060.00","2,007.45","2,012.90","2,012.90","749,912"
"Sep 27, 2024","2,037.00","2,037.00","2,000.55","2,031.30","2,031.30","1,325,848"
"Sep 26, 2024","2,061.60","2,061.60","1,991.85","2,022.05","2,022.05","1,227,890"
"Sep 25, 2024","2,062.00","2,072.95","2,034.70","2,061.60","2,061.60","676,261"
"Sep 24, 2024","2,087.00","2,087.00","2,054.05","2,068.15","2,068.15","1,097,815"
"Sep 23, 2024","2,057.00","2,106.00","2,051.00","2,082.40","2,082.40","1,311,899"
"Sep 20, 2024","2,000.00","2,058.85","1,990.00","2,048.10","2,048.10","1,360,503"
"Sep 19, 2024","1,987.80","2,002.00","1,967.60","1,998.60","1,998.60","757,558"
"Sep 18, 2024","2,008.75","2,008.75","1,977.10","1,987.80","1,987.80","427,477"
"Sep 17, 2024","1,995.00","2,009.95","1,973.00","2,006.55","2,006.55","596,475"
"Sep 16, 2024","1,987.75","2,008.95","1,984.50","1,989.90","1,989.90","324,013"
"Sep 13, 2024","2,001.00","2,023.00","1,974.00","1,988.05","1,988.05","1,147,593"
"Sep 12, 2024","1,975.90","2,000.95","1,970.30","1,996.40","1,996.40","1,824,365"
"Sep 11, 2024","1,925.00","1,968.00","1,924.95","1,957.60","1,957.60","1,175,514"
"Sep 10, 2024","1,894.10","1,942.00","1,894.10","1,922.45","1,922.45","1,335,774"
"Sep 9, 2024","1,872.35","1,900.00","1,859.05","1,892.40","1,892.40","422,565"
"Sep 6, 2024","1,877.10","1,888.45","1,860.20","1,872.35","1,872.35","788,707"
"Sep 5, 2024","1,916.00","1,916.00","1,860.00","1,879.45","1,879.45","544,961"
"Sep 4, 2024","1,897.95","1,916.00","1,878.50","1,901.30","1,901.30","573,554"
"Sep 3, 2024","1,890.00","1,910.00","1,882.00","1,901.95","1,901.95","593,605"
"Sep 2, 2024","1,920.00","1,920.00","1,880.10","1,885.40","1,885.40","663,594"
"Aug 30, 2024","1,888.00","1,921.50","1,888.00","1,899.35","1,899.35","1,562,361"
"Aug 29, 2024","1,893.00","1,902.00","1,863.55","1,893.25","1,893.25","636,198"
"Aug 28, 2024","1,899.00","1,905.85","1,878.00","1,890.60","1,890.60","766,452"
"Aug 27, 2024","1,919.90","1,957.45","1,891.90","1,895.20","1,895.20","1,032,266"
"Aug 26, 2024","1,882.10","1,916.35","1,880.35","1,912.10","1,912.10","580,249"
"Aug 23, 2024","1,895.65","1,908.00","1,877.00","1,884.65","1,884.65","543,897"
"Aug 22, 2024","1,924.00","1,924.00","1,893.55","1,895.65","1,895.65","767,704"
"Aug 21, 2024","1,890.00","1,925.00","1,882.45","1,920.55","1,920.55","948,150"
"Aug 20, 2024","1,888.90","1,902.55","1,866.00","1,889.70","1,889.70","964,261"
"Aug 19, 2024","1,886.00","1,897.30","1,870.00","1,881.85","1,881.85","622,654"
"Aug 16, 2024","1,871.00","1,890.90","1,852.50","1,876.45","1,876.45","1,620,998"
"Aug 14, 2024","1,831.00","1,851.15","1,808.00","1,845.95","1,845.95","648,490"
"Aug 13, 2024","1,815.00","1,844.95","1,803.80","1,825.55","1,825.55","810,978"
"Aug 12, 2024","1,791.00","1,821.40","1,790.55","1,810.05","1,810.05","618,188"
"Aug 9, 2024","1,803.00","1,807.55","1,791.00","1,799.40","1,799.40","789,272"
"Aug 8, 2024","1,825.00","1,832.90","1,781.80","1,785.55","1,785.55","811,391"
"Aug 7, 2024","1,805.00","1,829.25","1,793.45","1,824.35","1,824.35","352,266"
"Aug 6, 2024","1,783.00","1,812.00","1,781.55","1,789.45","1,789.45","656,243"
"Aug 5, 2024","1,765.10","1,806.20","1,765.10","1,784.30","1,784.30","970,438"
"Aug 2, 2024","1,822.00","1,839.00","1,807.40","1,819.50","1,819.50","670,205"
"Aug 1, 2024","1,857.50","1,865.00","1,822.45","1,838.05","1,838.05","504,762"
"Jul 31, 2024","1,823.00","1,857.60","1,819.10","1,849.85","1,849.85","831,749"
"Jul 30, 2024","1,837.60","1,844.65","1,812.00","1,815.80","1,815.80","875,642"
"Jul 29, 2024","1,855.00","1,862.65","1,832.10","1,837.60","1,837.60","838,188"
"Jul 26, 2024","1,846.00","1,856.80","1,826.05","1,838.65","1,838.65","814,890"
"Jul 25, 2024","1,786.00","1,840.00","1,774.70","1,826.80","1,826.80","1,449,713"
"Jul 24, 2024","1,762.00","1,799.45","1,753.25","1,791.75","1,791.75","852,488"
"Jul 23, 2024","1,772.95","1,774.95","1,687.55","1,762.15","1,762.15","1,604,569"
"Jul 22, 2024","1,768.00","1,784.95","1,740.55","1,768.70","1,768.70","1,315,829"
"Jul 19, 2024","1,870.00","1,894.00","1,765.00","1,768.50","1,768.50","1,992,696"
"Jul 18, 2024","1,880.00","1,915.80","1,821.05","1,862.65","1,862.65","3,379,348"
"Jul 16, 2024","1,896.00","1,910.00","1,870.00","1,875.40","1,875.40","1,213,886"
"Jul 15, 2024","1,913.00","1,939.10","1,881.50","1,891.70","1,891.70","483,219"
"Jul 12, 2024","1,920.15","1,929.00","1,897.85","1,908.45","1,908.45","525,200"
"Jul 11, 2024","1,946.00","1,949.70","1,915.20","1,920.00","1,920.00","584,446"
