Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,774.00","1,794.00","1,743.00","1,789.45","1,789.45","2,353,030"
"Oct 7, 2024","1,784.95","1,804.20","1,767.90","1,776.95","1,776.95","3,419,048"
"Oct 4, 2024","1,778.00","1,807.90","1,767.25","1,776.60","1,776.60","2,982,759"
"Oct 3, 2024","1,778.00","1,809.30","1,770.00","1,778.55","1,778.55","3,552,386"
"Oct 1, 2024","1,790.00","1,822.45","1,790.00","1,816.50","1,816.50","1,642,542"
"Sep 30, 2024","1,808.00","1,820.70","1,789.15","1,796.10","1,796.10","2,117,894"
"Sep 27, 2024","1,810.00","1,828.55","1,796.55","1,808.40","1,808.40","4,099,016"
"Sep 26, 2024","1,782.25","1,808.40","1,778.90","1,783.85","1,783.85","4,303,250"
"Sep 25, 2024","1,778.80","1,784.05","1,755.00","1,782.40","1,782.40","2,240,579"
"Sep 24, 2024","1,750.00","1,783.50","1,738.35","1,775.60","1,775.60","1,907,389"
"Sep 23, 2024","1,764.00","1,764.00","1,732.50","1,752.80","1,752.80","1,541,597"
"Sep 20, 2024","1,748.00","1,766.10","1,721.40","1,760.05","1,760.05","4,644,317"
"Sep 19, 2024","1,776.00","1,776.00","1,721.50","1,736.50","1,736.50","4,167,373"
"Sep 18, 2024","1,808.10","1,808.10","1,740.10","1,756.50","1,756.50","2,629,136"
"Sep 17, 2024","1,811.95","1,828.00","1,807.20","1,813.75","1,813.75","830,317"
"Sep 16, 2024","1,819.00","1,824.25","1,808.20","1,811.85","1,811.85","836,199"
"Sep 13, 2024","1,805.00","1,820.00","1,795.65","1,812.80","1,812.80","1,599,349"
"Sep 12, 2024","1,800.00","1,814.20","1,777.10","1,807.60","1,807.60","3,349,489"
"Sep 11, 2024","1,778.20","1,796.85","1,773.70","1,778.75","1,778.75","2,303,930"
"Sep 10, 2024","1,749.45","1,789.30","1,747.15","1,779.10","1,779.10","2,307,528"
"Sep 9, 2024","1,758.35","1,766.30","1,741.15","1,746.75","1,746.75","1,418,238"
"Sep 6, 2024","1,788.00","1,795.75","1,740.05","1,756.10","1,756.10","3,351,716"
"Sep 5, 2024","1,792.00","1,797.70","1,767.30","1,790.55","1,790.55","2,878,565"
"Sep 4, 2024","1,765.10","1,795.65","1,765.00","1,785.25","1,785.25","2,644,961"
"Sep 3, 2024","1,806.00","1,817.15","1,787.05","1,790.45","1,790.45","2,553,290"
"Sep 2, 2024","1,764.20","1,812.00","1,760.00","1,806.65","1,806.65","4,445,349"
"Aug 30, 2024","1,751.85","1,766.30","1,742.20","1,753.25","1,753.25","4,792,561"
"Aug 29, 2024","1,714.00","1,756.00","1,697.25","1,751.85","1,751.85","5,112,407"
"Aug 28, 2024","1,712.55","1,737.75","1,693.05","1,719.45","1,719.45","2,516,461"
"Aug 27, 2024","1,725.85","1,756.85","1,705.10","1,711.60","1,711.60","3,556,487"
"Aug 26, 2024","1,671.00","1,734.00","1,667.10","1,719.45","1,719.45","2,672,708"
"Aug 23, 2024","1,676.05","1,685.95","1,657.15","1,661.45","1,661.45","2,158,185"
"Aug 22, 2024","1,687.00","1,687.00","1,673.00","1,676.15","1,676.15","1,749,127"
"Aug 21, 2024","1,686.00","1,688.85","1,673.75","1,677.25","1,677.25","1,410,370"
"Aug 20, 2024","1,680.00","1,695.05","1,669.20","1,686.75","1,686.75","2,786,109"
"Aug 19, 2024","1,665.00","1,685.00","1,659.05","1,678.50","1,678.50","1,631,947"
"Aug 16, 2024","1,635.00","1,674.00","1,632.70","1,668.25","1,668.25","3,101,056"
"Aug 14, 2024","1,600.10","1,629.75","1,598.25","1,626.15","1,626.15","3,932,148"
"Aug 13, 2024","1,578.00","1,608.40","1,577.65","1,592.65","1,592.65","1,973,825"
"Aug 12, 2024","1,590.00","1,600.50","1,573.85","1,585.25","1,585.25","1,273,739"
"Aug 9, 2024","1,584.90","1,602.00","1,575.85","1,589.95","1,589.95","2,021,762"
"Aug 8, 2024","1,597.00","1,602.00","1,554.55","1,557.85","1,557.85","2,373,805"
"Aug 7, 2024","1,605.00","1,615.00","1,590.00","1,594.60","1,594.60","1,897,787"
"Aug 6, 2024","1,563.00","1,605.00","1,563.00","1,582.75","1,582.75","2,138,704"
"Aug 5, 2024","1,575.00","1,595.70","1,537.00","1,562.40","1,562.40","3,279,717"
"Aug 2, 2024","1,620.05","1,639.00","1,601.15","1,609.30","1,609.30","1,692,851"
"Aug 1, 2024","1,640.05","1,655.50","1,636.10","1,640.55","1,640.55","1,785,188"
"Jul 31, 2024","1,621.00","1,645.00","1,619.20","1,642.60","1,642.60","1,984,986"
"Jul 30, 2024","1,629.00","1,633.00","1,618.00","1,630.25","1,630.25","1,783,877"
"Jul 29, 2024","1,640.20","1,645.00","1,620.00","1,632.35","1,632.35","1,639,491"
"Jul 26, 2024","1,602.80","1,640.00","1,594.00","1,635.35","1,635.35","2,814,159"
"Jul 25, 2024","1,570.00","1,594.00","1,562.85","1,587.60","1,587.60","2,934,731"
"Jul 24, 2024","1,594.00","1,598.00","1,576.85","1,583.70","1,583.70","2,484,299"
"Jul 23, 2024",12.00 Dividend
"Jul 23, 2024","1,574.00","1,600.80","1,551.10","1,598.35","1,598.35","2,907,674"
"Jul 22, 2024","1,588.60","1,594.50","1,570.90","1,577.10","1,565.10","2,704,495"
"Jul 19, 2024","1,610.50","1,616.45","1,588.60","1,594.55","1,582.42","5,633,838"
"Jul 18, 2024","1,558.05","1,599.25","1,557.00","1,594.55","1,582.42","4,399,468"
"Jul 16, 2024","1,565.00","1,583.00","1,555.00","1,569.55","1,557.61","3,540,650"
"Jul 15, 2024","1,580.00","1,636.40","1,567.40","1,569.60","1,557.66","10,337,489"
"Jul 12, 2024","1,530.00","1,566.00","1,510.50","1,560.20","1,548.33","6,430,647"
"Jul 11, 2024","1,515.00","1,534.00","1,508.05","1,511.90","1,500.40","3,304,053"
"Jul 10, 2024","1,531.10","1,532.60","1,487.85","1,509.95","1,498.46","3,507,096"
"Jul 9, 2024","1,533.40","1,546.30","1,525.00","1,531.10","1,519.45","2,658,608"
"Jul 8, 2024","1,528.00","1,540.00","1,506.20","1,533.40","1,521.73","2,939,620"
"Jul 5, 2024","1,523.00","1,529.25","1,505.55","1,519.40","1,507.84","3,061,687"
"Jul 4, 2024","1,485.00","1,534.55","1,485.00","1,522.35","1,510.77","6,822,557"
"Jul 3, 2024","1,489.00","1,489.00","1,471.20","1,481.00","1,469.73","2,070,876"
"Jul 2, 2024","1,475.00","1,492.45","1,473.00","1,480.80","1,469.53","3,811,366"
"Jul 1, 2024","1,465.00","1,478.60","1,455.00","1,468.85","1,457.67","3,723,295"
"Jun 28, 2024","1,468.00","1,468.70","1,442.00","1,459.60","1,448.49","4,943,575"
"Jun 27, 2024","1,435.00","1,460.55","1,423.50","1,454.90","1,443.83","6,613,193"
"Jun 26, 2024","1,447.95","1,453.30","1,438.20","1,443.70","1,432.71","1,917,424"
"Jun 25, 2024","1,440.95","1,450.10","1,426.45","1,447.95","1,436.93","2,079,037"
"Jun 24, 2024","1,437.85","1,443.95","1,426.60","1,440.85","1,429.89","1,988,692"
"Jun 21, 2024","1,462.00","1,481.95","1,439.20","1,447.85","1,436.83","6,489,262"
"Jun 20, 2024","1,448.95","1,448.95","1,429.55","1,443.45","1,432.47","3,163,919"
"Jun 19, 2024","1,440.05","1,451.90","1,430.30","1,445.85","1,434.85","3,117,522"
"Jun 18, 2024","1,431.05","1,439.75","1,427.05","1,437.20","1,426.26","2,223,029"
"Jun 14, 2024","1,444.15","1,446.00","1,424.40","1,431.05","1,420.16","3,065,114"
"Jun 13, 2024","1,447.75","1,457.70","1,437.10","1,444.15","1,433.16","4,232,861"
"Jun 12, 2024","1,472.00","1,472.00","1,434.50","1,438.75","1,427.80","5,990,861"
"Jun 11, 2024","1,425.00","1,437.95","1,415.40","1,428.80","1,417.93","2,269,082"
"Jun 10, 2024","1,440.00","1,442.00","1,397.50","1,418.75","1,407.95","3,293,739"
"Jun 7, 2024","1,407.00","1,438.65","1,398.00","1,431.50","1,420.61","5,884,025"
"Jun 6, 2024","1,354.00","1,399.80","1,350.90","1,397.50","1,386.87","5,936,709"
