Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","5,462.00","5,545.00","5,411.00","5,529.85","5,529.85","473,756"
"Oct 7, 2024","5,569.95","5,608.45","5,436.10","5,501.55","5,501.55","682,783"
"Oct 4, 2024","5,647.05","5,649.95","5,484.00","5,520.85","5,520.85","943,922"
"Oct 3, 2024","5,733.35","5,733.35","5,622.00","5,662.75","5,662.75","1,219,791"
"Oct 1, 2024","5,712.40","5,794.00","5,665.00","5,750.10","5,750.10","742,940"
"Sep 30, 2024","5,890.00","5,890.00","5,690.50","5,712.40","5,712.40","1,346,723"
"Sep 27, 2024","6,068.10","6,089.30","5,940.50","5,957.35","5,957.35","718,197"
"Sep 26, 2024","6,005.60","6,065.00","5,904.10","6,051.45","6,051.45","1,255,943"
"Sep 25, 2024","6,144.00","6,168.40","6,033.85","6,088.30","6,088.30","341,785"
"Sep 24, 2024","6,191.00","6,246.25","6,110.30","6,126.30","6,126.30","631,130"
"Sep 23, 2024","6,050.00","6,210.00","6,004.30","6,190.55","6,190.55","887,240"
"Sep 20, 2024","6,048.75","6,092.00","5,985.75","6,013.25","6,013.25","993,542"
"Sep 19, 2024","6,000.00","6,060.00","5,980.10","6,006.05","6,006.05","532,623"
"Sep 18, 2024","5,985.30","6,145.95","5,928.10","5,964.75","5,964.75","1,446,956"
"Sep 17, 2024","5,800.00","5,984.95","5,763.60","5,961.20","5,961.20","1,250,736"
"Sep 16, 2024","5,780.00","5,822.50","5,727.00","5,779.45","5,779.45","333,195"
"Sep 13, 2024","5,826.90","5,847.10","5,770.00","5,795.80","5,795.80","332,581"
"Sep 12, 2024","5,700.00","5,818.00","5,655.00","5,803.15","5,803.15","855,863"
"Sep 11, 2024","5,698.00","5,708.70","5,602.35","5,654.45","5,654.45","592,210"
"Sep 10, 2024","5,797.00","5,864.15","5,658.25","5,669.70","5,669.70","775,935"
"Sep 9, 2024","5,743.80","5,770.35","5,686.15","5,745.30","5,745.30","469,914"
"Sep 6, 2024","5,720.00","5,770.30","5,649.70","5,743.75","5,743.75","683,920"
"Sep 5, 2024","5,690.00","5,799.00","5,650.00","5,734.20","5,734.20","817,503"
"Sep 4, 2024","5,605.00","5,689.30","5,605.00","5,683.75","5,683.75","532,554"
"Sep 3, 2024","5,602.00","5,699.00","5,549.90","5,646.50","5,646.50","805,935"
"Sep 2, 2024","5,535.00","5,629.05","5,517.00","5,578.20","5,578.20","1,054,947"
"Aug 30, 2024","5,400.00","5,518.00","5,385.85","5,455.40","5,455.40","1,569,946"
"Aug 29, 2024","5,300.00","5,387.30","5,290.90","5,374.50","5,374.50","516,725"
"Aug 28, 2024","5,365.00","5,383.20","5,266.00","5,311.40","5,311.40","688,591"
"Aug 27, 2024","5,354.00","5,396.95","5,326.00","5,356.55","5,356.55","672,259"
"Aug 26, 2024","5,410.00","5,425.00","5,327.00","5,343.75","5,343.75","553,070"
"Aug 23, 2024","5,330.00","5,443.80","5,315.00","5,384.90","5,384.90","757,678"
"Aug 22, 2024","5,285.00","5,383.00","5,263.45","5,329.95","5,329.95","761,731"
"Aug 21, 2024","5,244.40","5,305.20","5,215.00","5,284.70","5,284.70","612,911"
"Aug 20, 2024","5,199.00","5,350.00","5,190.00","5,244.40","5,244.40","962,948"
"Aug 19, 2024","5,149.00","5,224.00","5,107.55","5,188.90","5,188.90","714,915"
"Aug 16, 2024","5,120.00","5,138.95","5,020.05","5,128.10","5,128.10","679,493"
"Aug 14, 2024","5,280.00","5,297.60","4,991.00","5,072.45","5,072.45","2,185,163"
"Aug 13, 2024","5,350.00","5,407.30","5,216.00","5,245.50","5,245.50","1,042,924"
