Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",723.50,732.00,708.00,721.80,721.80,"5,418,558"
"Oct 7, 2024",753.00,753.00,722.50,731.30,731.30,"5,862,059"
"Oct 4, 2024",742.65,757.55,740.05,747.90,747.90,"4,624,509"
"Oct 3, 2024",750.00,772.65,744.70,747.10,747.10,"5,649,089"
"Oct 1, 2024",755.00,765.50,745.20,761.55,761.55,"4,402,151"
"Sep 30, 2024",750.00,764.45,749.45,756.20,756.20,"8,566,640"
"Sep 27, 2024",746.95,757.70,742.10,747.15,747.15,"12,936,973"
"Sep 26, 2024",718.45,736.15,710.70,734.65,734.65,"10,573,166"
"Sep 25, 2024",725.00,730.90,715.55,718.45,718.45,"9,525,319"
"Sep 24, 2024",697.60,719.70,693.00,717.85,717.85,"15,201,960"
"Sep 23, 2024",695.50,698.00,687.95,690.55,690.55,"2,808,114"
"Sep 20, 2024",692.10,698.80,688.75,694.40,694.40,"9,753,966"
"Sep 19, 2024",690.00,690.85,668.20,684.20,684.20,"5,134,590"
"Sep 18, 2024",685.00,687.95,673.35,685.25,685.25,"3,404,940"
"Sep 17, 2024",689.00,692.00,681.10,683.00,683.00,"3,395,470"
"Sep 16, 2024",680.10,687.55,676.55,685.15,685.15,"4,258,546"
"Sep 13, 2024",686.00,686.40,670.60,673.25,673.25,"5,977,861"
"Sep 12, 2024",658.00,677.90,651.50,676.20,676.20,"8,594,764"
"Sep 11, 2024",658.60,658.60,645.40,647.70,647.70,"3,825,823"
"Sep 10, 2024",664.90,666.80,653.70,659.50,659.50,"3,304,741"
"Sep 9, 2024",664.00,664.00,651.00,658.55,658.55,"5,144,488"
"Sep 6, 2024",668.25,677.00,665.45,667.10,667.10,"6,311,131"
"Sep 5, 2024",670.00,672.40,667.25,669.95,669.95,"3,749,608"
"Sep 4, 2024",666.65,673.80,661.25,666.80,666.80,"5,816,848"
"Sep 3, 2024",687.65,692.70,677.55,678.90,678.90,"4,457,291"
"Sep 2, 2024",706.70,706.70,683.20,683.90,683.90,"6,186,645"
"Aug 30, 2024",699.00,708.50,695.10,701.35,701.35,"7,404,373"
"Aug 29, 2024",697.65,702.35,691.40,700.50,700.50,"5,728,640"
"Aug 28, 2024",706.00,710.70,701.15,705.05,705.05,"3,599,946"
"Aug 27, 2024",711.90,712.95,702.75,703.50,703.50,"6,465,241"
"Aug 26, 2024",694.40,712.90,689.50,711.85,711.85,"11,517,668"
"Aug 23, 2024",690.05,694.70,677.80,685.10,685.10,"7,774,920"
"Aug 22, 2024",691.50,692.00,677.20,685.55,685.55,"6,188,728"
"Aug 21, 2024",668.90,696.60,667.80,685.60,685.60,"7,815,238"
"Aug 20, 2024",663.00,674.30,661.05,672.90,672.90,"10,295,836"
"Aug 19, 2024",636.50,660.30,636.50,658.85,658.85,"9,510,274"
"Aug 16, 2024",633.95,642.00,630.20,634.15,634.15,"6,566,337"
"Aug 14, 2024",626.85,633.95,611.60,621.45,621.45,"8,646,288"
"Aug 13, 2024",634.40,634.40,619.20,621.40,621.40,"6,793,767"
"Aug 12, 2024",619.00,634.40,616.50,629.35,629.35,"3,586,449"
"Aug 9, 2024",3.50 Dividend
"Aug 9, 2024",622.00,626.50,614.80,622.90,622.90,"3,629,264"
"Aug 8, 2024",625.00,631.00,613.00,614.05,610.55,"5,396,272"
"Aug 7, 2024",625.00,629.45,616.75,623.70,620.15,"4,839,670"
"Aug 6, 2024",625.00,629.00,608.00,610.30,606.82,"7,063,441"
"Aug 5, 2024",628.05,633.85,609.25,614.30,610.80,"13,451,475"
"Aug 2, 2024",659.80,665.60,646.55,648.05,644.36,"6,717,210"
"Aug 1, 2024",680.00,690.90,667.35,673.50,669.66,"8,831,127"
"Jul 31, 2024",667.00,674.00,664.25,669.60,665.78,"8,551,592"
"Jul 30, 2024",665.00,665.00,654.60,660.50,656.74,"6,714,850"
"Jul 29, 2024",676.75,676.75,665.00,666.85,663.05,"6,032,470"
"Jul 26, 2024",660.00,668.50,655.00,667.60,663.79,"4,730,539"
"Jul 25, 2024",641.95,649.00,633.30,646.55,642.86,"6,171,776"
"Jul 24, 2024",653.00,656.65,645.00,651.60,647.89,"2,610,134"
"Jul 23, 2024",672.30,673.20,638.70,653.50,649.78,"9,602,846"
"Jul 22, 2024",655.00,675.00,650.85,672.30,668.47,"3,291,634"
"Jul 19, 2024",683.90,685.70,658.65,663.00,659.22,"6,207,375"
"Jul 18, 2024",686.00,695.85,684.10,689.95,686.02,"7,841,505"
"Jul 16, 2024",700.30,703.15,689.00,690.80,686.86,"4,570,179"
"Jul 15, 2024",692.05,701.60,688.45,700.10,696.11,"2,848,268"
"Jul 12, 2024",697.50,702.45,686.10,692.05,688.11,"3,839,953"
"Jul 11, 2024",702.00,702.00,692.00,696.30,692.33,"6,856,272"
"Jul 10, 2024",708.00,712.10,685.30,693.30,689.35,"5,327,276"
"Jul 9, 2024",702.00,710.65,695.55,707.00,702.97,"5,507,357"
"Jul 8, 2024",703.65,705.90,691.65,697.20,693.23,"2,636,146"
"Jul 5, 2024",694.00,702.50,693.50,699.15,695.16,"5,174,673"
"Jul 4, 2024",697.70,705.75,690.55,691.85,687.91,"5,924,057"
"Jul 3, 2024",698.90,703.00,683.40,691.65,687.71,"5,875,690"
"Jul 2, 2024",689.90,703.30,688.40,694.75,690.79,"5,482,768"
"Jul 1, 2024",699.00,701.85,688.40,689.85,685.92,"4,870,114"
"Jun 28, 2024",690.25,697.50,686.00,693.55,689.60,"6,101,211"
"Jun 27, 2024",678.00,687.70,672.10,685.25,681.34,"7,135,387"
"Jun 26, 2024",683.55,683.55,671.35,674.70,670.85,"6,069,407"
"Jun 25, 2024",688.80,696.00,680.90,685.50,681.59,"5,778,636"
"Jun 24, 2024",679.60,687.70,675.10,685.25,681.34,"8,014,595"
"Jun 21, 2024",680.00,691.20,677.00,684.50,680.60,"11,973,903"
"Jun 20, 2024",665.00,684.35,661.75,676.50,672.64,"6,646,966"
"Jun 19, 2024",680.05,682.00,660.40,662.40,658.62,"4,770,356"
"Jun 18, 2024",683.60,688.00,677.00,678.75,674.88,"4,013,739"
"Jun 14, 2024",690.00,690.00,677.40,683.60,679.70,"8,326,865"
"Jun 13, 2024",678.00,684.65,676.05,680.70,676.82,"9,555,904"
"Jun 12, 2024",674.00,683.00,671.85,673.90,670.06,"10,783,822"
"Jun 11, 2024",680.00,681.25,672.05,672.95,669.11,"5,157,918"
"Jun 10, 2024",677.05,684.85,673.05,676.40,672.54,"4,054,802"
"Jun 7, 2024",677.50,687.00,672.45,680.35,676.47,"7,172,942"
"Jun 6, 2024",695.00,695.00,673.00,677.50,673.64,"10,420,244"
"Jun 5, 2024",627.00,700.65,607.00,695.25,691.29,"25,836,374"
"Jun 4, 2024",697.00,697.00,594.25,649.05,645.35,"24,250,212"
"Jun 3, 2024",715.00,715.25,692.80,695.95,691.98,"7,081,956"
"May 31, 2024",698.90,703.45,684.35,689.35,685.42,"13,620,282"
"May 30, 2024",704.85,713.05,693.35,695.15,691.19,"10,361,716"
"May 29, 2024",695.00,713.50,682.30,705.30,701.28,"22,684,652"
"May 28, 2024",682.00,698.00,678.35,681.30,677.42,"12,925,385"
"May 27, 2024",685.05,689.50,675.50,677.85,673.99,"10,475,785"
"May 24, 2024",679.25,690.45,671.05,673.25,669.41,"15,930,052"
"May 23, 2024",675.15,678.55,665.95,676.80,672.94,"9,749,101"
"May 22, 2024",698.55,698.70,677.40,684.55,680.65,"8,004,434"
"May 21, 2024",666.30,695.40,663.20,693.60,689.65,"15,976,672"
"May 17, 2024",653.00,658.80,650.40,655.45,651.71,"5,026,205"
"May 16, 2024",660.00,666.00,643.25,653.35,649.63,"8,781,056"
"May 15, 2024",653.00,659.00,648.70,653.70,649.97,"6,764,257"
"May 14, 2024",644.35,649.50,638.20,646.65,642.96,"8,339,846"
"May 13, 2024",625.10,636.15,614.30,633.50,629.89,"3,582,386"
"May 10, 2024",620.10,629.55,618.00,625.60,622.03,"4,364,788"
"May 9, 2024",634.00,637.75,615.00,619.40,615.87,"6,588,118"
"May 8, 2024",615.10,634.45,615.10,633.50,629.89,"7,683,352"
"May 7, 2024",646.90,646.90,611.75,620.20,616.66,"10,787,196"
