Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,241.00","1,247.80","1,229.75","1,236.60","1,236.60","12,219,259"
"Oct 7, 2024","1,241.55","1,262.95","1,225.00","1,233.90","1,233.90","20,667,247"
"Oct 4, 2024","1,247.10","1,264.40","1,236.20","1,239.75","1,239.75","13,488,887"
"Oct 3, 2024","1,253.60","1,265.75","1,248.15","1,256.35","1,256.35","17,648,551"
"Oct 1, 2024","1,269.80","1,280.25","1,267.60","1,274.40","1,274.40","10,972,413"
"Sep 30, 2024","1,292.10","1,296.80","1,270.90","1,273.00","1,273.00","12,622,212"
"Sep 27, 2024","1,333.00","1,333.00","1,303.85","1,306.60","1,306.60","17,117,379"
"Sep 26, 2024","1,320.00","1,333.35","1,316.90","1,329.05","1,329.05","11,100,869"
"Sep 25, 2024","1,310.75","1,327.75","1,310.10","1,323.85","1,323.85","8,728,019"
"Sep 24, 2024","1,321.00","1,331.40","1,315.45","1,318.60","1,318.60","13,886,037"
"Sep 23, 2024","1,331.00","1,331.80","1,308.50","1,321.90","1,321.90","11,380,409"
"Sep 20, 2024","1,295.00","1,362.35","1,291.55","1,338.45","1,338.45","73,257,767"
"Sep 19, 2024","1,288.35","1,300.00","1,285.35","1,292.00","1,292.00","13,172,268"
"Sep 18, 2024","1,262.00","1,295.35","1,262.00","1,288.35","1,288.35","12,466,597"
"Sep 17, 2024","1,259.95","1,272.25","1,258.40","1,268.10","1,268.10","11,513,121"
"Sep 16, 2024","1,251.00","1,265.60","1,244.70","1,262.85","1,262.85","8,973,335"
"Sep 13, 2024","1,252.00","1,255.95","1,242.05","1,250.35","1,250.35","9,877,288"
"Sep 12, 2024","1,238.00","1,257.00","1,226.35","1,252.15","1,252.15","15,376,442"
"Sep 11, 2024","1,231.50","1,239.30","1,226.40","1,236.35","1,236.35","11,993,242"
"Sep 10, 2024","1,236.95","1,241.35","1,227.00","1,237.30","1,237.30","15,545,130"
"Sep 9, 2024","1,202.90","1,238.30","1,200.45","1,235.00","1,235.00","13,863,250"
"Sep 6, 2024","1,225.95","1,233.90","1,205.00","1,208.15","1,208.15","10,170,479"
"Sep 5, 2024","1,238.00","1,244.85","1,231.30","1,235.95","1,235.95","9,142,811"
"Sep 4, 2024","1,239.85","1,243.70","1,232.80","1,236.35","1,236.35","13,505,843"
"Sep 3, 2024","1,227.20","1,250.95","1,220.40","1,247.70","1,247.70","19,114,907"
"Sep 2, 2024","1,239.00","1,239.20","1,222.50","1,229.95","1,229.95","12,516,759"
"Aug 30, 2024","1,230.00","1,235.55","1,218.90","1,229.20","1,229.20","21,211,148"
"Aug 29, 2024","1,218.95","1,235.00","1,217.00","1,221.90","1,221.90","10,806,748"
"Aug 28, 2024","1,222.65","1,226.40","1,217.30","1,223.85","1,223.85","12,291,305"
"Aug 27, 2024","1,213.30","1,232.50","1,208.90","1,226.35","1,226.35","16,295,325"
"Aug 26, 2024","1,205.55","1,214.95","1,201.05","1,213.30","1,213.30","10,920,226"
"Aug 23, 2024","1,193.00","1,205.00","1,188.55","1,203.50","1,203.50","7,518,309"
"Aug 22, 2024","1,182.00","1,192.60","1,176.60","1,191.10","1,191.10","8,564,142"
"Aug 21, 2024","1,177.00","1,178.65","1,165.10","1,174.85","1,174.85","17,234,142"
"Aug 20, 2024","1,174.20","1,189.80","1,170.00","1,179.45","1,179.45","10,427,061"
"Aug 19, 2024","1,191.00","1,195.75","1,173.30","1,175.90","1,175.90","6,686,394"
"Aug 16, 2024","1,170.00","1,193.00","1,165.65","1,187.25","1,187.25","10,961,370"
"Aug 14, 2024","1,167.00","1,170.05","1,153.00","1,161.65","1,161.65","13,431,801"
"Aug 13, 2024","1,183.20","1,189.25","1,163.60","1,168.35","1,168.35","13,117,927"
"Aug 12, 2024",10.00 Dividend
"Aug 12, 2024","1,171.00","1,178.25","1,156.00","1,172.80","1,172.80","10,860,455"
"Aug 9, 2024","1,176.55","1,180.95","1,169.00","1,171.60","1,161.60","8,687,307"
"Aug 8, 2024","1,166.95","1,174.40","1,158.90","1,164.60","1,154.66","10,806,438"
"Aug 7, 2024","1,178.95","1,179.80","1,161.60","1,172.45","1,162.44","15,753,644"
"Aug 6, 2024","1,175.00","1,187.70","1,161.50","1,166.85","1,156.89","13,575,619"
"Aug 5, 2024","1,182.00","1,188.90","1,167.00","1,172.60","1,162.59","14,306,771"
"Aug 2, 2024","1,197.00","1,201.65","1,190.10","1,196.55","1,186.34","10,735,395"
"Aug 1, 2024","1,212.50","1,222.65","1,206.90","1,210.10","1,199.77","8,725,046"
"Jul 31, 2024","1,219.00","1,224.65","1,211.00","1,214.90","1,204.53","22,297,629"
"Jul 30, 2024","1,213.00","1,230.85","1,204.40","1,209.45","1,199.13","23,972,277"
"Jul 29, 2024","1,215.15","1,242.75","1,204.15","1,212.70","1,202.35","28,458,261"
"Jul 26, 2024","1,190.00","1,220.00","1,185.95","1,207.20","1,196.90","19,309,265"
"Jul 25, 2024","1,205.50","1,218.25","1,190.60","1,197.90","1,187.68","14,154,461"
"Jul 24, 2024","1,225.00","1,233.65","1,202.05","1,223.00","1,212.56","20,122,521"
"Jul 23, 2024","1,241.15","1,248.65","1,212.50","1,226.75","1,216.28","19,369,832"
"Jul 22, 2024","1,240.00","1,245.30","1,232.90","1,241.15","1,230.56","9,958,965"
"Jul 19, 2024","1,244.00","1,250.50","1,240.25","1,248.65","1,237.99","7,958,817"
"Jul 18, 2024","1,234.90","1,256.45","1,231.70","1,250.30","1,239.63","10,999,632"
"Jul 16, 2024","1,230.00","1,245.00","1,229.00","1,239.90","1,229.32","12,320,605"
"Jul 15, 2024","1,233.10","1,238.45","1,224.05","1,229.95","1,219.45","15,612,671"
"Jul 12, 2024","1,235.90","1,252.90","1,230.10","1,232.90","1,222.38","12,208,290"
"Jul 11, 2024","1,246.35","1,257.80","1,225.05","1,238.45","1,227.88","11,307,116"
"Jul 10, 2024","1,252.75","1,252.75","1,236.35","1,243.20","1,232.59","18,226,503"
"Jul 9, 2024","1,234.95","1,250.20","1,229.30","1,248.25","1,237.60","13,366,874"
"Jul 8, 2024","1,228.90","1,239.50","1,216.90","1,235.05","1,224.51","6,617,190"
"Jul 5, 2024","1,225.00","1,242.60","1,220.85","1,233.40","1,222.87","9,535,575"
"Jul 4, 2024","1,229.00","1,234.95","1,214.30","1,233.00","1,222.48","15,275,791"
"Jul 3, 2024","1,196.85","1,215.85","1,179.45","1,201.60","1,191.34","22,330,897"
"Jul 2, 2024","1,217.00","1,217.00","1,185.55","1,190.60","1,180.44","16,153,925"
"Jul 1, 2024","1,199.60","1,215.35","1,192.05","1,211.85","1,201.51","8,636,894"
"Jun 28, 2024","1,227.00","1,227.00","1,196.35","1,199.60","1,189.36","12,507,092"
