Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",9.05,9.55,9.03,9.50,9.50,"447,500,823"
"Oct 7, 2024",9.79,9.81,8.90,9.16,9.16,"699,375,979"
"Oct 4, 2024",9.87,10.06,9.63,9.79,9.79,"453,013,199"
"Oct 3, 2024",10.13,10.16,9.81,9.87,9.87,"418,426,001"
"Oct 1, 2024",10.35,10.53,10.06,10.17,10.17,"372,735,715"
"Sep 30, 2024",10.65,10.68,10.32,10.36,10.36,"469,780,209"
"Sep 27, 2024",10.64,10.97,10.50,10.66,10.66,"48,984,351"
"Sep 26, 2024",10.39,10.50,10.12,10.38,10.38,"947,225,586"
"Sep 25, 2024",10.69,10.73,10.33,10.36,10.36,"386,280,914"
"Sep 24, 2024",10.82,10.99,10.52,10.67,10.67,"591,115,783"
"Sep 23, 2024",11.27,11.94,10.72,10.82,10.82,"608,733,575"
"Sep 20, 2024",10.35,10.58,9.79,10.47,10.47,"454,680,485"
"Sep 19, 2024",12.99,13.02,10.00,10.38,10.38,997
"Sep 18, 2024",13.10,13.16,12.83,12.90,12.90,"289,385,698"
"Sep 17, 2024",13.25,13.28,13.07,13.12,13.12,"179,383,176"
"Sep 16, 2024",13.50,13.50,13.12,13.24,13.24,"261,780,637"
"Sep 13, 2024",13.65,13.66,13.36,13.41,13.41,"198,209,238"
"Sep 12, 2024",13.36,13.65,12.83,13.52,13.52,"408,314,409"
"Sep 11, 2024",13.74,13.77,13.03,13.14,13.14,"358,061,345"
"Sep 10, 2024",13.30,13.73,13.30,13.53,13.53,"444,283,492"
"Sep 9, 2024",13.35,13.58,12.98,13.20,13.20,"628,833,307"
"Sep 6, 2024",14.74,14.76,12.92,13.35,13.35,"827,451,206"
"Sep 5, 2024",14.90,15.22,14.80,15.09,15.09,"286,740,484"
"Sep 4, 2024",15.08,15.10,14.77,14.83,14.83,"281,283,093"
"Sep 3, 2024",15.10,15.26,15.00,15.11,15.11,"272,427,038"
"Sep 2, 2024",15.58,15.58,14.81,15.05,15.05,"685,959,065"
"Aug 30, 2024",16.44,16.44,15.39,15.64,15.64,"1,131"
"Aug 29, 2024",16.40,16.55,15.97,16.30,16.30,"827,342,035"
"Aug 28, 2024",16.05,16.17,15.82,15.97,15.97,"401,712,642"
"Aug 27, 2024",15.75,16.18,15.65,16.04,16.04,"415,465,213"
"Aug 26, 2024",15.96,15.98,15.62,15.79,15.79,"243,427,186"
"Aug 23, 2024",16.28,16.34,15.74,15.82,15.82,"369,537,715"
"Aug 22, 2024",15.95,16.29,15.91,16.20,16.20,"278,652,089"
"Aug 21, 2024",15.99,16.10,15.86,15.94,15.94,"242,515,086"
"Aug 20, 2024",16.06,16.29,15.91,15.94,15.94,"309,490,369"
"Aug 19, 2024",15.87,16.04,15.72,15.95,15.95,"265,264,602"
"Aug 16, 2024",15.96,16.00,15.67,15.88,15.88,"291,922,661"
"Aug 14, 2024",15.63,16.02,15.48,15.79,15.79,"392,047,253"
"Aug 13, 2024",16.19,16.19,15.42,15.47,15.47,"538,387,007"
"Aug 12, 2024",16.12,16.22,15.82,16.01,16.01,"290,810,714"
"Aug 9, 2024",16.30,16.35,16.01,16.10,16.10,"276,415,001"
"Aug 8, 2024",15.75,16.25,15.57,15.86,15.86,"346,746,624"
"Aug 7, 2024",15.60,15.78,15.37,15.72,15.72,"271,137,134"
"Aug 6, 2024",15.70,15.83,15.11,15.17,15.17,"327,583,325"
"Aug 5, 2024",15.61,15.81,15.05,15.36,15.36,"608,655,754"
"Aug 2, 2024",15.80,16.42,15.75,16.12,16.12,"475,279,605"
"Aug 1, 2024",16.36,16.37,15.87,15.99,15.99,"362,395,270"
"Jul 31, 2024",16.31,16.52,16.22,16.27,16.27,"346,265,142"
"Jul 30, 2024",16.03,16.28,15.99,16.21,16.21,"242,396,205"
"Jul 29, 2024",16.00,16.42,15.93,16.05,16.05,"505,926,060"
"Jul 26, 2024",15.42,16.14,15.40,15.98,15.98,"746,610,397"
"Jul 25, 2024",15.30,15.42,15.03,15.18,15.18,"702,308,285"
"Jul 24, 2024",15.30,15.66,15.21,15.58,15.58,"453,449,137"
"Jul 23, 2024",15.90,15.91,14.57,15.28,15.28,"53,671,237"
"Jul 22, 2024",15.77,16.05,15.65,15.89,15.89,"529,018,766"
"Jul 19, 2024",16.37,16.43,15.82,15.87,15.87,"368,882,386"
"Jul 18, 2024",16.69,16.69,15.91,16.27,16.27,"679,246,298"
"Jul 16, 2024",17.54,17.67,16.67,16.80,16.80,"964,458,628"
"Jul 15, 2024",16.10,16.73,15.78,16.68,16.68,"544,664,305"
"Jul 12, 2024",16.76,16.83,16.00,16.09,16.09,"630,743,126"
"Jul 11, 2024",16.76,16.84,16.52,16.56,16.56,"346,369,340"
"Jul 10, 2024",16.97,17.28,16.47,16.64,16.64,"466,478,026"
