Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",162.05,165.00,160.76,164.24,164.24,"14,948,163"
"Oct 7, 2024",170.79,170.79,162.10,162.74,162.74,"19,798,152"
"Oct 4, 2024",169.50,170.49,165.60,168.65,168.65,"25,223,563"
"Oct 3, 2024",173.22,176.20,170.73,171.33,171.33,"25,392,543"
"Oct 1, 2024",180.00,181.34,177.27,179.06,179.06,"17,390,545"
"Sep 30, 2024",179.71,182.46,176.17,180.15,180.15,"33,375,167"
"Sep 27, 2024",171.60,180.75,171.50,180.01,180.01,"52,095,985"
"Sep 26, 2024",170.21,171.90,168.61,171.36,171.36,"11,349,547"
"Sep 25, 2024",169.60,170.94,168.50,169.82,169.82,"8,749,024"
"Sep 24, 2024",169.17,170.95,168.80,169.89,169.89,"10,027,795"
"Sep 23, 2024",167.55,170.20,167.00,169.73,169.73,"9,393,577"
"Sep 20, 2024",165.40,167.75,165.00,167.05,167.05,"20,652,037"
"Sep 19, 2024",168.89,169.94,162.19,165.04,165.04,"19,197,503"
"Sep 18, 2024",170.60,171.06,167.60,168.45,168.45,"10,726,650"
"Sep 17, 2024",171.32,171.95,170.05,170.51,170.51,"6,417,946"
"Sep 16, 2024",173.80,174.11,171.59,171.82,171.82,"8,492,383"
"Sep 13, 2024",173.25,176.00,172.45,173.19,173.19,"15,061,240"
"Sep 12, 2024",171.49,173.70,170.07,173.26,173.26,"18,368,650"
"Sep 11, 2024",176.99,177.89,169.09,169.74,169.74,"29,731,172"
"Sep 10, 2024",176.11,176.74,174.55,175.55,175.55,"14,875,095"
"Sep 9, 2024",175.50,177.21,173.65,175.34,175.34,"15,121,584"
"Sep 6, 2024",181.09,181.29,174.70,176.64,176.64,"31,875,186"
"Sep 5, 2024",178.65,184.00,177.91,181.34,181.34,"46,162,315"
"Sep 4, 2024",177.00,179.70,176.11,177.03,177.03,"23,923,887"
"Sep 3, 2024",178.60,178.91,175.60,176.13,176.13,"11,874,065"
"Sep 2, 2024",179.25,181.20,177.01,178.73,178.73,"26,940,504"
