Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,014.40","1,014.40",984.00,998.20,998.20,"4,115,797"
"Oct 7, 2024","1,039.95","1,044.10","1,012.50","1,018.75","1,018.75","2,708,970"
"Oct 4, 2024","1,042.00","1,063.00","1,027.30","1,033.75","1,033.75","4,855,592"
"Oct 3, 2024","1,028.00","1,060.00","1,025.45","1,039.10","1,039.10","6,615,927"
"Oct 1, 2024","1,029.00","1,029.95","1,014.40","1,027.30","1,027.30","1,392,457"
"Sep 30, 2024","1,004.00","1,032.90","1,004.00","1,030.05","1,030.05","4,250,590"
"Sep 27, 2024","1,008.00","1,018.90",997.50,"1,001.55","1,001.55","2,757,284"
"Sep 26, 2024",984.00,"1,007.95",975.45,"1,005.55","1,005.55","2,706,617"
"Sep 25, 2024",996.00,998.65,972.70,982.65,982.65,"1,309,311"
"Sep 24, 2024",991.30,"1,009.80",985.15,989.70,989.70,"5,545,642"
"Sep 23, 2024",986.00,987.95,976.20,982.10,982.10,"1,714,600"
"Sep 20, 2024",970.00,988.00,965.20,981.55,981.55,"8,035,572"
"Sep 19, 2024",960.00,965.95,944.00,948.40,948.40,"1,278,919"
"Sep 18, 2024",962.05,970.95,950.00,956.70,956.70,"644,373"
"Sep 17, 2024",971.00,974.55,961.70,964.25,964.25,"543,055"
"Sep 16, 2024",961.40,978.55,957.10,971.00,971.00,"2,186,706"
"Sep 13, 2024",958.00,972.45,951.35,954.55,954.55,"2,445,329"
"Sep 12, 2024",935.80,957.60,929.00,954.80,954.80,"3,061,006"
"Sep 11, 2024",941.05,944.30,924.25,927.75,927.75,"1,087,490"
"Sep 10, 2024",934.10,948.50,929.80,938.75,938.75,"1,388,455"
"Sep 9, 2024",923.00,936.70,919.05,934.25,934.25,"1,793,548"
"Sep 6, 2024",925.45,939.40,911.70,932.80,932.80,"1,984,209"
"Sep 5, 2024",934.55,944.55,923.75,925.45,925.45,"1,482,001"
"Sep 4, 2024",920.00,934.70,912.00,933.05,933.05,"3,020,790"
"Sep 3, 2024",937.10,941.55,929.95,930.95,930.95,"1,116,938"
"Sep 2, 2024",941.10,951.45,936.15,940.45,940.45,"1,316,611"
"Aug 30, 2024",947.90,954.75,938.65,941.10,941.10,"2,896,103"
"Aug 29, 2024",945.00,950.50,930.80,939.70,939.70,"2,233,515"
"Aug 28, 2024",947.50,951.50,935.00,949.25,949.25,"2,285,575"
"Aug 27, 2024",963.45,966.95,942.75,944.00,944.00,"2,480,788"
"Aug 26, 2024",945.50,968.90,937.20,963.50,963.50,"2,364,465"
"Aug 23, 2024",934.60,943.95,929.15,941.05,941.05,"1,441,218"
"Aug 22, 2024",927.05,934.85,924.80,933.25,933.25,"1,073,406"
"Aug 21, 2024",910.00,927.00,908.10,925.80,925.80,"1,600,466"
"Aug 20, 2024",923.90,923.90,910.80,917.15,917.15,"696,605"
"Aug 19, 2024",910.00,920.00,903.90,917.75,917.75,"847,523"
"Aug 16, 2024",900.00,910.70,882.55,908.45,908.45,"2,208,842"
"Aug 14, 2024",911.95,911.95,885.40,890.30,890.30,"2,024,615"
"Aug 13, 2024",925.00,927.50,905.00,907.85,907.85,"1,329,629"
"Aug 12, 2024",904.80,926.20,898.10,917.35,917.35,"3,822,527"
"Aug 9, 2024",896.05,914.75,889.00,905.10,905.10,"1,722,454"
"Aug 8, 2024",900.00,902.95,883.40,887.55,887.55,"2,796,559"
"Aug 7, 2024",899.00,910.65,895.00,906.45,906.45,"2,262,055"
"Aug 6, 2024",867.05,893.05,867.05,884.00,884.00,"2,665,068"
"Aug 5, 2024",884.00,884.00,854.15,863.80,863.80,"4,059,902"
"Aug 2, 2024",919.90,923.85,896.00,899.55,899.55,"3,306,705"
"Aug 1, 2024",937.55,957.95,927.75,934.55,934.55,"4,039,078"
"Jul 31, 2024",908.95,936.35,902.70,928.25,928.25,"2,716,481"
"Jul 30, 2024",895.05,907.95,890.15,902.10,902.10,"979,026"
"Jul 29, 2024",909.90,909.90,895.05,898.55,898.55,"1,066,351"
"Jul 26, 2024",880.00,908.80,875.30,900.55,900.55,"2,056,457"
"Jul 25, 2024",870.00,880.00,862.40,874.50,874.50,"1,636,466"
"Jul 24, 2024",895.00,895.00,880.00,881.35,881.35,"1,519,772"
"Jul 23, 2024",890.00,896.15,872.00,893.95,893.95,"1,640,412"
"Jul 22, 2024",875.50,893.40,865.15,888.55,888.55,"2,725,373"
"Jul 19, 2024",927.00,927.50,886.55,889.45,889.45,"3,001,973"
"Jul 18, 2024",934.35,935.35,921.35,931.45,931.45,"1,812,254"
"Jul 16, 2024",932.15,939.35,928.15,934.35,934.35,"1,442,535"
"Jul 15, 2024",937.95,938.70,926.15,931.70,931.70,"1,337,839"
"Jul 12, 2024",929.95,937.75,924.00,934.40,934.40,"1,498,780"
"Jul 11, 2024",927.15,932.00,915.45,925.00,925.00,"2,348,723"
"Jul 10, 2024",931.00,935.30,918.90,925.40,925.40,"1,483,892"
"Jul 9, 2024",7.30 Dividend
"Jul 9, 2024",939.00,940.80,932.30,935.30,935.30,"1,489,629"
"Jul 8, 2024",955.90,955.90,934.05,939.20,931.90,"1,569,620"
"Jul 5, 2024",948.00,956.00,945.20,954.05,946.63,"1,583,550"
"Jul 4, 2024",950.40,959.40,943.00,944.35,937.01,"1,384,884"
"Jul 3, 2024",939.50,953.40,939.05,950.40,943.01,"1,369,238"
"Jul 2, 2024",945.00,953.70,936.50,938.25,930.96,"1,936,180"
"Jul 1, 2024",935.00,947.50,931.60,943.90,936.56,"2,562,034"
"Jun 28, 2024",943.15,949.40,928.75,931.50,924.26,"2,402,672"
"Jun 27, 2024",916.20,945.60,915.30,943.15,935.82,"4,700,053"
"Jun 26, 2024",930.90,932.45,918.10,919.20,912.06,"1,341,496"
"Jun 25, 2024",936.90,940.00,927.95,929.90,922.67,"1,733,931"
"Jun 24, 2024",936.00,941.65,922.00,935.35,928.08,"1,857,847"
"Jun 21, 2024",929.00,944.00,923.15,936.90,929.62,"4,299,319"
"Jun 20, 2024",914.95,938.00,911.30,929.65,922.42,"3,120,339"
"Jun 19, 2024",929.00,936.90,913.30,914.95,907.84,"1,793,533"
"Jun 18, 2024",921.15,927.45,914.30,925.35,918.16,"2,395,045"
"Jun 14, 2024",914.00,923.50,903.60,921.15,913.99,"2,625,892"
"Jun 13, 2024",917.55,925.05,908.05,915.75,908.63,"1,788,757"
"Jun 12, 2024",910.05,924.30,908.05,916.90,909.77,"1,782,777"
"Jun 11, 2024",915.95,918.80,905.05,910.10,903.03,"2,003,998"
"Jun 10, 2024",907.00,920.00,900.75,915.90,908.78,"1,765,715"
"Jun 7, 2024",888.10,915.40,877.10,912.15,905.06,"3,609,817"
"Jun 6, 2024",884.00,892.90,877.50,888.10,881.20,"3,095,781"
"Jun 5, 2024",857.00,881.70,829.15,878.40,871.57,"1,969,854"
"Jun 4, 2024",914.00,914.00,823.80,841.85,835.31,"4,022,430"
"Jun 3, 2024",912.00,917.70,897.80,915.30,908.19,"2,541,803"
"May 31, 2024",892.00,895.45,877.00,880.55,873.71,"5,249,761"
"May 30, 2024",900.00,900.80,873.25,883.70,876.83,"3,993,159"
"May 29, 2024",899.60,910.00,896.45,901.90,894.89,"1,740,879"
"May 28, 2024",905.85,915.85,901.20,907.35,900.30,"1,931,419"
"May 27, 2024",910.50,919.15,900.10,901.95,894.94,"1,893,682"
"May 24, 2024",915.00,925.00,906.05,908.65,901.59,"2,113,036"
"May 23, 2024",912.00,920.85,890.70,917.00,909.87,"3,800,388"
"May 22, 2024",925.00,927.30,906.05,915.80,908.68,"2,938,404"
"May 21, 2024",892.00,928.95,890.80,923.45,916.27,"5,938,708"
"May 17, 2024",888.00,914.95,878.70,907.45,900.40,"4,635,724"
"May 16, 2024",872.80,888.45,864.45,886.40,879.51,"3,282,175"
"May 15, 2024",882.00,883.50,863.40,870.95,864.18,"2,194,086"
"May 14, 2024",864.15,884.95,861.20,881.50,874.65,"2,706,050"
"May 13, 2024",847.85,862.50,830.00,860.60,853.91,"1,735,081"
"May 10, 2024",835.95,855.95,835.95,853.60,846.97,"1,947,295"
"May 9, 2024",864.70,868.80,831.05,834.55,828.06,"2,282,517"
"May 8, 2024",850.40,866.60,850.40,864.65,857.93,"1,849,894"
"May 7, 2024",880.65,881.05,845.75,857.35,850.69,"2,369,111"
"May 6, 2024",879.70,893.00,874.35,880.65,873.81,"2,556,178"
"May 3, 2024",895.85,903.70,866.00,874.20,867.41,"3,672,279"
"May 2, 2024",883.00,894.60,883.00,890.35,883.43,"2,448,369"
"Apr 30, 2024",902.45,902.75,880.05,882.20,875.34,"1,831,578"
"Apr 29, 2024",898.40,902.50,886.15,895.75,888.79,"1,956,431"
"Apr 26, 2024",910.00,914.00,884.65,887.25,880.35,"3,626,999"
"Apr 25, 2024",882.70,909.40,874.35,905.80,898.76,"4,893,459"
"Apr 24, 2024",851.35,886.00,850.00,882.70,875.84,"4,257,548"
"Apr 23, 2024",858.50,865.00,848.55,851.35,844.73,"1,755,588"
"Apr 22, 2024",867.10,870.90,853.45,854.80,848.16,"1,584,578"
"Apr 19, 2024",842.85,867.30,833.20,864.80,858.08,"3,157,898"
"Apr 18, 2024",846.10,858.00,841.70,844.80,838.23,"3,437,879"
"Apr 16, 2024",859.50,863.60,842.75,845.25,838.68,"1,706,563"
"Apr 15, 2024",862.90,882.00,850.25,860.45,853.76,"1,974,756"
"Apr 12, 2024",883.90,883.90,862.00,866.45,859.72,"4,129,109"
"Apr 10, 2024",881.35,889.00,875.35,883.95,877.08,"2,519,596"
"Apr 9, 2024",881.80,891.45,870.55,874.60,867.80,"2,512,308"
"Apr 8, 2024",864.00,878.00,860.25,876.45,869.64,"2,462,906"
"Apr 5, 2024",860.00,864.55,846.95,857.10,850.44,"1,847,243"
"Apr 4, 2024",876.30,878.65,853.55,862.50,855.80,"2,790,334"
"Apr 3, 2024",877.85,879.55,867.10,869.00,862.25,"1,980,049"
"Apr 2, 2024",871.10,881.85,861.55,879.25,872.42,"2,784,783"
"Apr 1, 2024",838.00,876.45,838.00,871.95,865.17,"6,053,539"
"Mar 28, 2024",827.00,840.85,820.00,830.20,823.75,"3,722,941"
"Mar 27, 2024",825.00,832.40,815.40,818.05,811.69,"1,884,038"
"Mar 26, 2024",820.55,834.00,818.05,821.90,815.51,"2,454,193"
"Mar 22, 2024",808.00,832.95,806.75,824.80,818.39,"3,983,433"
"Mar 21, 2024",804.00,819.45,803.10,812.35,806.04,"2,783,067"
"Mar 20, 2024",802.20,810.00,789.30,794.65,788.47,"1,538,050"
"Mar 19, 2024",802.00,809.95,793.75,801.05,794.82,"2,192,986"
"Mar 18, 2024",780.65,808.50,778.50,804.40,798.15,"3,561,533"
"Mar 15, 2024",782.10,790.20,774.55,780.65,774.58,"3,992,861"
"Mar 14, 2024",792.00,792.95,761.75,785.45,779.35,"5,262,918"
"Mar 13, 2024",818.40,820.60,788.45,792.95,786.79,"3,047,464"
"Mar 12, 2024",829.00,829.30,815.00,817.80,811.44,"1,231,413"
"Mar 11, 2024",832.00,836.60,822.15,829.80,823.35,"1,622,850"
"Mar 7, 2024",820.00,844.90,818.05,830.00,823.55,"5,074,846"
"Mar 6, 2024",820.40,823.00,800.00,812.90,806.58,"2,041,620"
"Mar 5, 2024",825.10,826.65,811.00,819.30,812.93,"2,630,517"
"Mar 4, 2024",839.00,839.00,818.50,824.30,817.89,"3,821,690"
"Mar 1, 2024",804.25,839.70,804.25,836.20,829.70,"5,377,896"
"Feb 29, 2024",801.00,805.90,790.00,800.10,793.88,"3,155,812"
"Feb 28, 2024",822.70,822.75,795.00,798.60,792.39,"1,851,909"
"Feb 27, 2024",808.95,820.55,805.70,818.95,812.58,"1,331,211"
"Feb 26, 2024",825.20,827.80,806.20,808.75,802.46,"1,188,689"
"Feb 23, 2024",835.00,836.30,819.25,821.00,814.62,"1,736,000"
"Feb 22, 2024",831.00,835.15,820.05,828.65,822.21,"2,366,934"
"Feb 21, 2024",821.00,850.00,820.95,828.25,821.81,"6,419,882"
"Feb 20, 2024",825.00,825.00,811.80,821.20,814.82,"1,384,043"
"Feb 19, 2024",825.95,825.95,814.00,820.20,813.82,"829,517"
"Feb 16, 2024",818.15,824.40,813.50,819.95,813.58,"1,774,587"
"Feb 15, 2024",818.00,820.75,805.60,812.35,806.04,"1,482,200"
"Feb 14, 2024",798.00,815.80,796.55,813.25,806.93,"1,546,826"
"Feb 13, 2024",812.95,814.70,790.55,812.65,806.33,"1,675,844"
"Feb 12, 2024",818.00,819.60,802.45,811.50,805.19,"1,408,603"
"Feb 9, 2024",824.90,825.00,800.45,811.75,805.44,"1,396,058"
"Feb 8, 2024",841.45,841.45,818.00,822.10,815.71,"2,294,805"
"Feb 7, 2024",827.40,842.90,823.00,836.60,830.10,"3,647,454"
"Feb 6, 2024",814.65,820.75,805.10,818.75,812.39,"1,547,506"
"Feb 5, 2024",824.15,834.00,811.00,814.65,808.32,"2,056,107"
"Feb 2, 2024",809.25,826.30,805.10,823.55,817.15,"2,871,131"
"Feb 1, 2024",822.00,822.00,800.10,801.70,795.47,"2,287,350"
"Jan 31, 2024",812.00,822.00,808.05,818.65,812.29,"1,954,023"
"Jan 30, 2024",818.00,829.35,810.15,812.00,805.69,"1,892,910"
"Jan 29, 2024",819.05,823.60,804.00,811.70,805.39,"1,574,830"
"Jan 25, 2024",815.00,821.00,792.80,815.70,809.36,"3,240,065"
"Jan 24, 2024",795.00,814.00,784.00,812.20,805.89,"1,490,515"
"Jan 23, 2024",808.25,816.00,788.45,790.40,784.26,"1,533,222"
"Jan 19, 2024",805.25,820.70,805.25,816.65,810.30,"1,358,166"
"Jan 18, 2024",812.50,814.50,792.60,803.65,797.40,"1,991,900"
"Jan 17, 2024",830.00,830.00,810.05,812.65,806.33,"1,433,551"
