Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",677.10,699.60,675.35,697.90,697.90,"2,796,644"
"Oct 7, 2024",686.25,694.20,673.80,678.80,678.80,"1,932,861"
"Oct 4, 2024",699.70,703.95,684.40,690.20,690.20,"2,050,300"
"Oct 3, 2024",694.00,719.85,690.35,699.05,699.05,"4,581,037"
"Oct 1, 2024",694.00,699.45,685.00,693.65,693.65,"1,856,288"
"Sep 30, 2024",680.50,705.00,680.50,695.40,695.40,"2,531,313"
"Sep 27, 2024",695.05,713.50,688.00,692.45,692.45,"14,237,170"
"Sep 26, 2024",691.00,700.90,683.25,693.60,693.60,"3,431,866"
"Sep 25, 2024",707.60,707.60,681.55,689.20,689.20,"1,373,871"
"Sep 24, 2024",699.00,709.70,695.65,705.10,705.10,"1,692,449"
"Sep 23, 2024",709.05,710.00,696.85,702.50,702.50,"1,228,223"
"Sep 20, 2024",700.00,710.50,697.50,709.00,709.00,"2,799,627"
"Sep 19, 2024",696.00,702.50,690.15,697.00,697.00,"1,715,999"
"Sep 18, 2024",693.00,696.30,686.55,695.30,695.30,"972,495"
"Sep 17, 2024",697.70,705.00,689.30,692.00,692.00,"1,738,717"
"Sep 16, 2024",683.05,697.40,675.55,695.20,695.20,"1,850,346"
"Sep 13, 2024",688.00,690.20,677.75,681.95,681.95,"1,550,794"
"Sep 12, 2024",683.45,687.90,680.55,686.10,686.10,"1,231,420"
"Sep 11, 2024",678.00,690.00,676.30,680.45,680.45,"3,149,673"
"Sep 10, 2024",680.20,684.50,675.30,680.00,680.00,"1,942,309"
"Sep 9, 2024",665.00,678.30,660.50,676.00,676.00,"4,064,358"
"Sep 6, 2024",648.00,673.95,647.95,665.25,665.25,"6,822,379"
"Sep 5, 2024",640.10,647.00,636.90,643.90,643.90,"2,658,323"
"Sep 4, 2024",635.00,647.65,633.00,645.60,645.60,"2,925,734"
"Sep 3, 2024",644.95,653.25,639.45,640.05,640.05,"2,470,124"
"Sep 2, 2024",648.00,655.65,643.50,650.95,650.95,"1,586,559"
"Aug 30, 2024",659.05,664.70,644.75,647.15,647.15,"7,817,523"
"Aug 29, 2024",661.90,666.00,651.45,660.75,660.75,"2,123,160"
"Aug 28, 2024",675.80,678.90,660.00,661.90,661.90,"2,436,997"
"Aug 27, 2024",686.50,691.45,673.00,675.80,675.80,"1,403,508"
"Aug 26, 2024",681.00,692.80,678.80,688.55,688.55,"1,839,363"
"Aug 23, 2024",682.95,688.65,670.45,678.20,678.20,"1,708,479"
"Aug 22, 2024",679.30,687.50,677.80,682.95,682.95,"2,014,766"
"Aug 21, 2024",670.00,679.95,667.70,679.30,679.30,"1,206,265"
"Aug 20, 2024",669.15,671.95,662.35,668.90,668.90,"997,284"
