Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",414.00,427.70,411.30,420.95,420.95,"18,706,355"
"Oct 7, 2024",430.60,433.00,409.05,415.45,415.45,"23,431,004"
"Oct 4, 2024",432.90,439.35,426.30,430.45,430.45,"18,347,292"
"Oct 3, 2024",432.00,442.50,432.00,435.35,435.35,"13,563,784"
"Oct 1, 2024",446.00,447.75,438.80,440.10,440.10,"15,984,996"
"Sep 30, 2024",436.90,448.45,433.60,443.20,443.20,"20,903,229"
"Sep 27, 2024",436.00,442.50,433.50,436.90,436.90,"53,885,913"
"Sep 26, 2024",437.95,437.95,430.55,434.60,434.60,"20,041,825"
"Sep 25, 2024",428.10,437.00,425.65,436.10,436.10,"19,443,168"
"Sep 24, 2024",431.45,431.45,427.00,428.10,428.10,"12,539,885"
"Sep 23, 2024",427.50,430.50,425.00,428.35,428.35,"14,139,629"
"Sep 20, 2024",428.05,429.85,416.55,423.95,423.95,"36,084,164"
"Sep 19, 2024",424.00,431.85,420.55,423.95,423.95,"59,601,773"
"Sep 18, 2024",418.50,419.75,413.00,414.15,414.15,"10,303,840"
"Sep 17, 2024",411.85,417.65,410.10,416.30,416.30,"14,432,501"
"Sep 16, 2024",402.45,412.00,402.00,411.10,411.10,"11,479,712"
"Sep 13, 2024",404.85,407.30,399.35,401.40,401.40,"12,017,217"
"Sep 12, 2024",391.00,406.25,390.65,404.85,404.85,"24,028,069"
"Sep 11, 2024",399.00,399.30,387.50,389.65,389.65,"11,492,592"
"Sep 10, 2024",390.10,399.40,389.75,396.30,396.30,"15,852,309"
"Sep 9, 2024",391.20,392.75,385.30,389.85,389.85,"12,293,356"
"Sep 6, 2024",403.25,404.65,392.70,394.80,394.80,"17,956,121"
"Sep 5, 2024",405.35,408.40,401.85,403.25,403.25,"14,246,871"
"Sep 4, 2024",400.00,408.25,399.90,405.10,405.10,"11,052,003"
"Sep 3, 2024",410.50,411.55,405.60,406.40,406.40,"7,538,160"
"Sep 2, 2024",417.80,419.10,407.70,410.00,410.00,"11,107,165"
"Aug 30, 2024",412.70,419.20,411.50,416.20,416.20,"22,633,988"
"Aug 29, 2024",409.05,412.60,403.75,409.90,409.90,"19,014,705"
"Aug 28, 2024",410.05,414.40,407.35,409.05,409.05,"15,884,745"
"Aug 27, 2024",415.50,416.20,409.10,409.65,409.65,"8,441,188"
"Aug 26, 2024",402.45,415.95,401.95,414.85,414.85,"13,772,637"
"Aug 23, 2024",403.35,405.90,399.55,401.95,401.95,"11,513,586"
"Aug 22, 2024",409.80,410.05,402.25,403.35,403.35,"10,445,288"
"Aug 21, 2024",407.50,409.70,405.20,408.95,408.95,"9,726,854"
"Aug 20, 2024",404.55,408.20,403.10,406.25,406.25,"10,126,083"
"Aug 19, 2024",402.30,407.50,401.45,403.10,403.10,"10,677,045"
"Aug 16, 2024",398.05,400.95,393.30,398.05,398.05,"13,844,122"
"Aug 14, 2024",398.90,400.00,393.65,396.35,396.35,"9,424,614"
"Aug 13, 2024",403.00,404.50,395.00,396.20,396.20,"11,355,664"
"Aug 12, 2024",410.00,410.00,400.10,400.85,400.85,"26,254,763"
"Aug 9, 2024",413.80,416.35,408.20,410.65,410.65,"10,954,753"
"Aug 8, 2024",416.35,417.00,405.80,407.70,407.70,"16,447,385"
"Aug 7, 2024",3.25 Dividend
"Aug 7, 2024",421.00,421.00,415.00,416.30,416.30,"15,556,736"
"Aug 6, 2024",413.25,424.95,413.25,415.00,411.75,"18,230,579"
"Aug 5, 2024",407.65,415.65,404.65,413.25,410.01,"42,489,503"
"Aug 2, 2024",416.25,426.30,413.35,419.70,416.41,"24,233,263"
"Aug 1, 2024",419.90,424.35,415.60,423.45,420.13,"28,803,487"
"Jul 31, 2024",409.50,417.40,408.55,416.00,412.74,"29,727,771"
"Jul 30, 2024",397.00,412.70,397.00,406.95,403.76,"34,447,139"
"Jul 29, 2024",404.00,408.30,392.65,393.90,390.82,"27,751,449"
"Jul 26, 2024",394.95,399.50,389.70,396.30,393.20,"20,381,410"
"Jul 25, 2024",390.95,396.30,386.25,392.15,389.08,"25,973,101"
"Jul 24, 2024",384.10,395.00,381.70,392.60,389.53,"36,868,466"
"Jul 23, 2024",376.70,385.65,361.55,382.45,379.45,"49,882,257"
"Jul 22, 2024",364.75,377.25,362.35,373.50,370.57,"18,715,538"
"Jul 19, 2024",377.75,378.00,362.90,364.65,361.79,"13,330,099"
"Jul 18, 2024",382.90,382.90,374.20,377.75,374.79,"15,709,153"
"Jul 16, 2024",386.65,388.75,380.00,380.45,377.47,"11,893,034"
"Jul 15, 2024",378.60,388.95,376.90,385.65,382.63,"22,951,140"
"Jul 12, 2024",378.95,379.40,372.00,377.15,374.20,"16,151,583"
"Jul 11, 2024",382.40,383.30,374.60,377.10,374.15,"19,873,143"
"Jul 10, 2024",378.80,383.80,370.00,381.40,378.41,"17,715,196"
"Jul 9, 2024",379.20,380.25,375.05,377.05,374.10,"8,355,819"
"Jul 8, 2024",380.85,381.25,376.15,377.45,374.49,"8,898,299"
"Jul 5, 2024",374.35,381.25,371.00,379.80,376.83,"15,946,104"
"Jul 4, 2024",373.90,380.85,371.75,372.95,370.03,"14,916,930"
"Jul 3, 2024",370.55,374.25,368.65,372.65,369.73,"9,207,317"
"Jul 2, 2024",372.60,372.60,365.15,370.40,367.50,"13,702,830"
"Jul 1, 2024",381.75,382.00,367.80,369.75,366.85,"23,389,211"
"Jun 28, 2024",377.95,389.50,376.70,378.35,375.39,"25,141,039"
"Jun 27, 2024",365.05,381.10,364.10,377.15,374.20,"55,378,829"
