Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,745.40","1,768.00","1,714.05","1,759.60","1,759.60","839,438"
"Oct 7, 2024","1,818.60","1,819.30","1,735.30","1,748.10","1,748.10","689,748"
"Oct 4, 2024","1,841.50","1,850.90","1,794.90","1,808.40","1,808.40","806,448"
"Oct 3, 2024","1,850.00","1,885.00","1,826.10","1,845.20","1,845.20","650,078"
"Oct 1, 2024","1,903.60","1,911.95","1,858.35","1,887.85","1,887.85","549,915"
"Sep 30, 2024","1,910.00","1,927.75","1,875.00","1,892.20","1,892.20","885,798"
"Sep 27, 2024","1,964.20","1,965.00","1,888.55","1,896.85","1,896.85","485,248"
"Sep 26, 2024","1,953.00","1,970.00","1,929.70","1,953.20","1,953.20","944,208"
"Sep 25, 2024","1,897.60","1,948.00","1,876.55","1,941.50","1,941.50","917,710"
"Sep 24, 2024","1,916.70","1,926.00","1,876.60","1,900.05","1,900.05","830,136"
"Sep 23, 2024","1,864.00","1,914.00","1,846.15","1,899.65","1,899.65","876,877"
"Sep 20, 2024","1,859.95","1,872.00","1,836.45","1,856.85","1,856.85","1,405,487"
"Sep 19, 2024","1,818.00","1,863.00","1,781.35","1,841.65","1,841.65","1,000,198"
"Sep 18, 2024","1,824.15","1,824.15","1,781.10","1,808.40","1,808.40","450,844"
"Sep 17, 2024","1,809.00","1,825.00","1,799.00","1,814.10","1,814.10","360,524"
"Sep 16, 2024","1,826.00","1,846.65","1,793.50","1,801.90","1,801.90","741,473"
"Sep 13, 2024","1,778.60","1,819.55","1,767.90","1,814.45","1,814.45","1,100,430"
"Sep 12, 2024","1,762.65","1,776.45","1,744.50","1,767.50","1,767.50","560,439"
"Sep 11, 2024","1,768.60","1,789.30","1,744.70","1,751.65","1,751.65","534,290"
"Sep 10, 2024","1,735.40","1,769.85","1,732.60","1,757.85","1,757.85","521,608"
"Sep 9, 2024","1,744.90","1,756.45","1,726.00","1,742.60","1,742.60","382,054"
"Sep 6, 2024","1,787.50","1,787.50","1,719.05","1,747.25","1,747.25","749,525"
"Sep 5, 2024","1,791.90","1,797.60","1,776.25","1,790.35","1,790.35","517,402"
"Sep 4, 2024","1,768.25","1,790.45","1,743.10","1,783.60","1,783.60","773,570"
"Sep 3, 2024","1,755.20","1,789.00","1,752.20","1,768.20","1,768.20","379,376"
"Sep 2, 2024","1,780.00","1,788.95","1,751.00","1,758.40","1,758.40","306,280"
"Aug 30, 2024","1,728.40","1,789.00","1,728.40","1,772.35","1,772.35","983,157"
"Aug 29, 2024","1,709.00","1,731.40","1,691.75","1,723.15","1,723.15","788,306"
"Aug 28, 2024","1,734.80","1,738.90","1,707.05","1,711.25","1,711.25","217,943"
"Aug 27, 2024","1,738.65","1,747.40","1,716.30","1,728.15","1,728.15","490,753"
"Aug 26, 2024","1,708.95","1,746.05","1,699.95","1,738.65","1,738.65","699,817"
"Aug 23, 2024","1,734.10","1,744.90","1,695.60","1,703.10","1,703.10","569,967"
"Aug 22, 2024","1,746.65","1,756.95","1,722.15","1,734.10","1,734.10","757,573"
"Aug 21, 2024","1,757.25","1,766.45","1,733.35","1,744.85","1,744.85","413,365"
"Aug 20, 2024","1,765.30","1,770.30","1,744.45","1,755.35","1,755.35","580,046"
"Aug 19, 2024","1,780.00","1,780.00","1,746.50","1,766.95","1,766.95","285,852"
"Aug 16, 2024","1,724.40","1,770.45","1,724.00","1,766.15","1,766.15","718,392"
"Aug 14, 2024","1,755.90","1,771.00","1,705.00","1,715.45","1,715.45","651,320"
"Aug 13, 2024","1,793.45","1,793.85","1,735.05","1,745.20","1,745.20","738,068"
"Aug 12, 2024","1,786.50","1,827.75","1,757.80","1,814.15","1,814.15","1,419,019"
"Aug 9, 2024","1,778.95","1,808.85","1,769.60","1,788.25","1,788.25","798,392"
"Aug 8, 2024","1,758.60","1,785.95","1,740.80","1,744.60","1,744.60","660,451"
"Aug 7, 2024","1,775.00","1,778.85","1,746.20","1,771.25","1,771.25","564,600"
"Aug 6, 2024","1,730.10","1,775.00","1,710.85","1,716.10","1,716.10","1,106,701"
"Aug 5, 2024","1,750.00","1,754.75","1,687.00","1,706.00","1,706.00","1,272,963"
"Aug 2, 2024","1,800.20","1,824.80","1,773.30","1,779.35","1,779.35","543,407"
"Aug 1, 2024",2.00 Dividend
"Aug 1, 2024","1,865.00","1,870.00","1,815.50","1,839.30","1,839.30","739,985"
"Jul 31, 2024","1,841.90","1,879.00","1,830.60","1,862.40","1,860.40","1,209,788"
"Jul 30, 2024","1,808.00","1,839.30","1,792.65","1,827.10","1,825.14","1,019,163"
"Jul 29, 2024","1,792.05","1,829.85","1,783.10","1,793.90","1,791.97","1,190,762"
"Jul 26, 2024","1,734.00","1,802.00","1,733.05","1,785.00","1,783.08","899,262"
